,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,0,0,745442,3111,5068,MUNICIPIO DE AMAGA,890981732,ANTIOQUIA,AMAGÁ,Territorial,Centralizada,CO1.REQ.6453974,CONT. INTERAD-201-2024,702474826,CO1.BDOS.6329103,CONTRATO INTERADMINISTRATIVO PARA ADELANTAR OBRAS DE PAVIMENTACIÓN DE VIAS URBANAS EN EL MUNICIPIO DE AMAGÁ,CONTRATO INTERADMINISTRATIVO PARA ADELANTAR OBRAS DE PAVIMENTACIÓN DE VIAS URBANAS EN EL MUNICIPIO DE AMAGÁ,Presentación de oferta,07/04/2024,07/04/2024,,,,,07/04/2024,504121590,Contratación directa,Contratos o convenios Interadministrativos (valor cero),otro,día(s),,,,Amagá,SECRETARIA DE PLANEACION Y OBRAS PUBLICAS  2024,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,715689212,Antioquia,Amagá,,0,No Adjudicado,EPAMA SA ESP,9001952624,V1.95111600,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6352551,702474826,Adjudicado,2024,3.9155429850746266,,1,504121590,504.1215900000001,V1.951,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,642.744165140856,2.552293084152571e-21,128.5488330281712,12.05455875396729,317944.24716823257,643.7441651408559
1,1,1,772454,8500,13970,MUNICIPIO DE AMAGA,890981732,ANTIOQUIA,AMAGÁ,Territorial,Centralizada,CO1.REQ.6221054,SAMC-002-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),702474826,CO1.BDOS.6020097,PRESTACIÓN DEL SERVICIO DE VIGILANCIA PARA GARANTIZAR LA SEGURIDAD DE LOS ESTABLECIMIENTO EDUCATIVOS; DEPORTIVOS Y CULTURALES EN EL MUNICIPIO DE AMAGÁ; ANTIOQUIA DURANTE LA VIGENCIA 2024 (Manifestació,"PRESTACIÓN DEL SERVICIO DE VIGILANCIA PARA GARANTIZAR LA SEGURIDAD DE LOS ESTABLECIMIENTO EDUCATIVOS, DEPORTIVOS Y CULTURALES EN EL MUNICIPIO DE AMAGÁ, ANTIOQUIA DURANTE LA VIGENCIA 2024",Presentación de oferta,05/14/2024,05/14/2024,,,,,05/14/2024,364000000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),05/15/2024,05/15/2024,05/15/2024,Amagá,SECRETARIA DE GOBIERNO Y SERVICIOS ADMINISTRATIVOS  2024,8,8,34,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1929209,708811161,Antioquia,Medellín,05/27/2024,364000000,ALEJANDRA TANGARIFE ARBOLEDA,VIGILANCIA JUVENIL SEGURIDAD LTDA,901188429,V1.92121500,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6118807,702474826,Adjudicado,2024,3.9155429850746266,,1,364000000,364.0,V1.921,True,262.9507041139722,514.7973924569488,201.4668502807617,1,0.3842898851574454,0.276462693489818,25.80722425247539,-34.8758659362793,12834.696719002974,1.3842898851574454
2,2,2,547128,9691,15917,MUNICIPIO DE AMAGA,890981732,ANTIOQUIA,AMAGÁ,Territorial,Centralizada,CO1.REQ.6193817,SAMC-002-2024 (Manifestación de interés (Menor Cuantía)),702474826,CO1.BDOS.6020097,PRESTACIÓN DEL SERVICIO DE VIGILANCIA PARA GARANTIZAR LA SEGURIDAD DE LOS ESTABLECIMIENTO EDUCATIVOS; DEPORTIVOS Y CULTURALES EN EL MUNICIPIO DE AMAGÁ; ANTIOQUIA DURANTE LA VIGENCIA 2024 (Manifestació,"PRESTACIÓN DEL SERVICIO DE VIGILANCIA PARA GARANTIZAR LA SEGURIDAD DE LOS ESTABLECIMIENTO EDUCATIVOS, DEPORTIVOS Y CULTURALES EN EL MUNICIPIO DE AMAGÁ, ANTIOQUIA DURANTE LA VIGENCIA 2024",Manifestación de interés (Menor Cuantía),05/06/2024,05/06/2024,,,05/06/2024,,,364000000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),05/15/2024,05/15/2024,05/15/2024,Amagá,SECRETARIA DE GOBIERNO Y SERVICIOS ADMINISTRATIVOS  2024,0,0,34,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.92121500,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6081049,702474826,Manifestación de interés (Menor Cuantía),2024,3.9155429850746266,,1,364000000,364.0,V1.921,True,262.9507041139722,514.7973924569488,201.4668502807617,1,0.3842898851574454,0.3016154051281121,25.80722425247539,-32.80504989624023,12080.919680428751,1.3842898851574454
3,3,3,756157,1006,1677,MUNICIPIO DE AMAGA,890981732,ANTIOQUIA,AMAGÁ,Territorial,Centralizada,CO1.REQ.6139810,SAMC-002-2024,702474826,CO1.BDOS.6020097,PRESTACIÓN DEL SERVICIO DE VIGILANCIA PARA GARANTIZAR LA SEGURIDAD DE LOS ESTABLECIMIENTO EDUCATIVOS; DEPORTIVOS Y CULTURALES EN EL MUNICIPIO DE AMAGÁ; ANTIOQUIA DURANTE LA VIGENCIA 2024,"PRESTACIÓN DEL SERVICIO DE VIGILANCIA PARA GARANTIZAR LA SEGURIDAD DE LOS ESTABLECIMIENTO EDUCATIVOS, DEPORTIVOS Y CULTURALES EN EL MUNICIPIO DE AMAGÁ, ANTIOQUIA DURANTE LA VIGENCIA 2024",Presentación de observaciones,04/24/2024,04/24/2024,,,,04/24/2024,,346000000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),05/15/2024,05/15/2024,05/15/2024,Amagá,SECRETARIA DE GOBIERNO Y SERVICIOS ADMINISTRATIVOS  2024,0,0,34,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.92121500,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6027908,702474826,Presentación de observaciones,2024,3.9155429850746266,,1,346000000,346.0,V1.921,True,262.9507041139722,514.7973924569488,201.4668502807617,1,0.3158359897375718,0.3015594796939032,21.21016068591186,-28.86592864990234,10096.890565315409,1.3158359897375718
4,4,4,469677,9319,15535,MUNICIPIO DE AMAGA,890981732,ANTIOQUIA,AMAGÁ,Territorial,Centralizada,CO1.REQ.6332617,PS-191-2024,702474826,CO1.BDOS.6209821,PRESTACIÓN DE SERVICIOS A LA GESTIÒN DE ACTIVIADES FORMATIVAS; LUDICO-RECREATIVAS PARA LA EXALTACIÒN DE LAS FAMILIAS DEL MUNICIPIO DE AMAGÀ; ANTIOQUIA,"PRESTACIÓN DE SERVICIOS A LA GESTIÒN DE ACTIVIADES FORMATIVAS, LUDICO-RECREATIVAS PARA LA EXALTACIÒN DE LAS FAMILIAS DEL MUNICIPIO DE AMAGÀ, ANTIOQUIA",Presentación de oferta,06/04/2024,06/04/2024,,,,,06/04/2024,96510757,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Amagá,SECRETARIA DE EDUCACIÓN 2024,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,725591085,Antioquia,Medellín,,0,No Adjudicado,ANFEYA GROUP S.A.S.,901476314,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6218779,702474826,Adjudicado,2024,3.9155429850746266,,1,96510757,96.510757,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,122.2405791072686,2.8381064251763913e-16,24.44811582145371,33.05956649780273,8606.927036966097,123.24057910726854
5,5,5,678105,12569,20483,MUNICIPIO DE AMAGA,890981732,ANTIOQUIA,AMAGÁ,Territorial,Centralizada,CO1.REQ.6787982,SASI-006-2024,702474826,CO1.BDOS.6661044,SUMINISTRO DE ALIMENTACIÒN PARA LOS DETENIDOS DE LA CARCEL;  ESTACIÒN DE POLICIA Y CETRA DEL MUNICIPIO DE AMAGÁ-ANTIOQUIA,"SUMINISTRO DE ALIMENTACIÒN PARA LOS DETENIDOS DE LA CARCEL, ESTACIÒN DE POLICIA Y CETRA DEL MUNICIPIO DE AMAGÁ-ANTIOQUIA",Presentación de observaciones,09/05/2024,09/05/2024,,,,09/05/2024,,231000000,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,día(s),09/20/2024,10/01/2024,10/01/2024,Amagá,SECRETARIA DE GOBIERNO Y SERVICIOS ADMINISTRATIVOS  2024,0,0,14,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.90101600,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6669719,702474826,Presentación de observaciones,2024,3.9155429850746266,,1,231000000,231.0,V1.901,True,296.3260836869311,580.1387591375,227.0383071899414,1,-0.2204533697274796,0.7601692923637963,-16.68378662574842,-36.02309799194336,8270.410907731868,0.7795466302725202
6,6,6,265581,9929,16370,MUNICIPIO DE AMAGA,890981732,ANTIOQUIA,AMAGÁ,Territorial,Centralizada,CO1.REQ.6848483,SASI-006-2024 (Presentación de oferta),702474826,CO1.BDOS.6661044,SUMINISTRO DE ALIMENTACIÒN PARA LOS DETENIDOS DE LA CARCEL;  ESTACIÒN DE POLICIA Y CETRA DEL MUNICIPIO DE AMAGÁ-ANTIOQUIA (Presentación de oferta),"SUMINISTRO DE ALIMENTACIÒN PARA LOS DETENIDOS DE LA CARCEL, ESTACIÒN DE POLICIA Y CETRA DEL MUNICIPIO DE AMAGÁ-ANTIOQUIA",Presentación de oferta,09/16/2024,09/16/2024,,,,,09/16/2024,171000000,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,día(s),,,10/01/2024,Amagá,SECRETARIA DE GOBIERNO Y SERVICIOS ADMINISTRATIVOS  2024,0,0,14,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.2041422,716787155,Antioquia,Amagá,10/02/2024,171000000,ALEJANDRA TANGARIFE ARBOLEDA,Servicios barak S.A.S,901197074,V1.90101600,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6730283,702474826,Adjudicado,2024,3.9155429850746266,,1,171000000,171.00000000000003,V1.901,True,296.3260836869311,580.1387591375,227.0383071899414,1,-0.4229330139541082,0.7360556488432634,-32.00733184762687,-39.28932189941406,6646.1524994136535,0.5770669860458918
7,7,7,198274,7380,12277,MUNICIPIO DE AMAGA,890981732,ANTIOQUIA,AMAGÁ,Territorial,Centralizada,CO1.REQ.5990382,CONV.INTER-148-2024,702474826,CO1.BDOS.5872704,REALIZAR ACCIONES DEL PLAN DE SALUD PÚBLICA DE INTERVENCIONES COLECTIVAS - PIC INCLUIDAS EN EL PLAN DE ACCIÓN EN SALUD - PAS Y QUE VAN EN CUMPLIMIENTO DE LO ESTABLECIDO EN LA RESOLUCIÓN 518 DE 2015 Y,"REALIZAR ACCIONES DEL PLAN DE SALUD PÚBLICA DE INTERVENCIONES COLECTIVAS - PIC INCLUIDAS EN EL PLAN DE ACCIÓN EN SALUD - PAS Y QUE VAN EN CUMPLIMIENTO DE LO ESTABLECIDO EN LA RESOLUCIÓN 518 DE 2015 Y LA RESOLUCIÓN 295 DE 2023, PARA LA VIGENCIA 2024 EN EL MUNICIPIO DE AMAGÁ, ANTIOQUIA",Presentación de oferta,03/21/2024,03/21/2024,,,,,03/21/2024,266563680,Contratación directa,Contratos o convenios Interadministrativos (valor cero),otro,día(s),,,,Amagá,SECRETARIA DE SALUD 2024,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,703357285,Antioquia,No Definido,,0,No Adjudicado,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FERNANDO DE AMAGA,890906346,V1.46201002,Abierto,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5878887,702474826,Adjudicado,2024,3.9155429850746266,,1,266563680,266.56368000000003,V1.462,True,245.3029188380113,480.2470615372529,187.9455184936523,1,0.0866714561029275,0.5423867950728792,5.429837251954851,-20.96035766601562,5610.37353585909,1.0866714561029276
8,8,8,506117,7196,11844,MUNICIPIO DE AMAGA,890981732,ANTIOQUIA,AMAGÁ,Territorial,Centralizada,CO1.REQ.5685551,PSP-036-2024,702474826,CO1.BDOS.5568170,PRESTACION DE SERVICIOS PROFESIONALES COMO CONTRATISTA INDEPENDIENTE SIN VÍNCULO LABORAL POR SU CUENTA Y RIESGO PARA REALIZAR ACTIVIDADES DE COBRO PERSUACIVO Y COACTIVO DE OBLIGACIONES ECONOMICAS A FA,PRESTACION DE SERVICIOS PROFESIONALES COMO CONTRATISTA INDEPENDIENTE SIN VÍNCULO LABORAL POR SU CUENTA Y RIESGO PARA REALIZAR ACTIVIDADES DE COBRO PERSUACIVO Y COACTIVO DE OBLIGACIONES ECONOMICAS A FAVOR DEL MUNICIPIO DE AMAGA- ANTIOQUIA Y OTRAS PROPIAS DE LA GESTIÓN EN LA SECRETARIA DE HACIENDA MUNICIPAL,Presentación de oferta,02/02/2024,02/02/2024,,,,,02/02/2024,64226800,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Amagá,SECRETARIA DE HACIENDA 2024,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,725060362,Antioquia,Medellín,,0,No Adjudicado,PABLO ANDRES NAVALES CATAÑO,8436580,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5576840,702474826,Adjudicado,2024,3.9155429850746266,,1,64226800,64.2268,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,81.0151895213786,2.116784919943179e-13,16.20303790427572,6.849860668182373,4763.401743188463,82.01518952137859
9,9,9,783382,6414,10530,MUNICIPIO DE AMAGA,890981732,ANTIOQUIA,AMAGÁ,Territorial,Centralizada,CO1.REQ.5715259,PSP-053-2024,702474826,CO1.BDOS.5597766,PRESTAR LOS SERVICIOS PROFESIONALES EN CALIDAD DE ABOGADO ESPECIALISTA EN LEGISLACION TRIBUTARIA; ASESORANDO Y ACOMPAÑANDO LA FISCALIZACIÓN DE CONTRIBUYENTES DE INDUSTRIA Y COMERCIO; Y OTRAS RENTAS; H,"PRESTAR LOS SERVICIOS PROFESIONALES EN CALIDAD DE ABOGADO ESPECIALISTA EN LEGISLACION TRIBUTARIA, ASESORANDO Y ACOMPAÑANDO LA FISCALIZACIÓN DE CONTRIBUYENTES DE INDUSTRIA Y COMERCIO, Y OTRAS RENTAS, HASTA LA DETERMINACIÓN DEL DEBIDO COBRAR Y LAS SANCIONES QUE HUBIERA LUGAR, LA ASESORIA PERMANENTE EN LAS NORMAS TRIBUTARIAS MUNICIPALES, Y ADEMAS DE LA FORMALIZACIÓN PREDIAL DEL CENSO CATASTRAL EN EL MUNICIPIO DE AMAGÁ-ANTIOQUIA",Presentación de oferta,02/07/2024,02/07/2024,,,,,02/07/2024,64226800,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Amagá,SECRETARIA DE HACIENDA 2024,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,717022982,Antioquia,Itagui,,0,No Adjudicado,JULIO HERNAN ATENCIA FLOREZ,8430584,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5606438,702474826,Adjudicado,2024,3.9155429850746266,,1,64226800,64.2268,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,81.0151895213786,3.808084546551088e-15,16.20303790427572,8.553057670593262,4654.010849954019,82.01518952137859
