,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
9445,9445,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PEDRO,890982140,ANTIOQUIA,SABANALARGA,Territorial,Centralizada,CO1.REQ.3927613,FRA617-20203,703936484,CO1.BDOS.3832122,OXIGENOS NACIONALES  S.A.S,MANTENIMIENTO CORRECTIVO DEL REGULADOR DE LA RED DE OXIGENO DE LA E.S.E,Presentación de oferta,01/24/2023,01/24/2023,,,,,01/24/2023,"80,000",Contratación régimen especial,Regla aplicable,1,día(s),,,,Sabanalarga,UNIDAD DE CONTRATACION ESE HOSPITAL SAN PEDRO SABANALARGA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81101706,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3832563,"703,936,484",Presentación de oferta,2023,0.00432108451923077,,1,80000,0.01851387068315,V1.811,True,0.2,0.000432108451923077,0.6,1,-0.90743064658425,0.577969117438029,-0.001648433807692308,0.09256935341575
16733,16733,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PEDRO,890982140,ANTIOQUIA,SABANALARGA,Territorial,Centralizada,CO1.REQ.4177771,CC01-2023,703936484,CO1.BDOS.4080208,OSCAR IVAN TORO LOPEZ,SUMINITRO DE INSUMOS PARA JORNADA DE BIENESTAR SOCIAL,Presentación de oferta,02/27/2023,02/27/2023,,,,,02/27/2023,"2,681,000",Contratación régimen especial,Regla aplicable,8,día(s),,,,Sabanalarga,UNIDAD DE CONTRATACION ESE HOSPITAL SAN PEDRO SABANALARGA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.50161500,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4081847,"703,936,484",Presentación de oferta,2023,0.00432108451923077,,1,2681000,0.620446091269066,V1.501,True,36.1907043457031,0.0781915461441377,108.572113037109,1,-0.982856202925967,0.489525038238345,-0.3100851845765508,0.01714379707403322
19850,19850,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PEDRO,890982140,ANTIOQUIA,SABANALARGA,Territorial,Centralizada,CO1.REQ.4195782,CC02-2023,703936484,CO1.BDOS.4099094,JHON EIDER LONDOÑO ARANGO,"Transporte para el talento humano del convenio de Salud Publica durante los mese de noviembre y diciembre de 2022,segun la programación de la coordinadora del proyecto y que hace parte de este documento",Presentación de oferta,03/01/2023,03/01/2023,,,,,03/01/2023,"6,000,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,Sabanalarga,UNIDAD DE CONTRATACION ESE HOSPITAL SAN PEDRO SABANALARGA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.20102301,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4100711,"703,936,484",Presentación de oferta,2023,0.00432108451923077,,1,6000000,1.38854030123625,V1.201,True,0.2,0.000432108451923077,0.6,0,5.94270150618126,0.0002996994879055,0.004271566192307682,6.94270150618125
35728,35728,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE SABANALARGA S.A E.S.P,900262356,ANTIOQUIA,SABANALARGA,Territorial,Centralizada,CO1.REQ.4267767,contrato sum-002-2023,705402667,CO1.BDOS.4170238,Suministro de materiales para el debido funcionamiento del vehículo recolector y compactador de basura,No definido,Presentación de oferta,03/14/2023,03/14/2023,,,,,03/14/2023,"13,500,000",Contratación régimen especial (con ofertas),Regla aplicable,4,Mes(es),03/16/2023,03/16/2023,03/16/2023,Sabanalarga,empresa de servicios publicos sabanalarga,0,0,1,0,1,0,0,1,4,Seleccionado,70,Si,CO1.AWD.1573310,720227339,Antioquia,Sabanalarga,03/22/2023,"13,121,500",Pablo Arturo Correa Uran,LUIS CARLOS TABORDA RESTREPO,98463201,V1.15101505,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4172358,"705,402,667",Adjudicado,2023,0.00432108451923077,,1,13500000,3.12421567778157,V1.151,True,12.9533967971802,0.0279863611858744,38.8601903915405,1,-0.758811088187951,0.748131723796447,-0.09844544474349759,0.24118891181204874
44216,44216,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PEDRO,890982140,ANTIOQUIA,SABANALARGA,Territorial,Centralizada,CO1.REQ.5296656,FRA7-2023,703936484,CO1.BDOS.5167207,JHON MARIO VILLA PEREZ,"TRANSPORTE PARA EL TALENTO HUMANO DEL CONVENIO DE SALUD PUBLICA, SEGUN LA PROGRAMACION DEL COORDINADOR DEL PROYECTO PARA EL MES DE SEPTIEMBRE DE 2023 .",Presentación de oferta,11/17/2023,11/17/2023,,,,,11/17/2023,"4,600,000",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Sabanalarga,UNIDAD DE CONTRATACION ESE HOSPITAL SAN PEDRO SABANALARGA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,UNSPECIFIED,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5192652,"703,936,484",Presentación de oferta,2023,0.00432108451923077,,1,4600000,1.06454756428113,UNSPEC,True,31.6470069885254,0.06837469598905255,94.9410209655762,1,-0.966361824842801,0.508381881594804,-0.2688987839562102,0.03363817515719937
51486,51486,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PEDRO,890982140,ANTIOQUIA,SABANALARGA,Territorial,Centralizada,CO1.REQ.3901349,CS01-2023,703936484,CO1.BDOS.3786834,Suministro de medicamentos y Material médico Quirúrgico por parte de COHAN  al Hospital; según las necesidades y requerimientos de la E.S.E. Hospital San Pedro.,"Suministro de medicamentos y Material médico Quirúrgico por parte de COHAN  al Hospital, según las necesidades y requerimientos de la E.S.E. Hospital San Pedro.",Presentación de oferta,01/20/2023,01/20/2023,,,,,01/20/2023,"130,000,000",Contratación régimen especial,Regla aplicable,338,día(s),,,,Sabanalarga,UNIDAD DE CONTRATACION ESE HOSPITAL SAN PEDRO SABANALARGA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.51121700,Abierto,Suministros,No Definido,V142132200,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3807193,"703,936,484",Adjudicado,2023,0.00432108451923077,,1,130000000,30.0850398601188,V1.511,True,51.6987037658691,0.11169723425349723,155.096111297607,1,-0.418069745106828,0.776587283273423,-0.3167889370139889,0.5819302548931721
84565,84565,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PEDRO,890982140,ANTIOQUIA,SABANALARGA,Territorial,Centralizada,CO1.REQ.5472424,CC08-2023,703936484,CO1.BDOS.5354215,JHON MARIO VILLA PEREZ,"TRANSPORTE PERA  EL TALENTO HUMANO DEL CONVENIO DE SALUD PUBLICA, SEGUN LA PROGRAMACION DEL  COORDINADOR DEL PROYECTO PARA EL MES DE OCTUBRE Y NOVIEMBRE DE 2023.",Presentación de oferta,12/29/2023,12/29/2023,,,,,12/29/2023,"6,800,000",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Sabanalarga,UNIDAD DE CONTRATACION ESE HOSPITAL SAN PEDRO SABANALARGA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.20102301,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5367935,"703,936,484",Presentación de oferta,2023,0.00432108451923077,,1,6800000,1.57367900806775,V1.201,True,42.0719261169434,0.09089817431907242,126.21577835083,1,-0.962595508375501,0.512734514306304,-0.35679269727628965,0.037404491624499
89006,89006,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PEDRO,890982140,ANTIOQUIA,SABANALARGA,Territorial,Centralizada,CO1.REQ.3787540,FRA2614-2022,703936484,CO1.BDOS.3691565,SUMINISTRO DE LLANTAS PARA EL VEHICULO ADMINISTRATIVO PKC 333 DE  LA ESE HOSPITAL SAN PEDRO,SUMINISTRO DE LLANTAS PARA EL VEHICULO ADMINISTRATIVO PKC 333 DE  LA ESE HOSPITAL SAN PEDRO,Presentación de oferta,01/02/2023,01/02/2023,,,,,01/02/2023,"3,400,000",Contratación régimen especial,Regla aplicable,1,día(s),,,,Sabanalarga,UNIDAD DE CONTRATACION ESE HOSPITAL SAN PEDRO SABANALARGA,0,0,0,0,0,0,0,0,0,Seleccionado,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.20102307,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3698392,"703,936,484",Adjudicado,2023,0.00432108451923077,,1,3400000,0.786839504033876,V1.201,True,29.2035217285156,0.06309544282405409,87.6105651855469,1,-0.973056691198118,0.500686575232226,-0.24898177129621632,0.026943308801882324
93622,93622,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE SABANALARGA S.A E.S.P,900262356,ANTIOQUIA,SABANALARGA,Territorial,Centralizada,CO1.REQ.4550727,contrato-ps-015-2023,705402667,CO1.BDOS.4448924,apoyo pgirs,EL CONTRATISTA SE ENCARGARÁ DE DAR APOYO EN LAS ACCIONES PERTINENTES A LA EJECUCIÓN Y SEGUIMIENTO DEL  PGIRS MUNICIPAL Y EMPRESARIAL QUE ESTÁN AMPARADAS POR EL CONVENIO INTERAMINISTRATIVO N.CONV 005- 2023   FIRMADO ENTRE EL MUNICIPIO DE SABANALARGA Y LA EMPRESA DE SERVICIOS PÚBLICOS DE SABANALARGA,Presentación de oferta,05/19/2023,05/19/2023,,,,,05/19/2023,"21,600,000",Contratación régimen especial,Regla aplicable,228,día(s),,,,Sabanalarga,empresa de servicios publicos sabanalarga,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.77101604,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4452746,"705,402,667",Presentación de oferta,2023,0.00432108451923077,,1,21600000,4.99874508445051,V1.771,True,0.0794089287519455,0.00017156634635936543,0.238226786255836,0,61.9494083727712,1.14384760889893e-07,0.020913734614562543,62.94940837277121
95409,95409,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PEDRO,890982140,ANTIOQUIA,SABANALARGA,Territorial,Centralizada,CO1.REQ.4347447,CPS017-2023,703936484,CO1.BDOS.4248235,SANDRA MARÍA LÓPEZ FERREIRO,"Prestar servicios profesionales como Médico General en las áreas asistenciales, según las necesidades y requerimientos de la E.S.E. HOSPITAL SAN PEDRO.",Presentación de oferta,04/02/2023,04/02/2023,,,,,04/01/2023,"14,000,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,Sabanalarga,UNIDAD DE CONTRATACION ESE HOSPITAL SAN PEDRO SABANALARGA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4252873,"703,936,484",Presentación de oferta,2023,0.00432108451923077,,1,14000000,3.23992736955126,V1.851,True,0.2,0.000432108451923077,0.6,0,15.1996368477563,1.39264630421178e-05,0.01227156619230771,16.1996368477563
