,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
475235,2182,3580,MUNICIPIO SANTA ROSA DE OSOS,890981554,ANTIOQUIA,SANTA ROSA DE OSOS,Territorial,Centralizada,CO1.REQ.6106235,CPSA SG 105 2024,704959766,CO1.BDOS.5986845,PRESTACION DE SERVICIOS ARTISTICOS PARA LA REALIZACIÓN DE TODAS LAS ACTIVIDADES CULTURALES; DEPORTIVAS; RECREATIVAS Y DE DESARROLLO ECONÓMICO QUE HACEN PARTE DE LA COSTUMBRE Y LA TRADICIÓN EN EL MARCO,"PRESTACION DE SERVICIOS ARTISTICOS PARA LA REALIZACIÓN DE TODAS LAS ACTIVIDADES CULTURALES, DEPORTIVAS, RECREATIVAS Y DE DESARROLLO ECONÓMICO QUE HACEN PARTE DE LA COSTUMBRE Y LA TRADICIÓN EN EL MARCO DE LAS XXVII FIESTAS DEL ATARDECER 2024, EN EL MUNICIPIO DE SANTA ROSA DE OSOS, ANTIOQUIA.",Presentación de oferta,04/17/2024,04/17/2024,,,,,04/17/2024,1425000000,Contratación directa,Ejecución de trabajos artísticos,otro,día(s),,,,Santa Rosa De Osos,Gestión Contractual,0,0,0,0,0,0,0,0,0,Seleccionado,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.30241601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5994400,704959766,Adjudicado,2024,3.9155429850746266,,1,1425000000,1424.9999999999998,V1.302,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,1818.670995098066,3.985390063728996e-23,363.7341990196133,5.115377902984619,2584316.7545029907,1819.6709950980662
574890,11620,19184,MUNICIPIO SANTA ROSA DE OSOS,890981554,ANTIOQUIA,SANTA ROSA DE OSOS,Territorial,Centralizada,CO1.REQ.6106606,CPSA SG 105 2024 FIESTAS,704959766,CO1.BDOS.5987339,PRESTACION DE SERVICIOS ARTISTICOS PARA LA REALIZACIÓN DE TODAS LAS ACTIVIDADES CULTURALES; DEPORTIVAS; RECREATIVAS Y DE DESARROLLO ECONÓMICO QUE HACEN PARTE DE LA COSTUMBRE Y LA TRADICIÓN EN EL MARCO,"PRESTACION DE SERVICIOS ARTISTICOS PARA LA REALIZACIÓN DE TODAS LAS ACTIVIDADES CULTURALES, DEPORTIVAS, RECREATIVAS Y DE DESARROLLO ECONÓMICO QUE HACEN PARTE DE LA COSTUMBRE Y LA TRADICIÓN EN EL MARCO DE LAS XXVII FIESTAS DEL ATARDECER 2024, EN EL MUNICIPIO DE SANTA ROSA DE OSOS, ANTIOQUIA.",Presentación de oferta,04/17/2024,04/17/2024,,,,,04/17/2024,1425000000,Contratación directa,Ejecución de trabajos artísticos,otro,día(s),,,,Santa Rosa De Osos,Gestión Contractual,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,715643565,Antioquia,Medellín,,0,No Adjudicado,PROPCOL S.A.S,900886849,V1.30241601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5994966,704959766,Adjudicado,2024,3.9155429850746266,,1,1425000000,1424.9999999999998,V1.302,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,1818.670995098066,5.128355118771828e-24,363.7341990196133,19.72417640686035,2563499.216634968,1819.6709950980662
316480,9810,16228,MUNICIPIO SANTA ROSA DE OSOS,890981554,ANTIOQUIA,SANTA ROSA DE OSOS,Territorial,Centralizada,CO1.REQ.6388315,COINTER SI 016 2024,704959766,CO1.BDOS.6264688,CONTRATO INTERADMINISTRATIVO DE MANDATO SIN REPRESENTACIÓN POR ADMINISTRACIÓN DELEGADA PARA LA EJECUCIÓN DEL CONVENIO INTERADMINISTRATIVO DE ASOCIACIÓN NRO. 23AS113D1288 SUSCRITO ENTRE EL DEPARTAMENTO,"CONTRATO INTERADMINISTRATIVO DE MANDATO SIN REPRESENTACIÓN POR ADMINISTRACIÓN DELEGADA PARA LA EJECUCIÓN DEL CONVENIO INTERADMINISTRATIVO DE ASOCIACIÓN NRO. 23AS113D1288 SUSCRITO ENTRE EL DEPARTAMENTO DE ANTIOQUIA- GERENCIA DE SERVICIOS PÚBLICOS Y EL MUNICIPIO DE SANTA ROSA DE OSOS- ANTIOQUIA, POR MEDIO DEL CUAL SE PERMITE EJECUTAR EL  PROYECTO DERIVADO DEL PLAN PARA EL MANEJO EMPRESARIAL PARA LOS SERVICIOS DE AGUA Y SANEAMIENTO-PDA QUE CONLLEVA A LA CONSTRUCCIÓN DEL PLAN MAESTRO DE ACUEDUCTO Y",Presentación de oferta,06/17/2024,06/17/2024,,,,,06/17/2024,5591821721,Contratación directa,Contratos o convenios Interadministrativos (valor cero),otro,Mes(es),,,,Santa Rosa De Osos,Gestión Contractual,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,714595287,Antioquia,Santa Rosa De Osos,,0,No Adjudicado,EMPRESA DE DESARROLLO URBANO DEL NORTE DE ANTIOQUIA,901442761,V1.72103300,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6275048,704959766,Adjudicado,2024,3.9155429850746266,,1,5591821721,5591.821721,V1.721,True,58.10640457358291,113.75906240800037,44.51980590820314,0,95.23417181007665,2.088528741161182e-14,1413.268948271028,24.94760322570801,393029.9609046288,96.23417181007663
655164,2635,4362,EDUNA (COMPRADOR),9014427611,ANTIOQUIA,SANTA ROSA DE OSOS,Nacional,Centralizada,CO1.REQ.5903591,CD-023-2024-CPS,718564644,CO1.BDOS.5786743,PRESTACIÓN DE SERVICIOS LOGÍSTICOS EN LAS DIFERENTES ACTIVIDADES QUE DESARROLLE EL MUNICIPIO DE SANTA ROSA DE OSOS,PRESTACIÓN DE SERVICIOS LOGÍSTICOS EN LAS DIFERENTES ACTIVIDADES QUE DESARROLLE EL MUNICIPIO DE SANTA ROSA DE OSOS - ANTIOQUIA ACORDE AL CONTRATO INTERADMINISTRATIVO DE MANDATO SIN REPRESENTACIÓN POR ADMINISTRACIÓN DELEGADA No. COINTER SG 004 2024 CELEBRADO ENTRE EL MUNICIPIO DE SANTA ROSA DE OSOS Y LA EMPRESA DE DESARROLLO URBANO DEL NORTE DE ANTIOQUIA - EDUNA,Presentación de oferta,03/06/2024,03/06/2024,,,,,03/06/2024,380237800,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Santa Rosa De Osos,CONTRATACIÓN EDUNA,0,0,0,0,0,0,0,0,0,Seleccionado,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81141601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5793852,718564644,Adjudicado,2024,3.9155429850746266,,1,380237800,380.2378,V1.811,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,484.5492602806312,8.904071032267182e-19,96.90985205612624,-7.917525291442871,187254.48711899717,485.54926028063124
229504,79,135,EDUNA (COMPRADOR),9014427611,ANTIOQUIA,SANTA ROSA DE OSOS,Nacional,Centralizada,CO1.REQ.5905288,CD-023-2024-CPS.,718564644,CO1.BDOS.5788175,PRESTACIÓN DE SERVICIOS LOGÍSTICOS EN LAS DIFERENTES ACTIVIDADES QUE DESARROLLE EL MUNICIPIO DE SANTA ROSA DE OSOS,PRESTACIÓN DE SERVICIOS LOGÍSTICOS EN LAS DIFERENTES ACTIVIDADES QUE DESARROLLE EL MUNICIPIO DE SANTA ROSA DE OSOS - ANTIOQUIA ACORDE AL CONTRATO INTERADMINISTRATIVO DE MANDATO SIN REPRESENTACIÓN POR ADMINISTRACIÓN DELEGADA No. COINTER SG 004 2024 CELEBRADO ENTRE EL MUNICIPIO DE SANTA ROSA DE OSOS Y LA EMPRESA DE DESARROLLO URBANO DEL NORTE DE ANTIOQUIA - EDUNA,Presentación de oferta,03/07/2024,03/07/2024,,,,,03/07/2024,380237800,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Santa Rosa De Osos,CONTRATACIÓN EDUNA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,725638522,Antioquia,Medellín,,0,No Adjudicado,MAYIS HERRERA EVENTOS SAS,901371752,V1.81141601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5796628,718564644,Adjudicado,2024,3.9155429850746266,,1,380237800,380.2378,V1.811,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,484.5492602806312,7.23555526155274e-19,96.90985205612624,-4.026808738708496,185775.08961656186,485.54926028063124
748898,6567,10691,EDUNA (COMPRADOR),9014427611,ANTIOQUIA,SANTA ROSA DE OSOS,Nacional,Centralizada,CO1.REQ.5687123,IPRIV-002-2024-COP,718564644,CO1.BDOS.5570023,CONSTRUCCIÓN DE OBRAS DE CONTENCIÓN Y OBRAS COMPLEMENTARIAS PARA LA REDUCCIÓN DEL RIESGO EN EL SECTOR DE LA BASÍLICA,CONSTRUCCIÓN DE OBRAS DE CONTENCIÓN Y OBRAS COMPLEMENTARIAS PARA LA REDUCCIÓN DEL RIESGO EN EL SECTOR DE LA BASÍLICA NUESTRA SEÑORA DE LAS MISERICORDIAS ACORDE AL CONTRATO INTERADMINISTRATIVO DE MANDATO SIN REPRESENTACIÓN POR ADMINISTRACIÓN DELEGADA No. COINTER SI 001 2024 CELEBRADO ENTRE EL MUNICIPIO DE SANTA ROSA DE OSOS Y LA EMPRESA DE DESARROLLO URBANO DEL NORTE DE ANTIOQUIA - EDUNA,Presentación de oferta,02/02/2024,02/02/2024,,,,,02/02/2024,1499321125,Contratación régimen especial (con ofertas),Regla aplicable,otro,día(s),02/06/2024,02/06/2024,02/06/2024,Santa Rosa De Osos,CONTRATACIÓN EDUNA,0,0,67,0,3,0,0,3,0,Seleccionado,70,Si,CO1.AWD.1846208,705366409,Antioquia,Medellín,02/09/2024,1499321125,CARLOS GUILLERMO ATEHORTUA QUICENO,LEONARDO FAVIO CORREA ROLDAN,15326333,V1.72152700,Cerrado,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5578261,718564644,Adjudicado,2024,3.9155429850746266,,1,1499321125,1499.3211249999997,V1.721,True,456.31576991138303,893.3620059277216,349.6187667846681,0,2.285709642012086,0.0016203984663771,266.3756620893636,-78.16246032714844,120617.64070235293,3.285709642012086
183160,4781,7896,MUNICIPIO SANTA ROSA DE OSOS,890981554,ANTIOQUIA,SANTA ROSA DE OSOS,Territorial,Centralizada,CO1.REQ.5648010,ESAL SEYC 001 2024 PAE,704959766,CO1.BDOS.5530403,INTEGRAR ESFUERZOS PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE; PARA LOS NIÑOS; NIÑAS Y ADOLESCENTES DE LA MATRÍCULA OFICIAL DEL MUNICIPIO DE SANTA ROSA DE OSOS - ANTIOQUIA; PARA LA V,"INTEGRAR ESFUERZOS PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRÍCULA OFICIAL DEL MUNICIPIO DE SANTA ROSA DE OSOS - ANTIOQUIA, PARA LA VIGENCIA 2024-1",Presentación de oferta,01/29/2024,01/29/2024,,,,,01/29/2024,1519470032,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),01/31/2024,02/01/2024,02/01/2024,Santa Rosa De Osos,Gestión Contractual,0,0,9,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.1841007,702992595,Antioquia,El Carmen De Viboral,02/05/2024,1519470032,ERICA MARIA RESTREPO ZAPATA,FUNDACOPPP,900495908,V1.85151600,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5539089,704959766,Adjudicado,2024,3.9155429850746266,,1,1519470032,1519.4700320000002,V1.851,True,653.2121791826754,1278.8401829820173,500.476318359375,1,1.326150798200395,0.0208758464331552,221.2356896908934,-72.02458190917969,111454.24017410628,2.3261507982003953
409576,353,574,EDUNA (COMPRADOR),9014427611,ANTIOQUIA,SANTA ROSA DE OSOS,Nacional,Centralizada,CO1.REQ.6456213,IPRIV-008-2024-COP,718564644,CO1.BDOS.6331553,ADECUACIÓN; MANTENIMIENTO Y MEJORAMIENTO DE LA MALLA VIAL Y OBRAS COMPLEMENTARIAS  MUNICIPIO DE SANTA ROSA DE OSOS- ANTIOQUIA,"ADECUACIÓN, MANTENIMIENTO Y MEJORAMIENTO DE LA MALLA VIAL Y OBRAS COMPLEMENTARIAS ACORDE AL CONTRATO INTERADMINISTRATIVO NO. COINTER SI 019 2024 CELEBRADO ENTRE LA EMPRESA DE DESARROLLO URBANO DEL NORTE DE ANTIOQUIA - EDUNA Y EL MUNICIPIO DE SANTA ROSA DE OSOS- ANTIOQUIA",Presentación de oferta,07/02/2024,07/02/2024,,,,,07/02/2024,821568173,Contratación régimen especial (con ofertas),Regla aplicable,otro,día(s),07/05/2024,07/05/2024,07/05/2024,Santa Rosa De Osos,CONTRATACIÓN EDUNA,0,0,20,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.1973452,715604609,Antioquia,Medellín,07/09/2024,819461284,CARLOS GUILLERMO ATEHORTUA QUICENO,GRUPO INGENIERIL DE INFRAESTRUCTURA Y INTERVENTORIA SAS,901504689,V1.30121600,Cerrado,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6341667,718564644,Adjudicado,2024,3.9155429850746266,,1,821568173,821.5681729999998,V1.301,True,964.5348295452379,1888.3387928430036,739.0046539306641,1,-0.1482234255995136,0.7277947665601702,-36.51260044652869,-118.160530090332,96955.15517805997,0.8517765744004864
799177,9245,15273,MUNICIPIO SANTA ROSA DE OSOS,890981554,ANTIOQUIA,SANTA ROSA DE OSOS,Territorial,Centralizada,CO1.REQ.6290410,COINTER SEYC 011 2024,704959766,CO1.BDOS.6168079,CONTRATO INTERADMINISTRATIVO DE MANDATO SIN REPRESENTACIÓN POR ADMINISTRACIÓN DELEGADA PARA LA PRESTACIÓN DE SERVICIOS LOGÍSTICOS EN LA REALIZACIÓN DE ACTIVIDADES DE LA SECRETARIA DE DEPORTE Y LA OFIC,CONTRATO INTERADMINISTRATIVO DE MANDATO SIN REPRESENTACIÓN POR ADMINISTRACIÓN DELEGADA PARA LA PRESTACIÓN DE SERVICIOS LOGÍSTICOS EN LA REALIZACIÓN DE ACTIVIDADES DE LA SECRETARIA DE DEPORTE Y LA OFICINA DE CULTURA DEL MUNICIPIO DE SANTA ROSA DE OSOS - ANTIOQUIA,Presentación de oferta,05/24/2024,05/24/2024,,,,,05/24/2024,260181511,Contratación directa,Contratos o convenios Interadministrativos (valor cero),otro,Mes(es),,,,Santa Rosa De Osos,Gestión Contractual,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,714595287,Antioquia,Santa Rosa De Osos,,0,No Adjudicado,EMPRESA DE DESARROLLO URBANO DEL NORTE DE ANTIOQUIA,901442761,V1.93141700,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6176930,704959766,Adjudicado,2024,3.9155429850746266,,1,260181511,260.181511,V1.931,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,331.2419291420972,2.062281526760042e-18,66.24838582841944,59.51255035400391,70698.96035617746,332.2419291420972
439854,5072,8544,EDUNA (COMPRADOR),9014427611,ANTIOQUIA,SANTA ROSA DE OSOS,Nacional,Centralizada,CO1.REQ.6750552,IPRIV-011-2024-COP,718564644,CO1.BDOS.6623416,CONSTRUCCION DE PAVIMENTO RIGIDO EN VIAS DE LOS BARRIOS CAMPUZANO Y VILLA SUAREZ CAUCASIA,"CONSTRUCCION DE PAVIMENTO RIGIDO EN VIAS DE LOS BARRIOS CAMPUZANO Y VILLA SUAREZ, ZONA URBANA DEL MUNICIPIO DE CAUCASIA, ANTIOQUIA.",Presentación de oferta,08/30/2024,08/30/2024,,,,,08/30/2024,1722120372,Contratación régimen especial (con ofertas),Regla aplicable,otro,Mes(es),09/03/2024,09/03/2024,09/03/2024,Santa Rosa De Osos,CONTRATACIÓN EDUNA,0,0,26,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.2023912,708958301,Antioquia,Caucasia,09/05/2024,1721920372,CARLOS GUILLERMO ATEHORTUA QUICENO,ECO SOCIAL ASESORIA SUMINISTRO Y CONSTRUCION S.A.S,830514278,V1.72101500,Cerrado,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6632787,718564644,Adjudicado,2024,3.9155429850746266,,1,1722120372,1722.1203719999999,V1.721,True,651.6741264625709,1275.8290272125773,499.2978973388673,1,1.642609706400413,0.0086314601363143,273.3838575180467,-36.79260635375977,66190.06857942343,2.6426097064004126
