,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
146134,5977,9806,EDU ANTIOQUIA,901829766,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Territorial,Centralizada,CO1.REQ.6347152,CD-02-2024,726719065,CO1.BDOS.6223757,MANTENIMIENTO Y MEJORAMIENTO DE LAS VÍAS URBANAS DEL MUNICIPIO DE SANTA FE DE ANTIOQUIA,CONTRATO DE OBRA PARA EL MANTENIMIENTO Y MEJORAMIENTO DE LAS VÍAS URBANAS DEL MUNICIPIO DE SANTA FE DE ANTIOQUIA,Presentación de oferta,06/06/2024,06/06/2024,,,,,06/06/2024,1075114845,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Santafé De Antioquia,UNIDAD CONTRATACION EDUANTIOQUIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,713806966,Antioquia,Medellín,,0,No Adjudicado,CONSTRUCTORA ICONIKA SAS,901437084,V1.80101600,Abierto,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6232901,726719065,Adjudicado,2024,3.9155429850746266,,1,1075114845,1075.1148450000003,V1.801,True,54.238165835920874,106.18593488107713,41.55604934692383,0,18.82210918142761,2.383331559054708e-09,260.7241659855312,-34.09808731079102,56895.2888491012,19.822109181427606
511840,244,403,EDU ANTIOQUIA,901829766,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Territorial,Centralizada,CO1.REQ.6661144,CD-09-2024,726719065,CO1.BDOS.6534849,MANTENIMIENTO Y RECUPERACIÓN DE LA VÍA TERCIARIA SANTA FE DE ANTIOQUIA - VEREDA EL TUNAL DEL MUNICIPIO DE SANTA FE DE ANTIOQUIA,MANTENIMIENTO Y RECUPERACIÓN DE LA VÍA TERCIARIA SANTA FE DE ANTIOQUIA - VEREDA EL TUNAL DEL MUNICIPIO DE SANTA FE DE ANTIOQUIA,Presentación de oferta,08/13/2024,08/13/2024,,,,,08/13/2024,725570164,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Santafé De Antioquia,UNIDAD CONTRATACION EDUANTIOQUIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,701212169,Antioquia,Medellín,,0,No Adjudicado,ACERO MAS CONCRETO SAS,900693827,V1.72101500,Abierto,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6545112,726719065,Adjudicado,2024,3.9155429850746266,,1,725570164,725.5701640000002,V1.721,True,289.5310906836347,566.8357155436557,221.8321380615234,1,1.506018135347051,0.0130384821766546,111.3610743078217,-17.34002113342285,13674.123802991822,2.506018135347051
95664,6394,10394,EDU ANTIOQUIA,901829766,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Territorial,Centralizada,CO1.REQ.6674277,CD-010-2024,726719065,CO1.BDOS.6548055,INTERVENTORIA ADMINISTRATIVA TECNICA AMBIENTAL; JURÍDICA; CONTABLE Y FINANCIERA DEL CONTRATO CD 09-2024 CONTRATO DE OBRA PARA MANTENIMIENTO Y RECUPERACIÓN DE LA VÍA TERCIARIA SANTA FE DE ANTIOQUIA - V,"INTERVENTORIA ADMINISTRATIVA TECNICA AMBIENTAL, JURÍDICA,
CONTABLE Y FINANCIERA DEL CONTRATO CD 09-2024 CONTRATO DE OBRA
PARA MANTENIMIENTO Y RECUPERACIÓN DE LA VÍA TERCIARIA SANTA FE
DE ANTIOQUIA - VEREDA EL TUNAL DEL MUNICIPIO DE SANTA FE DE
ANTIOQUIA",Presentación de oferta,08/15/2024,08/15/2024,,,,,08/15/2024,74450565,Contratación régimen especial,Regla aplicable,otro,Mes(es),,,,Santafé De Antioquia,UNIDAD CONTRATACION EDUANTIOQUIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,727266199,Antioquia,Santafé De Antioquia,,0,No Adjudicado,TR SUMINISTROS Y LOGISTICA S.A.S,901775264,V1.80101500,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6558578,726719065,Adjudicado,2024,3.9155429850746266,,1,74450565,74.45056499999998,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,94.0705499643251,4.5140521368962487e-14,18.81410999286502,-29.4856128692627,9198.82613219261,95.07054996432508
365322,7511,12375,EDU ANTIOQUIA,901829766,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Territorial,Centralizada,CO1.REQ.6429819,CD-004-2024,726719065,CO1.BDOS.6304793,ESTUDIOS Y DISEÑOS DE INGENIERÍA PARA LA CONSTRUCCIÓN DE OBRAS CIVILES EN EL MUNICIPIO DE SANTA FE DE ANTIOQUIA.,ESTUDIOS Y DISEÑOS DE INGENIERÍA PARA LA CONSTRUCCIÓN DE OBRAS CIVILES EN EL MUNICIPIO DE SANTA FE DE ANTIOQUIA.,Presentación de oferta,06/26/2024,06/26/2024,,,,,06/26/2024,66666667,Contratación régimen especial,Regla aplicable,otro,Mes(es),,,,Santafé De Antioquia,UNIDAD CONTRATACION EDUANTIOQUIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,727266199,Antioquia,Santafé De Antioquia,,0,No Adjudicado,TR SUMINISTROS Y LOGISTICA S.A.S,901775264,V1.80101500,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6315234,726719065,Adjudicado,2024,3.9155429850746266,,1,66666667,66.66666700000002,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,84.1308072138677,1.149646836427396e-13,16.82616144277354,-33.27552032470703,7827.088541707093,85.13080721386768
181499,3120,5080,EDU ANTIOQUIA,901829766,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Territorial,Centralizada,CO1.REQ.6657311,CPS-06-2024,726719065,CO1.BDOS.6530967,PRESTACIÓN DE SERVICIOS DE APOYO LOGISTICO PARA LAS DIFERENTES ACTIVIDADES Y EVENTOS QUE SE DESARROLLEN CON LOS ADULTOS MAYORES DEL MUNICIPIO DE SANTA FE DE ANTIOQUIA,PRESTACIÓN DE SERVICIOS DE APOYO LOGISTICO PARA LAS DIFERENTES ACTIVIDADES Y EVENTOS QUE SE DESARROLLEN CON LOS ADULTOS MAYORES DEL MUNICIPIO DE SANTA FE DE ANTIOQUIA,Presentación de oferta,08/13/2024,08/13/2024,,,,,08/13/2024,68383444,Contratación régimen especial,Regla aplicable,otro,Mes(es),,,,Santafé De Antioquia,UNIDAD CONTRATACION EDUANTIOQUIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,726638026,Antioquia,Santafé De Antioquia,,0,No Adjudicado,R&E SOLUCIONES,901826424,V1.20102301,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6540599,726719065,Adjudicado,2024,3.9155429850746266,,1,68383444,68.38344399999998,V1.201,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,86.3230663801494,1.4618322604821372e-13,17.26461327602988,-6.756946086883545,6365.1318200586475,87.32306638014938
452224,4507,7553,CONCEJO MUNICIPAL DE SANTA FE DE ANTIOQUIA,890907569,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Territorial,Centralizada,CO1.REQ.5863215,004-2024,720310242,CO1.BDOS.5745984,CONTRATO DE PRESTACION DE SERVICIOS LOGISTICOS,"Prestación de servicios logísticos para llevar a cabo una capacitación en 
la ciudad de Cancún dentro de la ejecución del plan de capacitación del concejo
Municipal de Santa Fe de Antioquia.",Presentación de oferta,02/29/2024,02/29/2024,,,,,02/29/2024,68500000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,Mes(es),,,,Santafé De Antioquia,CONCEJO MUNICIPAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,723897864,Distrito Capital de Bogotá,Bogotá,,0,No Adjudicado,"Federación Colombiana de Autoridades, Funcionarios y Servidores Públicos",9017416820,V1.80141600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5754657,720310242,Adjudicado,2024,3.9155429850746266,,1,68500000,68.49999999999999,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,86.4719039748895,4.6039313991387345e-14,17.2943807949779,-2.831843852996826,6117.306726210212,87.47190397488949
529201,4537,7490,EDU ANTIOQUIA,901829766,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Territorial,Centralizada,CO1.REQ.6468141,CD-005-2024,726719065,CO1.BDOS.6343559,CONTRATO DE OBRA PARA EL MANTENIMIENTO DE LA INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE SANTA FE DE ANTIOQUIA,CONTRATO DE OBRA PARA EL MANTENIMIENTO DE LA INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE SANTA FE DE ANTIOQUIA,Presentación de oferta,07/04/2024,07/04/2024,,,,,07/04/2024,202222222,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Santafé De Antioquia,UNIDAD CONTRATACION EDUANTIOQUIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,720345560,Valle del Cauca,Cali,,0,No Adjudicado,SOPORTE IT COLOMBIA SAS,901389702,V1.80101500,Abierto,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6354255,726719065,Adjudicado,2024,3.9155429850746266,,1,202222222,202.222222,V1.801,True,251.1525737236114,491.6993491134623,192.4273910522461,1,-0.1948232144236687,0.7421670523583207,-12.49644095598629,-28.9834156036377,5821.69312119915,0.8051767855763313
300637,6790,11164,SENA REGIONAL ANTIOQUIA Grupo Administrativo CTTAOA?,899999034,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Nacional,Centralizada,CO1.REQ.5591373,PSP-ANT-CTTYAO-00031-2024,704160670,CO1.BDOS.5474318,SERGIO MAURICIO OSORIO OSPINA,"5_9549_184 Prestar servicios profesionales temporales para apoyar las acciones de articulación de los servicios dirigidos a la atención de la  población rural y campesina a nivel municipal y departamental en lo  referente a la formación para el trabajo en emprendimiento y asesoría técnica y empresarial teniendo en cuenta las consideraciones operativas 
para la implementación del programa.",Presentación de oferta,01/22/2024,01/22/2024,,,,,01/22/2024,58586667,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Santafé De Antioquia,CTTYAOA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,714855160,Antioquia,Cañasgordas,,0,No Adjudicado,Sergio Mauricio Osorio Ospina,1035302037,V1.80111601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5486342,704160670,Adjudicado,2024,3.9155429850746266,,1,58586667,58.58666700000002,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,73.81295343113621,2.551761867946049e-13,14.76259068622724,-23.61101341247559,5707.745503285727,74.8129534311362
235567,6142,10003,SENA REGIONAL ANTIOQUIA Grupo Administrativo CTTAOA?,899999034,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Nacional,Centralizada,CO1.REQ.5629360,PSP-ANT-CTTYAO-00070-2024,704160670,CO1.BDOS.5512036,KATHERINE MEZA GARCIA,Prestar servicios personales de carácter temporal como instructor de la red de conocimiento gestión administrativa y financiera en el área de ISO 9001 planificación de un sistema de gestión de calidad en el Complejo Tecnológico Turístico y Agroindustrial del Occidente Antioqueno.,Presentación de oferta,01/27/2024,01/27/2024,,,,,01/27/2024,47483629,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Santafé De Antioquia,CTTYAOA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,708831227,Antioquia,Sabaneta,,0,No Adjudicado,KATHERINE MEZA GARCIA,44001563,V1.86121701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5526860,704160670,Adjudicado,2024,3.9155429850746266,,1,47483629,47.483628999999986,V1.861,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,59.63479469003325,1.376388580687508e-12,11.92695893800665,-24.47013473510742,3993.607265894562,60.634794690033246
63404,12302,20306,SENA REGIONAL ANTIOQUIA Grupo Administrativo CTTAOA?,899999034,ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,Nacional,Centralizada,CO1.REQ.5559643,PSP-ANT-CTTYAO-00017-2024,704160670,CO1.BDOS.5442226,JHON ALEXANDER TORRES MONCADA,"5_9549_232 Prestar servicios profesionales para la gestión de los procesos de planeación, ejecución y evaluación de las diferentes estrategias de investigación aplicada, desarrollo tecnológico e innovación de SENNOVA que tengan lugar en el Centro de Formación",Presentación de oferta,01/17/2024,01/17/2024,,,,,01/17/2024,68600000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Santafé De Antioquia,CTTYAOA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,708330972,Antioquia,Medellín,,0,No Adjudicado,John Alexander Torres moncada,1128264588,V1.80111601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5452554,704160670,Adjudicado,2024,3.9155429850746266,,1,68600000,68.60000000000001,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,86.59960018507185,2.7444215965329774e-14,17.31992003701437,40.75765228271484,3144.7576261016916,87.59960018507184
