,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
14333,1532,2541,DISTRITO DE TURBO,890981138,ANTIOQUIA,TURBO,Territorial,Centralizada,CO1.REQ.6137197,SAMC-03-2024 (Presentación de oferta),703036343,CO1.BDOS.5982628,OPERAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR  PAE  SUMINISTRANDO COMPLEMENTO ALIMENTARIO Y ALMUERZO PARA RACIÓN PREPARADA EN SITIO A LA POBLACIÓN ESTUDIANTIL BENEFICIARIA Y MATRICULADA EN LAS INSTITUC (,OPERAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR  PAE  SUMINISTRANDO COMPLEMENTO ALIMENTARIO Y ALMUERZO PARA RACIÓN PREPARADA EN SITIO A LA POBLACIÓN ESTUDIANTIL BENEFICIARIA Y MATRICULADA EN LAS INSTITUCIONES Y CENTROS EDUCATIVOS OFICIALES DEL DISTRITO DE TURBO - ANTIOQUIA,Presentación de oferta,04/24/2024,04/24/2024,,,,,04/24/2024,87486682475,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Proceso de licitación pública declarado desierto,otro,día(s),04/26/2024,04/26/2024,04/26/2024,Turbo,Secretaria General,0,0,27,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1914330,726317373,No Definido,Turbo,05/03/2024,87486595405,ALEJANDRA YULIETH MARIN JIMENEZ,OPERACION PAETURBO,901830328,V1.50111500,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6025399,703036343,Adjudicado,2024,3.9155429850746266,,1,87486682475,87486.68247499998,V1.501,True,245.43243419302073,480.50062300713614,188.0447502136231,0,355.4593357950235,1.9882836218553652e-18,22280.75400355852,-3.659457921981812,31418111.87672466,356.4593357950235
652476,12614,20765,DISTRITO DE TURBO,890981138,ANTIOQUIA,TURBO,Territorial,Centralizada,CO1.REQ.6101762,SAMC-03-2024,703036343,CO1.BDOS.5982628,OPERAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR  PAE  SUMINISTRANDO COMPLEMENTO ALIMENTARIO Y ALMUERZO PARA RACIÓN PREPARADA EN SITIO A LA POBLACIÓN ESTUDIANTIL BENEFICIARIA Y MATRICULADA EN LAS INSTITUC,OPERAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR  PAE  SUMINISTRANDO COMPLEMENTO ALIMENTARIO Y ALMUERZO PARA RACIÓN PREPARADA EN SITIO A LA POBLACIÓN ESTUDIANTIL BENEFICIARIA Y MATRICULADA EN LAS INSTITUCIONES Y CENTROS EDUCATIVOS OFICIALES DEL DISTRITO DE TURBO - ANTIOQUIA,Presentación de observaciones,04/17/2024,04/17/2024,,,,04/17/2024,,87486682475,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Proceso de licitación pública declarado desierto,otro,día(s),04/26/2024,04/26/2024,04/26/2024,Turbo,Secretaria General,0,0,27,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.50111500,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5992373,703036343,Presentación de observaciones,2024,3.9155429850746266,,1,87486682475,87486.68247499998,V1.501,True,244.8523559636187,479.36496238617127,187.6003074645996,0,356.3038214424988,5.972920535538058e-18,22280.90215114153,21.46074295043945,29294310.086986292,357.3038214424988
118938,4135,6834,DISTRITO DE TURBO,890981138,ANTIOQUIA,TURBO,Territorial,Centralizada,CO1.REQ.6095804,UM-093-2024,703036343,CO1.BDOS.5973806,OPERAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR  PAE  SUMINISTRANDO COMPLEMENTO ALIMENTARIO Y ALMUERZO PARA RACIÓN PREPARADA EN SITIO A LA POBLACIÓN	ESTUDIANTIL BENEFICIARIA Y MATRICULADA EN LAS INSTITU,50111500,Presentación de oferta,04/15/2024,04/15/2024,,,,,04/15/2024,1653848274,Contratación directa,Urgencia manifiesta,otro,día(s),,,,Turbo,Secretaria de General Distrito de Turbo,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,701872020,Antioquia,Itagui,,0,No Adjudicado,Suministros Institucionales Rodolfo Gomez,70693422,V1.50111500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5984328,703036343,Adjudicado,2024,3.9155429850746266,,1,1653848274,1653.8482740000002,V1.501,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,2110.901568063719,1.546793008803968e-23,422.1803136127439,35.15486907958984,3432970.0953761,2111.9015680637194
652012,12150,20014,DISTRITO DE TURBO,890981138,ANTIOQUIA,TURBO,Territorial,Centralizada,CO1.REQ.5842673,CI-043-2024,703036343,CO1.BDOS.5724918,CONTRATO INTERADMINISTRAIVO PARA LA EJECUCIÓN DEL PLAN SALUD PUBLICA D EINTERVENCIONES COLECTIVAS,CONTRATO INTERADMINISTRAIVO PARA LA EJECUCIÓN DEL PLAN SALUD PUBLICA D EINTERVENCIONES COLECTIVAS,Presentación de oferta,02/26/2024,02/26/2024,,,,,02/26/2024,1087466141,Contratación directa,Contratos o convenios Interadministrativos (valor cero),otro,Mes(es),,,,Turbo,Secretaria de General Distrito de Turbo,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704403302,Antioquia,Turbo,,0,No Adjudicado,E.S.E HOSPITAL FRANCISCO VALDERRAMA DE TURBO,890981137,V1.85101705,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5733808,703036343,Adjudicado,2024,3.9155429850746266,,1,1087466141,1087.4661409999999,V1.851,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,1387.653049072929,5.072755644052386e-22,277.5306098145859,18.95648193359375,1488411.17406696,1388.6530490729292
413932,4709,7819,DISTRITO DE TURBO,890981138,ANTIOQUIA,TURBO,Territorial,Centralizada,CO1.REQ.6770445,CI-153-2024,703036343,CO1.BDOS.6596217,REVISIÓN Y ACTUALIZACIÓN DEL PLAN DE GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS-PGIRS DEL DISTRITO DE TURBO,REVISIÓN Y ACTUALIZACIÓN DEL PLAN DE GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS-PGIRS DEL DISTRITO DE TURBO,Presentación de oferta,09/05/2024,09/05/2024,,,,,09/05/2024,480000000,Contratación directa,Contratos o convenios Interadministrativos (valor cero),otro,Mes(es),,,,Turbo,SECRETARIA GENERAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,713088078,Antioquia,Turbo,,0,No Adjudicado,EDUH-Turbo,901465989,V1.77101601,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6672019,703036343,Adjudicado,2024,3.9155429850746266,,1,480000000,479.9999999999998,V1.771,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,611.9418088751379,1.14959445195811e-20,122.3883617750276,-8.571063995361328,297846.1789778395,612.9418088751379
589016,12920,21389,EDUH-Turbo,901465989,ANTIOQUIA,TURBO,Territorial,Centralizada,CO1.REQ.6936184,EDUH-OC-013-2024,713088078,CO1.BDOS.6806891,REVISIÓN Y ACTUALIZACIÓN DEL PLAN DE GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS (PGIRS) DEL DISTRITO DE TURBO; ANTOQUIA,"REVISIÓN Y ACTUALIZACIÓN DEL PLAN DE GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS (PGIRS) DEL DISTRITO DE TURBO, ANTOQUIA",Presentación de oferta,10/01/2024,10/01/2024,,,,,10/01/2024,480000000,Contratación régimen especial,Decreto 092 de 2017,otro,Mes(es),,,,Turbo,Subgerencia Juridica,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704252816,Antioquia,Apartadó,,0,No Adjudicado,FUNDACION VIDA LUMAR,900937529,V1.77101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6815856,713088078,Adjudicado,2024,3.9155429850746266,,1,480000000,479.9999999999998,V1.771,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,611.9418088751379,4.4116816151423075e-21,122.3883617750276,21.94158172607422,283200.1090315504,612.9418088751379
277725,9395,15590,EDUH-Turbo,901465989,ANTIOQUIA,TURBO,Territorial,Centralizada,CO1.REQ.6073611,EDUH-OC-005-2024,713088078,CO1.BDOS.5954690,REALIZACIÓN DE OBRAS DE MANTENIMIENTO DEL EDIFICIO DEL ANTIGUO PALACIO MUNICIPAL DEL CONCEJO DISTRITAL DE TURBO; ANTIOQUIA,"REALIZACIÓN DE OBRAS DE MANTENIMIENTO DEL EDIFICIO DEL ANTIGUO PALACIO MUNICIPAL DEL CONCEJO DISTRITAL DE TURBO, ANTIOQUIA",Presentación de oferta,04/10/2024,04/10/2024,,,,,04/10/2024,446811548,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Turbo,Subgerencia Juridica,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,715867677,Antioquia,Apartadó,,0,No Adjudicado,Concretos de Urabá S.A.S,901135546,V1.72101500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5961869,713088078,Adjudicado,2024,3.9155429850746266,,1,446811548,446.81154799999985,V1.721,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,569.5614134529594,2.732078697519657e-20,113.9122826905919,19.9401798248291,245577.1142110545,570.5614134529594
501489,2568,4242,EDUH-Turbo,901465989,ANTIOQUIA,TURBO,Territorial,Centralizada,CO1.REQ.6045356,EDUH-IP-001-2024,713088078,CO1.BDOS.5927093,CONSTRUCCIÓN DE SISTEMAS DE ALCANTARILLADO EN DIFERENTES PUNTOS DEL DISTRITO DE TURBO Y OPTIMIZACIÓN DE LOS SISTEMAS DE ALCANTARILLADO SANITARIOS Y DE AGUAS COMBINADAS DE LOS SECTORES URBANOS Y RURALE,CONSTRUCCIÓN DE SISTEMAS DE ALCANTARILLADO EN DIFERENTES PUNTOS DEL DISTRITO DE TURBO Y OPTIMIZACIÓN DE LOS SISTEMAS DE ALCANTARILLADO SANITARIOS Y DE AGUAS COMBINADAS DE LOS SECTORES URBANOS Y RURALE,Presentación de oferta,04/04/2024,04/04/2024,,,,,04/04/2024,2786992718,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),04/12/2024,04/12/2024,04/15/2024,Turbo,Subgerencia Juridica,0,0,37,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1901706,724551684,Antioquia,La Estrella,04/16/2024,2786228318,CRISTHIAN ARTURO MEDRANO RAMOS,MONTELLANA INGENIERIAS S.A.S.,901331695,V1.72101500,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5934472,713088078,Adjudicado,2024,3.9155429850746266,,1,2786992718,2786.992718,V1.721,True,657.5935651953171,1287.4179356153688,503.8332366943359,0,3.238169084230947,0.0003239529292999,543.8324035572039,-52.36937713623047,154977.8263822744,4.238169084230946
486680,778,1304,EDUH-Turbo,901465989,ANTIOQUIA,TURBO,Territorial,Centralizada,CO1.REQ.6220728,EDUH-OC-008-2024,713088078,CO1.BDOS.6096642,CONSTRUCCIÓN DE ALCANTARILLAS SECCIONES CUADRADAS Y RECTANGULARES EN LA COMUNAL MONTE VERDE Y SECTOR LOS ALPES DEL DISTRITO DE TURBO,CONSTRUCCIÓN DE ALCANTARILLAS SECCIONES CUADRADAS Y RECTANGULARES EN LA COMUNAL MONTE VERDE Y SECTOR LOS ALPES DEL DISTRITO DE TURBO,Presentación de oferta,05/10/2024,05/10/2024,,,,,05/10/2024,321000000,Contratación régimen especial,Decreto 092 de 2017,otro,Mes(es),,,,Turbo,Subgerencia Juridica,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704480367,Antioquia,Turbo,,0,No Adjudicado,CONSTRUCCIONES VICNURPAO S.A.S.,900750527,V1.72101500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6109677,713088078,Adjudicado,2024,3.9155429850746266,,1,321000000,320.99999999999994,V1.721,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,408.9048346852486,5.365649015855677e-20,81.78096693704973,23.49014091491699,123718.11670027643,409.90483468524855
376017,5326,8730,DISTRITO DE TURBO,890981138,ANTIOQUIA,TURBO,Territorial,Centralizada,CO1.REQ.6790640,CI-160-2024,703036343,CO1.BDOS.6663460,CONVENIO INTERADMINISTRATIVO ENTRE EL DISTRITO DE TURBO Y LA EMPRESA DE DESARROLLO URBANO Y HÁBITAT (EDUH); PARA LA ELABORACION DE ESTUDIOS Y DISEÑOS EN PROYECTOS DE INVERSIÓN CUYO OBJETO ES: CONSTRUC,"CONVENIO INTERADMINISTRATIVO ENTRE EL DISTRITO DE TURBO Y LA EMPRESA DE DESARROLLO URBANO Y HÁBITAT (EDUH), PARA LA ELABORACION DE ESTUDIOS Y DISEÑOS EN PROYECTOS DE INVERSIÓN CUYO OBJETO ES: CONSTRUCCIÓN DE ESTACIÓN DE BOMBEO DE AGUAS RESIDUALES (EBAR) EN EL SECTOR LA PLAYA DE CASCO URBANO DEL DISTRITO DE TURBO",Presentación de oferta,09/05/2024,09/05/2024,,,,,09/05/2024,220000000,Contratación directa,Contratos o convenios Interadministrativos (valor cero),otro,Mes(es),,,,Turbo,SECRETARIA GENERAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,713088078,Antioquia,Turbo,,0,No Adjudicado,EDUH-Turbo,901465989,V1.80111600,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6672106,703036343,Adjudicado,2024,3.9155429850746266,,1,220000000,219.99999999999997,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,279.931662401105,2.7752326024621643e-18,55.98633248022099,26.17151069641113,55827.233375032636,280.931662401105
