,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
204061,215,370,ALCALDIA MUNICIPIO DE ARAUCA,800102504,ARAUCA,ARAUCA,Territorial,Centralizada,CO1.REQ.6738339,CV-360-2024,700586134,CO1.BDOS.6606435,CONVENIO DE APORTES,"APOYO A LA MASIFICACIÓN DEL SERVICIO PÚBLICO DOMICILIARIO DE GAS COMBUSTIBLE POR REDES, EN EL MUNICIPIO DE ARAUCA, DEL DEPARTAMENTO DE ARAUCA",Presentación de oferta,08/28/2024,08/28/2024,,,,,08/28/2024,2963774712,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,Mes(es),,,,Arauca,UNIDAD DE CONTRATACION ARAUCA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,712608462,Arauca,Arauca,,0,No Adjudicado,ARAUCANA DE GASES S.A.S. E.S.P,901390944,V1.80101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6622326,700586134,Adjudicado,2024,3.9155429850746266,,1,2963774712,2963.774712,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,3783.627985565982,7.258851265955705e-27,756.7255971131965,-6.93025016784668,11234360.643431256,3784.6279855659823
213617,9771,16263,DEPARTAMENTO DEL ARAUCA,8001028385,ARAUCA,ARAUCA,Territorial,Centralizada,CO1.REQ.6695707,SU-06-RE-002-2024 (Presentación de oferta),709183180,CO1.BDOS.6483564,TRANSPORTE ESCOLAR 2024-2025 (Presentación de oferta),PRESTACIÓN DEL SERVICIO DE TRANSPORTE ESCOLAR EN LOS ESTABLECIMIENTOS EDUCATIVOS OFICIALES DEL DEPARTAMENTO DE ARAUCA,Presentación de oferta,08/21/2024,08/21/2024,,,,,08/21/2024,50424251788,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,día(s),08/29/2024,09/11/2024,09/11/2024,Arauca,SECRETARIA DE EDUCACION DEPARTAMENTAL,0,0,19,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.2019104,728050931,Arauca,Arauca,09/11/2024,50418000000,LUZ LILIANA MARCHENA PINZÓN,UNION TEMPORAL TRANSPORTE ESCOLAR 2024-2025,No Definido,V1.78111800,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6581373,709183180,Adjudicado,2024,3.9155429850746266,,1,50424251788,50424.251787999994,V1.781,True,460.7017265270265,901.9487067573338,352.9791870117186,0,108.4509720380697,2.54933204965739e-15,12760.31198020948,57.17081451416016,2585763.5747139165,109.45097203806966
157273,4488,7360,DEPARTAMENTO DEL ARAUCA,8001028385,ARAUCA,ARAUCA,Territorial,Centralizada,CO1.REQ.6609484,SU-06-RE-002-2024,709183180,CO1.BDOS.6483564,TRANSPORTE ESCOLAR 2024-2025,PRESTACIÓN DEL SERVICIO DE TRANSPORTE ESCOLAR EN LOS ESTABLECIMIENTOS EDUCATIVOS OFICIALES DEL DEPARTAMENTO DE ARAUCA,Presentación de observaciones,08/02/2024,08/02/2024,,,,08/02/2024,,50424251788,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,día(s),08/28/2024,09/05/2024,09/02/2024,Arauca,SECRETARIA DE EDUCACION DEPARTAMENTAL,0,0,19,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.78111800,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6494682,709183180,Presentación de observaciones,2024,3.9155429850746266,,1,50424251788,50424.251787999994,V1.781,True,460.7017265270265,901.9487067573338,352.9791870117186,0,108.4509720380697,5.11320635414317e-14,12760.31198020948,71.11656951904297,1882559.3129739447,109.45097203806966
58082,6980,11526,DEPARTAMENTO DEL ARAUCA,8001028385,ARAUCA,ARAUCA,Territorial,Centralizada,CO1.REQ.6535092,CP-03-FU-00117-2024,709183180,CO1.BDOS.6409460,SERVICIOS PROFESIONALES,PRESTACIÓN DE SERVICIOS PROFESIONALES EN LA SECRETARIA GENERAL Y DESARROLLO INSTITUCIONAL DE LA GOBERNACIÓN DEL DEPARTAMENTO DE ARAUCA (CONTADOR PUBLICO).,Presentación de oferta,07/18/2024,07/18/2024,,,,,07/18/2024,7600000000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Arauca,3. SECRETARIA GENERAL Y DESARROLLO INSTITUCIONAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,719214140,Arauca,Arauca,,0,No Adjudicado,NORA LEIDA CASTILLO EPALZA,1116775370,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6420526,709183180,Adjudicado,2024,3.9155429850746266,,1,7600000000,7600.0,V1.801,True,118.07146128832004,231.15694099249592,90.46366882324216,0,63.36779825601949,2.681042301412626e-13,1910.827838496857,-7.827393531799316,541083.4575874229,64.3677982560195
580717,4621,7571,DEPARTAMENTO DEL ARAUCA,8001028385,ARAUCA,ARAUCA,Territorial,Centralizada,CO1.REQ.6933864,CC-07-IN-0002-2024,709183180,CO1.BDOS.6804609,CC-07-IN-0002-2024,FORTALECIMIENTO DE LA COMERCIALIZACIÓN DE LOS PRODUCTOS AGROPECUARIOS DEL DEPARTAMENTO DE ARAUCA.,Presentación de oferta,10/01/2024,10/01/2024,,,,,10/01/2024,428114038,Contratación directa,Contratos o convenios Interadministrativos (valor cero),otro,Mes(es),,,,Arauca,SECRETARIA DE DESARROLLO AGROPECUARIO Y SOSTENIBLE,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,712170927,Arauca,Arauca,,0,No Adjudicado,CEPROAR,900546237,V1.70121700,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6814195,709183180,Adjudicado,2024,3.9155429850746266,,1,428114038,428.11403800000016,V1.701,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,545.6854017844995,1.047952930163653e-20,109.1370803568999,-22.60002326965332,243290.96805647982,546.6854017844995
732231,2621,4306,DEPARTAMENTO DEL ARAUCA,8001028385,ARAUCA,ARAUCA,Territorial,Centralizada,CO1.REQ.6783903,LS-07-IN-001-2024,709183180,CO1.BDOS.6656742,LS-07-IN-001-2024,APOYO A LA PROMOCION DE LOS EVENTOS DE COMERCIALIZACION DEL DEPARTAMENTO DE ARAUCA,Presentación de observaciones,09/05/2024,09/05/2024,,,,09/05/2024,,400000000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,Mes(es),09/23/2024,09/23/2024,09/23/2024,Arauca,SECRETARIA DE DESARROLLO AGROPECUARIO Y SOSTENIBLE,0,0,47,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80141900,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6674654,709183180,Presentación de observaciones,2024,3.9155429850746266,,1,400000000,400.0000000000001,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,509.7848407292819,1.070403744213152e-20,101.9569681458564,-45.45063781738281,222094.19141866593,510.78484072928194
345309,540,908,DEPARTAMENTO DEL ARAUCA,8001028385,ARAUCA,ARAUCA,Territorial,Centralizada,CO1.REQ.6841775,LS-07-IN-001-2024 (Manifestación de interés (Menor Cuantía)),709183180,CO1.BDOS.6656742,LS-07-IN-001-2024 (Manifestación de interés (Menor Cuantía)),APOYO A LA PROMOCION DE LOS EVENTOS DE COMERCIALIZACION DEL DEPARTAMENTO DE ARAUCA,Manifestación de interés (Menor Cuantía),09/13/2024,09/13/2024,,,09/13/2024,,,400000000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,Mes(es),09/23/2024,09/23/2024,09/23/2024,Arauca,SECRETARIA DE DESARROLLO AGROPECUARIO Y SOSTENIBLE,0,0,47,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80141900,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6723483,709183180,Manifestación de interés (Menor Cuantía),2024,3.9155429850746266,,1,400000000,400.0000000000001,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,509.7848407292819,7.17901571800864e-21,101.9569681458564,-29.04062080383301,215530.184613246,510.78484072928194
259336,3684,5926,ALCALDIA MUNICIPIO DE ARAUCA,800102504,ARAUCA,ARAUCA,Territorial,Centralizada,CO1.REQ.5678572,4SU-001-2024,700586134,CO1.BDOS.5561638,SUMINISTRO ALIMENTACION,"APOYO AL PROGRAMA DE ALIMENTACIÓN ESCOLAR PARA LOS ESTUDIANTES DE LAS SEDES EDUCATIVAS OFICIALES DE LA ZONA URBANA DEL MUNICIPIO DE ARAUCA, DEPARTAMENTO DE ARAUCA",Presentación de observaciones,02/01/2024,02/01/2024,,,,02/01/2024,,7180657684,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,día(s),02/13/2024,02/13/2024,02/19/2024,Arauca,UNIDAD DE CONTRATACION ARAUCA,0,0,53,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.93131600,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5570577,700586134,Presentación de observaciones,2024,3.9155429850746266,,1,7180657684,7180.657684000001,V1.931,True,594.2315048870987,1163.3695002355091,455.2866668701173,0,11.08393971868639,9.949194280495941e-08,1682.123323436678,-5.323331356048584,117814.99711626662,12.083939718686395
16821,4020,6658,HOSPITAL SAN VICENTE DE ARAUCA ESE,8002189794,ARAUCA,ARAUCA,Territorial,Centralizada,CO1.REQ.6662804,SU-026 DE 2024,719101461,CO1.BDOS.6529063,ESTUDIO DE CONVENIENCIA Y OPORTUNIDAD PARA CONTRATAR SUMINISTRO DE MATERIAL DE OSTEOSINTESIS PARA EL TRATAMIENTO DE LAS ESPECIALIDADES DE ORTOPEDÍA; TRAUMATOLOGÍA; NEUROCIRUGÍA Y MAXILOFACIAL,"ESTUDIO DE CONVENIENCIA Y OPORTUNIDAD PARA CONTRATAR SUMINISTRO DE MATERIAL DE OSTEOSINTESIS PARA EL TRATAMIENTO DE LAS ESPECIALIDADES DE ORTOPEDÍA, TRAUMATOLOGÍA, NEUROCIRUGÍA Y MAXILOFACIAL DEL HOSPITAL SAN VICENTE DE ARAUCA E.S.E.",Fase de ofertas,08/14/2024,08/14/2024,,,,,08/14/2024,300000000,Contratación régimen especial,Regla aplicable,otro,Mes(es),,,,Arauca,OFICINA JURIDICA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.42291602,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6547373,719101461,Fase de ofertas,2024,3.9155429850746266,,1,300000000,300.0,V1.422,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,382.0886305469614,1.1878048482198891e-18,76.41772610939228,-5.132864475250244,116166.4485066635,383.0886305469613
31818,6410,10491,ALCALDIA MUNICIPIO DE ARAUCA,800102504,ARAUCA,ARAUCA,Territorial,Centralizada,CO1.REQ.5787497,4SU-001-2024 (Presentación de oferta),700586134,CO1.BDOS.5561638,SUMINISTRO ALIMENTACION (Presentación de oferta),"APOYO AL PROGRAMA DE ALIMENTACIÓN ESCOLAR PARA LOS ESTUDIANTES DE LAS SEDES EDUCATIVAS OFICIALES DE LA ZONA URBANA DEL MUNICIPIO DE ARAUCA, DEPARTAMENTO DE ARAUCA",Presentación de oferta,02/16/2024,02/16/2024,,,,,02/16/2024,7007629788,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,día(s),02/21/2024,02/21/2024,02/27/2024,Arauca,UNIDAD DE CONTRATACION ARAUCA,0,0,53,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1857222,725327985,No Definido,Arauca,02/27/2024,7007629788,LILIAN EDITH ALVARADO VALDERRAMA,UNION TEMPORAL ALIMENTANDO FUTUROS 2024,901805472,V1.93131600,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5679202,700586134,Adjudicado,2024,3.9155429850746266,,1,7007629788,7007.629788000001,V1.931,True,594.2315048870987,1163.3695002355091,455.2866668701173,0,10.7927604483566,9.758824069738501e-08,1637.933310286637,-4.470118999481201,106956.60866932118,11.792760448356603
