,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
2280,2280,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,802004549,ATLÁNTICO,POLONUEVO,Territorial,Centralizada,CO1.REQ.5077803,401-2023,701747479,CO1.BDOS.4966566,PRESTACION DE SERVICIO,PRESTAR LOS SERVCIOS  TECNICOS DE APOYO A LA GESTION COMO AUXILIAR DE ENFERMERIA DEL AREA DE URGENCIAS DE LA ESE CENTRO DE SALUD DE POLONUEVO.,Presentación de oferta,11/23/2023,11/23/2023,,,,,11/23/2023,"1,270,000",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Polonuevo,GERENCIA,0,0,0,0,0,0,0,0,0,Borrador,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5224801,"701,747,479",Presentación de oferta,2023,0.00432108451923077,,1,1270000,0.293907697095007,V1.801,True,0.2,0.000432108451923077,0.6,1,0.469538485475034,0.0996861667739706,-0.00045843380769230687,1.469538485475035
2283,2283,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,802004549,ATLÁNTICO,POLONUEVO,Territorial,Centralizada,CO1.REQ.4941622,321-2023,701747479,CO1.BDOS.4833326,PRESTACION DE SERVICIOS,PRESTAR LOS SERVICIOS DE APOYO A LA GESTION COMO AUXILIAR DE ENFERMERIA EN EL AREA DE URGENCIA DE LA ESE CENTRO DE SALUD DE POLONUEVO.,Presentación de oferta,08/18/2023,08/18/2023,,,,,08/18/2023,"1,270,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Polonuevo,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4861394,"701,747,479",Presentación de oferta,2023,0.00432108451923077,,1,1270000,0.293907697095007,V1.801,True,0.2,0.000432108451923077,0.6,1,0.469538485475034,0.0996861667739706,-0.00045843380769230687,1.469538485475035
3159,3159,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,802004549,ATLÁNTICO,POLONUEVO,Territorial,Centralizada,CO1.REQ.4816644,140-2023,701747479,CO1.BDOS.4710960,PRESTACION DE SERVICIOS,PRESTAR LOS SERVICIOS DE APOYO A LA GESTION COMO DIGITADOR PAIWEB EN LA ESE CENTRO DE SALUD DE POLONUEVO,Presentación de oferta,07/10/2023,07/10/2023,,,,,07/10/2023,"1,160,000",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Polonuevo,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4717813,"701,747,479",Presentación de oferta,2023,0.00432108451923077,,1,1160000,0.268451124905675,V1.801,True,15.6309089660645,0.03377123937738337,46.8927268981934,1,-0.982825622905968,0.489559670869601,-0.13392495750953348,0.01717437709403184
7420,7420,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,802004549,ATLÁNTICO,POLONUEVO,Territorial,Centralizada,CO1.REQ.5442585,768-2023,701747479,CO1.BDOS.5324806,PESTACION DE SERVICIO,PRESTAR LOS SERVICIOS TECNICOS DE APOYO  A LA GESTION COMO AUXILIAR DE ENFERMERIAEN EL AREA DE URGENCIAS  DE LA ESE CENTRO DE SALUD DE POLONUEVO,Presentación de oferta,12/21/2023,12/21/2023,,,,,12/21/2023,"974,000",Contratación régimen especial,Regla aplicable,23,día(s),,,,Polonuevo,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5341982,"701,747,479",Presentación de oferta,2023,0.00432108451923077,,1,974000,0.225406375567352,V1.801,True,1.54308128356934,0.00333389232317311,4.62924385070801,1,-0.853924496416703,0.642141895792569,-0.012361569292692439,0.1460755035832972
9111,9111,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,802004549,ATLÁNTICO,POLONUEVO,Territorial,Centralizada,CO1.REQ.5097229,450-2023,701747479,CO1.BDOS.4985911,PRESTACION DE SERVICIO,PRESTAR LOS SERVICIOS TECNICOS Y DE APOYO A LA GESTION COMO AUXILIAR DE ENFERMERIA EN EL AREA DE URGENCIAS DE LA ESE CENTRO DE SALUD DE POLONUEVO.,Presentación de oferta,11/27/2023,11/27/2023,,,,,11/27/2023,"1,270,000",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Polonuevo,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5239471,"701,747,479",Presentación de oferta,2023,0.00432108451923077,,1,1270000,0.293907697095007,V1.801,True,0.2,0.000432108451923077,0.6,1,0.469538485475034,0.0996861667739706,-0.00045843380769230687,1.469538485475035
13890,13890,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,802004549,ATLÁNTICO,POLONUEVO,Territorial,Centralizada,CO1.REQ.5397850,573-2023,701747479,CO1.BDOS.5280353,PRESTACION DE SERVICIO,PRESTAR LOS SERVICIOS PROFESIONALES Y  DE APOYO A LA GESTION COMO ODONTOLOGA EN LA ESE CENTRO DE SALUD DE POLONUEVO,Presentación de oferta,12/12/2023,12/12/2023,,,,,12/12/2023,"1,900,000",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Polonuevo,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5309680,"701,747,479",Presentación de oferta,2023,0.00432108451923077,,1,1900000,0.439704428724813,V1.801,True,0.2,0.000432108451923077,0.6,1,1.19852214362407,0.0227155282186161,0.00017156619230769096,2.198522143624065
14930,14930,INSTITUCIÓN EDUCATIVA TÉCNICA SAN PABLO DE POLONUEVO,890103991,ATLÁNTICO,POLONUEVO,Nacional,Centralizada,CO1.REQ.4657743,IETSAP - RE - N° 0001 - 2023,719300139,CO1.BDOS.4554032,PRESTACION DE SERVICIO APOYO A LA GESTION CONTABLE EN LA INSTITUCION EDUCATIVA TECNICA SAN PABLO DE POLONUEVO,No definido,Presentación de oferta,06/16/2023,06/16/2023,,,,,06/16/2023,"8,500,000",Contratación régimen especial,Regla aplicable,5,Mes(es),,,,Polonuevo,COMPRAS,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111502,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4583745,"719,300,139",Presentación de oferta,2023,0.00432108451923077,,1,8500000,1.96709876008469,V1.841,True,1.08632576465607,0.002347052722248436,3.2589772939682,1,0.81078164956115,0.0470080596709532,-0.0008882108889937488,1.8107816495611444
16816,16816,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,802004549,ATLÁNTICO,POLONUEVO,Territorial,Centralizada,CO1.REQ.4940698,311-2023,701747479,CO1.BDOS.4832494,PRESTACION DE SERVICIOS,PRESTAR LOS SERVICIOS PROFESIONALES COMO ASESOR JURIDICO DE LA ESE CENTRO DE SALUD DE POLONUEVO.,Presentación de oferta,08/18/2023,08/18/2023,,,,,08/18/2023,"10,500,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Polonuevo,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4860687,"701,747,479",Presentación de oferta,2023,0.00432108451923077,,1,10500000,2.42994552716344,V1.801,True,0.2,0.000432108451923077,0.6,0,11.1497276358172,3.91152898554813e-05,0.008771566192307685,12.1497276358172
17784,17784,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,802004549,ATLÁNTICO,POLONUEVO,Territorial,Centralizada,CO1.REQ.5412796,616-2023,701747479,CO1.BDOS.5295096,PRESTACION DE SERVICIO,PRESTAR LOS SERVICIOS COMO CELADOR DEL AREA DE URGENCIAS DE LA ESE CENTRO DE SALUD DE POLONUEVO,Presentación de oferta,12/13/2023,12/13/2023,,,,,12/13/2023,"1,160,000",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Polonuevo,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5314336,"701,747,479",Presentación de oferta,2023,0.00432108451923077,,1,1160000,0.268451124905675,V1.801,True,0.2,0.000432108451923077,0.6,1,0.342255624528377,0.13572334802118,-0.00056843380769231,1.342255624528375
18326,18326,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,802004549,ATLÁNTICO,POLONUEVO,Territorial,Centralizada,CO1.REQ.5413391,623-2023,701747479,CO1.BDOS.5295920,PRESTACION DE SERVICIO,PRESTAR LOS SERVICIOS TECNICOS DE APOYO A LA GESTION COMO AUXILIAR DE ENFERMERIA EN EL AREA DE URGENCIAS EN LA ESE CENTRO DE SALUD DE POLONUEVO,Presentación de oferta,12/13/2023,12/13/2023,,,,,12/13/2023,"1,270,000",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Polonuevo,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5314705,"701,747,479",Presentación de oferta,2023,0.00432108451923077,,1,1270000,0.293907697095007,V1.801,True,41.0611114501953,0.0887142665149241,123.183334350586,1,-0.992842188467024,0.478285059576922,-0.3535870660596964,0.0071578115329756645
