,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,589011,12915,21379,ESE HOSPITAL LOCAL DE CALAMAR,806006537,BOLÍVAR,CALAMAR,Territorial,Centralizada,CO1.REQ.6800593,2024-C392,704446905,CO1.BDOS.6673674,COMBUSTIBLE,SUMINISTRO DE COMBUSTIBLE A LAS AMBULANCIAS Y PLANTA ELECTRICA DE LA ESE HOSPITAL LOCAL DE CALAMAR.,Presentación de oferta,09/06/2024,09/06/2024,,,,,09/06/2024,120000000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Cartagena,CONTRATACION DIRECTA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,727292179,Bolívar,Calamar,,0,No Adjudicado,INVERSIONES CASTELLAR SAGBINI S.A.S..,901411365,V1.15101505,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6682965,704446905,Adjudicado,2024,3.9155429850746266,,1,120000000,120.0,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,152.2354522187845,1.597519048436279e-16,30.44709044375691,0.9256746172904968,18157.17331217928,153.23545221878453
1,101212,11942,19661,ESE HOSPITAL LOCAL DE CALAMAR,806006537,BOLÍVAR,CALAMAR,Territorial,Centralizada,CO1.REQ.5959299,2024-C169,704446905,CO1.BDOS.5841895,SUMINISTRO DE COMBUSTIBLE,SUMINISTRO DE COMBUSTIBLE A LAS AMBULANCIAS Y PLANTA ELECTRICA DE LA ESE HOSPITAL LOCAL DE CALAMAR.,Presentación de oferta,03/15/2024,03/15/2024,,,,,03/15/2024,84000000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Cartagena,CONTRATACION DIRECTA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,725031553,Bolívar,Calamar,,0,No Adjudicado,ESTACION DE SERVICIOS NUESTRA SENORA DEL CARMEN,3826662,V1.15101506,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5848837,704446905,Adjudicado,2024,3.9155429850746266,,1,84000000,84.00000000000001,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,106.2648165531492,1.92456683630298e-14,21.25296331062984,7.863565444946289,8265.705093089045,107.2648165531492
2,442362,7580,12687,ESE HOSPITAL LOCAL DE CALAMAR,806006537,BOLÍVAR,CALAMAR,Territorial,Centralizada,CO1.REQ.6413174,2024-C279,704446905,CO1.BDOS.6289233,APOYO LOGISTICO Y SUMINISTRO PIC,"BRINDAR APOYO LOGISTICO PARA LA EJECUCION DE ACCIONES DE SALUD PÚBLICA CORRESPONDIENTE A LAS ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS DEL MUNICIPIO CALAMAR PARA LA VIGENCIA 2024, DERIVADAS DEL CONTRATO INTERADMINISTRATIVO SUSCRITO CON LA ALCALDÍA MUNICIPAL A CARGO DE LA ESE. HOSPITAL LOCAL CALAMAR-BOLIVAR",Presentación de oferta,06/21/2024,06/21/2024,,,,,06/21/2024,125607000,Contratación régimen especial,Decreto 092 de 2017,otro,Mes(es),,,,Cartagena,CONTRATACION DIRECTA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,719503294,Bolívar,Calamar,,0,No Adjudicado,GRUPO EMPRESARIAL  VB S.A.S,901453981,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6298979,704446905,Adjudicado,2024,3.9155429850746266,,1,125607000,125.607,V1.801,True,3.246388641575005,6.355687136172479,2.487309157848358,0,37.69130097099557,6.295492118728565e-12,31.24997269212533,-1.000096440315247,4859.910354642518,38.69130097099557
3,727938,10935,17906,ESE HOSPITAL LOCAL DE CALAMAR,806006537,BOLÍVAR,CALAMAR,Territorial,Centralizada,CO1.REQ.6524559,2024-C377,704446905,CO1.BDOS.6399524,SUMINISTRO DE COMBUSTIBLE,SUMINISTRO DE COMBUSTIBLE A LAS AMBULANCIAS Y PLANTA ELECTRICA DE LA ESE HOSPITAL LOCAL DE CALAMAR.,Presentación de oferta,07/16/2024,07/16/2024,,,,,07/16/2024,54000000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Cartagena,CONTRATACION DIRECTA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,727292179,Bolívar,Calamar,,0,No Adjudicado,INVERSIONES CASTELLAR SAGBINI S.A.S..,901411365,V1.15101505,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6409813,704446905,Adjudicado,2024,3.9155429850746266,,1,54000000,54.0,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,67.95595349845304,2.122318915487484e-13,13.59119069969061,11.54795360565186,3046.031994211264,68.95595349845304
4,799071,9139,15102,ALCALDIA MUNICIPAL DE CALAMAR BOLIVAR,890481362,BOLÍVAR,CALAMAR,Territorial,Centralizada,CO1.REQ.6418355,CONV-ESAL-001-2024,704442375,CO1.BDOS.6294114,PROGRAMA ADULTO MAYOR,"AUNAR ESFUERZOS EN LA IMPLEMENTACION DE UN PROGRAMA DE ATENCION INTEGRAL QUE PROMUEVA LA SALUD FISICA, MENTAL, EMOCIONAL Y SOCIAL DE LOS ADULTOS MAYORES VULNERABLES DEL MUNICIPIO DE CALAMAR, BOLIVAR",Presentación de oferta,06/24/2024,06/24/2024,,,,,06/24/2024,400000000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),07/05/2024,07/05/2024,07/05/2024,Calamar,Unidad de Contratacion Directa,0,0,9,0,1,0,0,1,0,Publicado,60,Si,CO1.AWD.1976361,702510801,Bolívar,Magangué,,307690100,YELITZA EMPERATRIZ CASTELLAR RUIZ,CORPORACIÓN PARA LA INVESTIGACIÓN Y EL DESARROLLO REGIONAL CORPIDER,806010801,V1.85101700,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6304064,704442375,Adjudicado,2024,3.9155429850746266,,1,400000000,400.0000000000001,V1.851,True,278.11817549402264,544.4918355386872,213.0878219604492,1,0.4382375380159107,0.2551345720802127,31.12769415903999,-6.616912841796875,2822.060151925115,1.4382375380159107
5,799070,9138,15101,ALCALDIA MUNICIPAL DE CALAMAR BOLIVAR,890481362,BOLÍVAR,CALAMAR,Territorial,Centralizada,CO1.REQ.6418355,CONV-ESAL-001-2024,704442375,CO1.BDOS.6294114,PROGRAMA ADULTO MAYOR,"AUNAR ESFUERZOS EN LA IMPLEMENTACION DE UN PROGRAMA DE ATENCION INTEGRAL QUE PROMUEVA LA SALUD FISICA, MENTAL, EMOCIONAL Y SOCIAL DE LOS ADULTOS MAYORES VULNERABLES DEL MUNICIPIO DE CALAMAR, BOLIVAR",Presentación de oferta,06/24/2024,06/24/2024,,,,,06/24/2024,400000000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),07/05/2024,07/05/2024,07/05/2024,Calamar,Unidad de Contratacion Directa,0,0,9,0,1,0,0,1,0,Publicado,60,Si,CO1.AWD.1976361,702510801,Bolívar,Magangué,,307690100,YELITZA EMPERATRIZ CASTELLAR RUIZ,CORPORACIÓN PARA LA INVESTIGACIÓN Y EL DESARROLLO REGIONAL CORPIDER,806010801,V1.85101700,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6304064,704442375,Adjudicado,2024,3.9155429850746266,,1,400000000,400.0000000000001,V1.851,True,278.11817549402264,544.4918355386872,213.0878219604492,1,0.4382375380159107,0.2551345720802127,31.12769415903999,-6.616912841796875,2822.060151925115,1.4382375380159107
6,340910,8420,13786,ESE HOSPITAL LOCAL DE CALAMAR,806006537,BOLÍVAR,CALAMAR,Territorial,Centralizada,CO1.REQ.6445604,2024-C287,704446905,CO1.BDOS.6305577,PROFESIONAL EN PSICOLOGIA,"PRESTACIÓN DE SERVICIOS PROFESIONALES COMO PSICOLOGA PARA REALIZAR ACTIVIDADES ENCAMINADAS A LA PROMOCIÓN DE LA SALUD, DESARROLLO DE CAPACIDADES, GESTIÓN DEL CONOCIMIENTO, GESTIÓN DE INTERVENCIONES COLECTIVAS Y DESARROLLO DE ACTIVIDADES PIC, CONTENIDAS EN EL PLAN DE INTERVENCIONES COLECTIVAS EN SALUD PÚBLICA (PIC) 2024.",Presentación de oferta,06/28/2024,06/28/2024,,,,,06/28/2024,30100000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Cartagena,CONTRATACION DIRECTA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,727340622,Atlántico,Barranquilla,,0,No Adjudicado,YOELYS AMPARO HERRERA OROZCO,1143129922,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6330286,704446905,Adjudicado,2024,3.9155429850746266,,1,30100000,30.1,V1.851,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,37.43655926487845,2.942834359238001e-11,7.487311852975692,-14.05656051635742,1549.9429054151997,38.43655926487845
7,544475,7038,11595,ESE HOSPITAL LOCAL DE CALAMAR,806006537,BOLÍVAR,CALAMAR,Territorial,Centralizada,CO1.REQ.6851628,2024-C399,704446905,CO1.BDOS.6723724,SUMINISTRO DE PAPELERIA,El SUMINISTRO DE ELEMENTOS DE OFICINA Y/O PAPELERIA PARA LA E.S.E. HOSPITAL LOCAL DE CALAMAR.,Presentación de oferta,09/16/2024,09/16/2024,,,,,09/16/2024,32000000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Cartagena,CONTRATACION DIRECTA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,719503294,Bolívar,Calamar,,0,No Adjudicado,GRUPO EMPRESARIAL  VB S.A.S,901453981,V1.44111500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6733316,704446905,Adjudicado,2024,3.9155429850746266,,1,32000000,32.0,V1.441,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,39.86278725834255,8.082504157362842e-12,7.97255745166851,-6.205409049987793,1474.182281866571,40.86278725834254
8,537300,12636,20853,ESE HOSPITAL LOCAL DE CALAMAR,806006537,BOLÍVAR,CALAMAR,Territorial,Centralizada,CO1.REQ.5797684,2024-C142,704446905,CO1.BDOS.5679634,ADQUISICIÓN DE EQUIPOS DE CÓMPUTO Y ELECTRÓNICOS,CONTRATAR LA ADQUISICIÓN DE EQUIPOS DE CÓMPUTO Y ELECTRÓNICOS PARA EL FUNCIONAMIENTO DE LAS OFICINAS DE LA ESE HOSPITAL LOCAL DE CALAMAR,Presentación de oferta,02/19/2024,02/19/2024,,,,,02/19/2024,27172750,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Cartagena,CONTRATACION DIRECTA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,719503294,Bolívar,Calamar,,0,No Adjudicado,GRUPO EMPRESARIAL  VB S.A.S,901453981,V1.43211500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5689181,704446905,Adjudicado,2024,3.9155429850746266,,1,27172750,27.17275,V1.432,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,33.69857195231648,4.869198698692944e-11,6.739714390463297,-13.76666641235352,1289.7610557735868,34.69857195231648
9,756760,1609,2684,ESE HOSPITAL LOCAL DE CALAMAR,806006537,BOLÍVAR,CALAMAR,Territorial,Centralizada,CO1.REQ.5937230,2024-C164,704446905,CO1.BDOS.5819665,SUMINISTRO DE PAPELERIA,El SUMINISTRO DE ELEMENTOS DE OFICINA Y/O PAPELERIA PARA LA E.S.E. HOSPITAL LOCAL DE CALAMAR.,Presentación de oferta,03/12/2024,03/12/2024,,,,,03/12/2024,26000000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Cartagena,CONTRATACION DIRECTA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,719503294,Bolívar,Calamar,,0,No Adjudicado,GRUPO EMPRESARIAL  VB S.A.S,901453981,V1.44111500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5827022,704446905,Adjudicado,2024,3.9155429850746266,,1,26000000,25.999999999999996,V1.441,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,32.20101464740331,1.066986104378278e-10,6.440202929480662,-2.627017259597778,905.5288295820282,33.201014647403305
