,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,0,378674,7983,13175,ALCALDIA DE EL CARMEN DE BOLIVAR,890480022,BOLÍVAR,EL CARMEN DE BOLÍVAR,Territorial,Centralizada,CO1.REQ.6889086,CA-CONV-007-2024,700796063,CO1.BDOS.6760250,FORTALECIMIENTO SOCIAL Y CULTURAL PARA EL BIENESTAR DE LA COMUNIDAD EN SITUACIÓN DE VULNERABILIDAD EN EL MUNICIPIO DE EL CARMEN DE BOLÍVAR,"AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS Y FINANCIEROS PARA EL DESARROLLO DE ACCIONES INTEGRALES QUE PROMUEVAN EL FORTALECIMIENTO SOCIAL Y CULTURAL PARA EL BIENESTAR DE LA COMUNIDAD EN SITUACIÓN DE VULNERABILIDAD EN EL MUNICIPIO DE EL CARMEN DE BOLÍVAR.",Presentación de oferta,09/24/2024,09/24/2024,,,,,09/24/2024,895377428,Contratación régimen especial,Decreto 092 de 2017,otro,Mes(es),,,,El Carmen De Bolívar,Unidad de Contratación,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,705803070,Bolívar,Cartagena,,0,No Adjudicado,FUNDACION FUNSERVAR,900245203,V1.93141500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6774632,700796063,Adjudicado,2024,3.9155429850746266,,1,895377428,895.3774279999999,V1.931,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,1142.363042383935,7.881523320452118e-23,228.472608476787,35.10316467285156,991415.5014325442,1143.3630423839347
1,1,627006,12173,20253,ALCALDIA DE EL CARMEN DE BOLIVAR,890480022,BOLÍVAR,EL CARMEN DE BOLÍVAR,Territorial,Centralizada,CO1.REQ.6892179,CA-CONV-008-2024,700796063,CO1.BDOS.6761259,ATENCION INTEGRAL ADULTOS MAYORES,AUNAR ESFUERZOS PARA LA ATENCION INTEGRAL A LAS PERSONAS MAYORES A TRAVES DE LA PUESTA EN FUNCION DEL CENTRO DE VIDA EL CARMEN DE BOLIVAR,Presentación de oferta,09/25/2024,09/25/2024,,,,,09/25/2024,857142857,Contratación régimen especial,Decreto 092 de 2017,otro,Mes(es),,,,El Carmen De Bolívar,Unidad de Contratación,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,702213166,Sucre,Tolú Viejo,,0,No Adjudicado,FUNDACION PARA EL DESARROLLO SOCIAL AMOR Y PAZ,823002728,V1.93141509,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6781420,700796063,Adjudicado,2024,3.9155429850746266,,1,857142857,857.1428569999999,V1.931,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,1093.538944237466,2.484231850311268e-22,218.7077888474933,17.98250961303711,921905.5152387166,1094.5389442374662
2,2,635198,7885,13028,ALCALDIA DE EL CARMEN DE BOLIVAR,890480022,BOLÍVAR,EL CARMEN DE BOLÍVAR,Territorial,Centralizada,CO1.REQ.5806305,CA-004-2024,700796063,CO1.BDOS.5689253,AUNAR ESFUERZOS PARA LA ATENCION INTEGRAL A LAS PERSONAS MAYORES A TRAVES DE LA PUESTA EN FUNCION DEL CENTRO DE VIDA EL CARMEN DE BOLIVAR,No definido,Presentación de oferta,02/20/2024,02/20/2024,,,,,02/20/2024,1000000000,Contratación régimen especial,Decreto 092 de 2017,otro,Mes(es),,,,El Carmen De Bolívar,Unidad de Contratación,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,702213166,Sucre,Tolú Viejo,,0,No Adjudicado,FUNDACION PARA EL DESARROLLO SOCIAL AMOR Y PAZ,823002728,V1.94131607,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5697055,700796063,Adjudicado,2024,3.9155429850746266,,1,1000000000,1000.0,V1.941,True,4.507467347400972,8.824591076284406,3.453518986701966,0,220.8540752328699,1.813314818099211e-16,254.2412473690736,1.886303544044495,218967.77168882536,221.85407523286992
3,3,138445,11180,18624,ALCALDIA DE EL CARMEN DE BOLIVAR,890480022,BOLÍVAR,EL CARMEN DE BOLÍVAR,Territorial,Centralizada,CO1.REQ.5804716,CA-002-2024,700796063,CO1.BDOS.5688013,AUNAR ESFUERZOS PARA ELFORTALECIMIENTO ESTRATEGICO A TRAVES DE LA GENERACION DE INGRESOS SOSTENIBLES Y EDUCACION FINANCIERA PARA PEQUEÑOS EMPRENDEDORES DEL MUNICIPIO DE EL CARMEN DE BOLIVAR,No definido,Presentación de oferta,02/20/2024,02/20/2024,,,,,02/20/2024,731428571,Contratación régimen especial,Decreto 092 de 2017,otro,Mes(es),,,,El Carmen De Bolívar,Unidad de Contratación,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,703070722,Bolívar,Cartagena,,0,No Adjudicado,FUNDACION ENCAUSA,900667552,V1.94131607,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5696512,700796063,Adjudicado,2024,3.9155429850746266,,1,731428571,731.4285709999999,V1.941,True,4.507467347400972,8.824591076284406,3.453518986701966,0,161.2704092181045,8.51245541017709e-16,185.6501400759733,1.433321595191956,116909.4125928287,162.27040921810453
4,4,307254,584,968,ALCALDIA DE EL CARMEN DE BOLIVAR,890480022,BOLÍVAR,EL CARMEN DE BOLÍVAR,Territorial,Centralizada,CO1.REQ.5804003,002-2024,700796063,CO1.BDOS.5687008,AUNAR ESFUERZOS PARA ELFORTALECIMIENTO ESTRATEGICO A TRAVES DE LA GENERACION DE INGRESOS SOSTENIBLES Y EDUCACION FINANCIERA PARA PEQUEÑOS EMPRENDEDORES DEL MUNICIPIO DE EL CARMEN DE BOLIVAR,No definido,Presentación de oferta,02/20/2024,02/20/2024,,,,,02/20/2024,731428571,Contratación régimen especial,Decreto 092 de 2017,otro,Mes(es),,,,El Carmen De Bolívar,Unidad de Contratación,0,0,0,0,0,0,0,0,0,Seleccionado,60,No,No Adjudicado,703070722,Bolívar,Cartagena,,0,No Adjudicado,FUNDACION ENCAUSA,900667552,V1.94131607,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5695803,700796063,Adjudicado,2024,3.9155429850746266,,1,731428571,731.4285709999999,V1.941,True,4.507467347400972,8.824591076284406,3.453518986701966,0,161.2704092181045,4.765935150738288e-16,185.6501400759733,2.751932144165039,115944.9431632878,162.27040921810453
5,5,362069,4258,7073,ALCALDIA DE EL CARMEN DE BOLIVAR,890480022,BOLÍVAR,EL CARMEN DE BOLÍVAR,Territorial,Centralizada,CO1.REQ.5805737,CA-003-2024,700796063,CO1.BDOS.5688934,AUNAR ESFUERZOS PARA LA ATENCIÓN INTEGRAL DE LAS ACCIONES A IMPLEMENTAR PARA CUMPLIR LOS FINES MISIONALES DE LAS DISTINTAS ACTIVIDADES A DESARROLLAR POR LA SECRETARIA DE DESARROLLO SOCIAL Y LA MUJER.,No definido,Presentación de oferta,02/20/2024,02/20/2024,,,,,02/20/2024,368460714,Contratación régimen especial,Decreto 092 de 2017,otro,Mes(es),,,,El Carmen De Bolívar,Unidad de Contratación,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,707132015,Bolívar,Cartagena,,0,No Adjudicado,GOLDEN SUNSET FOUNDATION,900433355,V1.94131607,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5696483,700796063,Adjudicado,2024,3.9155429850746266,,1,368460714,368.460714,V1.941,True,4.507467347400972,8.824591076284406,3.453518986701966,0,80.74451096411298,1.527111678437338e-13,92.9509005621764,1.07145357131958,29356.391613511634,81.74451096411298
6,6,12120,12120,20119,ALCALDIA DE EL CARMEN DE BOLIVAR,890480022,BOLÍVAR,EL CARMEN DE BOLÍVAR,Territorial,Centralizada,CO1.REQ.5702323,CA-001-2024,700796063,CO1.BDOS.5584071,Aunar esfuerzos para la atención integral de las actividades culturales y carnestolendas en el municipio de el Carmen de Bolívar,No definido,Presentación de oferta,02/05/2024,02/05/2024,,,,,02/05/2024,257142857,Contratación régimen especial,Decreto 092 de 2017,otro,Mes(es),,,,El Carmen De Bolívar,Unidad de Contratación,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,713184117,Bolívar,El Carmen De Bolívar,,0,No Adjudicado,FIXCO,9014011624,V1.94131607,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5593259,700796063,Adjudicado,2024,3.9155429850746266,,1,257142857,257.142857,V1.941,True,4.507467347400972,8.824591076284406,3.453518986701966,0,56.04819074247312,1.254799837765824e-12,64.52116363314143,-0.0924645587801933,14436.168498016472,57.04819074247312
7,7,565326,2056,3452,IDERCAR,806006217,BOLÍVAR,EL CARMEN DE BOLÍVAR,Territorial,Centralizada,CO1.REQ.6112241,C-001-2024,725259659,CO1.BDOS.5992893,AUNAR ESFUERZOS TECNICOS ADMINISTRATIVOS Y FINANCIEROS PARA EL DESARROLLO DE ACCIONES INTEGRALES PARA APOYAR EL CUMPLIMIENTO DE LOS EJES MISIONALES DE IDERCAR; DURANTE LA VIGENCIA 2024,"AUNAR ESFUERZOS TECNICOS ADMINISTRATIVOS Y FINANCIEROS PARA EL DESARROLLO DE ACCIONES INTEGRALES PARA APOYAR EL CUMPLIMIENTO DE LOS EJES MISIONALES DE IDERCAR, DURANTE LA VIGENCIA 2024",Presentación de oferta,04/18/2024,04/18/2024,,,,,04/18/2024,660232816,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,El Carmen De Bolívar,JURIDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,706849197,Bolívar,Cartagena,,0,No Adjudicado,fundacion geps - grupo de estudiantes para la promocion en salud,806010257,V1.93141500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6000082,725259659,Adjudicado,2024,3.9155429850746266,,1,660232816,660.2328159999998,V1.931,True,98.74855001201914,193.32709614292625,75.65889358520508,0,5.686000107542236,7.721418765680843e-06,143.3988256873342,-12.19816398620605,11807.712021421516,6.686000107542236
8,8,122249,7446,12347,ALCALDIA DE EL CARMEN DE BOLIVAR,890480022,BOLÍVAR,EL CARMEN DE BOLÍVAR,Territorial,Centralizada,CO1.REQ.5916626,S-MC-MCB-01-2024,700796063,CO1.BDOS.5798956,CONTRATAR SUMINISTRO DE COMBUSTIBLE A VEHICULOS ADSCRITOS A LA FUERZA PUBLICA; PARA LA GENERACION DE ACCIONES QUE GARANTICEN AMBIENTES DE SEGURIDAD,"SUMINISTRO DE COMBUSTIBLE A VEHICULOS ADSCRITOS A LA FUERZA PUBLICA, PARA LA GENERACION DE ACCIONES QUE GARANTICEN AMBIENTES DE SEGURIDAD",Presentación de oferta,03/08/2024,03/08/2024,,,,,03/08/2024,32000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),03/14/2024,03/14/2024,03/14/2024,El Carmen De Bolívar,Unidad de Contratación,0,0,1,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1879421,725616643,Bolívar,El Carmen De Bolívar,03/21/2024,31973240,ALCALDIA DEL CARMEN DE BOLIVAR ALCALDIA DEL CARMEN DE BOLIVAR,Estacion Gambote SAS,900464391,V1.15101506,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5807465,700796063,Adjudicado,2024,3.9155429850746266,,1,32000000,32.0,V1.151,True,10.955631773754304,21.448623569392176,8.393955945968628,1,1.920872174314979,0.0046058353067251,5.374572136345634,-131.7942962646484,4278.885390046828,2.9208721743149786
9,9,380718,10027,16585,ALCALDIA DE EL CARMEN DE BOLIVAR,890480022,BOLÍVAR,EL CARMEN DE BOLÍVAR,Territorial,Centralizada,CO1.REQ.6301276,CMA-CRMBOL-002-2024,700796063,CO1.BDOS.6179303,ESTUDIOS Y DISEÑOS PARA LA CONSTRUCCION DE LAS MALLAS VIALES RURALES Y URBANAS DEL MUNICIPIO DE EL CARMEN DE BOLIVAR,ESTUDIOS Y DISEÑOS PARA LA CONSTRUCCION DE LAS MALLAS VIALES RURALES Y URBANAS DEL MUNICIPIO DE EL CARMEN DE BOLIVAR,Presentación de observaciones,05/27/2024,05/27/2024,,,,05/27/2024,,200000000,Concurso de méritos abierto,Ley 1150 de 2007,otro,Mes(es),06/13/2024,06/13/2024,06/13/2024,El Carmen De Bolívar,OFICINA JURIDICA,0,0,74,0,0,0,0,0,0,Publicado,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81101500,Cerrado,Consultoría,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6187655,700796063,Presentación de observaciones,2024,3.9155429850746266,,1,200000000,200.0,V1.811,True,328.70187537061094,643.5231611441349,251.8439025878906,1,-0.3915459113991965,0.7494764925057075,-32.8694834563687,-17.8464469909668,3490.9802159135206,0.6084540886008035
