,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
5649,5649,INSTITUCION EDUCATIVA DE RUFINA VIEJA,900016458,BOLÍVAR,PINILLOS,Territorial,Centralizada,CO1.REQ.4862347,06-2023,719789307,CO1.BDOS.4755518,MANTENIMIENTO DE ZONAS VERDES,"PRESTACION DE SERVICIO DE MANTENIMIENTO  DE  ZONAS  VERDES  DE  LAS  SEDES CONCERCIENTE AL  DESMONTE Y  LIMPIEZA  CON  GUADAÑA,  MACHETE  Y FUMIGACIÓN PARA  LA   INSTITUCION EDUCATIVA Y SUS SEDES",Presentación de oferta,07/22/2023,07/22/2023,,,,,07/22/2023,"2,447,000",Contratación régimen especial,Regla aplicable,10,día(s),,,,Pinillos,UNIDAD DE CONTRATACION 1,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.72102103,Abierto,Prestación de servicios,No Definido,"V170111502, V176121501",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4764050,"719,789,307",Presentación de oferta,2023,0.00432108451923077,,1,2447000,0.566293019520852,V1.721,True,8.07680606842041,0.017450280833540284,24.2304182052612,1,-0.929886515198748,0.551141859356284,-0.06735412333416115,0.07011348480125171
7611,7611,ESEHSNT,806007343,BOLÍVAR,PINILLOS,Territorial,Centralizada,CO1.REQ.5446300,2023070164,722269172,CO1.BDOS.5327790,CONTRATO DE PRESTACION DE SERVICIOS TECNICOS  Y DE APOYO A LA GESTION DE UNA AUXILIAR DE ENFERMERIA COMO VACUNADORA EN EL PLAN NACIONAL DE VACUNACION; ESQUEMA REGULAR Y COVID- 19 EN LA ESE HOSPITAL SA,"CONTRATO DE PRESTACION DE SERVICIOS TECNICOS  Y DE APOYO A LA GESTION DE UNA AUXILIAR DE ENFERMERIA COMO VACUNADORA EN EL PLAN NACIONAL DE VACUNACION, ESQUEMA REGULAR Y COVID- 19 EN LA ESE HOSPITAL SAN NICOLAS DE TOLENTINO",Presentación de oferta,12/21/2023,12/21/2023,,,,,12/21/2023,"3,732,960",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Pinillos,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5342235,"722,269,172",Presentación de oferta,2023,0.00432108451923077,,1,3732960,0.863894233817147,V1.851,True,3.28462290763855,0.007096566598853848,9.85386872291565,1,-0.736988306387282,0.769111352916789,-0.02465330639541539,0.26301169361271853
27307,27307,INSTITUCION EDUCATIVA DE PUERTO LOPEZ,806013254,BOLÍVAR,PINILLOS,Nacional,Centralizada,CO1.REQ.5384606,2023017,711269258,CO1.BDOS.5267014,Servicios contables y financieros vigencia 2023; presentacion de informes a entes de control,"Servicios contables y financieros vigencia 2023, presentacion de informes a entes de control",Presentación de oferta,12/07/2023,12/07/2023,,,,,12/07/2023,"3,000,000",Contratación régimen especial,Regla aplicable,1,Año(s),,,,Pinillos,DIRECCION DE CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111503,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5295094,"711,269,258",Presentación de oferta,2023,0.00432108451923077,,1,3000000,0.694270150618126,V1.841,True,0.2,0.000432108451923077,0.6,0,2.47135075309063,0.0039958748821193,0.0012715661923076913,3.47135075309063
48467,48467,INSTITUCION EDUCATIVA MANUEL FRANCISCO OBREGON .L,900002680,BOLÍVAR,PINILLOS,Nacional,Centralizada,CO1.REQ.4777236,EH- 16- 2023,711252106,CO1.BDOS.4671564,PRESTACION DE SERVICIOS,"PRESTACION DE SERVICIOS PARA EL MANTENIMIENTO DE CUARENTA (40) SILLAS, Y EL SUMINISTRO DE DOS (2) TABLEROS PARA LA CANCHA DE BASQUETBOL, CUATRO (04) MESAS DE MADERA DE 1.9X0.7 Y LA INSTALACIÓN DE UNA (1) PUERTA PARA LA INSTITUCION EDUCATIVA MANUEL FRANCISCO OBREGON DEL MUNICIPIO DE PINILLOS-BOLIVAR",Presentación de oferta,06/30/2023,06/30/2023,,,,,06/30/2023,"4,090,000",Contratación régimen especial,Regla aplicable,5,día(s),,,,Pinillos,REGIMEN ESPECIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.30162000,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4678260,"711,252,106",Presentación de oferta,2023,0.00432108451923077,,1,4090000,0.946521638676045,V1.301,True,0.2,0.000432108451923077,0.6,0,3.73260819338023,0.0012422162349968,0.0023615661923076904,4.732608193380225
48974,48974,INSTITUCION EDUCATIVA DE ARMENIA,806013217,BOLÍVAR,PINILLOS,Nacional,Centralizada,CO1.REQ.4996418,2023014,711250134,CO1.BDOS.4887617,Servicios contables y financieros vigencia 2023; presentacion de informes a entes de control,"Servicios contables y financieros vigencia 2023, manejo secop II y presentacion de informes a entes de control",Presentación de oferta,09/08/2023,09/08/2023,,,,,09/08/2023,"3,000,000",Contratación régimen especial,Regla aplicable,1,Año(s),,,,Pinillos,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4936125,"711,250,134",Presentación de oferta,2023,0.00432108451923077,,1,3000000,0.694270150618126,V1.841,True,0.2,0.000432108451923077,0.6,0,2.47135075309063,0.0039958748821193,0.0012715661923076913,3.47135075309063
52843,52843,INSTITUCION EDUCATIVA DE SANTA COA,806014548,BOLÍVAR,PINILLOS,Nacional,Centralizada,CO1.REQ.5455632,2023009,711252197,CO1.BDOS.5337429,Pago servicio de internet,Servicio de Internet Institucional Banda Ancha,Presentación de oferta,12/25/2023,12/25/2023,,,,,12/25/2023,"990,250",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,Pinillos,SANTA COA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81112101,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5351403,"711,252,197",Presentación de oferta,2023,0.00432108451923077,,1,990250,0.229167005549866,V1.811,True,1.01041007041931,0.002183033656681876,3.03123021125793,1,-0.773194060254403,0.733429942942281,-0.007741884626727507,0.22680593974559657
69238,69238,ESEHSNT,806007343,BOLÍVAR,PINILLOS,Territorial,Centralizada,CO1.REQ.5323644,2023070107,722269172,CO1.BDOS.5207197,CONTRATO DE PRESTACION DE SERVICIOS Y DE APOYO A LA GESTION COMO ENFERMERA EN COORDINACIÓN DE PY P DE LA ESE HOSPITAL SAN NICOLAS DE TOLENTINO,CONTRATO DE PRESTACION DE SERVICIOS Y DE APOYO A LA GESTION COMO ENFERMERA EN COORDINACIÓN DE PY P DE LA ESE HOSPITAL SAN NICOLAS DE TOLENTINO,Presentación de oferta,11/22/2023,11/22/2023,,,,,11/22/2023,"9,000,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Pinillos,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5219311,"722,269,172",Presentación de oferta,2023,0.00432108451923077,,1,9000000,2.08281045185438,V1.851,True,18.3502216339111,0.03964642931337341,55.0506649017334,1,-0.886496714132032,0.603128567782025,-0.14958571725349365,0.11350328586796786
97202,97202,ESEHSNT,806007343,BOLÍVAR,PINILLOS,Territorial,Centralizada,CO1.REQ.5184047,2023060105,722269172,CO1.BDOS.5070413,CONTRATO DE PRESTACION DE SERVICIOS Y DE APOYO A LA GESTION COMO AUXILIAR DE SERVICIOS GENERALES (CELADOR NOCTURNO PUESTO E SALUD LAS CONCHITAS),CONTRATO DE PRESTACION DE SERVICIOS Y DE APOYO A LA GESTION COMO AUXILIAR DE SERVICIOS GENERALES (CELADOR NOCTURNO PUESTO E SALUD LAS CONCHITAS),Presentación de oferta,10/20/2023,10/20/2023,,,,,10/19/2023,"3,480,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Pinillos,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5082378,"722,269,172",Presentación de oferta,2023,0.00432108451923077,,1,3480000,0.805353374717026,V1.801,True,10.1308193206787,0.021888063266854357,30.3924579620361,1,-0.920504615744833,0.562317736326785,-0.08407225306741743,0.07949538425516728
98051,98051,ESEHSNT,806007343,BOLÍVAR,PINILLOS,Territorial,Centralizada,CO1.REQ.5109113,2023050201,722269172,CO1.BDOS.4997739,CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES COMO APOYO EN EL DESARROLLO DE LA GESTION INTEGRAL DE LA CALIDAD DE LA ESE HOSPITAL SAN NICOLAS DE TOLENTINO,CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES COMO APOYO EN EL DESARROLLO DE LA GESTION INTEGRAL DE LA CALIDAD DE LA ESE HOSPITAL SAN NICOLAS DE TOLENTINO,Presentación de oferta,09/29/2023,09/29/2023,,,,,09/28/2023,"8,900,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Pinillos,GERENCIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5007919,"722,269,172",Presentación de oferta,2023,0.00432108451923077,,1,8900000,2.05966811350044,V1.801,True,0.2,0.000432108451923077,0.6,0,9.29834056750221,7.1084367390408e-05,0.007171566192307688,10.2983405675022
99484,99484,INSTITUCIÓN EDUCATIVA DE PALENQUITO,806002009,BOLÍVAR,PINILLOS,Territorial,Centralizada,CO1.REQ.4697521,RE-2023-007,718953847,CO1.BDOS.4593307,ADQUISICION DE ELEMENTOS DE OFICINA PARA LA INSTITUCION EDUCATIVA DE PALENQUITO TALES COMO: CAJAS DE RESMA DE PAPEL CARTA Y OFICIO; CAJAS DE BOLIGRAFOS; MARCADORES BORRABLES; CAJA DE LAPIZ; TARROS DE,"ADQUISICION DE ELEMENTOS DE OFICINA PARA LA INSTITUCION EDUCATIVA DE PALENQUITO TALES COMO: CAJAS DE RESMA DE PAPEL CARTA Y OFICIO, CAJAS DE BOLIGRAFOS, MARCADORES BORRABLES, CAJA DE LAPIZ, TARROS DE TINTA EPSON Y EDDING, DICCIONARIOS INGLES Y ESPAÑOL.",Presentación de oferta,06/20/2023,06/20/2023,,,,,06/20/2023,"7,252,300",Contratación régimen especial,Regla aplicable,1,día(s),,,,Pinillos,UNIDAD DE CONTRATACION 1,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.44121500,Abierto,Compraventa,No Definido,"V144121600, V144121700, V144121800, V144121900, V144122000, V144122100",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4599108,"718,953,847",Presentación de oferta,2023,0.00432108451923077,,1,7252300,1.67835180444261,V1.441,True,0.2,0.000432108451923077,0.6,0,7.39175902221306,0.0001496468862589,0.0055238661923076825,8.39175902221305
