,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
934,934,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,BOYACÁ,MONGUA,Territorial,Centralizada,CO1.REQ.3870624,06-2023,709813299,CO1.BDOS.3774831,SERVICIOS PROFESIONALES COMO ASESOR JURIDICO,PRESTACION DE SERVICIOS PROFESIONALES COMO ASESOR JURIDICO AL SERVICIO DE LA E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA PRIMER TRIMESTRE AÑO 2023,Presentación de oferta,01/17/2023,01/17/2023,,,,,01/17/2023,"4,950,000",Contratación régimen especial,Decreto 092 de 2017,3,Mes(es),,,,Mongua,OFICINA CONTRATACION ESE MONGUA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80121704,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3777247,"709,813,299",Presentación de oferta,2023,0.00432108451923077,,1,4950000,1.14554574851991,V1.801,True,0.2,0.000432108451923077,0.6,0,4.72772874259954,0.000609968014733,0.0032215661923077,5.72772874259955
25559,25559,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,BOYACÁ,MONGUA,Territorial,Centralizada,CO1.REQ.3879366,014-2023,709813299,CO1.BDOS.3783841,SERVICIO DE FACTURACION ELECTRONICA,SERVICIO PROFESIONALES SOTWARE DE FACTURACION ELECTRONICA PARA EL SERVICIO DE LA E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA AÑO 2023.,Presentación de oferta,01/18/2023,01/18/2023,,,,,01/18/2023,"1,211,600",Contratación régimen especial,Decreto 092 de 2017,1,Año(s),,,,Mongua,OFICINA CONTRATACION ESE MONGUA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111506,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3786123,"709,813,299",Presentación de oferta,2023,0.00432108451923077,,1,1211600,0.280392571496307,V1.841,True,0.2,0.000432108451923077,0.6,1,0.401962857481536,0.117221269239414,-0.0005168338076923092,1.4019628574815348
29837,29837,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,BOYACÁ,MONGUA,Territorial,Centralizada,CO1.REQ.4399405,028-2023,709813299,CO1.BDOS.4299321,AUXILIAR DE SERVICIOS GENERALES,PRESTACION DE SERVICIOS DE APOYO ASISTENCIAL COMO AUXILIAR DE SERVICIOS GENERALES PARA LA E.S.E. CENTRO DE SALUD SAN JERÓNIMO DE MONGUA AÑO 2023.,Presentación de oferta,04/17/2023,04/17/2023,,,,,04/17/2023,"4,500,000",Contratación régimen especial,Decreto 092 de 2017,3,Mes(es),,,,Mongua,OFICINA CONTRATACION ESE MONGUA,0,0,0,0,0,0,0,0,1,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.76111501,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4302932,"709,813,299",Presentación de oferta,2023,0.00432108451923077,,1,4500000,1.04140522592719,V1.761,True,0.2,0.000432108451923077,0.6,0,4.20702612963595,0.000869411026784,0.002771566192307695,5.20702612963595
53325,53325,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,BOYACÁ,MONGUA,Territorial,Centralizada,CO1.REQ.4325686,027-2023,709813299,CO1.BDOS.4226873,SUMINISTRO MEDICAMENTOS E INSUMOS MEDICOS,"SUMINISTRO DE INSUMOS DE MATERIAL MEDICO QUIRURGICO, LABORATORIO, ODONTOLOGIA Y MEDICAMENTOS PARA EL SERVICIO DE LA E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA PARA EL AÑO 2023",Presentación de oferta,03/28/2023,03/28/2023,,,,,03/28/2023,"40,000,000",Contratación régimen especial,Decreto 092 de 2017,10,Mes(es),,,,Mongua,OFICINA CONTRATACION ESE MONGUA,0,0,0,0,0,0,0,0,1,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85121902,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4229044,"709,813,299",Presentación de oferta,2023,0.00432108451923077,,1,40000000,9.25693534157502,V1.851,True,35.5070457458496,0.07671447284800474,106.521137237549,1,-0.739293000948775,0.766978318092818,-0.26685789139201893,0.26070699905122513
71910,71910,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,BOYACÁ,MONGUA,Territorial,Centralizada,CO1.REQ.3879920,015-2023,709813299,CO1.BDOS.3784237,PRESTACION DE SERVICIO EXAMENES OCUPACIONALES,PRESTACION DE SERVICIO EXAMENES OCUPACIONALES PARA LOS EMPLEADOS DE PLANTA DE LA E.S E CENTRO DE SALUD SAN JERONIMO DE MONGUA AÑO 2023.,Presentación de oferta,01/18/2023,01/18/2023,,,,,01/18/2023,"680,000",Contratación régimen especial,Decreto 092 de 2017,5,día(s),,,,Mongua,OFICINA CONTRATACION ESE MONGUA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101700,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3786352,"709,813,299",Presentación de oferta,2023,0.00432108451923077,,1,680000,0.157367900806775,V1.851,True,0.2,0.000432108451923077,0.6,1,-0.213160495966124,0.546694621714912,-0.0010484338076923092,0.786839504033875
85395,85395,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,BOYACÁ,MONGUA,Territorial,Centralizada,CO1.REQ.3878888,013-2023,709813299,CO1.BDOS.3783382,SERVICIO DE LAVADO DE TANQUES Y FUMIGACION DE PLAGAS,SERVICIO PROFESIONALES PARA EL DE LAVADO DE TANQUES Y FUMIGACION DE PLAGAS PARA LA E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA AÑO 2023,Presentación de oferta,01/18/2023,01/18/2023,,,,,01/18/2023,"1,600,000",Contratación régimen especial,Decreto 092 de 2017,6,Mes(es),,,,Mongua,OFICINA CONTRATACION ESE MONGUA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.76111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3785814,"709,813,299",Presentación de oferta,2023,0.00432108451923077,,1,1600000,0.370277413663001,V1.761,True,0.2,0.000432108451923077,0.6,1,0.851387068315003,0.0433012505700447,-0.00012843380769230652,1.8513870683150049
94507,94507,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,BOYACÁ,MONGUA,Territorial,Centralizada,CO1.REQ.4135695,022-2023,709813299,CO1.BDOS.4039921,PRESTACION DE SERVICIOS TECNICOS PARA LA CALIBRACION DE LOS DISPOSITIVOS MEDICOS DE LA E.S.E,PRESTACION DE SERVICIOS TECNICOS PARA LA CALIBRACION DE LOS DISPOSITIVOS MEDICOS DE LA E.S.E AÑO 2023,Presentación de oferta,02/20/2023,02/20/2023,,,,,02/20/2023,"4,545,000",Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),,,,Mongua,OFICINA CONTRATACION ESE MONGUA,0,0,0,0,0,0,0,0,1,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85161500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4040695,"709,813,299",Presentación de oferta,2023,0.00432108451923077,,1,4545000,1.05181927818646,V1.851,True,14.704550743103,0.03176980328913284,44.1136522293091,1,-0.928469812062786,0.552825843134251,-0.12253421315653137,0.07153018793721418
94624,94624,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,BOYACÁ,MONGUA,Territorial,Centralizada,CO1.REQ.3869213,01-2023,709813299,CO1.BDOS.3773178,PRESTACION DE SERVICIOS AUXILIAR DE ENFERMERIA,PRESTACION DE SERVICIOS DE APOYO ASISTENCIAL COMO AUXILIAR DE ENFERMERIA AL SERVICIO DE LA E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA PRIMER TRIMESTRE AÑO 2023,Presentación de oferta,01/17/2023,01/17/2023,,,,,01/17/2023,"4,500,000",Contratación régimen especial,Decreto 092 de 2017,3,Mes(es),,,,Mongua,OFICINA CONTRATACION ESE MONGUA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3775756,"709,813,299",Presentación de oferta,2023,0.00432108451923077,,1,4500000,1.04140522592719,V1.851,True,0.2,0.000432108451923077,0.6,0,4.20702612963595,0.000869411026784,0.002771566192307695,5.20702612963595
98796,98796,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,BOYACÁ,MONGUA,Territorial,Centralizada,CO1.REQ.4134703,019-2023,709813299,CO1.BDOS.4038810,SERVICIO MANTENIMIENTO PREDICTIVO Y CORRECTIVO EQUIPOS BIOMEDICOS,SERVICIO MANTENIMIENTO PREDICTIVO Y CORRECTIVO EQUIPOS BIOMEDICOS AÑO 2023,Presentación de oferta,02/20/2023,02/20/2023,,,,,02/20/2023,"6,000,000",Contratación régimen especial,Decreto 092 de 2017,11,Mes(es),,,,Mongua,OFICINA CONTRATACION ESE MONGUA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85161503,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4039596,"709,813,299",Presentación de oferta,2023,0.00432108451923077,,1,6000000,1.38854030123625,V1.851,True,0.2,0.000432108451923077,0.6,0,5.94270150618126,0.0002996994879055,0.004271566192307682,6.94270150618125
108997,108997,E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA,826002930,BOYACÁ,MONGUA,Territorial,Centralizada,CO1.REQ.3878265,09-2022,709813299,CO1.BDOS.3782642,SERVICIO TOMA; PROCESAMIENTO Y ANALISIS DE LABORATORIO,"SERVICIO PROFESIONALES PARA LA TOMA, PROCESAMIENTO Y ANALISIS DE LABORATORIO (UROCULTIVOS Y ANTIBIOGRAMA) PARA EL SERVICIO DE LA E.S.E CENTRO DE SALUD SAN JERONIMO DE MONGUA AÑO 2023",Presentación de oferta,01/18/2023,01/18/2023,,,,,01/18/2023,"1,000,000",Contratación régimen especial,Decreto 092 de 2017,12,Mes(es),,,,Mongua,OFICINA CONTRATACION ESE MONGUA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85121801,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3784652,"709,813,299",Presentación de oferta,2023,0.00432108451923077,,1,1000000,0.231423383539375,V1.851,True,0.2,0.000432108451923077,0.6,1,0.157116917696877,0.21735043108703,-0.0007284338076923097,1.157116917696875
