,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
3170,3170,INSTITUCION EDUCATIVA TELEPALMERITAS,900027315,BOYACÁ,SAN LUIS DE GACENO,Territorial,Centralizada,CO1.REQ.5242640,007-2023,706110673,CO1.BDOS.5127795,SUMINISTRO DE PAQUETE DE DIPLOMAS PARA BACHILLER PROMOCION 2023; CERTIFICADOS DE LOS GRADOS NOVENO; QUINTO Y MNECIONES DE HONOR,"SUMINISTRO DE PAQUETE DE DIPLOMAS PARA BACHILLER PROMOCION 2023, CERTIFICADOS DE LOS GRADOS NOVENO, QUINTO Y MNECIONES DE HONOR",Presentación de oferta,11/03/2023,11/03/2023,,,,,11/03/2023,"554,540",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,San Luis De Gaceno,LILIANA ANDREA AREVALO MANCIPE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.60101600,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5140245,"706,110,673",Presentación de oferta,2023,0.00432108451923077,,1,554540,0.128333523107925,V1.601,True,4.06821250915527,0.008789545047125901,12.2046375274658,1,-0.968454567498842,0.505970561796986,-0.03460364018850361,0.0315454325011582
16849,16849,ESE HOSPITAL SAN FRANCISCO SAN LUIS DE GACENO,860060016,BOYACÁ,SAN LUIS DE GACENO,Territorial,Centralizada,CO1.REQ.5453344,CONTRATO ESEHSF-CD- No. 111 DE 2023,709729909,CO1.BDOS.5335209,REALIZAR EL MANTENIMIENTO CORRECTIVO PARA EL PARQUE AUTOMOTOR DE LA E.S.E. HOSPITAL SAN FRANCISCO,REALIZAR EL MANTENIMIENTO CORRECTIVO PARA EL PARQUE AUTOMOTOR DE LA E.S.E. HOSPITAL SAN FRANCISCO,Presentación de oferta,12/23/2023,12/23/2023,,,,,12/23/2023,"1,000,000",Contratación régimen especial,Decreto 092 de 2017,7,día(s),,,,San Luis De Gaceno,Gerencia,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85161501,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5349007,"709,729,909",Presentación de oferta,2023,0.00432108451923077,,1,1000000,0.231423383539375,V1.851,True,15.1032667160034,0.03263124599816782,45.3098001480103,1,-0.984677263012633,0.487464938630492,-0.1295249839926713,0.015322736987367051
28267,28267,ESE HOSPITAL SAN FRANCISCO SAN LUIS DE GACENO,860060016,BOYACÁ,SAN LUIS DE GACENO,Territorial,Centralizada,CO1.REQ.4538036,ESEHSF-CD- No. 055 DE 2023,709729909,CO1.BDOS.4361719,CONTRATAR LA PRESTACION DE SERVICIOS PROFESIONALES COMO PSICÓLOGA PARA COORDINAR LAS ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS P.I.C DEPARTAMENTAL DEL MUNICIPIO DE SAN LUIS DE GACENO EN LA E.S,CONTRATAR LA PRESTACION DE SERVICIOS PROFESIONALES COMO PSICÓLOGA PARA COORDINAR LAS ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS P.I.C DEPARTAMENTAL DEL MUNICIPIO DE SAN LUIS DE GACENO EN LA E.S.E HOSPITAL SAN FRANCISCO,Presentación de oferta,05/18/2023,05/18/2023,,,,,05/17/2023,"6,000,000",Contratación régimen especial,Decreto 092 de 2017,6,Mes(es),,,,San Luis De Gaceno,Gerencia,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85121608,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4439914,"709,729,909",Presentación de oferta,2023,0.00432108451923077,,1,6000000,1.38854030123625,V1.851,True,0.2,0.000432108451923077,0.6,0,5.94270150618126,0.0002996994879055,0.004271566192307682,6.94270150618125
30353,30353,ESE HOSPITAL SAN FRANCISCO SAN LUIS DE GACENO,860060016,BOYACÁ,SAN LUIS DE GACENO,Territorial,Centralizada,CO1.REQ.5354474,ESEHSF-CD- No.101DE 2023,709729909,CO1.BDOS.5237530,AUXILIAR SIAU,PRESTACIÓN DE SERVICIOS EN EL AERA DE SIAU EN LA E.S.E HOSPITAL SAN FRANCISCO,Presentación de oferta,11/29/2023,11/29/2023,,,,,11/28/2023,"800,000",Contratación régimen especial,Decreto 092 de 2017,1,Mes(es),,,,San Luis De Gaceno,Gerencia,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5250847,"709,729,909",Presentación de oferta,2023,0.00432108451923077,,1,800000,0.1851387068315,V1.801,True,0.2,0.000432108451923077,0.6,1,-0.0743064658424984,0.394388016375787,-0.0009284338076923094,0.9256935341574999
36063,36063,INSTITUCION EDUCATIVA TELEPALMERITAS,900027315,BOYACÁ,SAN LUIS DE GACENO,Territorial,Centralizada,CO1.REQ.4570371,002 DE 2023,706110673,CO1.BDOS.4468026,SERVICIO DE INTERNET PARA LAS OFICINAS DE RECTORIA SECRETARIA; ORIENTACION ESCOLAR Y SALA DE PROFESORES DE LA SEDE  PRINCIPAL DE IE TELEPALMERITAS,"SERVICIO DE INTERNET PARA LAS OFICINAS DE RECTORIA SECRETARIA, ORIENTACION ESCOLAR Y SALA DE PROFESORES DE LA SEDE  PRINCIPAL DE IE TELEPALMERITAS",Presentación de oferta,05/25/2023,05/25/2023,,,,,05/25/2023,"4,800,000",Contratación régimen especial,Regla aplicable,7,Mes(es),,,,San Luis De Gaceno,LILIANA ANDREA AREVALO MANCIPE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81112100,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4472128,"706,110,673",Presentación de oferta,2023,0.00432108451923077,,1,4800000,1.110832240989,V1.811,True,0.2,0.000432108451923077,0.6,0,4.55416120494501,0.0006837945887858,0.003071566192307683,5.554161204944999
66241,66241,ESE HOSPITAL SAN FRANCISCO SAN LUIS DE GACENO,860060016,BOYACÁ,SAN LUIS DE GACENO,Territorial,Centralizada,CO1.REQ.4538027,ESEHSF-CD- No. 053 DE 2023,709729909,CO1.BDOS.4361614,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO PSICÓLOGA PARA COORDINAR Y DESARROLLAR LAS ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS P.I.C BRINDAR ASESORIA Y CONSULTA; EN LA E.S.E HOSPITAL SAN FRAN,"PRESTACIÓN DE SERVICIOS PROFESIONALES COMO PSICÓLOGA PARA COORDINAR Y DESARROLLAR LAS ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS P.I.C BRINDAR ASESORIA Y CONSULTA, EN LA E.S.E HOSPITAL SAN FRANCISCO SEDE SAN LUIS DE GACENO",Presentación de oferta,05/18/2023,05/18/2023,,,,,05/17/2023,"19,600,000",Contratación régimen especial,Decreto 092 de 2017,7,Mes(es),,,,San Luis De Gaceno,Gerencia,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85121608,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4439736,"709,729,909",Presentación de oferta,2023,0.00432108451923077,,1,19600000,4.53589831737176,V1.851,True,10.9775514602661,0.02371746383700749,32.9326543807983,1,-0.58680236355168,0.850097906972567,-0.07526985534802995,0.41319763644832036
71638,71638,ESE HOSPITAL SAN FRANCISCO SAN LUIS DE GACENO,860060016,BOYACÁ,SAN LUIS DE GACENO,Territorial,Centralizada,CO1.REQ.3931359,ESEHSF-CD- No. 016 DE 2023,709729909,CO1.BDOS.3836128,SERVICIO DE COLORACIÓN Y LECTURA DE CITOLOGÍAS CERVICOUTERINAS,PRESTAR LOS SERVICIO DE COLORACIÓN Y LECTURA DE CITOLOGÍAS CERVICOUTERINAS PARA LA E.S.E HOSPITAL SAN FRANCISCO,Presentación de oferta,01/25/2023,01/25/2023,,,,,01/24/2023,"2,000,000",Contratación régimen especial,Decreto 092 de 2017,11,Mes(es),,,,San Luis De Gaceno,Gerencia,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3836720,"709,729,909",Presentación de oferta,2023,0.00432108451923077,,1,2000000,0.462846767078751,V1.801,True,0.2,0.000432108451923077,0.6,1,1.31423383539375,0.0186999777549805,0.0002715661923076928,2.314233835393755
92560,92560,ESE HOSPITAL SAN FRANCISCO SAN LUIS DE GACENO,860060016,BOYACÁ,SAN LUIS DE GACENO,Territorial,Centralizada,CO1.REQ.4967496,ESEHSF-CD- No. 092 DE 2023,709729909,CO1.BDOS.4858911,Medico de apoyo,PRESTACION DE SERVICIOS PROFESIONALES COMO MEDICA PARA APOYO EN EL AREA ASISTENCIAL EN LA E.S.E HOSPITAL SAN FRANCISCO Y SEDE CENTRO DE SALUD SANTA MARIA,Presentación de oferta,08/22/2023,08/22/2023,,,,,08/22/2023,"8,000,000",Contratación régimen especial,Decreto 092 de 2017,3,Mes(es),,,,San Luis De Gaceno,Gerencia,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4867194,"709,729,909",Presentación de oferta,2023,0.00432108451923077,,1,8000000,1.851387068315,V1.801,True,0.2,0.000432108451923077,0.6,0,8.25693534157502,0.0001046700828832,0.006271566192307678,9.256935341575
97536,97536,ESE HOSPITAL SAN FRANCISCO SAN LUIS DE GACENO,860060016,BOYACÁ,SAN LUIS DE GACENO,Territorial,Centralizada,CO1.REQ.4000636,ESEHSF-CD- No. 028 DE 2023,709729909,CO1.BDOS.3905011,lectura de rx,INTERPRETACION DE ESTUDIOS RADIOLOGICOS TOMADOS EN LA E.S.E HOSPITAL SAN FRANCISCO,Presentación de oferta,02/02/2023,02/02/2023,,,,,02/01/2023,"3,000,000",Contratación régimen especial,Decreto 092 de 2017,3,Mes(es),,,,San Luis De Gaceno,Gerencia,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3906708,"709,729,909",Presentación de oferta,2023,0.00432108451923077,,1,3000000,0.694270150618126,V1.801,True,0.2,0.000432108451923077,0.6,0,2.47135075309063,0.0039958748821193,0.0012715661923076913,3.47135075309063
112667,112667,ESE HOSPITAL SAN FRANCISCO SAN LUIS DE GACENO,860060016,BOYACÁ,SAN LUIS DE GACENO,Territorial,Centralizada,CO1.REQ.4666410,ESEHSF-CD-No 068 DE 2023,709729909,CO1.BDOS.4562416,compra de medicamnetos y material medicoquirurgico,"CONTRATAR EL SUMINISTRO DE INSUMOS DE LABORATORIO Y ODONTOLOGÍA, MATERIAL MÉDICO QUIRÚRGICO Y MEDICAMENTOS PARA LA E.S.E HOSPITAL SAN FRANCISCO",Presentación de oferta,06/14/2023,06/14/2023,,,,,06/13/2023,"70,000,000",Contratación régimen especial,Decreto 092 de 2017,15,día(s),,,,San Luis De Gaceno,Gerencia,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.51121700,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4568036,"709,729,909",Presentación de oferta,2023,0.00432108451923077,,1,70000000,16.1996368477563,V1.511,True,4.171715259552,0.00901316711334446,12.515145778656,0,2.88320770710893,0.0026138491745654,0.033947331546622245,3.88320770710894
