,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,0,629751,2438,4064,MUNICIPIO DE TUNUNGUA,800099639,BOYACÁ,TUNUNGUÁ,Territorial,Centralizada,CO1.REQ.6499068,ESAL 006 DE 2024,704930031,CO1.BDOS.6374778,CONTRATAR CON UNA ESAL; EL FUNCIONAMIENTO DEL CENTRO VIDA EN EL MUNICIPIO DE TUNUNGUÁ BOYACA PARA BRINDAR ATENCION INTEGRAL A ADULTOS MAYORES EN CONDICIONES DE EXTREMA VULNERABILIDAD ECONÓMICA Y SOCIA,"CONTRATAR CON UNA ESAL, EL FUNCIONAMIENTO DEL CENTRO VIDA EN EL MUNICIPIO DE TUNUNGUÁ BOYACA PARA BRINDAR ATENCION INTEGRAL A ADULTOS MAYORES EN CONDICIONES DE EXTREMA VULNERABILIDAD ECONÓMICA Y SOCIAL VIGENCIA 2024",Presentación de oferta,07/10/2024,07/10/2024,,,,,07/10/2024,392181793,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),07/12/2024,07/12/2024,07/12/2024,Tununguá,CONTRATACIÓN,0,0,7,0,1,0,0,1,1,Seleccionado,70,Si,CO1.AWD.1979232,714458999,Boyacá,Tunja,07/17/2024,392181793,ELKIN JESUS ALFONSO GIL,FUNDACION INTEGRAL PARA EL SERVICIO SOCIAL,901074447,V1.94131607,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6385085,704930031,Adjudicado,2024,3.9155429850746266,,1,392181793,392.181793,V1.941,True,722.5396829858852,1414.5675935767135,553.5934753417968,1,-0.4572176418334364,0.7318527345092867,-84.370901110051,-21.96549224853516,8435.15369959265,0.5427823581665636
1,1,179594,1215,1983,MUNICIPIO DE TUNUNGUA,800099639,BOYACÁ,TUNUNGUÁ,Territorial,Centralizada,CO1.REQ.6301515,ESAL No 004 DE 2024,704930031,CO1.BDOS.6178899,CONTRATAR CON UNA ESAL PARA LA ORGANIZACIÓN  LOGÍSTICA INTEGRAL  DEL FESTIVAL AÑOS DORADOS; ARTISTICO; DEPORTIVO; CULTURAL; Y AGROPECUARIO DE LA GUANABANA EN HONOR AL CAMPESINO TUNUNGÜENSE,"CONTRATAR CON UNA ESAL PARA LA ORGANIZACIÓN  LOGÍSTICA INTEGRAL  DEL FESTIVAL AÑOS DORADOS, ARTISTICO, DEPORTIVO, CULTURAL, Y AGROPECUARIO DE LA GUANABANA EN HONOR AL CAMPESINO TUNUNGÜENSE",Presentación de oferta,05/27/2024,05/27/2024,,,,,05/27/2024,398000000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),05/29/2024,05/29/2024,05/29/2024,Tununguá,CONTRATACIÓN,0,0,7,0,1,0,0,1,1,Seleccionado,70,Si,CO1.AWD.1941988,704892066,Boyacá,Tunja,06/04/2024,398000000,ELKIN JESUS ALFONSO GIL,CORPADESO ONG,901182398,V1.90131500,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6187951,704930031,Adjudicado,2024,3.9155429850746266,,1,398000000,398.0,V1.901,True,517.8373111243451,1013.8071254914182,396.7551727294923,1,-0.2314188424626075,0.7598282849990966,-30.605540938037,-19.1094970703125,7513.475134684258,0.7685811575373925
2,2,692151,879,1422,MUNICIPIO DE TUNUNGUA,800099639,BOYACÁ,TUNUNGUÁ,Territorial,Centralizada,CO1.REQ.6663059,ESAL 008 DE 2024,704930031,CO1.BDOS.6536578,BRINDAR ALIMENTACION ESCOLAR A LOS ESTUDIANTES MATRICULADOS EN INSTITUCIONES EDUCATIVAS OFICIALES; DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRATIVOS VIGENTES CON LOS TERMINOS Y ALCANCE ESTABL,"BRINDAR ALIMENTACION ESCOLAR A LOS ESTUDIANTES MATRICULADOS EN INSTITUCIONES EDUCATIVAS OFICIALES, DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRATIVOS VIGENTES CON LOS TERMINOS Y ALCANCE ESTABLECIDOS EN EL PROYECTO: SUMINISTRO DE COMPLEMENTO ALIMENTARIO A ESTUDIANTES DE LAS INSTITUCIONES EDUCATIVAS OFICIALES PARA GARANTIZAR EL PROGRAMA DE ALIMENTACION ESCOLAR PAE, DURANTE EL DURANTE EL SEGUNDO SEMESTRE DEL AÑO 2024 AÑO 2024 DEPARTAMENTO DE BOYACÁ. (EN CUMPLIMIENTO DEL CONVENIO INTERADMINI",Presentación de oferta,08/14/2024,08/14/2024,,,,,08/14/2024,77923637,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),08/16/2024,08/16/2024,08/16/2024,Tununguá,CONTRATACIÓN,0,0,3,0,1,0,0,1,1,Seleccionado,70,Si,CO1.AWD.2008602,711808071,Boyacá,Chiquinquirá,08/20/2024,77923637,ELKIN JESUS ALFONSO GIL,FUNVIDA,901079319,V1.93131611,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6548761,704930031,Adjudicado,2024,3.9155429850746266,,1,77923637,77.92363700000001,V1.931,True,543.8087918051466,1064.6533499872749,416.6539306640625,1,-0.8567076550172418,0.3310015737481763,-118.9835372976418,-53.72980880737305,4120.064341260457,0.1432923449827582
3,3,534340,9676,15977,MUNICIPIO DE TUNUNGUA,800099639,BOYACÁ,TUNUNGUÁ,Territorial,Centralizada,CO1.REQ.5520088,REGIMEN ESPECIAL ESAL nº 001 de 2024,704930031,CO1.BDOS.5402949,BRINDAR ALIMENTACION ESCOLAR A LOS ESTUDIANTES MATRICULADOS EN INSTITUCIONES EDUCATIVAS OFICIALES; DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRATIVOS VIGENTES CON LOS TERMINOS Y ALCANCE ESTABL,"BRINDAR ALIMENTACION ESCOLAR A LOS ESTUDIANTES MATRICULADOS EN INSTITUCIONES EDUCATIVAS OFICIALES, DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRATIVOS VIGENTES CON LOS TERMINOS Y ALCANCE ESTABLECIDOS EN EL PROYECTO: SUMINISTRO DE COMPLEMENTO ALIMENTARIO A ESTUDIANTES DE LAS INSTITUCIONES EDUCATIVAS OFICIALES PARA GARANTIZAR EL PROGRAMA DE ALIMENTACION ESCOLAR PAE, DURANTE EL AÑO 2024 DEPARTAMENTO DE BOYACÁ. (EN CUMPLIMIENTO DEL CONVENIO INTERADMINISTRATIVO No. 3706 DE 2023 CELEBRADO ENTRE",Presentación de oferta,01/11/2024,01/11/2024,,,,,01/11/2024,69425940,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),01/12/2024,01/12/2024,01/12/2024,Tununguá,CONTRATACIÓN,0,0,4,0,1,0,0,1,1,Seleccionado,70,Si,CO1.AWD.1826902,711808071,Boyacá,Chiquinquirá,01/18/2024,69425940,ELKIN JESUS ALFONSO GIL,FUNVIDA,901079319,V1.93131611,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5414911,704930031,Adjudicado,2024,3.9155429850746266,,1,69425940,69.42594,V1.931,True,543.8087918051466,1064.6533499872749,416.6539306640625,1,-0.8723339139671795,0.3798791168499452,-121.1537847019972,-55.94379425048828,3823.3879010356936,0.1276660860328204
4,4,208850,5004,8391,MUNICIPIO DE TUNUNGUA,800099639,BOYACÁ,TUNUNGUÁ,Territorial,Centralizada,CO1.REQ.6171229,ESAL. 003 DE 2024,704930031,CO1.BDOS.6051166,SUMINISTRO DE COMPLEMENTO ALIMENTARIO A ESTUDIANTES MATRICULADOS DE LA INSTITUCION EDUCATIVA LUIS GUILLERMO ROJAS BARRERA DEL MUNICIPIO DE TUNUNGUA DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRAT,SUMINISTRO DE COMPLEMENTO ALIMENTARIO A ESTUDIANTES MATRICULADOS DE LA INSTITUCION EDUCATIVA LUIS GUILLERMO ROJAS BARRERA DEL MUNICIPIO DE TUNUNGUA DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRATIVOS VIGENTES DEL PROGRAMA DE ALIMENTACION ESCOLAR PAE VIGENCIA 2024,Presentación de oferta,04/30/2024,04/30/2024,,,,,04/30/2024,49054352,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),05/03/2024,05/03/2024,05/03/2024,Tununguá,CONTRATACIÓN,0,0,6,0,1,0,0,1,1,Seleccionado,70,Si,CO1.AWD.1920339,711808071,Boyacá,Chiquinquirá,05/08/2024,49054352,ELKIN JESUS ALFONSO GIL,FUNVIDA,901079319,V1.93131611,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6058900,704930031,Adjudicado,2024,3.9155429850746266,,1,49054352,49.05435199999999,V1.931,True,531.8988160707296,1041.336339017622,407.5287780761718,1,-0.9077750306677184,0.3604770240904415,-123.3148163386915,-4.823338508605957,192.07542912512656,0.0922249693322817
5,0,629751,2438,4064,MUNICIPIO DE TUNUNGUA,800099639,BOYACÁ,TUNUNGUÁ,Territorial,Centralizada,CO1.REQ.6499068,ESAL 006 DE 2024,704930031,CO1.BDOS.6374778,CONTRATAR CON UNA ESAL; EL FUNCIONAMIENTO DEL CENTRO VIDA EN EL MUNICIPIO DE TUNUNGUÁ BOYACA PARA BRINDAR ATENCION INTEGRAL A ADULTOS MAYORES EN CONDICIONES DE EXTREMA VULNERABILIDAD ECONÓMICA Y SOCIA,"CONTRATAR CON UNA ESAL, EL FUNCIONAMIENTO DEL CENTRO VIDA EN EL MUNICIPIO DE TUNUNGUÁ BOYACA PARA BRINDAR ATENCION INTEGRAL A ADULTOS MAYORES EN CONDICIONES DE EXTREMA VULNERABILIDAD ECONÓMICA Y SOCIAL VIGENCIA 2024",Presentación de oferta,07/10/2024,07/10/2024,,,,,07/10/2024,392181793,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),07/12/2024,07/12/2024,07/12/2024,Tununguá,CONTRATACIÓN,0,0,7,0,1,0,0,1,1,Seleccionado,70,Si,CO1.AWD.1979232,714458999,Boyacá,Tunja,07/17/2024,392181793,ELKIN JESUS ALFONSO GIL,FUNDACION INTEGRAL PARA EL SERVICIO SOCIAL,901074447,V1.94131607,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6385085,704930031,Adjudicado,2024,3.9155429850746266,,1,392181793,392.181793,V1.941,True,722.5396829858852,1414.5675935767135,553.5934753417968,1,-0.4572176418334364,0.7318527345092867,-84.370901110051,-21.96549224853516,8435.15369959265,0.5427823581665636
6,1,179594,1215,1983,MUNICIPIO DE TUNUNGUA,800099639,BOYACÁ,TUNUNGUÁ,Territorial,Centralizada,CO1.REQ.6301515,ESAL No 004 DE 2024,704930031,CO1.BDOS.6178899,CONTRATAR CON UNA ESAL PARA LA ORGANIZACIÓN  LOGÍSTICA INTEGRAL  DEL FESTIVAL AÑOS DORADOS; ARTISTICO; DEPORTIVO; CULTURAL; Y AGROPECUARIO DE LA GUANABANA EN HONOR AL CAMPESINO TUNUNGÜENSE,"CONTRATAR CON UNA ESAL PARA LA ORGANIZACIÓN  LOGÍSTICA INTEGRAL  DEL FESTIVAL AÑOS DORADOS, ARTISTICO, DEPORTIVO, CULTURAL, Y AGROPECUARIO DE LA GUANABANA EN HONOR AL CAMPESINO TUNUNGÜENSE",Presentación de oferta,05/27/2024,05/27/2024,,,,,05/27/2024,398000000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),05/29/2024,05/29/2024,05/29/2024,Tununguá,CONTRATACIÓN,0,0,7,0,1,0,0,1,1,Seleccionado,70,Si,CO1.AWD.1941988,704892066,Boyacá,Tunja,06/04/2024,398000000,ELKIN JESUS ALFONSO GIL,CORPADESO ONG,901182398,V1.90131500,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6187951,704930031,Adjudicado,2024,3.9155429850746266,,1,398000000,398.0,V1.901,True,517.8373111243451,1013.8071254914182,396.7551727294923,1,-0.2314188424626075,0.7598282849990966,-30.605540938037,-19.1094970703125,7513.475134684258,0.7685811575373925
7,2,692151,879,1422,MUNICIPIO DE TUNUNGUA,800099639,BOYACÁ,TUNUNGUÁ,Territorial,Centralizada,CO1.REQ.6663059,ESAL 008 DE 2024,704930031,CO1.BDOS.6536578,BRINDAR ALIMENTACION ESCOLAR A LOS ESTUDIANTES MATRICULADOS EN INSTITUCIONES EDUCATIVAS OFICIALES; DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRATIVOS VIGENTES CON LOS TERMINOS Y ALCANCE ESTABL,"BRINDAR ALIMENTACION ESCOLAR A LOS ESTUDIANTES MATRICULADOS EN INSTITUCIONES EDUCATIVAS OFICIALES, DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRATIVOS VIGENTES CON LOS TERMINOS Y ALCANCE ESTABLECIDOS EN EL PROYECTO: SUMINISTRO DE COMPLEMENTO ALIMENTARIO A ESTUDIANTES DE LAS INSTITUCIONES EDUCATIVAS OFICIALES PARA GARANTIZAR EL PROGRAMA DE ALIMENTACION ESCOLAR PAE, DURANTE EL DURANTE EL SEGUNDO SEMESTRE DEL AÑO 2024 AÑO 2024 DEPARTAMENTO DE BOYACÁ. (EN CUMPLIMIENTO DEL CONVENIO INTERADMINI",Presentación de oferta,08/14/2024,08/14/2024,,,,,08/14/2024,77923637,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),08/16/2024,08/16/2024,08/16/2024,Tununguá,CONTRATACIÓN,0,0,3,0,1,0,0,1,1,Seleccionado,70,Si,CO1.AWD.2008602,711808071,Boyacá,Chiquinquirá,08/20/2024,77923637,ELKIN JESUS ALFONSO GIL,FUNVIDA,901079319,V1.93131611,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6548761,704930031,Adjudicado,2024,3.9155429850746266,,1,77923637,77.92363700000001,V1.931,True,543.8087918051466,1064.6533499872749,416.6539306640625,1,-0.8567076550172418,0.3310015737481763,-118.9835372976418,-53.72980880737305,4120.064341260457,0.1432923449827582
8,3,534340,9676,15977,MUNICIPIO DE TUNUNGUA,800099639,BOYACÁ,TUNUNGUÁ,Territorial,Centralizada,CO1.REQ.5520088,REGIMEN ESPECIAL ESAL nº 001 de 2024,704930031,CO1.BDOS.5402949,BRINDAR ALIMENTACION ESCOLAR A LOS ESTUDIANTES MATRICULADOS EN INSTITUCIONES EDUCATIVAS OFICIALES; DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRATIVOS VIGENTES CON LOS TERMINOS Y ALCANCE ESTABL,"BRINDAR ALIMENTACION ESCOLAR A LOS ESTUDIANTES MATRICULADOS EN INSTITUCIONES EDUCATIVAS OFICIALES, DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRATIVOS VIGENTES CON LOS TERMINOS Y ALCANCE ESTABLECIDOS EN EL PROYECTO: SUMINISTRO DE COMPLEMENTO ALIMENTARIO A ESTUDIANTES DE LAS INSTITUCIONES EDUCATIVAS OFICIALES PARA GARANTIZAR EL PROGRAMA DE ALIMENTACION ESCOLAR PAE, DURANTE EL AÑO 2024 DEPARTAMENTO DE BOYACÁ. (EN CUMPLIMIENTO DEL CONVENIO INTERADMINISTRATIVO No. 3706 DE 2023 CELEBRADO ENTRE",Presentación de oferta,01/11/2024,01/11/2024,,,,,01/11/2024,69425940,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),01/12/2024,01/12/2024,01/12/2024,Tununguá,CONTRATACIÓN,0,0,4,0,1,0,0,1,1,Seleccionado,70,Si,CO1.AWD.1826902,711808071,Boyacá,Chiquinquirá,01/18/2024,69425940,ELKIN JESUS ALFONSO GIL,FUNVIDA,901079319,V1.93131611,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5414911,704930031,Adjudicado,2024,3.9155429850746266,,1,69425940,69.42594,V1.931,True,543.8087918051466,1064.6533499872749,416.6539306640625,1,-0.8723339139671795,0.3798791168499452,-121.1537847019972,-55.94379425048828,3823.3879010356936,0.1276660860328204
9,4,208850,5004,8391,MUNICIPIO DE TUNUNGUA,800099639,BOYACÁ,TUNUNGUÁ,Territorial,Centralizada,CO1.REQ.6171229,ESAL. 003 DE 2024,704930031,CO1.BDOS.6051166,SUMINISTRO DE COMPLEMENTO ALIMENTARIO A ESTUDIANTES MATRICULADOS DE LA INSTITUCION EDUCATIVA LUIS GUILLERMO ROJAS BARRERA DEL MUNICIPIO DE TUNUNGUA DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRAT,SUMINISTRO DE COMPLEMENTO ALIMENTARIO A ESTUDIANTES MATRICULADOS DE LA INSTITUCION EDUCATIVA LUIS GUILLERMO ROJAS BARRERA DEL MUNICIPIO DE TUNUNGUA DE ACUERDO CON LOS LINEAMIENTOS TECNICO ADMINISTRATIVOS VIGENTES DEL PROGRAMA DE ALIMENTACION ESCOLAR PAE VIGENCIA 2024,Presentación de oferta,04/30/2024,04/30/2024,,,,,04/30/2024,49054352,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),05/03/2024,05/03/2024,05/03/2024,Tununguá,CONTRATACIÓN,0,0,6,0,1,0,0,1,1,Seleccionado,70,Si,CO1.AWD.1920339,711808071,Boyacá,Chiquinquirá,05/08/2024,49054352,ELKIN JESUS ALFONSO GIL,FUNVIDA,901079319,V1.93131611,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6058900,704930031,Adjudicado,2024,3.9155429850746266,,1,49054352,49.05435199999999,V1.931,True,531.8988160707296,1041.336339017622,407.5287780761718,1,-0.9077750306677184,0.3604770240904415,-123.3148163386915,-4.823338508605957,192.07542912512656,0.0922249693322817
