,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,0,289914,8897,14666,MUNICIPIO DE TAURAMENA,800012873,CASANARE,TAURAMENA,Territorial,Centralizada,CO1.REQ.6058147,CRE-MT-SDS-009-2024,702028135,CO1.BDOS.5939593,CRE-MT-SDS-009-2024,DESARROLLAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR EN LA MODALIDAD RACION PREPARADA EN SITIO (ALMUERZO) PARA LOS ESTUDIANTES FOCALIZADOS EN LAS INSTITUCIONES EDUCATIVAS OFICIALES URBANAS DEL MUNICIPIO DE TAURAMENA.,Presentación de oferta,04/08/2024,04/08/2024,,,,,04/08/2024,2979930960,Contratación régimen especial (con ofertas),Regla aplicable,otro,Mes(es),04/10/2024,04/10/2024,04/10/2024,Tauramena,SECRETARIA DE DESARROLLO SOCIAL,0,0,4,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1898121,702137399,Casanare,Tauramena,04/11/2024,2979930960,LINDA CRISTINA REINA CIPRIAN,ASOPADRES JMC,844000512,V1.90101600,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5947484,702028135,Adjudicado,2024,3.9155429850746266,,1,2979930960,2979.93096,V1.901,True,593.0093316189302,1160.9767642521476,454.3502655029298,0,4.025099608238397,7.565908006529146e-05,609.6016918929514,-49.21819686889648,158661.34758467317,5.025099608238397
1,1,111517,9521,15774,MUNICIPIO DE TAURAMENA,800012873,CASANARE,TAURAMENA,Territorial,Centralizada,CO1.REQ.6470260,SAMT-SDS-005-2024 (Presentación de oferta),702028135,CO1.BDOS.6302619,SAMT-SDS-005-2024 (Presentación de oferta),SERVICIO DE TRANSPORTE ESCOLAR PARA LOS ESTUDIANTES DEL AREA RURAL DE LAS INSTITUCIONES EDUCATIVAS OFICIALES DEL MUNICIPIO DE TAURAMENA,Presentación de oferta,07/04/2024,07/04/2024,,,,,07/04/2024,3651722935,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Proceso de licitación pública declarado desierto,otro,Mes(es),07/11/2024,07/11/2024,07/11/2024,Tauramena,SECRETARIA DE DESARROLLO SOCIAL,0,0,9,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1984904,726848062,No Definido,Tauramena,,7302450240,LINDA CRISTINA REINA CIPRIAN,Union Temporal Transportando sueños,No Definido,V1.78111803,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6355562,702028135,Adjudicado,2024,3.9155429850746266,,1,3651722935,3651.722935,V1.781,True,219.35896633150128,429.45473091626553,168.0678520202637,0,15.64724718606403,7.348060541959542e-09,876.5997415306324,-14.43224334716797,109841.96545331868,16.647247186064035
2,2,111518,9522,15775,MUNICIPIO DE TAURAMENA,800012873,CASANARE,TAURAMENA,Territorial,Centralizada,CO1.REQ.6470260,SAMT-SDS-005-2024 (Presentación de oferta),702028135,CO1.BDOS.6302619,SAMT-SDS-005-2024 (Presentación de oferta),SERVICIO DE TRANSPORTE ESCOLAR PARA LOS ESTUDIANTES DEL AREA RURAL DE LAS INSTITUCIONES EDUCATIVAS OFICIALES DEL MUNICIPIO DE TAURAMENA,Presentación de oferta,07/04/2024,07/04/2024,,,,,07/04/2024,3651722935,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Proceso de licitación pública declarado desierto,otro,Mes(es),07/11/2024,07/11/2024,07/11/2024,Tauramena,SECRETARIA DE DESARROLLO SOCIAL,0,0,9,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1984904,726848062,No Definido,Tauramena,,7302450240,LINDA CRISTINA REINA CIPRIAN,Union Temporal Transportando sueños,No Definido,V1.78111803,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6355562,702028135,Adjudicado,2024,3.9155429850746266,,1,3651722935,3651.722935,V1.781,True,219.35896633150128,429.45473091626553,168.0678520202637,0,15.64724718606403,7.348060541959542e-09,876.5997415306324,-14.43224334716797,109841.96545331868,16.647247186064035
3,3,455047,7330,12319,MUNICIPIO DE TAURAMENA,800012873,CASANARE,TAURAMENA,Territorial,Centralizada,CO1.REQ.6427141,SAMT-SDS-005-2024,702028135,CO1.BDOS.6302619,SAMT-SDS-005-2024,SERVICIO DE TRANSPORTE ESCOLAR PARA LOS ESTUDIANTES DEL AREA RURAL DE LAS INSTITUCIONES EDUCATIVAS OFICIALES DEL MUNICIPIO DE TAURAMENA,Presentación de observaciones,06/26/2024,06/26/2024,,,,06/26/2024,,3651722935,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Proceso de licitación pública declarado desierto,otro,Mes(es),07/11/2024,07/11/2024,07/11/2024,Tauramena,SECRETARIA DE DESARROLLO SOCIAL,0,0,9,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.78111803,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6312730,702028135,Presentación de observaciones,2024,3.9155429850746266,,1,3651722935,3651.722935,V1.781,True,219.35896633150128,429.45473091626553,168.0678520202637,0,15.64724718606403,8.277688545208486e-09,876.5997415306324,-2.705824375152588,67020.33234779097,16.647247186064035
4,4,645135,5273,8682,MUNICIPIO DE TAURAMENA,800012873,CASANARE,TAURAMENA,Territorial,Centralizada,CO1.REQ.6470260,SAMT-SDS-005-2024 (Presentación de oferta),702028135,CO1.BDOS.6302619,SAMT-SDS-005-2024 (Presentación de oferta),SERVICIO DE TRANSPORTE ESCOLAR PARA LOS ESTUDIANTES DEL AREA RURAL DE LAS INSTITUCIONES EDUCATIVAS OFICIALES DEL MUNICIPIO DE TAURAMENA,Presentación de oferta,07/04/2024,07/04/2024,,,,,07/04/2024,3651722935,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Proceso de licitación pública declarado desierto,otro,Mes(es),07/11/2024,07/11/2024,07/11/2024,Tauramena,SECRETARIA DE DESARROLLO SOCIAL,0,0,9,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1980129,726848062,No Definido,Tauramena,07/22/2024,3651225120,LINDA CRISTINA REINA CIPRIAN,Union Temporal Transportando sueños,No Definido,V1.78111803,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6355562,702028135,Adjudicado,2024,3.9155429850746266,,1,3651722935,3651.722935,V1.781,True,219.35896633150128,429.45473091626553,168.0678520202637,0,15.64724718606403,1.196996100560165e-08,876.5997415306324,-0.9913452863693236,60759.52973770323,16.647247186064035
5,5,645136,5274,8683,MUNICIPIO DE TAURAMENA,800012873,CASANARE,TAURAMENA,Territorial,Centralizada,CO1.REQ.6470260,SAMT-SDS-005-2024 (Presentación de oferta),702028135,CO1.BDOS.6302619,SAMT-SDS-005-2024 (Presentación de oferta),SERVICIO DE TRANSPORTE ESCOLAR PARA LOS ESTUDIANTES DEL AREA RURAL DE LAS INSTITUCIONES EDUCATIVAS OFICIALES DEL MUNICIPIO DE TAURAMENA,Presentación de oferta,07/04/2024,07/04/2024,,,,,07/04/2024,3651722935,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Proceso de licitación pública declarado desierto,otro,Mes(es),07/11/2024,07/11/2024,07/11/2024,Tauramena,SECRETARIA DE DESARROLLO SOCIAL,0,0,9,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1980129,726848062,No Definido,Tauramena,07/22/2024,3651225120,LINDA CRISTINA REINA CIPRIAN,Union Temporal Transportando sueños,No Definido,V1.78111803,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6355562,702028135,Adjudicado,2024,3.9155429850746266,,1,3651722935,3651.722935,V1.781,True,219.35896633150128,429.45473091626553,168.0678520202637,0,15.64724718606403,1.196996100560165e-08,876.5997415306324,-0.9913452863693236,60759.52973770323,16.647247186064035
6,6,218712,2323,3867,MUNICIPIO DE TAURAMENA,800012873,CASANARE,TAURAMENA,Territorial,Centralizada,CO1.REQ.6550471,CRE-MT-SDS-010-2024,702028135,CO1.BDOS.6424695,ATENCION INTEGRAL ADULTO MAYOR CENTRO DIA CASA VIDA,DESARROLLAR ACCIONES DE ATENCION INTEGRAL EN CENTRO DIA CASA VIDA A LOS ADULTOS MAYORES EN CONDICION DE VULNERABILIDAD DEL MUNICIPIO DE TAURAMENA.,Presentación de oferta,07/24/2024,07/24/2024,,,,,07/24/2024,1281771891,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),07/26/2024,07/26/2024,07/26/2024,Tauramena,SECRETARIA DE DESARROLLO SOCIAL,0,0,4,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1991046,704907773,Casanare,Villanueva,07/30/2024,1281771891,LINCE JULIETH RODRIGUEZ ZABALA,CORPORACION ALIANZA TERRA,9003358600,V1.93141506,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6443575,702028135,Adjudicado,2024,3.9155429850746266,,1,1281771891,1281.771891,V1.931,True,647.5640490542877,1267.7824348305187,496.1488494873048,1,0.9793746933170844,0.0557667317104979,161.9718757687511,-19.43239784240723,26163.23628177722,1.9793746933170844
7,7,82786,6589,10851,MUNICIPIO DE TAURAMENA,800012873,CASANARE,TAURAMENA,Territorial,Centralizada,CO1.REQ.5881321,CRE-MT-SDS-006-2024,702028135,CO1.BDOS.5764414,DESARROLLAR ACCIONES CULTURALES PARA EL FESTIVAL DEL RODEO,"DESARROLLO DE ACTIVIDADES CULTURALES Y ARTISTICAS A TRAVES DE LA EJECUCION DEL CUATRIGESIMO TERCER (XLIII) FESTIVAL INTERNACIONAL FOLCLORICO DEL RODEO, DEL MUNICIPIO DE TAURAMENA",Fase de ofertas,03/04/2024,03/04/2024,,,,,03/04/2024,859996700,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),03/06/2024,03/06/2024,03/07/2024,Tauramena,SECRETARIA DE DESARROLLO SOCIAL,0,0,8,0,1,1,0,0,0,Seleccionado,70,Si,CO1.AWD.1870819,702271792,Casanare,Yopal,03/08/2024,859996700,LINCE JULIETH RODRIGUEZ ZABALA,FUNDACIÓN EL REPIQUE,900094981,V1.93141701,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5772808,702028135,Adjudicado,2024,3.9155429850746266,,1,859996700,859.9967,V1.931,True,393.565602814249,770.5115176329997,301.541015625,1,1.185141927674742,0.0325757537239204,119.122966843604,-26.08145332336426,23449.18193612921,2.185141927674742
8,8,136921,9656,16144,MUNICIPIO DE TAURAMENA,800012873,CASANARE,TAURAMENA,Territorial,Centralizada,CO1.REQ.5679199,CRE-MT-SDS-003-2024,702028135,CO1.BDOS.5562371,ATENCION INTEGRAL AL ADULTO MAYOR EN CENTRO DIA CASA VIDA,DESARROLLAR ACCIONES DE ATENCION INTEGRAL EN CENTRO DIA CASA VIDA A LOS ADULTOS MAYORES EN CONDICION DE VULNERABILIDAD DEL MUNICIPIO DE TAURAMENA.,Presentación de oferta,02/01/2024,02/01/2024,,,,,02/01/2024,877690704,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),02/07/2024,02/07/2024,02/07/2024,Tauramena,SECRETARIA DE DESARROLLO SOCIAL,0,0,12,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1846201,724841549,Arauca,Puerto Rondón,02/09/2024,877690704,GENY ARELIS MUÑOZ REMOLINA,FUNDACION GESTION SOCIAL,900556022,V1.93141500,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5571049,702028135,Adjudicado,2024,3.9155429850746266,,1,877690704,877.6907039999999,V1.931,True,647.5640490542877,1267.7824348305187,496.1488494873048,1,0.3553728087311096,0.3095716491538303,58.77260339700402,-24.86506652832031,22135.745156925947,1.3553728087311094
9,9,136922,9657,16145,MUNICIPIO DE TAURAMENA,800012873,CASANARE,TAURAMENA,Territorial,Centralizada,CO1.REQ.5679199,CRE-MT-SDS-003-2024,702028135,CO1.BDOS.5562371,ATENCION INTEGRAL AL ADULTO MAYOR EN CENTRO DIA CASA VIDA,DESARROLLAR ACCIONES DE ATENCION INTEGRAL EN CENTRO DIA CASA VIDA A LOS ADULTOS MAYORES EN CONDICION DE VULNERABILIDAD DEL MUNICIPIO DE TAURAMENA.,Presentación de oferta,02/01/2024,02/01/2024,,,,,02/01/2024,877690704,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),02/07/2024,02/07/2024,02/07/2024,Tauramena,SECRETARIA DE DESARROLLO SOCIAL,0,0,12,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1846201,724841549,Arauca,Puerto Rondón,02/09/2024,877690704,GENY ARELIS MUÑOZ REMOLINA,FUNDACION GESTION SOCIAL,900556022,V1.93141500,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5571049,702028135,Adjudicado,2024,3.9155429850746266,,1,877690704,877.6907039999999,V1.931,True,647.5640490542877,1267.7824348305187,496.1488494873048,1,0.3553728087311096,0.3095716491538303,58.77260339700402,-24.86506652832031,22135.745156925947,1.3553728087311094
