,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
20117,20117,AGUA VITAL TRINIDAD SA ESP,844002929,CASANARE,TRINIDAD,Territorial,Centralizada,CO1.REQ.4654691,CONTRATO027-2023,718305063,CO1.BDOS.4551401,ADQUISICION DE DOTACION DE CALZADO Y VESTIDO DE LABOR COMO ELEMENTOS DE PROTECCION PERSONAL PARA LOS TRABAJADORES DE LA EMPRESA AGUA VITAL TRINIDAD SA ESP,ADQUISICION DE DOTACION DE CALZADO Y VESTIDO DE LABOR COMO ELEMENTOS DE PROTECCION PERSONAL PARA LOS TRABAJADORES DE LA EMPRESA AGUA VITAL TRINIDAD SA ESP,Presentación de oferta,06/09/2023,06/09/2023,,,,,06/09/2023,"76,398,000",Contratación régimen especial,Regla aplicable,150,día(s),,,,Trinidad,UNIDAD DE CONTRATACION - AREA ADMINISTRATIVA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.77102001,Abierto,Prestación de servicios,No Definido,"V170171604, V170171605",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4556879,"718,305,063",Presentación de oferta,2023,0.00432108451923077,,1,76398000,17.6802836556412,V1.771,True,1.86921536922455,0.004038518797532215,5.60764610767365,0,8.45866589090584,9.67808393168514e-05,0.06024392480987113,9.458665890905833
36935,36935,AGUA VITAL TRINIDAD SA ESP,844002929,CASANARE,TRINIDAD,Territorial,Centralizada,CO1.REQ.4378604,CONTRATO019-2023,718305063,CO1.BDOS.4278886,PRESTAR SERVICIOS DE APOYO PROFESIONAL A LAS ACTIVIDADES QUE REALIZA EL AREA OPERATIVA ENMARCADAS EN EL CORRECTO FUNCIONAMIENTO DEL SISTEMA DE ALCANTARILLADO A CARGO DE LA EMPRESA AGUA VITAL TRINIDAD,PRESTAR SERVICIOS DE APOYO PROFESIONAL A LAS ACTIVIDADES QUE REALIZA EL AREA OPERATIVA ENMARCADAS EN EL CORRECTO FUNCIONAMIENTO DEL SISTEMA DE ALCANTARILLADO A CARGO DE LA EMPRESA AGUA VITAL TRINIDAD S.A. E.S.P,Presentación de oferta,04/11/2023,04/11/2023,,,,,04/11/2023,"21,266,660",Contratación régimen especial,Regla aplicable,290,día(s),,,,Trinidad,UNIDAD DE CONTRATACION - AREA ADMINISTRATIVA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111614,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4282804,"718,305,063",Presentación de oferta,2023,0.00432108451923077,,1,21266660,4.92160241378149,V1.801,True,43.919059753418,0.09488898459983283,131.757179260254,1,-0.887939258230626,0.601393771920556,-0.35828927839933133,0.11206074176937421
42857,42857,INSTITUCION EDUCATIVA TECNICO INTEGRADO DE TRINIDAD,844000100,CASANARE,TRINIDAD,Territorial,Centralizada,CO1.REQ.4310969,PCITIT 11-2023 C.STRO 05-2023,719042129,CO1.BDOS.4213110,SUMINISTRO DE COMBUSTIBLE (GASOLINA . ACPM) Y LUBRICANTES (ACEITES Y GRASAS ) PARA LA IE. TECNICO INTEGRADO DE TRINIDAD.,No definido,Presentación de oferta,03/24/2023,03/24/2023,,,,,03/24/2023,"9,985,030",Contratación régimen especial,Regla aplicable,8,día(s),,,,Trinidad,INSTITUCION EDUCATIVA TECNICO INTEGRADO DE TRINIDAD,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.15101505,Abierto,Suministros,No Definido,"V115121500, V115121900",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4214684,"719,042,129",Presentación de oferta,2023,0.00432108451923077,,1,9985030,2.31076942734217,V1.151,True,5.57420206069946,0.012043299115776347,16.7226061820984,1,-0.585452876989499,0.85021114454227,-0.038188166463105376,0.4145471230105015
55709,55709,AGUA VITAL TRINIDAD SA ESP,844002929,CASANARE,TRINIDAD,Territorial,Centralizada,CO1.REQ.4024748,CONTRATO011-2023,718305063,CO1.BDOS.3928954,PRESTAR SERVICIOS DE APOYO A LA GESTION; DIRIGIDOS A FORTALECER LOS PROCESOS CONTABLES QUE LLEVA A CABO LA EMPRESA AGUA VITAL TRINIDAD SA ESP,"PRESTAR SERVICIOS DE APOYO A LA GESTION, DIRIGIDOS A FORTALECER LOS PROCESOS CONTABLES QUE LLEVA A CABO LA EMPRESA AGUA VITAL TRINIDAD SA ESP",Presentación de oferta,02/05/2023,02/05/2023,,,,,02/04/2023,"7,800,000",Contratación régimen especial,Regla aplicable,180,día(s),,,,Trinidad,UNIDAD DE CONTRATACION - AREA ADMINISTRATIVA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111604,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3930345,"718,305,063",Presentación de oferta,2023,0.00432108451923077,,1,7800000,1.80510239160713,V1.801,True,2.56897783279419,0.0055503851717669936,7.70693349838257,1,-0.297346061704324,0.647456727105798,-0.014401540687067966,0.7026539382956767
55724,55724,INSTITUCION EDUCATIVA TECNICO INTEGRADO DE TRINIDAD,844000100,CASANARE,TRINIDAD,Territorial,Centralizada,CO1.REQ.4746760,PCITIT 023-2023 COMPRAVENTA Nro. 009-2023,719042129,CO1.BDOS.4641522,COMPRA VENTA DE MATERIAL DIDACTICO (IMPLEMENTOS DE PORTIVOS  LIBROS NIVEL PRIMARIA Y MATERIAL PARA PO BLACION CON DISCAPACIDAD) PARA LA IE. TECNICO INTE GRADO DE TRINIDAD.,No definido,Presentación de oferta,07/04/2023,07/04/2023,,,,,07/04/2023,"12,776,000",Contratación régimen especial,Regla aplicable,20,día(s),,,,Trinidad,INSTITUCION EDUCATIVA TECNICO INTEGRADO DE TRINIDAD,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.49161500,Abierto,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4689333,"719,042,129",Presentación de oferta,2023,0.00432108451923077,,1,12776000,2.95666514809906,V1.491,True,2.32334423065185,0.005019683393956916,6.97003269195557,1,0.272590221066603,0.16162171628296,-0.007302733575827666,1.2725902210666051
60992,60992,INSTITUCION EDUCATIVA RURAL EL POZO PETROLERO,844003001,CASANARE,TRINIDAD,Territorial,Centralizada,CO1.REQ.5434671,RESO-CV- N°06-2023,720183482,CO1.BDOS.5316719,SUMINISTRAR 22 DIPLOMAS GRADO ONCE,"SUMNISTRAR 22 DIPLOMAS GRADO ONCE, 32 CERTIFICADOS GRADO NOVENO, CON DESTINO A LA INSTITCION EDUCATIVA POZO PETROLERO",Presentación de oferta,12/18/2023,12/18/2023,,,,,12/18/2023,"916,000",Contratación régimen especial,Regla aplicable,5,día(s),,,,Trinidad,SECRETARIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.55101500,Abierto,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5330494,"720,183,482",Presentación de oferta,2023,0.00432108451923077,,1,916000,0.211983819322068,V1.551,True,5.1742057800293,0.01117909024769949,15.5226173400879,1,-0.959030655460157,0.516869207058337,-0.04380036099079796,0.04096934453984309
62671,62671,INSTITUCION EDUCATIVA SANTA IRENE,844004735,CASANARE,TRINIDAD,Nacional,Centralizada,CO1.REQ.4561569,005,718893894,CO1.BDOS.4459138,SUMINISTRO DE DIPLOMAS,"SUMINISTRO DE DIPLOMAS Y MENCIONES PARA EL AÑO GRAVABLE 2022 DE LA INSTITUCION EDUCATIVA 
SANTA IRENE.",Presentación de oferta,05/24/2023,05/24/2023,,,,,05/23/2023,"697,000",Contratación régimen especial,Regla aplicable,4,día(s),,,,Trinidad,UnidadContratacion,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.60101600,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4463163,"718,893,894",Presentación de oferta,2023,0.00432108451923077,,1,697000,0.161302098326945,V1.601,True,35.5763969421387,0.07686430903834221,106.729190826416,1,-0.995466036130941,0.475355317235993,-0.3067602361533689,0.004533963869058636
69059,69059,INSTITUCIÓN EDUCATIVA-RAFAEL GARCIA HERREROS,844001576,CASANARE,TRINIDAD,Nacional,Centralizada,CO1.REQ.4561467,001-2023,718817281,CO1.BDOS.4459090,PRESTAR LOS SERVICIOS PROFESIONALES CONTABLES,"PRESTAR LOS SERVICIOS PROFESIONALES CONTABLES, EN EL CARGUE DE LA 
CONTABILIDAD Y ELABORACIÓN DE TODOS LOS INFORMES CONTABLES Y 
PRESUPUESTALES DURANTE NUEVE MESES QUINCE DÍAS DEL AÑO FISCAL 
2023 PERTINENTES A LOS ENTES DE CONTROL DEL NSTITUTO TÉCNICO 
RAFAEL GARCÍA HERREROS",Presentación de oferta,05/24/2023,05/24/2023,,,,,05/23/2023,"5,700,000",Contratación régimen especial,Regla aplicable,9,Mes(es),,,,Trinidad,UnidadContratacion,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4463175,"718,817,281",Presentación de oferta,2023,0.00432108451923077,,1,5700000,1.31911328617444,V1.801,True,43.3657035827637,0.09369343520851528,130.097110748291,1,-0.969581646850099,0.504674088909553,-0.3690737408340611,0.030418353149901153
87420,87420,INSTITUCION EDUCATIVA RURAL EL POZO PETROLERO,844003001,CASANARE,TRINIDAD,Territorial,Centralizada,CO1.REQ.5272015,RESO-CV- N°02-2023,720183482,CO1.BDOS.5156874,SUMINISTRAR ELEMENTOS DEPORTIVOS,SUMINISTRAR ELEMENTOS DEPORTIVOS CON DESTINO A LA INSTITUCION EDUCATIVA RURAL EL POZO PETROLERO DE TRINIDAD - CASANARE,Presentación de oferta,11/13/2023,11/13/2023,,,,,11/12/2023,"6,166,500",Contratación régimen especial,Regla aplicable,20,día(s),,,,Trinidad,SECRETARIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,UNSPECIFIED,Abierto,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5169103,"720,183,482",Presentación de oferta,2023,0.00432108451923077,,1,6166500,1.42707229459556,UNSPEC,True,0.2,0.000432108451923077,0.6,0,6.13536147297779,0.0002710105524629,0.0044380661923076985,7.1353614729778
96769,96769,AGUA VITAL TRINIDAD SA ESP,844002929,CASANARE,TRINIDAD,Territorial,Centralizada,CO1.REQ.4654455,CONTRATO023-2023,718305063,CO1.BDOS.4551014,PRESTAR SERVICIOS PROFESIONALES A LA EMPRESA AGUA VITAL TRINIDAD SA ESP PARA EL APOYO Y FORTALECIMIENTO DEL AREA OPERATIVA EN LA REVISION Y VERIFICACIO DE LOS ESTUDIOS Y DISEÑOS DE LA FASE 1 DEL SISTE,PRESTAR SERVICIOS PROFESIONALES A LA EMPRESA AGUA VITAL TRINIDAD SA ESP PARA EL APOYO Y FORTALECIMIENTO DEL AREA OPERATIVA EN LA REVISION Y VERIFICACIO DE LOS ESTUDIOS Y DISEÑOS DE LA FASE 1 DEL SISTEMA ALTERNO DE ACUEDUCTO URBANO DEL MUNICIPIO DE TRINIDAD.,Presentación de oferta,06/09/2023,06/09/2023,,,,,06/09/2023,"6,600,000",Contratación régimen especial,Regla aplicable,60,día(s),,,,Trinidad,UNIDAD DE CONTRATACION - AREA ADMINISTRATIVA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111614,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4556618,"718,305,063",Presentación de oferta,2023,0.00432108451923077,,1,6600000,1.52739433135988,V1.801,True,0.2,0.000432108451923077,0.6,0,6.63697165679939,0.0002112222499793,0.004871566192307701,7.636971656799399
