,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
5621,5621,INSTITUCIÓN EDUCATIVA DINDE,900354862,CAUCA,CAJIBÍO,Territorial,Centralizada,CO1.REQ.5309453,IED-04,719332959,CO1.BDOS.5193982,MANTENIMIENTO DE PLANTA FISICA DE LA IE DINDE,MANTENIMIENTO DE PLANTA FISICA PARA LA INSTITUCION EDUCATIVA DINDE,Presentación de oferta,11/20/2023,11/20/2023,,,,,11/20/2023,"6,711,010",Contratación régimen especial,Regla aplicable,14,día(s),,,,Cajibío,UNIDAD,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.72101500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5205438,"719,332,959",Presentación de oferta,2023,0.00432108451923077,,1,6711010,1.55308464116658,V1.721,True,16.2554759979248,0.035120642843680105,48.7664279937744,1,-0.904457756797472,0.581537265535789,-0.13377156137472043,0.09554224320252751
12286,12286,CAUCA - INSTITUCIÓN EDUCATIVA ORTEGA CAJIBIO,900145896,CAUCA,CAJIBÍO,Nacional,Centralizada,CO1.REQ.5118551,IEO-001,720711126,CO1.BDOS.5007344,ASESORIAS CONTABLES VIGENCIA 2023,No definido,Presentación de oferta,10/02/2023,10/02/2023,,,,,10/02/2023,"2,200,000",Contratación régimen especial,Regla aplicable,4,Mes(es),,,,Cajibío,UNIDAD DE COMPRAS,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5016787,"720,711,126",Presentación de oferta,2023,0.00432108451923077,,1,2200000,0.509131443786626,V1.801,True,1.63476312160492,0.0035319748086881943,4.90428936481476,1,-0.688559500114739,0.808645625754303,-0.011927899234752777,0.31144049988526096
33549,33549,INSTITUCION EDUCATIVA CARMEN DE QUINTANA,891501605,CAUCA,CAJIBÍO,Territorial,Centralizada,CO1.REQ.4646666,IECQ-009,719067670,CO1.BDOS.4543210,MANTENIMIENTO INFRAESTRUCTURA,No definido,Presentación de oferta,06/08/2023,06/08/2023,,,,,06/08/2023,"18,000,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,Cajibío,UNIDAD,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.72103300,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4548847,"719,067,670",Presentación de oferta,2023,0.00432108451923077,,1,18000000,4.16562090370876,V1.721,True,0.914343297481537,0.001975477334004942,2.74302989244461,0,3.55586092792775,0.0014326347320525,0.010098090663980245,4.555860927927757
41866,41866,INSTITUCION EDUCATIVA CARMEN DE QUINTANA,891501605,CAUCA,CAJIBÍO,Territorial,Centralizada,CO1.REQ.5273945,IECQ-013,719067670,CO1.BDOS.5158827,Suministro y elaboración de diplomas y actas para grado once de bachiller Vigencia año 2023 de La Institución Educativa Carmen de Quintana,Suministro y elaboración de diplomas y actas para grado once de bachiller Vigencia año 2023 de La Institución Educativa Carmen de Quintana,Presentación de oferta,11/14/2023,11/14/2023,,,,,11/14/2023,"2,400,000",Contratación régimen especial,Regla aplicable,8,día(s),,,,Cajibío,UNIDAD,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,UNSPECIFIED,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5170755,"719,067,670",Presentación de oferta,2023,0.00432108451923077,,1,2400000,0.555416120494501,UNSPEC,True,0.2,0.000432108451923077,0.6,1,1.77708060247251,0.0093397604912811,0.000671566192307692,2.7770806024725045
52320,52320,INSTITUCION EDUCATIVA EFRAIN OROZCO,900001912,CAUCA,CAJIBÍO,Territorial,Centralizada,CO1.REQ.4956955,SEF0102023,719049017,CO1.BDOS.4848186,SUMINISTRO SERVICIO DE INTERNET,servicio de internet periodo agosto diciembre de 2023,Presentación de oferta,08/17/2023,08/17/2023,,,,,08/17/2023,"1,487,500",Contratación régimen especial,Regla aplicable,5,Mes(es),,,,Cajibío,INSTITUCION EDUCATIVA EFRAIN OROZCO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81112101,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4856568,"719,049,017",Presentación de oferta,2023,0.00432108451923077,,1,1487500,0.344242283014821,V1.811,True,0.2,0.000432108451923077,0.6,1,0.721211415074104,0.0566486549628799,-0.00024093380769230755,1.721211415074105
68091,68091,INSTITUCION EDUCATIVA CARMEN DE QUINTANA,891501605,CAUCA,CAJIBÍO,Territorial,Centralizada,CO1.REQ.4543183,IECQ-005,719067670,CO1.BDOS.4441323,SOFTWARE DE NOTAS,El objeto del contrato es suministro de software para la INSTITUCION EDUCATIVA CARMEN DE QUINTANA en la vigencia 2023.,Presentación de oferta,05/18/2023,05/18/2023,,,,,05/18/2023,"1,839,200",Contratación régimen especial,Regla aplicable,7,Mes(es),,,,Cajibío,UNIDAD,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81112216,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4445037,"719,067,670",Presentación de oferta,2023,0.00432108451923077,,1,1839200,0.425633887005619,V1.811,True,0.2,0.000432108451923077,0.6,1,1.1281694350281,0.0256884559183981,0.00011076619230769093,2.1281694350280946
72611,72611,INSTITUCION EDUCATIVA EL TUNEL,900000887,CAUCA,CAJIBÍO,Territorial,Centralizada,CO1.REQ.4480915,IEET-03-2023,720553049,CO1.BDOS.4379825,PROGRAMA CONTABLE,ARRENDAMIENTO Y ACTUALIZACION DE SOFWARE PARA EL AÑO 2023,Presentación de oferta,05/07/2023,05/07/2023,,,,,05/06/2023,"966,000",Contratación régimen especial,Regla aplicable,8,Mes(es),,,,Cajibío,EQUIPO COMPRADOR DE REGIMEN ESPECIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.43231600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4382622,"720,553,049",Presentación de oferta,2023,0.00432108451923077,,1,966000,0.223554988499037,V1.432,True,0.2,0.000432108451923077,0.6,1,0.117774942495183,0.240724095967493,-0.0007624338076923065,1.1177749424951848
78072,78072,INSTITUCION EDUCATIVA EFRAIN OROZCO,900001912,CAUCA,CAJIBÍO,Territorial,Centralizada,CO1.REQ.5046172,SEF0152023,719049017,CO1.BDOS.4936306,SUMINISTRO DE SSD INSTALACION Y MTO PC,"Suministro, instalación de ssd y mantenimiento de pc para Centro Educativo Florencia e Institución Educativa Efraín Orozco.",Presentación de oferta,09/12/2023,09/12/2023,,,,,09/12/2023,"1,500,000",Contratación régimen especial,Regla aplicable,4,día(s),,,,Cajibío,INSTITUCION EDUCATIVA EFRAIN OROZCO,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.43201800,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4945587,"719,049,017",Presentación de oferta,2023,0.00432108451923077,,1,1500000,0.347135075309063,V1.432,True,0.2,0.000432108451923077,0.6,1,0.735675376545315,0.0549396968198267,-0.0002284338076923084,1.735675376545315
113422,113422,INSTITUCION EDUCATIVA EL TUNEL,900000887,CAUCA,CAJIBÍO,Territorial,Centralizada,CO1.REQ.5414616,IEET-11-2023,720553049,CO1.BDOS.5296654,COMPRA VENTA MATERIAL DIDACTICO,COMPRA VENTA DE ARTICULOS DIDACTICOS PARA LA INSTITUCION EDUCATIVA LA VIUDA  INSTITUCION EDUCATIVA EL TUNEL,Presentación de oferta,12/12/2023,12/12/2023,,,,,12/12/2023,"9,000,000",Contratación régimen especial,Regla aplicable,1,día(s),,,,Cajibío,EQUIPO COMPRADOR DE REGIMEN ESPECIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,UNSPECIFIED,Abierto,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5310639,"720,553,049",Presentación de oferta,2023,0.00432108451923077,,1,9000000,2.08281045185438,UNSPEC,True,9.65788841247559,0.020866276053803253,28.9736652374268,1,-0.784341010902144,0.721620772819329,-0.074465104215213,0.2156589890978557
121585,121585,INSTITUCION EDUCATIVA EFRAIN OROZCO,900001912,CAUCA,CAJIBÍO,Territorial,Centralizada,CO1.REQ.5105799,SEF0182023,719049017,CO1.BDOS.4994652,SERVICIOS CONTABLE ULTIMO TRIMESTRE 2023,servicios contables cuarto trimestre 2023,Presentación de oferta,09/28/2023,09/28/2023,,,,,09/28/2023,"400,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Cajibío,INSTITUCION EDUCATIVA EFRAIN OROZCO,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111500,Abierto,Servicios financieros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5004958,"719,049,017",Presentación de oferta,2023,0.00432108451923077,,1,400000,0.0925693534157502,V1.841,True,0.2,0.000432108451923077,0.6,1,-0.537153232921249,0.846374158184424,-0.0013284338076923077,0.462846767078751
