,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
1209,1209,EMPRESA SOCIAL DEL ESTADO TIERRADENTRO,900145585,CAUCA,PAEZ,Territorial,Centralizada,CO1.REQ.5265614,114,710233214,CO1.BDOS.5150678,ANYI LEONELA HURTADO,"COMPRAVENTA DE SUMINISTRO DE SILLA ERGONOMICAS, MOUSE ERGONOMICOS, PAD MOUSE, EXTINTORES Y SEÑALIZACION PARA RUTA DE SALIDA DE EMERGENCIA Y TOMA DE LOS PUNTOS DE ATENCIÓN DE PÁEZ E INZÁ DE LA E.S.E TIERRADENTRO",Presentación de oferta,11/10/2023,11/10/2023,,,,,11/10/2023,"20,949,000",Contratación régimen especial,Decreto 092 de 2017,15,día(s),,,,Paez,OFICINA CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.93141808,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5162649,"710,233,214",Presentación de oferta,2023,0.00432108451923077,,1,20949000,4.84808846176638,V1.931,True,6.77355527877808,0.01463455242764091,20.3206658363342,1,-0.284262361162726,0.631880622926663,-0.03758920971056362,0.7157376388372747
2061,2061,EMPRESA SOCIAL DEL ESTADO TIERRADENTRO,900145585,CAUCA,PAEZ,Territorial,Centralizada,CO1.REQ.5374719,013,710233214,CO1.BDOS.5257715,CLAUDINA POLANCO PENCUE,"SUMINSITRAR LAS RACIONES ALIMENTICIAS REQUERIDAS PARA PERSONAL DE LA UNIDAD DE ATENCION DE INZA, CON OCASION DEL DESARROLLO DE LAS ACTIVIDADES DE SALUD EXTRAMURAL, PLAN DE INTERVENCIONES COLECTIVAS, MEDICOS Y AUXILIARES DE ENFERMERIA QUE ATIENDEN EL SERVICIO DE URGENCIAS, SEGUN LA PROGRAMACION MENSUAL REALIZADA POR CUADRO DE TURNOS, DE ACUERDO A LA PROPUESTA PRESENTADA Y APROBADA POR LA EMPRESA",Presentación de oferta,12/02/2023,12/02/2023,,,,,12/02/2023,"9,600,000",Contratación régimen especial,Decreto 092 de 2017,90,día(s),,,,Paez,OFICINA CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.93131608,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5271017,"710,233,214",Presentación de oferta,2023,0.00432108451923077,,1,9600000,2.221664481978,V1.931,True,11.9552049636841,0.02582972554640311,35.8656148910523,1,-0.814167595726993,0.688552186558426,-0.09371890218561246,0.18583240427300668
3291,3291,EMPRESA SOCIAL DEL ESTADO TIERRADENTRO,900145585,CAUCA,PAEZ,Territorial,Centralizada,CO1.REQ.5361752,081,710233214,CO1.BDOS.5244757,BIOGAS DE COLOMBIA SUR SAS,SUMINISTRO DE OXIGENO MEDICINAL REQUERIDO EN LOS HOSPITALES SAN VICENTE DE PAUL EN LA UNIDADES DE ATENCION DE PAEZ E INZA,Presentación de oferta,11/30/2023,11/30/2023,,,,,11/30/2023,"19,150,000",Contratación régimen especial,Decreto 092 de 2017,90,día(s),,,,Paez,OFICINA CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.12162201,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5258160,"710,233,214",Presentación de oferta,2023,0.00432108451923077,,1,19150000,4.43175779477904,V1.121,True,0.2,0.000432108451923077,0.6,0,21.1587889738952,4.55914476285456e-06,0.017421566192307694,22.1587889738952
5986,5986,EMPRESA SOCIAL DEL ESTADO TIERRADENTRO,900145585,CAUCA,PAEZ,Territorial,Centralizada,CO1.REQ.5410527,119-2022,710233214,CO1.BDOS.5292924,PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS DE GINECOLOGÍA PARA LA TOMA Y LECTURA DE LAS ECOGRAFÍAS DE LAS USUARIAS GESTANTES DE LA EMPRESA SOCIAL DEL ESTADO TIERRADENTRO E.S.E. EN LOS PUNTOS DE AT,PRESTAR SERVICIOS PROFESIONALES ESPECIALIZADOS DE GINECOLOGÍA PARA LA TOMA Y LECTURA DE LAS ECOGRAFÍAS DE LAS USUARIAS GESTANTES DE LA EMPRESA SOCIAL DEL ESTADO TIERRADENTRO E.S.E. EN LOS PUNTOS DE ATENCIÓN DE PÁEZ E INZÁ,Presentación de oferta,12/12/2023,12/12/2023,,,,,12/11/2023,"18,400,000",Contratación régimen especial,Decreto 092 de 2017,35,día(s),,,,Paez,OFICINA CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85121601,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5306710,"710,233,214",Presentación de oferta,2023,0.00432108451923077,,1,18400000,4.25819025712451,V1.851,True,30.9462566375732,0.06686069524238,92.8387699127197,1,-0.862400473601888,0.632037535717458,-0.24904278096951998,0.13759952639811227
7877,7877,EMPRESA SOCIAL DEL ESTADO TIERRADENTRO,900145585,CAUCA,PAEZ,Territorial,Centralizada,CO1.REQ.5405459,87-2022,710233214,CO1.BDOS.5288047,MANTENIMIENTO DE LAS IMPRESORAS PARA LAS UNIDADES DE ATENCIÓN EN SALUD DE PÁEZ E INZÁ; DE LA EMPRESA SOCIAL DEL ESTADO TIERRADENTRO E.S.E; DE ACUERDO A LAS SIGUIENTES CANTIDADES Y CARACTERÍSTICAS TÉCN,"MANTENIMIENTO DE LAS IMPRESORAS PARA LAS UNIDADES DE ATENCIÓN EN SALUD DE PÁEZ E INZÁ, DE LA EMPRESA SOCIAL DEL ESTADO TIERRADENTRO E.S.E, DE ACUERDO A LAS SIGUIENTES CANTIDADES Y CARACTERÍSTICAS TÉCNICAS:",Presentación de oferta,12/11/2023,12/11/2023,,,,,12/10/2023,"9,929,100",Contratación régimen especial,Decreto 092 de 2017,15,día(s),,,,Paez,OFICINA CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.44103125,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5301938,"710,233,214",Presentación de oferta,2023,0.00432108451923077,,1,9929100,2.29782591750081,V1.441,True,0.2,0.000432108451923077,0.6,0,10.4891295875041,4.78545359181931e-05,0.008200666192307682,11.48912958750405
10396,10396,EMPRESA SOCIAL DEL ESTADO TIERRADENTRO,900145585,CAUCA,PAEZ,Territorial,Centralizada,CO1.REQ.5410184,113-2022,710233214,CO1.BDOS.5292488,COMPRAVENTA DE INSUMOS ODONTOLÓGICOS REQUERIDOS PARA LOS PUNTOS DE ATENCIÓN PÁEZ E INZÁ DE LA EMPRESA SOCIAL DEL ESTADO TIERRADENTRO ESE; DE ACUERDO A LAS SIGUIENTES CANTIDADES Y CARACTERÍSTICAS TÉCNI,"COMPRAVENTA DE INSUMOS ODONTOLÓGICOS REQUERIDOS PARA LOS PUNTOS DE ATENCIÓN PÁEZ E INZÁ DE LA EMPRESA SOCIAL DEL ESTADO TIERRADENTRO ESE, DE ACUERDO A LAS SIGUIENTES CANTIDADES Y CARACTERÍSTICAS TÉCNICAS, DESCRITAS POR CADA PUNTO DE ATENCIÓN",Presentación de oferta,12/12/2023,12/12/2023,,,,,12/11/2023,"41,170,757",Contratación régimen especial,Decreto 092 de 2017,15,día(s),,,,Paez,OFICINA CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.42295409,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5306177,"710,233,214",Presentación de oferta,2023,0.00432108451923077,,1,41170757,9.52787588781743,V1.422,True,0.2,0.000432108451923077,0.6,0,46.6393794390871,3.04696136556622e-07,0.03944232319230771,47.63937943908715
12539,12539,EMPRESA SOCIAL DEL ESTADO TIERRADENTRO,900145585,CAUCA,PAEZ,Territorial,Centralizada,CO1.REQ.5364326,078,710233214,CO1.BDOS.5246953,VICARIATO APOSTOLICO TIERRADENTRO,"PRESTAR LOS SERVICIOS DE RADIOFUSION SONORA DE CUÑAS RADIALES, LECTURA DE COMUNICADOS Y PROGRAMAS RADIALES SOBRE TEMAS RELACIONADOS CON LOS SERVICIOS DE SALUD OFERTADOS POR LA ESE TIERRAENTRO PARA EL PLAN DE INTERVENCIONES COLECTIVAS (POC), PUNTO DE ATENCION PAEZ",Presentación de oferta,11/30/2023,11/30/2023,,,,,11/30/2023,"8,160,000",Contratación régimen especial,Decreto 092 de 2017,6,Mes(es),,,,Paez,OFICINA CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81112101,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5260254,"710,233,214",Presentación de oferta,2023,0.00432108451923077,,1,8160000,1.8884148096813,V1.811,True,0.2,0.000432108451923077,0.6,0,8.44207404840652,9.74002381208871e-05,0.006431566192307677,9.4420740484065
25854,25854,INSTITUCION EDUCATIVA NORMAL SUPERIOR ENRIQUE VALLEJO DE TIERRADENTRO,891500868,CAUCA,PAEZ,Territorial,Centralizada,CO1.REQ.4817976,CCV-003-2023,720982529,CO1.BDOS.4711871,SUMINISTRO DE ELEMENTOS DE ASEO PARA LA INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR ENRIQUE VALLEJO DE TIERRADENTRO BELALCAZAR PAEZ CAUCA,SUMINISTRO DE ELEMENTOS DE ASEO PARA LA INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR ENRIQUE VALLEJO DE TIERRADENTRO BELALCAZAR PAEZ CAUCA,Presentación de oferta,07/12/2023,07/12/2023,,,,,07/11/2023,"15,194,500",Contratación régimen especial,Regla aplicable,2,día(s),,,,Paez,EQUIPO COMPRADOR DE REGIMEN ESPECIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.47131807,Abierto,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4724577,"720,982,529",Presentación de oferta,2023,0.00432108451923077,,1,15194500,3.51636260118904,V1.471,True,12.3746728897095,0.026736003727134205,37.1240186691284,1,-0.715841975579558,0.787674732962845,-0.09174951490853682,0.2841580244204409
31909,31909,EMPRESA SOCIAL DEL ESTADO TIERRADENTRO,900145585,CAUCA,PAEZ,Territorial,Centralizada,CO1.REQ.5408923,101-2022,710233214,CO1.BDOS.5291321,SUMINISTRO DE COMBUSTIBLES Y LUBRICANTES; EN LA CIUDAD DE POPAYÁN; LOS CUALES SON NECESARIOS PARA LOS VEHÍCULOS DE LA EMPRESA SOCIAL DEL ESTADO TIERRADENTRO E.S.E.; QUE PRESTAN SERVICIOS DE TRASLADO A,"SUMINISTRO DE COMBUSTIBLES Y LUBRICANTES, EN LA CIUDAD DE POPAYÁN, LOS CUALES SON NECESARIOS PARA LOS VEHÍCULOS DE LA EMPRESA SOCIAL DEL ESTADO TIERRADENTRO E.S.E., QUE PRESTAN SERVICIOS DE TRASLADO ASISTENCIAL BÁSICO Y DE GESTIÓN ADMINISTRATIVAS DE LAS UNIDADES DE ATENCIÓN EN SALUD DE PÁEZ E INZÁ",Presentación de oferta,12/11/2023,12/11/2023,,,,,12/11/2023,"11,990,920",Contratación régimen especial,Decreto 092 de 2017,60,día(s),,,,Paez,OFICINA CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.15101505,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5305031,"710,233,214",Presentación de oferta,2023,0.00432108451923077,,1,11990920,2.77497927814997,V1.151,True,169.210205078125,0.36558579882947484,507.630615234375,1,-0.983600402370124,0.488682605532815,-1.4503522753178995,0.01639959762987552
34258,34258,EMPRESA SOCIAL DEL ESTADO TIERRADENTRO,900145585,CAUCA,PAEZ,Territorial,Centralizada,CO1.REQ.5410210,107-2022,710233214,CO1.BDOS.5292356,PRESTAR DEL SERVICIO DE APOYO LOGÍSTICO Y SUMINISTRO DE SITIO CAMPESTRE PARA REALIZAR UN EVENTO DE INTEGRACIÓN DENTRO DEL PROGRAMA DE BIENESTAR SOCIAL; PARA EL PERSONAL DE PLANTA (18) FUNCIONARIOS  Y,"PRESTAR DEL SERVICIO DE APOYO LOGÍSTICO Y SUMINISTRO DE SITIO CAMPESTRE PARA REALIZAR UN EVENTO DE INTEGRACIÓN DENTRO DEL PROGRAMA DE BIENESTAR SOCIAL, PARA EL PERSONAL DE PLANTA (18) FUNCIONARIOS  Y TRES (3) CONTRATISTAS DE LOS PUNTOS DE ATENCIÓN DE PÁEZ E INZÁ, A REALIZARSE EL DÍA 3 DE NOVIEMBRE Y EL 22 DE DICIEMBRE DE 2022, EN EL MARCO DE LAS FESTIVIDADES NAVIDEÑAS DONDE LOS PARTICIPANTES DISFRUTEN AL AIRE LIBRE DE LAS DIVERSAS ACTIVIDADES PROGRAMADAS PARA TAL FIN",Presentación de oferta,12/12/2023,12/12/2023,,,,,12/11/2023,"14,816,000",Contratación régimen especial,Decreto 092 de 2017,2,día(s),,,,Paez,OFICINA CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.90101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5305996,"710,233,214",Presentación de oferta,2023,0.00432108451923077,,1,14816000,3.42876885051939,V1.901,True,4.72431802749634,0.01020708874626864,14.172954082489,1,-0.274229882373844,0.619867219532424,-0.02601235498507454,0.7257701176261564
