,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,0,0,261720,6068,9964,MUNICIPIO DE ASTREA,892301541,CESAR,ASTREA,Territorial,Centralizada,CO1.REQ.5548882,CMC-01-2024,702157108,CO1.BDOS.5431362,ADQUISION DE POLIZA TODO RIESGO QUE AMPARE LOS BIENES MUEBLES E INMUEBLES DEL MUNIICPIO DE ASTREA CESAR Y MANEJO GLOBAL PARA LOS FUNCIONARIOS PUBLICOS DEL MUNICIPIO DE ASTREA; DEPARTAMENTO DEL CESAR,"ADQUISION DE POLIZA TODO RIESGO QUE AMPARE LOS BIENES MUEBLES E INMUEBLES DEL MUNIICPIO DE ASTREA CESAR Y MANEJO GLOBAL PARA LOS FUNCIONARIOS PUBLICOS DEL MUNICIPIO DE ASTREA, DEPARTAMENTO DEL CESAR",Presentación de oferta,01/16/2024,01/16/2024,,,,,01/16/2024,33000000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Año(s),01/19/2024,01/19/2024,01/19/2024,Astrea,SECRETARIA DE GOBIERNO Y ASUNTOS ADMINISTRATIVOS,0,0,7,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.1831904,700314040,Distrito Capital de Bogotá,Bogotá,01/25/2024,29000000,ALFREDO BARRIOS ORTEGA,LA EQUIDAD SEGUROS GENERALES ORGANISMO COOPERATIVO,860028415,V1.84131500,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5442395,702157108,Adjudicado,2024,3.9155429850746266,,1,33000000000,33000.0,V1.841,True,6.335843911356037,12.40413459081896,4.854379534721376,0,5207.461644841425,1.070747023931948e-26,8426.331745521577,41.48242568969727,170477314.23200703,5208.461644841426
1,1,1,634140,6827,11342,MUNICIPIO DE ASTREA,892301541,CESAR,ASTREA,Territorial,Centralizada,CO1.REQ.5941813,CONVENIO-006-2024,702157108,CO1.BDOS.5824267,CONVENIO INTERADMINISTRATIVO,"CONVENIO INTERADMINISTRATIVO PARA CONCURRIR EN LA FINANCIACION DE LOS GASTOS DE OPERACIÓN DE LA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN EN CUMPLIMIENTO DE LO DISPUESTO EN LA LEY 1955 DE 2019, ARTÍCULO 235, QUE MODIFICA EL ARTÍCULO 52 DE LA LEY 715 DE 2001, EN LO RELACIONADO CON EL SUBCOMPONENTE DE SUBSIDIO A LA OFERTA ASTREA-CESAR 2024.",Presentación de oferta,03/13/2024,03/13/2024,,,,,03/13/2024,290278348,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Astrea,SECRETARIA LOCAL DE SALUD,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,715798435,Cesar,Astrea,,0,No Adjudicado,HOSPITAL SAN MARTIN DE ASTREA,824000442,V1.85101501,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5831243,702157108,Adjudicado,2024,3.9155429850746266,,1,290278348,290.278348,V1.851,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,369.6744493758476,5.270017041953402e-18,73.93488987516952,6.612274169921875,105389.08844006268,370.6744493758476
2,2,2,106729,4733,7853,MUNICIPIO DE ASTREA,892301541,CESAR,ASTREA,Territorial,Centralizada,CO1.REQ.5641317,CONVENIO-001-2024,702157108,CO1.BDOS.5524001,CONVENIO INTERADMINISTRATIVO,"AUNAR ESFUERZOS ADMINISTRATIVOS Y FINANCIEROS, PARA LA ASIGNACIÓN Y PAGO DE SUBSIDIOS DE LA FACTURACIÓN DEL SERVICIO DE ACUEDUCTO Y ALCANTARILLADO, QUE PRESTA LA EMPRESA AGUATA DE ASTREA SAS ESP, DIRIGIDO A LOS USUARIOS Y/O SUSCRIPTORES DE ESTRATOS 1, 2 Y 3 DE ACUERDO A LA LEY 142 DE 1994 Y SUS DECRETOS REGLAMENTARIOS EN EL MUNICIPIO DE ASTREA",Presentación de oferta,01/29/2024,01/29/2024,,,,,01/29/2024,1133752443,Contratación régimen especial,Decreto 092 de 2017,otro,Año(s),,,,Astrea,SECRETARÍA DE PLANEACIÓN Y OBRAS PÚBLICAS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,723973392,Cesar,Astrea,,0,No Adjudicado,AGUATA DE ASTREA S.A.S. E.S.P.,9017308156,V1.83101500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5533509,702157108,Adjudicado,2024,3.9155429850746266,,1,1133752443,1133.752443,V1.831,True,177.95925091374068,348.4035482722163,136.348331451416,0,5.370854210605469,1.102281957004191e-05,244.1023366949559,-34.2183952331543,44884.40827339902,6.370854210605469
3,3,3,210049,6203,10363,MUNICIPIO DE ASTREA,892301541,CESAR,ASTREA,Territorial,Centralizada,CO1.REQ.5913609,CONV-ESAL-001-2024,702157108,CO1.BDOS.5796770,PROCESO COMPETITIVO CONVENIO-ESAL-001-2024,"ANUAR ESFUERZOS TECNICOS, ADMINISTRATIVOS Y FINANCIEROS PARA LA ASISTENCIA ATENCION INTEGRAL DE LOS ADULTOS MAYORES A TRAVES DE CENTRO DE VIDA DEL ADULTO MAYOR DEL MUNICIPIO DE ASTREA CESAR, PARA EL MEJORAMIENTO DE SU CALIDAD DE VIDA Y BIENESTAR 2024",Presentación de oferta,03/08/2024,03/08/2024,,,,,03/08/2024,300000000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),03/12/2024,03/12/2024,03/12/2024,Astrea,SECRETARIA LOCAL DE SALUD,0,0,4,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1877306,709305056,Cesar,Valledupar,03/18/2024,297360000,ALFREDO BARRIOS ORTEGA,FUNDACION POR UN VIVIR MEJOR,824003480,V1.94131600,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5804587,702157108,Adjudicado,2024,3.9155429850746266,,1,300000000,300.0,V1.941,True,744.6925294145498,1457.93780479331,570.5664825439452,1,-0.5971491747931873,0.6363086803499897,-113.5711014052561,-30.14736175537109,8865.06377417337,0.4028508252068127
4,4,4,227568,11179,18296,MUNICIPIO DE ASTREA,892301541,CESAR,ASTREA,Territorial,Centralizada,CO1.REQ.6346179,CONVENIO-ESAL-003-2024,702157108,CO1.BDOS.6223061,CONVENIO-ESAL-003-2024,"AUNAR ESFUERZOS PARA APOYO LOGÍSTICO EN EL DESARROLLO DE LAS ACTIVIDADES CULTURALES Y ARTÍSTICAS DEL VIGESIMO OCTAVO FESTIVAL DE MUSICA VALLENATA LUIS ALFREDO NOYA FRAGOSO EN HONOR A SAN ANTONIO DE PADUA, CELEBRADO DEL 12 AL 16 DE JUNIO DEL 2024 EN EL CORREGIMIENTO DE ARJONA, CESAR",Presentación de oferta,06/06/2024,06/06/2024,,,,,06/06/2024,80000000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),06/07/2024,06/07/2024,06/07/2024,Astrea,SECRETARÍA DE PLANEACIÓN Y OBRAS PÚBLICAS,0,0,6,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1948211,705281509,Cesar,No Definido,06/07/2024,80000000,ALFREDO BARRIOS ORTEGA,FUNDACIÓN RENACER UN DESPERTAR MEJOR,900195597,V1.93141701,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6232151,702157108,Adjudicado,2024,3.9155429850746266,,1,80000000,79.99999999999999,V1.931,True,493.33780359605913,965.8426880713366,377.9842071533202,1,-0.8378393072315551,0.421010948317792,-105.5633420886021,-85.12751007080078,6743.173661085536,0.1621606927684449
5,5,5,338500,6010,9849,MUNICIPIO DE ASTREA,892301541,CESAR,ASTREA,Territorial,Centralizada,CO1.REQ.5858224,CMC-006-2024,702157108,CO1.BDOS.5741163,CONTRATO DE MONTO AGOTABLE DE SUMINISTRO DE COMBUSTIBLE PARA LA POLICIA NACIONAL QUE HACE PARTE DE LA JURISDICCIÓN DEL MUNICIPIO DE ASTREA CESAR,CONTRATO DE MONTO AGOTABLE DE SUMINISTRO DE COMBUSTIBLE PARA LA POLICIA NACIONAL QUE HACE PARTE DE LA JURISDICCIÓN DEL MUNICIPIO DE ASTREA CESAR,Presentación de oferta,02/28/2024,02/28/2024,,,,,02/28/2024,36000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),03/01/2024,03/01/2024,03/01/2024,Astrea,SECRETARIA DE GOBIERNO Y ASUNTOS ADMINISTRATIVOS,0,0,2,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1866815,725134274,Cesar,Valledupar,03/06/2024,35500000,ALFREDO BARRIOS ORTEGA,EL MILAGRO OIL S.A.S,830504493,V1.15101505,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5748938,702157108,Adjudicado,2024,3.9155429850746266,,1,36000000,36.0,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,44.97063566563537,8.295511974199054e-12,8.994127133127074,-65.36307525634766,3972.013593191389,45.97063566563536
6,6,6,502126,3205,5317,MUNICIPIO DE ASTREA,892301541,CESAR,ASTREA,Territorial,Centralizada,CO1.REQ.5627751,CMC-02-2024,702157108,CO1.BDOS.5509441,CMC-02-2024,"CONTRATO DE MONTO AGOTABLE DE SUMINISTRO DE COMBUSTIBLE (GASOLINA, ACEITES, ACPM, FILTRO, BATERIA) PARA LOS VEHICULOS CONTRATADOS POR LA ADMINISTRACION, IMPLEMENTOS DE LA DEFENSA CIVIL DEL MUNICIPIO DE ASTREA - CESAR",Presentación de oferta,01/26/2024,01/26/2024,,,,,01/26/2024,36400000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),01/30/2024,01/31/2024,01/31/2024,Astrea,SECRETARIA DE GOBIERNO Y ASUNTOS ADMINISTRATIVOS,0,0,2,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1839620,724832233,Cesar,Astrea,02/02/2024,36400000,ALFREDO BARRIOS ORTEGA,HENRY BARRIOS RIVERA,72168692,V1.15101506,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5523331,702157108,Adjudicado,2024,3.9155429850746266,,1,36400000,36.4,V1.151,True,71.09859006168138,139.19479278235653,54.47412300109863,1,-0.488034854581205,0.6998115512454669,-8.861756899093281,-91.11488342285156,3298.817287885041,0.511965145418795
7,7,7,603754,1878,3148,MUNICIPIO DE ASTREA,892301541,CESAR,ASTREA,Territorial,Centralizada,CO1.REQ.6399601,CONVENIO-ESAL-005-2024,702157108,CO1.BDOS.6275541,CONVENIO-ESAL-005-2024,"AUNAR ESFUERZOS PARA APOYO LOGISTICO PARA EL DESARROLLO DE ACTIVIDADES DESTINADAS AL DIA DEL CAMPESINO EN EL MUNICIPIO ASTREA, DEPARTAMENTO DEL CESAR",Presentación de oferta,06/19/2024,06/19/2024,,,,,06/19/2024,42000000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),06/20/2024,06/20/2024,06/20/2024,Astrea,SECRETARIA DE DESARROLLO RURAL Y ECONOMICO,0,0,9,0,3,0,0,3,0,Seleccionado,70,Si,CO1.AWD.1958142,703729269,Cesar,No Definido,06/21/2024,40000000,ALFREDO BARRIOS ORTEGA,"CORPORACION DE CULTURA DEPORTE, CAPACITACION TURISMO Y DESARROLLO DE OBRA",900731304,V1.90101802,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6285335,702157108,Adjudicado,2024,3.9155429850746266,,1,42000000,42.00000000000001,V1.901,True,808.556519602798,1582.9689041835452,619.4976196289065,1,-0.9480555793172843,0.3006104492171685,-195.7727248876539,-69.37959289550781,2874.124567280003,0.0519444206827154
8,8,8,630020,2707,4530,MUNICIPIO DE ASTREA,892301541,CESAR,ASTREA,Territorial,Centralizada,CO1.REQ.6632666,CONVENIO-ESAL-007-2024,702157108,CO1.BDOS.6507053,CONVENIO-ESAL-007-2024,"AUNAR ESFUERZOS PARA LA SUSCRIPCION DE UN CONVENIO DE ASOCIACION ENTRE EL MUNICIPIO DE ASTREA Y UNA ENTIDAD SIN ANIMO DE LUCRO PARA APOYAR LOGISTICAMENTE LAS ACTIVIDADES DE LANZAMIENTO DEL PROGRAMAS SOCIALES, ESTRATEGIAS DEL NIVEL NACIONAL, E IMPLEMENTACION DE ORIENTACIONES DEL MANEJO DE PLATAFORMAS Y LINEAMIENTOS EN EL COMPONENTE SOCIAL",Presentación de oferta,08/08/2024,08/08/2024,,,,,08/08/2024,87912400,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),08/09/2024,08/09/2024,08/09/2024,Astrea,SECRETARIA DE GOBIERNO Y ASUNTOS ADMINISTRATIVOS,0,0,9,0,2,0,0,2,0,Seleccionado,70,No,No Adjudicado,702221268,Cesar,Valledupar,,0,No Adjudicado,FUNETES,9005970347,V1.93141500,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6517270,702157108,Adjudicado,2024,3.9155429850746266,,1,87912400,87.9124,V1.931,True,572.7023515923024,1121.220337656491,438.7915191650391,1,-0.8464954792737023,0.3875024070745972,-123.8116791056152,-29.74887275695801,2540.877352186694,0.1535045207262976
9,9,9,312718,6048,9975,MUNICIPIO DE ASTREA,892301541,CESAR,ASTREA,Territorial,Centralizada,CO1.REQ.5856306,CPS-068-2024,702157108,CO1.BDOS.5739366,PRESTACION DE SERVICIOS PROFESIONALES,"APOYO PARA EL ACOMPAÑAMIENTO TÉCNICO Y METODOLÓGICO DE LA ELABORACIÓN DEL COMPONENTE ANUAL DE INVERSIONES (COAI), Y PLAN DE ACCIÓN EN SALUD (PAS) VIGENCIA 2024 MUNICIPIO DE ASTREA  CESAR",Presentación de oferta,02/28/2024,02/28/2024,,,,,02/28/2024,36000000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,Mes(es),,,,Astrea,SECRETARIA LOCAL DE SALUD,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,725498737,Cesar,Valledupar,,0,No Adjudicado,Johanna Ayazo Martinez,1065570047,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5746956,702157108,Adjudicado,2024,3.9155429850746266,,1,36000000,36.0,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,44.97063566563537,4.491971800799622e-12,8.994127133127074,-8.340082168579102,1919.185842031721,45.97063566563536
