,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
3921,3921,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,892300343,CESAR,LA GLORIA,Territorial,Centralizada,CO1.REQ.5345852,PSP-070-2023,705482719,CO1.BDOS.5229172,CONTRATO DE SERVICIOS PROFESIONALES EN EL ASISTENCIAL  COMO BACTERIOLOGA,CONTRATO DE SERVICIOS PROFESIONALES EN EL ASISTENCIAL  COMO BACTERIOLOGA  PARA LA E.S.E.  HOSPITAL SAN JOSÉ  DEL MUNICIPIO DE LA GLORIA CESAR,Presentación de oferta,11/27/2023,11/27/2023,,,,,11/27/2023,"4,400,000",Contratación régimen especial,Regla aplicable,60,día(s),,,,La Gloria,ESE HOSPITAL SAN JOSE DE LA GLORIA CESAR,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.95122001,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5242243,"705,482,719",Presentación de oferta,2023,0.00432108451923077,,1,4400000,1.01826288757325,V1.951,True,56.6107406616211,0.1223098975475594,169.832221984863,1,-0.982012902928444,0.490480560148911,-0.48483959019023765,0.017987097071555803
8620,8620,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,892300343,CESAR,LA GLORIA,Territorial,Centralizada,CO1.REQ.4148085,PSP-019-2023,705482719,CO1.BDOS.4052076,PRESTACIÓN DE SERVICIOS PROFESIONALES DE ASESORÍA PARA EL DESARROLLO Y SEGUIMIENTO DEL SISTEMA OBLIGATORIO DE GARANTIA DE LA CALIDAD,CONTRATAR LA PRESTACIÓN DE SERVICIOS PROFESIONALES DE ASESORÍA PARA EL DESARROLLO Y SEGUIMIENTO DEL SISTEMA OBLIGATORIO DE GARANTÍA DE LA CALIDAD EN LA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JOSÉ,Presentación de oferta,02/21/2023,02/21/2023,,,,,02/21/2023,"7,500,000",Contratación régimen especial,Regla aplicable,90,día(s),,,,La Gloria,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101701,Abierto,Prestación de servicios,No Definido,V185101703,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4052799,"705,482,719",Presentación de oferta,2023,0.00432108451923077,,1,7500000,1.73567537654532,V1.851,True,10.2242851257324,0.02209000008850185,30.6728553771973,1,-0.830239928249167,0.670035507306242,-0.08086000035400738,0.16976007175083427
19997,19997,IE SAN JUAN BAUTISTA -SIMAÑA,8240018681,CESAR,LA GLORIA,Territorial,Centralizada,CO1.REQ.4423368,007 2023,719075467,CO1.BDOS.4323705,Adquisición; instalación; configuración y puesta en funcionamiento de Licencias de Software contable,"Adquisición, instalación, configuración y puesta en funcionamiento de Licencias de Software contable con modulo contable, presupuesto y Tesorería para el control del Fondo educativo y contratación de la Institución Educativa San Juan Bautista de Simaña de La Gloria-Cesar.",Presentación de oferta,04/21/2023,04/21/2023,,,,,04/21/2023,"3,500,000",Contratación régimen especial,Regla aplicable,4,día(s),,,,La Gloria,ONEIDA RIZO QUINTERO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81112500,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4326307,"719,075,467",Presentación de oferta,2023,0.00432108451923077,,1,3500000,0.809981842387814,V1.811,True,0.415579110383987,0.0008978762301979706,1.24673733115196,1,0.949043689032891,0.0357529407849045,-9.150492079188234e-05,1.9490436890328935
27516,27516,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,892300343,CESAR,LA GLORIA,Territorial,Centralizada,CO1.REQ.4791018,CSUM-013-2023,705482719,CO1.BDOS.4685355,CONTRATO DE SUMINISTRO,SUMINISTRO DE OCHO TANDEN DE SILLA PLASTICA POR 4 PUESTOS EXTRUCTURA EN HIERRO Y SEIS ESTANTES EN HIERRO PARA ARCHIVO DE 200 X 30 X 90.,Presentación de oferta,07/05/2023,07/05/2023,,,,,07/04/2023,"10,000,000",Contratación régimen especial,Regla aplicable,8,día(s),,,,La Gloria,ADMINISTRATIVOS,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.56112103,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4692035,"705,482,719",Presentación de oferta,2023,0.00432108451923077,,1,10000000,2.31423383539375,V1.561,True,0.2,0.000432108451923077,0.6,0,10.5711691769688,4.66410898789792e-05,0.008271566192307674,11.571169176968748
41116,41116,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,892300343,CESAR,LA GLORIA,Territorial,Centralizada,CO1.REQ.4986425,PSAG-030-2023,705482719,CO1.BDOS.4878210,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN,"CONTRATAR LA PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN, PARA LA REALIZACIÓN DE LOS PROCESOS RELACIONADOS CON EL PROGRAMA AMPLIADO DE INMUNIZACIONES PARA LA ATENCIÓN EN SALUD DE LOS USUARIOS EN LA RED DE SERVICIOS DE LA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JOSÉ.",Presentación de oferta,08/27/2023,08/27/2023,,,,,08/27/2023,"4,200,000",Contratación régimen especial,Regla aplicable,90,día(s),,,,La Gloria,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85111510,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4886233,"705,482,719",Presentación de oferta,2023,0.00432108451923077,,1,4200000,0.971978210865377,V1.851,True,0.2,0.000432108451923077,0.6,0,3.85989105432688,0.0011247986826898,0.002471566192307693,4.8598910543268845
59769,59769,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,892300343,CESAR,LA GLORIA,Territorial,Centralizada,CO1.REQ.4584636,PSAG-024-2023,705482719,CO1.BDOS.4481993,PRESTACION DE SERVICIOS APOYO A LA GESTION,"CONTRATAR LA PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION, EN EL AREA DE ENFERMERIA, PARA EL DESARROLLO DE LAS ACTIVIDADES Y PROCEDIMIENTOS  CONTEMPLADOS DENTRO DEL PLAN DE INTERVENCIONES COLECTIVAS SEGUN LOS LINEAMIENTOS DE LA RESOLUCION 0518 DE 2015 PARA LA VIGENCIA 2023,",Presentación de oferta,05/29/2023,05/29/2023,,,,,05/29/2023,"11,400,000",Contratación régimen especial,Regla aplicable,114,día(s),,,,La Gloria,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4487306,"705,482,719",Presentación de oferta,2023,0.00432108451923077,,1,11400000,2.63822657234888,V1.851,True,0.2,0.000432108451923077,0.6,0,12.1911328617444,2.90925020238255e-05,0.009671566192307694,13.191132861744398
63326,63326,INSTITUCION EDUCATIVA AYACUCHO,824001509,CESAR,LA GLORIA,Nacional,Centralizada,CO1.REQ.4421536,003,719145096,CO1.BDOS.4321331,AMBIFLORES,SUMINISTRO DE ASEO,Presentación de oferta,04/21/2023,04/21/2023,,,,,04/21/2023,"2,533,500",Contratación régimen especial,Regla aplicable,2,día(s),,,,La Gloria,EQUIPO CONTRATCION REGIMEN ESPECIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.47131600,Abierto,Suministros,No Definido,V147131700,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4323923,"719,145,096",Presentación de oferta,2023,0.00432108451923077,,1,2533500,0.586311142197008,V1.471,True,6.88772773742676,0.014881226849435573,20.6631832122803,1,-0.914875970051619,0.569046697474678,-0.05699140739774229,0.08512402994838071
67576,67576,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,892300343,CESAR,LA GLORIA,Territorial,Centralizada,CO1.REQ.4584243,PSP-042-2023,705482719,CO1.BDOS.4479166,PRESTACION DE SERVICIOS PROFESIONALES,"CONTRATAR LA PRESTACIÓN DE SERVICIOS PROFESIONALES PARA EL DESARROLLAR ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS EN EL MARCO OPERATIVO DE LA DIMENSION ENFERMEDADES NO TRANSMISIBLES, DEL PLAN DECENAL DE SALUD PUBLICA. SEGUN LOS LINEAMIENTOS DE LA RESOLUCION 0518 DE 2015, PARA LA VIGENCIA 2023, EN VIRTUD DEL CONTRATO INTERADMINISTRATIVO No 006-2023 DEL PLAN DE ACCIÓN EN SALUD SUSCRITO CON EL MUNICIPIO DE LA GLORIA (CESAR).",Presentación de oferta,05/29/2023,05/29/2023,,,,,05/29/2023,"7,600,000",Contratación régimen especial,Regla aplicable,114,día(s),,,,La Gloria,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4486819,"705,482,719",Presentación de oferta,2023,0.00432108451923077,,1,7600000,1.75881771489925,V1.851,True,6.89607667922974,0.014899265091023982,20.6882300376892,1,-0.744953863376167,0.761653396532698,-0.05199706036409594,0.255046136623832
72862,72862,E.S.E. HOSPITAL SAN JOSE DE LA GLORIA CESAR,892300343,CESAR,LA GLORIA,Territorial,Centralizada,CO1.REQ.4581409,PSP-030-2023,705482719,CO1.BDOS.4478907,PRESTACION DE SERVICIOS PROFESIONALES,"CONTRATAR LA PRESTACIÓN DE SERVICIOS PROFESIONALES DE ASESORÍA EN LOS PROCESOS RELACIONADOS CON EL ÁREA DE CARTERA Y ENVIO DE INFORMACIÓN A LOS ENTES QUE EJERCEN INSPECCION, VIGILANCIA Y CONTROL A LA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JOSÉ",Presentación de oferta,05/28/2023,05/28/2023,,,,,05/28/2023,"6,150,000",Contratación régimen especial,Regla aplicable,90,día(s),,,,La Gloria,ADMINISTRATIVOS,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80121610,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4484307,"705,482,719",Presentación de oferta,2023,0.00432108451923077,,1,6150000,1.42325380876716,V1.801,True,0.2,0.000432108451923077,0.6,0,6.11626904383579,0.0002736916503784,0.004421566192307697,7.1162690438358
77718,77718,INSTITUCION EDUCATIVA AYACUCHO,824001509,CESAR,LA GLORIA,Nacional,Centralizada,CO1.REQ.5384965,016,719145096,CO1.BDOS.5267234,PRESTACION DE SERVICIO REMPLAZO Y MEJORAMINETO DEL TECHO DEL SALON DE LA BIBLIOTECA BLOQUE A SEDE PRINCIPAL,PRESTACION DE SERVICOS REEMPLAZO Y MEJORAMIENTO DEL TECHO DE L SALA DE BIBLIOTECA BLOQUE A SEDE PRINCIPAL,Presentación de oferta,12/05/2023,12/05/2023,,,,,12/05/2023,"6,000,000",Contratación régimen especial,Regla aplicable,10,día(s),,,,La Gloria,EQUIPO CONTRATCION REGIMEN ESPECIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.72102900,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5281165,"719,145,096",Presentación de oferta,2023,0.00432108451923077,,1,6000000,1.38854030123625,V1.721,True,12.8943738937378,0.027858839708701896,38.6831216812134,1,-0.892314251728763,0.596132166281069,-0.10543535883480759,0.10768574827123632
