,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
290190,9173,15116,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,900168448,CHOCÓ,ISTMINA,Nacional,Centralizada,CO1.REQ.6018776,MC No. 07 DE 2024,703971531,CO1.BDOS.5900879,Contratar la adquisición de elementos e insumos para los programas Psicosociales; funcionamiento de la Junta de Evaluación; Trabajo; Estudio y Enseñanza y Funcionamiento de los Órganos colegiados de E,"Contratar la adquisición de elementos e insumos para los programas Psicosociales, funcionamiento de la Junta de Evaluación, Trabajo, Estudio y Enseñanza y Funcionamiento de los Órganos colegiados de Evaluación y Tratamiento del Establecimiento Penitenciario de Mediana Seguridad y Carcelario Istmina INPEC.",Presentación de oferta,03/29/2024,03/29/2024,,,,,03/29/2024,6600000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),04/08/2024,04/08/2024,04/08/2024,Istmina,EPMSC ISTMINA,0,0,18,0,6,0,0,6,0,Seleccionado,70,Si,CO1.AWD.1896923,706678679,Meta,Acacías,04/11/2024,6600000,ROVEIRO MOSQUERA MOSQUERA,MILTON ANDRES LOPEZ LADINO,1007741878,V1.44122003,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5907972,703971531,Adjudicado,2024,3.9155429850746266,,1,6600000,6.6,V1.441,True,210.01516013370457,411.16169351042566,160.9088401794434,1,-0.9685736972711962,0.2986205407895379,-51.95069008540782,-7.517744541168213,43.22452756972031,0.031426302728803764
305374,11527,19027,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,900168448,CHOCÓ,ISTMINA,Nacional,Centralizada,CO1.REQ.5928971,MC No. 04 DE 2024,703971531,CO1.BDOS.5811681,Contratar la adquisición de elementos e insumos para los programas Psicosociales; funcionamiento de la Junta de Evaluación; Trabajo; Estudio y Enseñanza y Funcionamiento de los Órganos colegiados de E,"Contratar la adquisición de elementos e insumos para los programas Psicosociales, funcionamiento de la Junta de Evaluación, Trabajo, Estudio y Enseñanza y Funcionamiento de los Órganos colegiados de Evaluación y Tratamiento del Establecimiento Penitenciario de Mediana Seguridad y Carcelario Istmina INPEC",Presentación de oferta,03/11/2024,03/11/2024,,,,,03/11/2024,6600000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),03/15/2024,03/15/2024,03/15/2024,Istmina,EPMSC ISTMINA,0,0,14,0,4,0,0,4,0,Cancelado,100,Si,CO1.AWD.1879306,706678679,Meta,Acacías,,6600000,ROVEIRO MOSQUERA MOSQUERA,MILTON ANDRES LOPEZ LADINO,1007741878,V1.44103103,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5819146,703971531,Adjudicado,2024,3.9155429850746266,,1,6600000,6.6,V1.441,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,7.42794987203315,1.683056483452103e-06,1.48558997440663,1.6885986328125,37.87971817885629,8.42794987203315
122711,7908,13166,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,900168448,CHOCÓ,ISTMINA,Nacional,Centralizada,CO1.REQ.5841719,MC No. 03 DE 2024,703971531,CO1.BDOS.5720517,Contratar la adquisición de elementos de cama y kit de aseo personal para la población privada de la libertad del Establecimiento Penitenciario de Mediana Seguridad y Carcelario de Istmina  INPEC,"Contratar la prestación del servicio de fumigación, desratización y control de la calidad del agua en el Establecimiento Penitenciario de Mediana Seguridad y Carcelario Istmina  INPEC",Presentación de oferta,02/26/2024,02/26/2024,,,,,02/26/2024,20038826,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),03/01/2024,03/01/2024,03/01/2024,Istmina,EPMSC ISTMINA,0,0,19,0,5,0,0,5,0,Seleccionado,70,Si,CO1.AWD.1866103,712694082,Antioquia,Medellín,03/06/2024,20038826,ROVEIRO MOSQUERA MOSQUERA,INDUSTRIA Y DOTACIONES ALRAMEC S.A.S,901310109,V1.53131603,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5733065,703971531,Adjudicado,2024,3.9155429850746266,,1,20038826,20.038826,V1.531,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,24.58882136702948,5.113994404622068e-10,4.917764273405896,23.504638671875,21.7257483804117,25.588821367029478
469756,9398,15667,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,900168448,CHOCÓ,ISTMINA,Nacional,Centralizada,CO1.REQ.6229102,MC No 13 DE 2024,703971531,CO1.BDOS.6107705,Contratar la adquisición de artículos  de deporte; recreacion y cultura para el fortalecimiento de los programas de  deporte; recreacion y cultura del Establecimiento Penitenciario de Mediana Segurida,"Contratar la adquisición de artículos para el fortalecimiento de los programas de deporte, recreación y cultura dirigidos a los privados de la libertad del Establecimiento Penitenciario de Mediana Seguridad y Carcelario Istmina INPEC",Presentación de oferta,05/12/2024,05/12/2024,,,,,05/12/2024,8320000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),05/16/2024,05/16/2024,05/16/2024,Istmina,EPMSC ISTMINA,0,0,15,0,4,0,0,4,0,Seleccionado,70,Si,CO1.AWD.1930209,700827017,Distrito Capital de Bogotá,Bogotá,05/21/2024,8320000,ROVEIRO MOSQUERA MOSQUERA,COMERCIALIZADORA Y DISTRIBUIDORA TORRES S.A.S,900020938,V1.49161526,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6116619,703971531,Adjudicado,2024,3.9155429850746266,,1,8320000,8.319999999999999,V1.491,True,32.41194948504519,63.45519071938093,24.8332986831665,1,-0.7433045487177861,0.4908003232985534,-6.152901290288356,-1.055667161941528,2.5988569420215333,0.256695451282214
376022,5331,8737,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,900168448,CHOCÓ,ISTMINA,Nacional,Centralizada,CO1.REQ.6230352,MC No 14 DE 2024,703971531,CO1.BDOS.6109046,Contratar la compra y recarga de extintores compra de camillas y dotación de botiquines para las áreas laborales de los privados de la libertad del Establecimiento Penitenciario de Mediana Seguridad y,Contratar la compra y recarga de extintores compra de camillas y dotación de botiquines para las áreas laborales de los privados de la libertad del Establecimiento Penitenciario de Mediana Seguridad y Carcelario Istmina,Presentación de oferta,05/13/2024,05/13/2024,,,,,05/13/2024,1600000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),05/16/2024,05/16/2024,05/16/2024,Istmina,EPMSC ISTMINA,0,0,6,0,3,0,0,3,0,Seleccionado,70,Si,CO1.AWD.1930657,704428150,Valle del Cauca,Cartago,05/21/2024,1600000,ROVEIRO MOSQUERA MOSQUERA,Extin Norte Servicios Generales,162263946,V1.46191601,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6117940,703971531,Adjudicado,2024,3.9155429850746266,,1,1600000,1.5999999999999999,V1.461,True,0.7831085970149254,1.533147686796712,0.6000000000000001,1,1.043139362917127,0.047292960589905,0.2086278725834255,0.5235327482223511,0.8313705835116415,2.043139362917127
475941,2888,4810,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,900168448,CHOCÓ,ISTMINA,Nacional,Centralizada,CO1.REQ.5937360,MC No. 05 DE 2024,703971531,CO1.BDOS.5820230,Contratar la adquisición productos alimenticios y materia prima para ser comercializados a través de los proyectos productivos expendio y panadería del EPMSC Istmina del Establecimiento Penitenciario,Contratar la adquisición productos alimenticios y materia prima para ser comercializados a través de los proyectos productivos expendio y panadería del EPMSC Istmina del Establecimiento Penitenciario de Mediana Seguridad y Carcelario de Istmina INPEC,Presentación de oferta,03/13/2024,03/13/2024,,,,,03/13/2024,7339370,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),03/19/2024,03/19/2024,03/19/2024,Istmina,EPMSC ISTMINA,0,0,8,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1882633,709335186,Chocó,Istmina,03/26/2024,7339370,ROVEIRO MOSQUERA MOSQUERA,SUPERMECADO LA 15 DEL SAN JUAN,21487024,V1.50161813,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5827942,703971531,Adjudicado,2024,3.9155429850746266,,1,7339370,7.3393700000000015,V1.501,True,35.859457494871215,70.20462362131236,27.47470092773438,1,-0.7953295863148596,0.43873933390062,-7.28381417432649,-0.7992203235626221,0.028555560234110332,0.20467041368514044
63323,12221,20178,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,900168448,CHOCÓ,ISTMINA,Nacional,Centralizada,CO1.REQ.6285682,MC No 15 DE 2024,703971531,CO1.BDOS.6163696,Contratar la compra dotación mobiliarios y equipos audiovisuales para el fortalecimiento de programas psicosociales de atención social del Establecimiento Penitenciario de Mediana Seguridad y Carcelar,Contratar la compra dotación mobiliarios y equipos audiovisuales para el fortalecimiento de programas psicosociales de atención social del Establecimiento Penitenciario de Mediana Seguridad y Carcelario de Istmina INPEC,Presentación de oferta,05/23/2024,05/23/2024,,,,,05/23/2024,421026,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),05/29/2024,05/29/2024,05/29/2024,Istmina,EPMSC ISTMINA,0,0,9,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.1940635,726533797,Meta,Villavicencio,06/05/2024,421026,ROVEIRO MOSQUERA MOSQUERA,MILTON YESID LOPEZ LOZADA,17335796,V1.45111711,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6172079,703971531,Adjudicado,2024,3.9155429850746266,,1,421026,0.42102599999999996,V1.451,True,0.7831085970149254,1.533147686796712,0.6000000000000001,1,-0.4623657541177835,0.7184742390718669,-0.0924731508235567,0.5275052785873413,-0.4167614414157078,0.5376342458822164
591039,1887,3122,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,900168448,CHOCÓ,ISTMINA,Nacional,Centralizada,CO1.REQ.6190505,MC No 12 DE 2024,703971531,CO1.BDOS.6070304,Contratar la adquisición bebidas no alcoholicas para ser comercializados a través de los proyectos productivos expendio y panadería del EPMSC Istmina del Establecimiento Penitenciario de Mediana Segur,Contratar la adquisición bebidas no alcohólicas para ser comercializados a través de los proyectos productivos expendio y panadería del EPMSC Istmina del Establecimiento Penitenciario de Mediana Seguridad y Carcelario de Istmina INPEC,Presentación de oferta,05/05/2024,05/05/2024,,,,,05/05/2024,4727272,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),05/09/2024,05/09/2024,05/09/2024,Istmina,EPMSC ISTMINA,0,0,2,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1924508,701694325,Distrito Capital de Bogotá,No Definido,05/14/2024,4727272,ROVEIRO MOSQUERA MOSQUERA,INDUSTRIA NACIONAL DE GASEOSAS S.A.,890903858,V1.50202309,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6077619,703971531,Adjudicado,2024,3.9155429850746266,,1,4727272,4.727272000000001,V1.502,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,5.036547189009985,2.257172875175896e-05,1.007309437801997,5.144405364990234,-0.509874935282505,6.036547189009985
284997,3980,6605,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,900168448,CHOCÓ,ISTMINA,Nacional,Centralizada,CO1.REQ.6322367,MC No. 16-2024,703971531,CO1.BDOS.6195939,Contratar la adquisicion de productos de aseo y limpieza electricos y de ferreteria para el Establecimiento Penitenciario de Mediana Seguridad y Carcelario de Istmina,Contratar la adquisición de productos de aseo y limpieza eléctricos y de ferretería para el Establecimiento Penitenciario de Mediana Seguridad y Carcelario de Istmina - INPEC,Presentación de oferta,06/04/2024,06/04/2024,,,,,06/04/2024,3330008,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),06/11/2024,06/11/2024,06/11/2024,Istmina,EPMSC ISTMINA,0,0,22,0,5,0,0,5,0,Seleccionado,70,Si,CO1.AWD.1950747,705325751,Chocó,Istmina,06/13/2024,3330008,ROVEIRO MOSQUERA MOSQUERA,FERROVARIEDADES EL CONSTRUCTOR,26386774,V1.39111810,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6219712,703971531,Adjudicado,2024,3.9155429850746266,,1,3330008,3.330008,V1.391,True,1.7998008431165164,3.523598782898137,1.378966480493546,1,0.8502091566052347,0.08474765982316,0.3908033094557687,1.026021361351013,-0.5854560483010797,1.8502091566052346
755662,511,852,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,900168448,CHOCÓ,ISTMINA,Nacional,Centralizada,CO1.REQ.6091219,MC No 09 DE 2024,703971531,CO1.BDOS.5972038,Contratar la adquisición de artículos para el fortalecimiento de los programas enfoque diferencial   dirigido a los privados de la libertad del Establecimiento Penitenciario de Mediana Seguridad y Car,Contratar la adquisición de artículos para el fortalecimiento de los programas enfoque diferencial   dirigido a los privados de la libertad del Establecimiento Penitenciario de Mediana Seguridad y Carcelario Istmina INPEC,Presentación de oferta,04/15/2024,04/15/2024,,,,,04/15/2024,4700000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),04/18/2024,04/18/2024,04/18/2024,Istmina,EPMSC ISTMINA,0,0,11,0,5,0,0,5,0,Seleccionado,70,Si,CO1.AWD.1906901,706678679,Meta,Acacías,04/24/2024,4700000,ROVEIRO MOSQUERA MOSQUERA,MILTON ANDRES LOPEZ LADINO,1007741878,V1.49161526,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5979971,703971531,Adjudicado,2024,3.9155429850746266,,1,4700000,4.699999999999998,V1.491,True,111.4423542881069,218.1786642864991,85.38459777832033,1,-0.9578257294542676,0.3620887606608861,-27.26118821705963,-0.7895387411117554,-0.7909488452098071,0.04217427054573255
