,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
390647,7087,11580,MUNICIPIO DE LA MESA,890680026,CUNDINAMARCA,LA MESA,Territorial,Centralizada,CO1.REQ.6009514,CI-092-2024,705064632,CO1.BDOS.5891631,EJECUCIÓN DE LAS ACCIONES DE SALUD PÚBLICA EN EL MARCO DEL PLAN DE INTERVENCIONES COLECTIVAS A CARGO DE LAS ENTIDADES TERRITORIALES EN EL MUNICIPIO DE LA MESA EN LA VIGENCIA 2024,EJECUCIÓN DE LAS ACCIONES DE SALUD PÚBLICA EN EL MARCO DEL PLAN DE INTERVENCIONES COLECTIVAS A CARGO DE LAS ENTIDADES TERRITORIALES EN EL MUNICIPIO DE LA MESA EN LA VIGENCIA 2024,Presentación de oferta,03/26/2024,03/26/2024,,,,,03/26/2024,318641694,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,día(s),,,,La Mesa,OFICINA JURIDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,702585837,Cundinamarca,La Mesa,,0,No Adjudicado,E.S.E HOSPITAL PEDRO LEON ALVAREZ DIAZ,890680027,V1.85121501,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5899212,705064632,Adjudicado,2024,3.9155429850746266,,1,318641694,318.641694,V1.851,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,405.8933672987463,8.14572249348794e-19,81.17867345974928,0.6335875988006592,129132.66271365747,406.89336729874634
314360,7690,12673,MUNICIPIO DE LA MESA,890680026,CUNDINAMARCA,LA MESA,Territorial,Centralizada,CO1.REQ.5830804,CI-040-2023,705064632,CO1.BDOS.5713570,PRESTAR LOS SERVICIOS DE PROTECCIÓN SOCIAL INTEGRAL QUE SE OFRECEN EN LOS CENTROS DE PROTECCIÓN DE LA BENEFICENCIA DE CUNDINAMARCA A LOS USUARIOS PROCEDENTES DEL MUNICIPIO DE LA MESA,PRESTAR LOS SERVICIOS DE PROTECCIÓN SOCIAL INTEGRAL QUE SE OFRECEN EN LOS CENTROS DE PROTECCIÓN DE LA BENEFICENCIA DE CUNDINAMARCA A LOS USUARIOS PROCEDENTES DEL MUNICIPIO DE LA MESA,Presentación de oferta,02/23/2024,02/23/2024,,,,,02/23/2024,279990000,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,Mes(es),,,,La Mesa,OFICINA JURIDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,702188228,Distrito Capital de Bogotá,Bogotá,,0,No Adjudicado,BENEFICENCIA DE CUNDINAMARCA,899999072,V1.94131601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5722110,705064632,Adjudicado,2024,3.9155429850746266,,1,279990000,279.98999999999995,V1.941,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,356.536618889479,1.5937679358177142e-18,71.3073237778958,11.99967098236084,96466.90004451398,357.536618889479
500860,1939,3194,MUNICIPIO DE LA MESA,890680026,CUNDINAMARCA,LA MESA,Territorial,Centralizada,CO1.REQ.5993351,SMC-005-2024,705064632,CO1.BDOS.5875541,PRESTAR EL SERVICIO DE MANTENIMIENTO INTEGRAL (PREVENTIVO Y CORRECTIVO) PARA LOS VEHÍCULOS Y MAQUINARIA PESADA DE PROPIEDAD DEL MUNICIPIO DE LA MESA CUNDINAMARCA,PRESTAR EL SERVICIO DE MANTENIMIENTO INTEGRAL (PREVENTIVO Y CORRECTIVO) PARA LOS VEHÍCULOS Y MAQUINARIA PESADA DE PROPIEDAD DEL MUNICIPIO DE LA MESA CUNDINAMARCA,Presentación de oferta,03/21/2024,03/21/2024,,,,,03/21/2024,36400000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),04/02/2024,04/02/2024,04/02/2024,La Mesa,OFICINA JURIDICA,0,0,14,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.1892922,724775135,Distrito Capital de Bogotá,Bogotá,04/09/2024,36400000,LAURA MARCELA LONDOÑO RODRIGUEZ,INGEFILTERS COLOMBIA SAS,901172803,V1.72151800,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5882423,705064632,Adjudicado,2024,3.9155429850746266,,1,36400000,36.4,V1.721,True,0.04650500743895637,0.09104617782422447,0.0356310792267322,0,781.7114111911366,3.864657901857228e-20,9.28440707486402,15.96704578399658,27873.094900819895,782.7114111911399
746078,3747,6102,MUNICIPIO DE LA MESA,890680026,CUNDINAMARCA,LA MESA,Territorial,Centralizada,CO1.REQ.6170501,CI-128-2024,705064632,CO1.BDOS.6050086,AUNAR ESFUERZOS PARA LA CONFORMACIÓN DE LA BOLSA COMÚN DE RECURSOS PARA EL FINANCIAMIENTO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR  PAE  EN LA ETC CUNDINAMARCA; MEDIANTE LA TRASFERENCIA DE RECURSOS SGP,"AUNAR ESFUERZOS PARA LA CONFORMACIÓN DE LA BOLSA COMÚN DE RECURSOS PARA EL FINANCIAMIENTO DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR  PAE  EN LA ETC CUNDINAMARCA, MEDIANTE LA TRASFERENCIA DE RECURSOS SGP ALIMENTACIÓN ESCOLAR DEL MUNICIPIO DE LA MESA CON NIT. 890.680.026-7 AL DEPARTAMENTO DE CUNDINAMARCA NIT. 899.999.114-0",Presentación de oferta,04/30/2024,04/30/2024,,,,,04/30/2024,139024954,Contratación directa,Contratos o convenios Interadministrativos (valor cero),otro,día(s),,,,La Mesa,OFICINA JURIDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,702179409,Cundinamarca,No Definido,,0,No Adjudicado,DEPARTAMENTO DE CUNDINAMARCA - SECRETARIA DE EDUCACION,899999114,V1.80161500,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6058283,705064632,Adjudicado,2024,3.9155429850746266,,1,139024954,139.024954,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,176.5295974657143,4.617216040399297e-17,35.30591949314287,36.98681259155273,19399.929248162207,177.52959746571432
692102,830,1343,MUNICIPIO DE LA MESA,890680026,CUNDINAMARCA,LA MESA,Territorial,Centralizada,CO1.REQ.5796872,PS-027-2024,705064632,CO1.BDOS.5677616,PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA ASESORÍA Y ACOMPAÑAMIENTO DE POLITICAS DE FISCALIZACIÓN; COBRO Y DEPURACION DE CARTERA PERSUASIVA Y COACTIVA REALIZADA POR LA ADMINISTRACION MUNICIPAL; AS,"PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA ASESORÍA Y ACOMPAÑAMIENTO DE POLITICAS DE FISCALIZACIÓN, COBRO Y DEPURACION DE CARTERA PERSUASIVA Y COACTIVA REALIZADA POR LA ADMINISTRACION MUNICIPAL, ASÍ COMO DE LA CENTRAL DE ABASTOS, CON EL PROPOSITO DE INCREMENTAR EL RECAUDO Y SANEAR LA CARTERA.",Presentación de oferta,02/20/2024,02/20/2024,,,,,02/20/2024,119000000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,La Mesa,OFICINA JURIDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,725275598,Distrito Capital de Bogotá,Bogotá,,0,No Adjudicado,GÓMEZ & GARCÍA CONSULTORES S.A.S,901248238,V1.80111601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5693324,705064632,Adjudicado,2024,3.9155429850746266,,1,119000000,119.0,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,150.9584901169613,3.817107699390193e-15,30.19169802339227,-8.656767845153809,18994.215697491698,151.95849011696134
29287,3879,6361,EMPRESA REGIONAL AGUAS DEL TEQUENDAMA S.A. E.S.P.,900126313,CUNDINAMARCA,LA MESA,Territorial,Centralizada,CO1.REQ.5794309,OPS-056/2024,718586266,CO1.BDOS.5676925,OPS-056/2024,RENOVACION DEL LICENCIAMIENTO DEL SOFTWARE AMERIKA BAJO LA MODALIDAD SAAS (SOFTWARE COMO SERVICIO) AL MODULO COMERCIAL DE LA EMPRESA REGIONAL AGUAS DEL TEQUENDAMA S.A. E.S.P.,Presentación de oferta,02/19/2024,02/19/2024,,,,,02/19/2024,102562960,Contratación régimen especial,Regla aplicable,otro,día(s),,,,La Mesa,COMERCIAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,706450236,Atlántico,Barranquilla,,0,No Adjudicado,AMERIKA TECNOLOGIA Y SERVICIOS SAS,900633782,V1.81112502,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5685531,718586266,Adjudicado,2024,3.9155429850746266,,1,102562960,102.56295999999998,V1.811,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,129.9690129708092,1.714025903254928e-15,25.99380259416185,-25.63959121704102,15959.67904697431,130.96901297080922
794476,4544,7439,MUNICIPIO DE LA MESA,890680026,CUNDINAMARCA,LA MESA,Territorial,Centralizada,CO1.REQ.6402462,PCESAL-003-2024,705064632,CO1.BDOS.6278450,AUNAR ESFUERZOS TÉCNICOS ADMINISTRATIVOS Y FINANCIEROS PARA LA ORGANIZACIÓN Y DESARROLLO DE LOS EVENTOS CULTURALES DENOMINADOS 1) FESTIVAL CULTURAL DEL AGUA Y DEL CAFÉ EN LA INSPECCION DE LA ESPERANZA,AUNAR ESFUERZOS TÉCNICOS ADMINISTRATIVOS Y FINANCIEROS PARA LA ORGANIZACIÓN Y DESARROLLO DE LOS EVENTOS CULTURALES DENOMINADOS 1) FESTIVAL CULTURAL DEL AGUA Y DEL CAFÉ EN LA INSPECCION DE LA ESPERANZA 2) FESTIVAL CULTURAL Y AMBIENTAL DEL RIO APULO EN LA INSPECCION DE SAN JAVIER  3) CELEBRACION DEL DIA DEL CAMPESINO EN LAS INSPECCIONES DE LA ESPERAZA Y SAN JAVIER DEL MUNCIPIO DE LA MESA CUNDINAMARCA,Presentación de oferta,06/19/2024,06/19/2024,,,,,06/19/2024,144350000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),06/21/2024,06/21/2024,06/21/2024,La Mesa,OFICINA JURIDICA,0,0,21,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1961488,707089041,Cundinamarca,No Definido,06/25/2024,144350000,KATIA MILENA BLANCO IBARRA,FUNDACION CAMINO A LOS SUEÑOS,900410707,V1.49101700,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6288809,705064632,Adjudicado,2024,3.9155429850746266,,1,144350000,144.34999999999997,V1.491,True,377.50020212019285,739.0591341379874,289.2320709228516,1,-0.6176160987748552,0.6163476787715909,-59.54479442798128,-61.48583221435547,8786.32699628406,0.38238390122514465
731176,1566,2604,EMPRESA REGIONAL AGUAS DEL TEQUENDAMA S.A. E.S.P.,900126313,CUNDINAMARCA,LA MESA,Territorial,Centralizada,CO1.REQ.5641062,SUM-004/2024,718586266,CO1.BDOS.5523670,SUM-004/2024,"SUMINISTRO A MONTO AGOTABLE DE COMBUSTIBLE (GASOLINA CORRIENTE, A.C.P.M (DIESEL y DIÉSEL - MAXPRO), LUBRICANTES, FILTROS, ACCESORIOS Y MANTENIMIENTO PREVENTIVO PARA LOS EQUIPOS, VEHÍCULOS Y MOTOS QUE HACEN PARTE DEL PARQUE AUTOMOTOR QUE CONFORMA LA EMPRESA REGIONAL AGUAS DEL TEQUENDAMA S.A. E.S.P",Presentación de oferta,01/29/2024,01/29/2024,,,,,01/29/2024,300000000,Contratación régimen especial,Regla aplicable,otro,día(s),,,,La Mesa,ADMINISTRACION FINANCIERA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,700147135,Meta,Villavicencio,,0,No Adjudicado,DISTRIBUCIONES HERNANDEZ VELASQUEZ LTDA,822000897,V1.40161500,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5533042,718586266,Adjudicado,2024,3.9155429850746266,,1,300000000,300.0,V1.401,True,14.341812858941946,28.077992366541608,10.98837089538574,0,19.91785766211234,5.916580304003322e-10,72.95493581093037,0.1759427934885025,5922.574460587151,20.917857662112336
448130,413,663,Concejo Municipal La Mesa Cundinamarca,8906800267,CUNDINAMARCA,LA MESA,Territorial,Centralizada,CO1.REQ.5662227,PS-001-2024,711862086,CO1.BDOS.5544819,PRESTACION DE SERVICIOS PROFESIONALES EN TEMAS JURIDICOS Y COMO ASESOR DEL CONCEJO MUNICIPAL DE LA MESA CUNDINAMARCA,"servicios legales asesoría, derechos de petición, tutelas, actos administrativos, contratación  y otros",Presentación de oferta,01/31/2024,01/31/2024,,,,,01/31/2024,56000000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,Mes(es),,,,La Mesa,EQUIPO CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,708588215,Distrito Capital de Bogotá,Bogotá,,0,No Adjudicado,CARLOS ANDRES GUZMAN MORENO,79065364,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5553170,711862086,Adjudicado,2024,3.9155429850746266,,1,56000000,55.99999999999999,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,70.50987770209946,1.971131435385898e-13,14.10197554041989,10.30083274841309,3371.7065174064364,71.50987770209944
433760,11694,19337,EMPRESA REGIONAL AGUAS DEL TEQUENDAMA S.A. E.S.P.,900126313,CUNDINAMARCA,LA MESA,Territorial,Centralizada,CO1.REQ.5483569,OPS-001/2024,718586266,CO1.BDOS.5364949,OPS-001/2024,PRESTACION DE SERVICIOS PROFESIONALES PARA LA ASESORIA JURIDICA Y REPRESENTACION JUDICIAL DE LA EMPRESA REGIONAL AGUAS DEL TEQUENDAMA S.A. E.S.P.,Presentación de oferta,01/02/2024,01/02/2024,,,,,01/02/2024,54232933,Contratación régimen especial,Regla aplicable,otro,día(s),,,,La Mesa,ADMINISTRACION FINANCIERA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,719123135,Cundinamarca,La Mesa,,0,No Adjudicado,NELSON IVAN GARCIA TARQUINO,79063121,V1.80111607,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5378049,718586266,Adjudicado,2024,3.9155429850746266,,1,54232933,54.23293300000001,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,68.25340011171704,4.91839705507469e-13,13.65068002234341,25.9398307800293,2294.7889705562766,69.25340011171704
