,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
7962,7962,INSTITUCION EDUCATIVA VILLA CLARA,900000591,CÓRDOBA,SAN BERNARDO DEL VIENTO,Nacional,Centralizada,CO1.REQ.5266562,CRE-006,722177334,CO1.BDOS.5151559,REALIZACION DE ACTIVIDADES PEDAGOGICAS Y CULTURALES,PRESTAR LA LOGISTICA PARA EL DESARROLLO DE LA XVI SEMANA CULTURAL INEVICLAR.  PROYECTO PARA EL MEJORAMIENTO DE LA CONVIVENCIA Y LA SALUD MENTAL DE LOS ESTUDIANTES DE LA INSTITUCIÓN EDUCATIVA VILLA CLARA.,Presentación de oferta,11/10/2023,11/10/2023,,,,,11/10/2023,"4,500,000",Contratación régimen especial,Regla aplicable,5,día(s),,,,San Bernardo Del Viento,FONDO DE SERVICIOS EDUCATIVOS,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.93141701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5163241,"722,177,334",Presentación de oferta,2023,0.00432108451923077,,1,4500000,1.04140522592719,V1.931,True,35.8395195007324,0.07743279644564204,107.518558502197,1,-0.970942544977314,0.503110719452548,-0.3052311857825681,0.029057455022685454
8459,8459,I. E. ENRIQUE OLAYA HERRERA,812006805,CÓRDOBA,SAN BERNARDO DEL VIENTO,Territorial,Centralizada,CO1.REQ.4905676,IEEOH 2023 - 001,720322122,CO1.BDOS.4798271,Honorarios,No definido,Presentación de oferta,08/03/2023,08/03/2023,,,,,08/03/2023,"7,000,000",Contratación régimen especial,Regla aplicable,7,Mes(es),,,,San Bernardo Del Viento,FONDO DE SERVICIOS EDUCATIVOS,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4808452,"720,322,122",Presentación de oferta,2023,0.00432108451923077,,1,7000000,1.61996368477563,V1.841,True,0.963223993778229,0.00208108614403337,2.88967198133469,1,0.681814090221475,0.0616400377359483,-0.0013243445761334715,1.6818140902214773
8714,8714,E.S.E. HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO,891000499,CÓRDOBA,SAN BERNARDO DEL VIENTO,Territorial,Centralizada,CO1.REQ.3972557,CPSPA-007-2023,708776596,CO1.BDOS.3877234,PRESTACION DE SERVICIOS ESPECIALIZADOS PARA APOYAR LA IMPLEMENTACION ANALISIS Y MEJORA DEL SISTEMA GENERAL DE SEGURIDAD Y SALUD EN EL TRABAJO EN LA E.S.E. HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO,PRESTACION DE SERVICIOS ESPECIALIZADOS PARA APOYAR LA IMPLEMENTACION ANALISIS Y MEJORA DEL SISTEMA GENERAL DE SEGURIDAD Y SALUD EN EL TRABAJO EN LA E.S.E. HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO,Presentación de oferta,01/30/2023,01/30/2023,,,,,01/30/2023,"10,000,000",Contratación régimen especial,Regla aplicable,150,día(s),,,,San Bernardo Del Viento,AREA ADMINISTRATIVA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111706,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3878095,"708,776,596",Presentación de oferta,2023,0.00432108451923077,,1,10000000,2.31423383539375,V1.801,True,0.2,0.000432108451923077,0.6,0,10.5711691769688,4.66410898789792e-05,0.008271566192307674,11.571169176968748
9765,9765,INSTITUCION EDUCATIVA TECNICA SAN FRANCISCO DE ASIS,8120019265,CÓRDOBA,SAN BERNARDO DEL VIENTO,Territorial,Centralizada,CO1.REQ.4567902,CRE-04 - 2023,721304376,CO1.BDOS.4464972,MANTENIMIENTO DE AIRES ACONDICIONADOS Y VENTILADORES,MANTENIMIENTO DE  AIRES ACONDICIONADOS Y VENTILADORES DE TECHO,Presentación de oferta,05/25/2023,05/25/2023,,,,,05/24/2023,"6,950,000",Contratación régimen especial,Regla aplicable,8,día(s),,,,San Bernardo Del Viento,RECTORIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.72102900,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4469311,"721,304,376",Presentación de oferta,2023,0.00432108451923077,,1,6950000,1.60839251559866,V1.721,True,27.5571689605713,0.05953842809467566,82.6715068817139,1,-0.941634334140058,0.537235522368647,-0.23120371237870266,0.05836566585994165
9952,9952,E.S.E. HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO,891000499,CÓRDOBA,SAN BERNARDO DEL VIENTO,Territorial,Centralizada,CO1.REQ.3953741,CMAN-002-2023,708776596,CO1.BDOS.3858084,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS REDES ELÉCTRICAS EN LA E.S.E. HOSPITAL SAN JOSÉ DE SAN BERNARDO DEL VIENTO,MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS REDES ELÉCTRICAS EN LA E.S.E. HOSPITAL SAN JOSÉ DE SAN BERNARDO DEL VIENTO,Presentación de oferta,01/27/2023,01/27/2023,,,,,01/27/2023,"14,500,000",Contratación régimen especial,Regla aplicable,150,día(s),,,,San Bernardo Del Viento,MANTENIMIENTO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.72151511,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3859276,"708,776,596",Presentación de oferta,2023,0.00432108451923077,,1,14500000,3.35563906132094,V1.721,True,0.2,0.000432108451923077,0.6,0,15.7781953066047,1.22843924706696e-05,0.012771566192307678,16.778195306604697
16662,16662,E.S.E. HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO,891000499,CÓRDOBA,SAN BERNARDO DEL VIENTO,Territorial,Centralizada,CO1.REQ.4662270,CSUM-021-2023,708776596,CO1.BDOS.4558481,SUMINISTRO DE EQUIPOS MEDICOS Y BIOMEDICOS PARA LA ESE HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO,SUMINISTRO DE EQUIPOS MEDICOS Y BIOMEDICOS PARA LA ESE HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO,Presentación de oferta,06/13/2023,06/13/2023,,,,,06/13/2023,"43,400,000",Contratación régimen especial,Regla aplicable,205,día(s),,,,San Bernardo Del Viento,SUMINISTRO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.42172017,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4564429,"708,776,596",Presentación de oferta,2023,0.00432108451923077,,1,43400000,10.0437748456089,V1.421,True,0.2,0.000432108451923077,0.6,0,49.2188742280445,2.53094026951652e-07,0.04167156619230772,50.21887422804449
21738,21738,I.E EL CASTILLO,900058402,CÓRDOBA,SAN BERNARDO DEL VIENTO,Nacional,Centralizada,CO1.REQ.5200184,CRE-003,721109916,CO1.BDOS.5086706,MANTENIMIENTO; CONSERVACION Y REPARACION DE INSTALACIONES,"Mantenimiento de aires acondicionados, ventiladores y redes eléctrica, en la sede principal y sedes, para el buen funcionamiento de la Institución Educativa El Castillo.",Presentación de oferta,10/25/2023,10/25/2023,,,,,10/24/2023,"11,700,000",Contratación régimen especial,Regla aplicable,8,día(s),,,,San Bernardo Del Viento,I.E CASTILLO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.72103300,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5099518,"721,109,916",Presentación de oferta,2023,0.00432108451923077,,1,11700000,2.70765358741069,V1.721,True,0.2,0.000432108451923077,0.6,0,12.5382679370535,2.64993113744569e-05,0.009971566192307683,13.53826793705345
28696,28696,INSTITUCION EDUCATIVA JOSE MANUEL DE ALTAMIRA,812002115,CÓRDOBA,SAN BERNARDO DEL VIENTO,Territorial,Centralizada,CO1.REQ.5080453,CRE-006,719295149,CO1.BDOS.4969814,COMISIONES; HONORARIOS Y SERVICIOS,"ASESORIAS CONTABLES, REALIZACION DE INFORMES A LA SED Y MEN, ORGANIZACION DE CUENTAS",Presentación de oferta,09/21/2023,09/21/2023,,,,,09/20/2023,"7,000,000",Contratación régimen especial,Regla aplicable,4,Mes(es),,,,San Bernardo Del Viento,INSTITUCION EDUCATIVA JOSE MA NUEL DE ALTAMIRA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111502,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4979773,"719,295,149",Presentación de oferta,2023,0.00432108451923077,,1,7000000,1.61996368477563,V1.841,True,11.5422258377075,0.02493746669239164,34.6266775131226,1,-0.859648935348038,0.635322934150731,-0.09274986676956655,0.14035106465196187
38004,38004,E.S.E. HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO,891000499,CÓRDOBA,SAN BERNARDO DEL VIENTO,Territorial,Centralizada,CO1.REQ.3970643,CPSPO-004-2023,708776596,CO1.BDOS.3874949,PRESTACION DE SERVICIOS PROFESIONALES DE MEDICINA GENERAL EN LA E.S.E. HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO,PRESTACION DE SERVICIOS PROFESIONALES DE MEDICINA GENERAL EN LA E.S.E. HOSPITAL SAN JOSE DE SAN BERNARDO DEL VIENTO,Presentación de oferta,01/30/2023,01/30/2023,,,,,01/30/2023,"15,000,000",Contratación régimen especial,Regla aplicable,85,día(s),,,,San Bernardo Del Viento,AREA ASISTENCIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85121502,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3876481,"708,776,596",Presentación de oferta,2023,0.00432108451923077,,1,15000000,3.47135075309063,V1.851,True,1.00280594825745,0.0021666046294039,3.00841784477234,0,2.46163757716308,0.004038578462761,0.006333581482384396,3.461637577163066
46884,46884,INSTITUCION EDUCATIVA TECNICA SAN FRANCISCO DE ASIS,8120019265,CÓRDOBA,SAN BERNARDO DEL VIENTO,Territorial,Centralizada,CO1.REQ.4453852,CRE -02-2023,721304376,CO1.BDOS.4352880,SUMINISTRO DE IMPLMENTOS DEPORTIVOS,SUMINISTRO  DE IMPLEMENTOS DEPORTIVOS PARA EL DESARROLLO DE ACTIVIDADES PEDAGÓGICAS Y ACADÉMICAS A LOS ESTUDIANTES DE EDUCACIÓN FÍSICA,Presentación de oferta,04/29/2023,04/29/2023,,,,,04/28/2023,"3,498,600",Contratación régimen especial,Regla aplicable,3,día(s),,,,San Bernardo Del Viento,RECTORIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.49221500,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4356953,"721,304,376",Presentación de oferta,2023,0.00432108451923077,,1,3498600,0.809657849650859,V1.492,True,1.54708158969879,0.003342535153617185,4.64124476909638,1,-0.476654718767292,0.820674415933226,-0.00987154061446874,0.5233452812327085
