,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
6699,6699,ESE HOSPITAL SANTA TERESA,891103889,HUILA,TESALIA,Territorial,Centralizada,CO1.REQ.4281389,088 DE 2023,700799117,CO1.BDOS.4183794,PRESTAR LOS SERVICIOS PROFESIONALES PARA LA ELABORACION DEL PROYECTO DENOMINADO FINANCIACION DE DOS EQUIPOS MEDICOS INTERDICIPLINARIOS; UNO PARA  PACARNI Y UNO PARA EL HOSPITAL DE TESALIA,"PRESTAR LOS SERVICIOS PROFESIONALES PARA LA ELABORACION DEL PROYECTO DENOMINADO FINANCIACION DE DOS EQUIPOS MEDICOS INTERDICIPLINARIOS, UNO PARA  PACARNI Y UNO PARA EL HOSPITAL DE TESALIA",Presentación de oferta,03/17/2023,03/17/2023,,,,,03/17/2023,"3,000,000",Contratación régimen especial,Decreto 092 de 2017,5,día(s),,,,Tesalia,UNIDAD DE CONTRATACION ESE TESALIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80161504,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4189102,"700,799,117",Presentación de oferta,2023,0.00432108451923077,,1,3000000,0.694270150618126,V1.801,True,7.83247041702271,0.0169223833331649,23.4974112510681,1,-0.911360003465926,0.573257492258653,-0.06468953333265962,0.08863999653407346
8500,8500,ESE HOSPITAL SANTA TERESA,891103889,HUILA,TESALIA,Territorial,Centralizada,CO1.REQ.4185687,080 DE 2023,700799117,CO1.BDOS.4089176,EJECUCION DE ACTIVIDADES EN EL SERVICIO DE SIAU Y ASIGNACION DE CITAS EN CONSULTA EXTERNA DE LA ESE HOSPITAL SANTA TERESA DE TESALIA HUILA,EJECUCION DE ACTIVIDADES EN EL SERVICIO DE SIAU Y ASIGNACION DE CITAS EN CONSULTA EXTERNA DE LA ESE HOSPITAL SANTA TERESA DE TESALIA HUILA,Presentación de oferta,02/28/2023,02/28/2023,,,,,02/28/2023,"6,650,000",Contratación régimen especial,Decreto 092 de 2017,133,día(s),,,,Tesalia,UNIDAD DE CONTRATACION ESE TESALIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80161504,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4089664,"700,799,117",Presentación de oferta,2023,0.00432108451923077,,1,6650000,1.53896550053685,V1.801,True,3.34100198745727,0.007218375983360422,10.0230059623718,1,-0.539370073315011,0.846884211412839,-0.02222350393344167,0.4606299266849906
13132,13132,ESE HOSPITAL SANTA TERESA,891103889,HUILA,TESALIA,Territorial,Centralizada,CO1.REQ.5021174,188 DE 2023,700799117,CO1.BDOS.4911567,EJECUCION DE ACTIVIDADES ASISTENCIALES COMO APOYO EN FACTURACION DE CONSULTA EXTERNA EN LA ESE HOSPITAL SANTA TERESA,EJECUCION DE ACTIVIDADES ASISTENCIALES COMO APOYO EN FACTURACION DE CONSULTA EXTERNA EN LA ESE HOSPITAL SANTA TERESA,Presentación de oferta,09/05/2023,09/05/2023,,,,,09/05/2023,"1,320,000",Contratación régimen especial,Decreto 092 de 2017,1,Mes(es),,,,Tesalia,UNIDAD DE CONTRATACION ESE TESALIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80161504,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4919685,"700,799,117",Presentación de oferta,2023,0.00432108451923077,,1,1320000,0.305478866271975,V1.801,True,14.4561786651611,0.031233184918630884,43.3685359954834,1,-0.978868629577181,0.494051659024227,-0.12361273967452353,0.021131370422819186
23697,23697,ESE HOSPITAL SANTA TERESA,891103889,HUILA,TESALIA,Territorial,Centralizada,CO1.REQ.5355072,287 DE 2023,700799117,CO1.BDOS.5238178,EJECUCION DE ACTIVIDADES ASISTENCIALES EN FACTURACION DE CONSULTA EXTERNA EN LA ESE HOSPITAL SANTA TERESA,EJECUCION DE ACTIVIDADES ASISTENCIALES EN FACTURACION DE CONSULTA EXTERNA EN LA ESE HOSPITAL SANTA TERESA,Presentación de oferta,11/29/2023,11/29/2023,,,,,11/29/2023,"1,980,000",Contratación régimen especial,Decreto 092 de 2017,45,día(s),,,,Tesalia,UNIDAD DE CONTRATACION ESE TESALIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5251299,"700,799,117",Presentación de oferta,2023,0.00432108451923077,,1,1980000,0.458218299407963,V1.851,True,5.6118688583374,0.012124679823857495,16.8356065750122,1,-0.918348359347849,0.564893613413465,-0.04651871929542998,0.08165164065215114
28550,28550,ESE HOSPITAL SANTA TERESA,891103889,HUILA,TESALIA,Territorial,Centralizada,CO1.REQ.3792651,030 DE 2023,700799117,CO1.BDOS.3696778,EJECUCIÓN DE ACTIVIDADES DE ÍNDOLE ASISTENCIAL PROPIAS DEL SERVICIO DE JEFE DE ENFERMERÍA Y COORDINADOR DEL SERVICIO DE CONSULTA EXTERNA,EJECUCIÓN DE ACTIVIDADES DE ÍNDOLE ASISTENCIAL PROPIAS DEL SERVICIO DE JEFE DE ENFERMERÍA Y COORDINADOR DEL SERVICIO DE CONSULTA EXTERNA,Presentación de oferta,01/03/2023,01/03/2023,,,,,01/03/2023,"16,200,000",Contratación régimen especial,Decreto 092 de 2017,6,Mes(es),,,,Tesalia,UNIDAD DE CONTRATACION ESE TESALIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3703585,"700,799,117",Presentación de oferta,2023,0.00432108451923077,,1,16200000,3.74905881333788,V1.851,True,0.2,0.000432108451923077,0.6,0,17.7452940666894,8.26975644484671e-06,0.014471566192307685,18.7452940666894
30013,30013,ESE HOSPITAL SANTA TERESA,891103889,HUILA,TESALIA,Territorial,Centralizada,CO1.REQ.5350405,281 DE 2023,700799117,CO1.BDOS.5233649,EJECUCION DE ACTIVIDADES DE INDOLE ASISTENCIAL PROPIAS DEL SERVICIO DE AUXILIAR DE ENFERMERIA EN LA ESE SANTA TERESA.,EJECUCION DE ACTIVIDADES DE INDOLE ASISTENCIAL PROPIAS DEL SERVICIO DE AUXILIAR DE ENFERMERIA EN LA ESE SANTA TERESA.,Presentación de oferta,11/28/2023,11/28/2023,,,,,11/28/2023,"1,980,000",Contratación régimen especial,Decreto 092 de 2017,45,día(s),,,,Tesalia,UNIDAD DE CONTRATACION ESE TESALIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5246643,"700,799,117",Presentación de oferta,2023,0.00432108451923077,,1,1980000,0.458218299407963,V1.851,True,0.2,0.000432108451923077,0.6,1,1.29109149703982,0.0194273605347992,0.00025156619230769066,2.291091497039815
36130,36130,ESE HOSPITAL SANTA TERESA,891103889,HUILA,TESALIA,Territorial,Centralizada,CO1.REQ.4188659,081 DE 2023,700799117,CO1.BDOS.4092406,PRESTAR LOS SERVICIOS DE ADECUACION DE CONEXIONES PARA LA CONECTIVIDAD DEL CENTRO DE SALUD DE PACARNI Y LA ESE HOSPITAL SANTA TERESA,PRESTAR LOS SERVICIOS DE ADECUACION DE CONEXIONES PARA LA CONECTIVIDAD DEL CENTRO DE SALUD DE PACARNI Y LA ESE HOSPITAL SANTA TERESA,Presentación de oferta,02/28/2023,02/28/2023,,,,,02/28/2023,"3,600,000",Contratación régimen especial,Decreto 092 de 2017,6,día(s),,,,Tesalia,UNIDAD DE CONTRATACION ESE TESALIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80161504,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4092363,"700,799,117",Presentación de oferta,2023,0.00432108451923077,,1,3600000,0.833124180741751,V1.801,True,23.8463973999023,0.05152114932207136,71.539192199707,1,-0.965062891187699,0.50988116175929,-0.20248459728828544,0.03493710881230069
38995,38995,ESE HOSPITAL SANTA TERESA,891103889,HUILA,TESALIA,Territorial,Centralizada,CO1.REQ.4850734,153 DE 2023,700799117,CO1.BDOS.4744339,EJECUCIÓN DE ACTIVIDADES DE ÍNDOLE ASISTENCIAL PROPIAS DEL SERVICIO DE AUXILIAR DE ENFERMERÍA EN PREVENCION Y MANTENIMIENTO DE LA SALUD DE LA ESE SANTA TERESA.,EJECUCIÓN DE ACTIVIDADES DE ÍNDOLE ASISTENCIAL PROPIAS DEL SERVICIO DE AUXILIAR DE ENFERMERÍA EN PREVENCION Y MANTENIMIENTO DE LA SALUD DE LA ESE SANTA TERESA.,Presentación de oferta,07/18/2023,07/18/2023,,,,,07/18/2023,"3,960,000",Contratación régimen especial,Decreto 092 de 2017,3,Mes(es),,,,Tesalia,UNIDAD DE CONTRATACION ESE TESALIA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4752408,"700,799,117",Presentación de oferta,2023,0.00432108451923077,,1,3960000,0.916436598815927,V1.851,True,0.2,0.000432108451923077,0.6,0,3.58218299407963,0.0014020177279332,0.0022315661923076936,4.582182994079635
39281,39281,INSTITUCION EDUCATIVA OTONIEL ROJAS CORREA,800113725,HUILA,TESALIA,Territorial,Centralizada,CO1.REQ.4844044,005-2023,700859283,CO1.BDOS.4737730,MANTENIMIENTO DE EQUIPOS,"Prestación de Servicio Mantenimiento Preventivo y correctivo de Equipos de Cómputo (mini portátil, portátil, de mesa y Tablet) de la Institución Educativa Otoniel Rojas Correa del Municipio de Tesalia Huila.",Presentación de oferta,07/17/2023,07/17/2023,,,,,07/17/2023,"3,690,000",Contratación régimen especial,Decreto 092 de 2017,10,día(s),,,,Tesalia,RECTORIA I.E OTONIEL ROJAS CORREA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81112307,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4745753,"700,859,283",Presentación de oferta,2023,0.00432108451923077,,1,3690000,0.853952285260295,V1.811,True,29.7081794738769,0.06418577720954939,89.1245384216309,1,-0.971255314180016,0.502751738923051,-0.25305310883819754,0.0287446858199842
39721,39721,ESE HOSPITAL SANTA TERESA,891103889,HUILA,TESALIA,Territorial,Centralizada,CO1.REQ.4835504,136 DE 2023,700799117,CO1.BDOS.4729198,PRESTAR LOS SERVICIOS PROFESIONALES PARA LA EJECUCION DEL SISTEMA DE GESTION DE SEGURIDAD Y SALUD EN EL TRABAJO EN LA ESE HOSPITAL SANTA TERESA DE TESALIA HUILA,PRESTAR LOS SERVICIOS PROFESIONALES PARA LA EJECUCION DEL SISTEMA DE GESTION DE SEGURIDAD Y SALUD EN EL TRABAJO EN LA ESE HOSPITAL SANTA TERESA DE TESALIA HUILA,Presentación de oferta,07/14/2023,07/14/2023,,,,,07/14/2023,"20,700,000",Contratación régimen especial,Decreto 092 de 2017,3,Mes(es),,,,Tesalia,UNIDAD DE CONTRATACION ESE TESALIA,0,0,0,0,0,0,0,0,0,Cancelado,100,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4736824,"700,799,117",Presentación de oferta,2023,0.00432108451923077,,1,20700000,4.79046403926507,V1.851,True,0.2,0.000432108451923077,0.6,0,22.9523201963253,3.45808351881898e-06,0.01897156619230769,23.95232019632535
