,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
18669,18669,ESE  HOSPITAL MUNICIPAL DE EL DORADO,900081643,META,EL DORADO,Territorial,Centralizada,CO1.REQ.4775882,CD-54-2023,703098137,CO1.BDOS.4670432,CALIDAD,PRESTACION DE SERVICIOS ESPECIALIZADOS PARA EL APOYO EN FORTALECIMIENTO DEL SISTEMA OBLIGATORIO DE GARANTIA DE LA CALIDAD EN LA E.S.E HOSPITAL  MUNICIPAL DE EL DORADO.,Presentación de oferta,07/04/2023,07/04/2023,,,,,07/04/2023,"15,000,000",Contratación régimen especial,Decreto 092 de 2017,6,Mes(es),,,,El Dorado,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4686594,"703,098,137",Presentación de oferta,2023,0.00432108451923077,,1,15000000,3.47135075309063,V1.801,True,0.2,0.000432108451923077,0.6,0,16.3567537654532,1.08831605069149e-05,0.013271566192307687,17.35675376545315
29479,29479,ESE  HOSPITAL MUNICIPAL DE EL DORADO,900081643,META,EL DORADO,Territorial,Centralizada,CO1.REQ.3775626,CD-67-2022,703098137,CO1.BDOS.3679497,APOYO ACTIVIDADES FISICAS PIC,"APOYO EN LA PROMOCION Y REALIZACION DE LA ACTIVIDADES FISICAS CONCERTADAS EN LOS CONVENIOS DEL PLAN DE INTERVENCIONES COLECTIVAS PIC, SUSCRITOS CON EL DEPARTAMENTO DEL META Y EL MUNICIPIO DE EL DORADO EN LA VIGENCIA 2022",Presentación de oferta,01/04/2023,01/04/2023,,,,,01/04/2023,"2,400,000",Contratación régimen especial,Decreto 092 de 2017,69,día(s),,,,El Dorado,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3707012,"703,098,137",Presentación de oferta,2023,0.00432108451923077,,1,2400000,0.555416120494501,V1.801,True,0.2,0.000432108451923077,0.6,1,1.77708060247251,0.0093397604912811,0.000671566192307692,2.7770806024725045
33430,33430,ESE  HOSPITAL MUNICIPAL DE EL DORADO,900081643,META,EL DORADO,Territorial,Centralizada,CO1.REQ.5197484,CD-077-2023,703098137,CO1.BDOS.5083460,AUXILIAR DE ENFERMERIA,PRESTACIÓN DE SERVICIOS COMO AUXILIAR DE ENFERMERÍA EN EL ÁREA DE HOSPITALIZACIÓN Y URGENCIAS EN LA E.S.E. HOSPITAL MUNICIPAL DE EL DORADO - META,Presentación de oferta,10/25/2023,10/25/2023,,,,,10/25/2023,"4,204,991",Contratación régimen especial,Decreto 092 de 2017,87,día(s),,,,El Dorado,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5100173,"703,098,137",Presentación de oferta,2023,0.00432108451923077,,1,4204991,0.973133244972622,V1.801,True,0.2,0.000432108451923077,0.6,0,3.86566622486311,0.0011198152049589,0.002476557192307693,4.8656662248631095
44699,44699,ESE  HOSPITAL MUNICIPAL DE EL DORADO,900081643,META,EL DORADO,Territorial,Centralizada,CO1.REQ.4715573,CD-45-2023,703098137,CO1.BDOS.4611408,CONTADORA,"PRESTACIÓN DE LOS SERVICIOS PROFESIONALES COMO CONTADOR PÚBLICO PARA ASISTIR, ACONSEJAR Y ASESORAR LOS PROCESOS FINANCIEROS Y CONTABLES A LA ALTA DIRECCIÓN Y DEMÁS DEPENDENCIAS QUE LO REQUIERAN Y RENDIR LOS INFORMES RESPECTIVOS ANTE LOS DIFERENTES ORGANISMOS DE CONTROL DE LA E.S.E HOSPITAL MUNICIPAL DE EL DORADO",Presentación de oferta,07/04/2023,07/04/2023,,,,,07/04/2023,"13,044,000",Contratación régimen especial,Decreto 092 de 2017,6,Mes(es),,,,El Dorado,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111502,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4686480,"703,098,137",Presentación de oferta,2023,0.00432108451923077,,1,13044000,3.01868661488761,V1.841,True,4.9740047454834,0.010746547452144352,14.9220142364502,1,-0.393107411562342,0.753209543640888,-0.029942189808577425,0.6068925884376569
67847,67847,ESE  HOSPITAL MUNICIPAL DE EL DORADO,900081643,META,EL DORADO,Territorial,Centralizada,CO1.REQ.3797877,CD-085-2022,703098137,CO1.BDOS.3702186,AUXILIAR ENFERMERIA,PRESTACION DE SERVICIOS COMO AUXILIAR DE ENFERMERIA EN EL AREA DE HOSPITALIZACION Y URGENCIAS EN LA ESE HOSPITAL MUNICIPAL DE EL DORADO,Presentación de oferta,01/05/2023,01/05/2023,,,,,01/05/2023,"3,510,000",Contratación régimen especial,Decreto 092 de 2017,78,día(s),,,,El Dorado,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3716448,"703,098,137",Presentación de oferta,2023,0.00432108451923077,,1,3510000,0.812296076223208,V1.801,True,3.15701484680176,0.006820863990748393,9.47104454040527,1,-0.742701217561231,0.763786749783167,-0.02377345596299357,0.25729878243876847
69339,69339,ESE  HOSPITAL MUNICIPAL DE EL DORADO,900081643,META,EL DORADO,Territorial,Centralizada,CO1.REQ.5416905,CD-82-2023,703098137,CO1.BDOS.5298521,MEDICO GENERAL,"PRESTACIÓN DE SERVICIOS PROFESIONALES COMO MEDICO DE APOYO EN LOS SERVICIOS DE CONSULTA EXTERNA, URGENCIAS Y HOSPITALIZACION DE LA E.S.E. HOSPITAL MUNICIPAL DE EL DORADO.",Presentación de oferta,12/13/2023,12/13/2023,,,,,12/13/2023,"7,270,000",Contratación régimen especial,Decreto 092 de 2017,30,día(s),,,,El Dorado,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5313944,"703,098,137",Presentación de oferta,2023,0.00432108451923077,,1,7270000,1.68244799833126,V1.801,True,5.63445854187012,0.012173485789761275,16.9033756256104,1,-0.701400234675816,0.799221697624122,-0.0414239431590451,0.2985997653241837
80730,80730,ESE  HOSPITAL MUNICIPAL DE EL DORADO,900081643,META,EL DORADO,Territorial,Centralizada,CO1.REQ.3772550,CD-050-2022,703098137,CO1.BDOS.3676931,SERVICIO BACTERIOLOGO,PRESTACION DE SERVICIOS PROFESIONALES COMO BACTERIOLOGA PARA EL LABORATORIO CLINICO DE LA ESE HOPITAL MUNICIPLA DE EL DORADO.,Presentación de oferta,01/04/2023,01/04/2023,,,,,01/04/2023,"1,500,000",Contratación régimen especial,Decreto 092 de 2017,30,día(s),,,,El Dorado,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3707013,"703,098,137",Presentación de oferta,2023,0.00432108451923077,,1,1500000,0.347135075309063,V1.801,True,0.2,0.000432108451923077,0.6,1,0.735675376545315,0.0549396968198267,-0.0002284338076923084,1.735675376545315
94112,94112,ESE  HOSPITAL MUNICIPAL DE EL DORADO,900081643,META,EL DORADO,Territorial,Centralizada,CO1.REQ.4193885,CD-026-2023,703098137,CO1.BDOS.4097656,POLIZAS,"CONTRATAR LA ADQUISICIÓN DE LAS PÓLIZAS DE SEGURO TODO RIESGO DAÑOS MATERIALES, MANEJO GLOBAL ESTATAL, SEGURO DE RESPONSABILIDAD CIVIL EXTRACONTRACTUAL, SEGURO RESPONSABILIDAD CIVIL CLÍNICAS Y HOSPITALES, SEGURO DE AUTOMÓVILES Y SEGURO OBLIGATORIO DE ACCIDENTES DE TRÁNSITO PARA LA ESE HOSPITAL MUNICIPAL DE EL DORADO",Presentación de oferta,03/01/2023,03/01/2023,,,,,03/01/2023,"30,158,837",Contratación régimen especial,Decreto 092 de 2017,1,Año(s),,,,El Dorado,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84131603,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4100606,"703,098,137",Presentación de oferta,2023,0.00432108451923077,,1,30158837,6.97946010215251,V1.841,True,12.4103527069092,0.02681309148000951,37.2310581207275,1,-0.437609851469664,0.793118169085599,-0.07709352892003801,0.5623901485303351
104873,104873,ESE  HOSPITAL MUNICIPAL DE EL DORADO,900081643,META,EL DORADO,Territorial,Centralizada,CO1.REQ.4777137,CD-55-2023,703098137,CO1.BDOS.4671291,SERVICIOS GENERALES,PRESTACION DE SERVICIOS DE APOYO A LA GESTION PARA EL MANTENIMIENTO GENERAL DE LAS AREAS INTERNAS Y EXTERNAS DE LA E.S.E HOSPITAL MUNICIPAL DE EL DORADO.,Presentación de oferta,07/04/2023,07/04/2023,,,,,07/04/2023,"7,387,200",Contratación régimen especial,Decreto 092 de 2017,6,Mes(es),,,,El Dorado,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.76111501,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4686595,"703,098,137",Presentación de oferta,2023,0.00432108451923077,,1,7387200,1.70957081888207,V1.761,True,5.70622968673706,0.012328550381267277,17.1186890602112,1,-0.700402733024292,0.799982948292102,-0.041927001525069126,0.2995972669757074
129584,129584,ESE  HOSPITAL MUNICIPAL DE EL DORADO,900081643,META,EL DORADO,Territorial,Centralizada,CO1.REQ.4698595,CD-039-2023,703098137,CO1.BDOS.4594283,AUXILIAR ENFERMERIA,PRESTACIÓN DE SERVICIOS COMO AUXILIAR DE ENFERMERÍA EN EL ÁREA DE HOSPITALIZACIÓN Y URGENCIAS EN LA E.S.E. HOSPITAL MUNICIPAL DE EL DORADO META.,Presentación de oferta,07/04/2023,07/04/2023,,,,,07/04/2023,"8,700,000",Contratación régimen especial,Decreto 092 de 2017,6,Mes(es),,,,El Dorado,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4686577,"703,098,137",Presentación de oferta,2023,0.00432108451923077,,1,8700000,2.01338343679257,V1.801,True,12.387843132019,0.026764458592213256,37.1635293960571,1,-0.837471025800404,0.661584500491918,-0.09835783436885301,0.16252897419959692
