,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
5431,5431,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.4668754,2023000034,700843022,CO1.BDOS.4564935,PRESTACION DE SERVICIOS DE APOYO E IMPLEMENTACION DE LOS ESTANDARES MINIMOS DEL SISTEMA DE GESTION DE SEGURIDAD Y SALUD EN EL TRABAJO,PRESTACION DE SERVICIOS DE APOYO E IMPLEMENTACION DE LOS ESTANDARES MINIMOS DEL SISTEMA DE GESTION DE SEGURIDAD Y SALUD EN EL TRABAJO,Presentación de oferta,06/14/2023,06/14/2023,,,,,06/14/2023,"4,640,000",Contratación régimen especial,Regla aplicable,120,día(s),,,,Colón,Gerencia Contratación,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4570366,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,4640000,1.0738044996227,V1.801,True,17.6674613952637,0.038171296964590616,53.002384185791,1,-0.939221347334565,0.540082842887507,-0.14804518785836246,0.06077865266543421
12844,12844,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.4667287,2023000022,700843022,CO1.BDOS.4563486,PRESTACION DE SERVICIOS COMO AUXILIAR DE ENFERMERIA DEL CENTRO DE SALUD LA BUENA ESPERANZA E.S.E,PRESTACION DE SERVICIOS COMO AUXILIAR DE ENFERMERIA DEL CENTRO DE SALUD LA BUENA ESPERANZA E.S.E,Presentación de oferta,06/14/2023,06/14/2023,,,,,06/14/2023,"4,640,000",Contratación régimen especial,Regla aplicable,120,día(s),,,,Colón,Gerencia Contratación,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4569309,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,4640000,1.0738044996227,V1.851,True,4.71321773529053,0.010183106095863908,14.1396532058716,1,-0.772171675502593,0.734495690472773,-0.03609242438345565,0.22782832449740603
22425,22425,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.4725614,2023000591,700843022,CO1.BDOS.4620540,SUMINISTRO DE INSUMOS Y MEDICAMENTOS PARA EL CENTRO DE SALUD LA BUENA ESPERANZA ESE. DEL 15 DE MAYO DEL 2023 AL 31 DE MAYO DEL 2023.,SUMINISTRO DE INSUMOS Y MEDICAMENTOS PARA EL CENTRO DE SALUD LA BUENA ESPERANZA ESE. DEL 15 DE MAYO DEL 2023 AL 31 DE MAYO DEL 2023.,Presentación de oferta,06/23/2023,06/23/2023,,,,,06/23/2023,"33,840,375",Contratación régimen especial,Regla aplicable,15,día(s),,,,Colón,Gerencia Contratación,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.51142001,Abierto,Suministros,No Definido,"V112162201, V151101511, V151101701, V151121733, V151121743, V151121818, V151131517, V151141531, V151141914, V151141916, V151141919",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4626960,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,33840375,7.83145408274129,V1.511,True,0.2,0.000432108451923077,0.6,0,38.1572704137064,6.07922901193269e-07,0.03211194119230769,39.15727041370645
26589,26589,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.5236820,2023000977,700843022,CO1.BDOS.5122267,Auxiliar de enfermeria,No definido,Presentación de oferta,11/03/2023,11/03/2023,,,,,11/02/2023,"1,295,720",Contratación régimen especial,Regla aplicable,30,día(s),,,,Colón,GESTION CONTRACTUAL,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5134524,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,1295720,0.299859906519639,V1.801,True,1.38863074779511,0.0030001954136126487,4.16589224338532,1,-0.784060732490791,0.721921787205651,-0.010705061654450596,0.21593926750920742
27280,27280,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.4689245,2023000337,700843022,CO1.BDOS.4585115,PRESTACION DE SERVICIOS PARA EL MANTENIMIENTO HOSPITALARIO DEL CENTRO DE SALUD LA BUENA ESPERANZA E.S.E,PRESTACION DE SERVICIOS PARA EL MANTENIMIENTO HOSPITALARIO DEL CENTRO DE SALUD LA BUENA ESPERANZA E.S.E,Presentación de oferta,06/20/2023,06/20/2023,,,,,06/20/2023,"70,000,000",Contratación régimen especial,Regla aplicable,300,día(s),,,,Colón,Gerencia Contratación,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.72102900,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4598450,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,70000000,16.1996368477563,V1.721,True,16.6047306060791,0.03587522218396288,49.8141918182373,1,-0.0243962860905745,0.347731198099576,-0.07350088873585144,0.9756037139094268
29465,29465,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.5429307,2023001102,700843022,CO1.BDOS.5310497,Auxiliar de enfermeria,No definido,Presentación de oferta,12/16/2023,12/16/2023,,,,,12/15/2023,"259,144",Contratación régimen especial,Regla aplicable,6,día(s),,,,Colón,GESTION CONTRACTUAL,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5325038,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,259144,0.0599719813039279,V1.801,True,1.38863074779511,0.0030001954136126487,4.16589224338532,1,-0.956812146498158,0.519449408392692,-0.011741637654450595,0.04318785350184155
35551,35551,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.3899319,2022000937,700843022,CO1.BDOS.3803969,SUMINISTRO DE COMBUSTIBLE PARA El CENTRO DE  SALUD LA BUENA ESPERANZA E.s.E.,SUMINISTRO DE COMBUSTIBLE PARA El CENTRO DE SALUD LA BUENA ESPERANZA E.S.E.,Presentación de oferta,01/20/2023,01/20/2023,,,,,01/20/2023,"6,000,000",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Colón,GESTION CONTRACTUAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.15101506,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3805420,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,6000000,1.38854030123625,V1.151,True,4.99442481994629,0.010790665885965918,14.9832744598389,1,-0.721981939603771,0.782479165730366,-0.03716266354386369,0.27801806039622845
37294,37294,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.4536717,2023000002,700843022,CO1.BDOS.4434187,CONTRATO NUMERO 2023000002;PRESTACION DE SERVICIOS PROFESIONALES COMO MEDICO GENERAL DEL CENTRO DE SALUD LA BUENA ESPERANZA ESE; DURANTE EL PERIODO DEL 01 DE ENERO DEL 2023 AL 31 DE ENERO DE 2023.,"CONTRATO NUMERO 2023000002,PRESTACION DE SERVICIOS PROFESIONALES COMO MEDICO GENERAL DEL CENTRO DE SALUD LA BUENA ESPERANZA ESE, DURANTE EL PERIODO DEL 01 DE ENERO DEL 2023 AL 31 DE ENERO DE 2023.",Presentación de oferta,05/17/2023,05/17/2023,,,,,05/17/2023,"5,700,000",Contratación régimen especial,Regla aplicable,1,Mes(es),,,,Colón,GESTION CONTRACTUAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4437265,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,5700000,1.31911328617444,V1.851,True,0.2,0.000432108451923077,0.6,0,5.5955664308722,0.0003620063893963,0.0039715661923076925,6.595566430872199
39058,39058,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.5384104,2023001067,700843022,CO1.BDOS.5266290,Auxiliar de enfermeria,No definido,Presentación de oferta,12/05/2023,12/05/2023,,,,,12/05/2023,"669,900",Contratación régimen especial,Regla aplicable,16,día(s),,,,Colón,GESTION CONTRACTUAL,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5280214,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,669900,0.155030524633028,V1.801,True,1.38863074779511,0.0030001954136126487,4.16589224338532,1,-0.88835727216959,0.600891052449663,-0.011330881654450592,0.11164272783040986
41471,41471,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.4670572,2023000044,700843022,CO1.BDOS.4566861,PRESTACION DE SERVICIOS PROFESIONALES COMO ASESORA DE CONTRATACION DEL CENTRO DE SALUD LA BUENA ESPERANZA E.S.E.,PRESTACION DE SERVICIOS PROFESIONALES COMO ASESORA DE CONTRATACION DEL CENTRO DE SALUD LA BUENA ESPERANZA E.S.E.,Presentación de oferta,06/14/2023,06/14/2023,,,,,06/14/2023,"2,357,500",Contratación régimen especial,Regla aplicable,31,día(s),,,,Colón,Gerencia Contratación,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111502,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4572521,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,2357500,0.545580626694077,V1.841,True,5.68128681182861,0.01227466024595127,17.0438604354858,1,-0.903968828759329,0.582124334939719,-0.04674114098380508,0.09603117124067065
49076,49076,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.4812669,2023000686,700843022,CO1.BDOS.4706863,Higienista,No definido,Presentación de oferta,07/10/2023,07/10/2023,,,,,07/10/2023,"3,546,667",Contratación régimen especial,Regla aplicable,75,día(s),,,,Colón,GESTION CONTRACTUAL,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4713953,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,3546667,0.820781677427446,V1.801,True,1.38863074779511,0.0030001954136126487,4.16589224338532,1,-0.408927334548296,0.768300694805612,-0.008454114654450595,0.5910726654517021
56936,56936,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.3835308,2022000736,700843022,CO1.BDOS.3739756,PRESTACION DE SERVICIOS COMO AUXILIAR DE FACTURACION DEL CENTRO DE SALUD LA BUENA ESPERANZAE.s.E.,"PRESTACION DE SERVICIOS COMO AUXILIAR DE
FACTURACION DEL CENTRO DE SALUD LA BUENA
ESPERANZAE.s.E.",Presentación de oferta,01/12/2023,01/12/2023,,,,,01/12/2023,"3,000,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Colón,GESTION CONTRACTUAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3743619,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,3000000,0.694270150618126,V1.801,True,0.2,0.000432108451923077,0.6,0,2.47135075309063,0.0039958748821193,0.0012715661923076913,3.47135075309063
64166,64166,LA BUENA ESPERANZA ESE,900136920,NARIÑO,COLÓN,Territorial,Centralizada,CO1.REQ.5239333,2023000991,700843022,CO1.BDOS.5124648,Asesoría financiera,No definido,Presentación de oferta,11/03/2023,11/03/2023,,,,,11/03/2023,"3,300,000",Contratación régimen especial,Regla aplicable,30,día(s),,,,Colón,GESTION CONTRACTUAL,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5136933,"700,843,022",Presentación de oferta,2023,0.00432108451923077,,1,3300000,0.763697165679939,V1.801,True,1.38863074779511,0.0030001954136126487,4.16589224338532,1,-0.450035823495517,0.802722979612747,-0.008700781654450594,0.5499641765044807
