,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
3836,3836,HOSPITAL GUACHUCAL ESE,837000286,NARIÑO,GUACHUCAL,Territorial,Centralizada,CO1.REQ.5465181,202311010,704470228,CO1.BDOS.5347116,PRESTACION DE SERVICIOS DE APOYO A LA GESTION AL AREA ADMINISTRATIVA DE FACTURACION DEL HOSPITAL GUACHUCAL E.S.E.,PRESTACION DE SERVICIOS DE APOYO A LA GESTION AL AREA ADMINISTRATIVA DE FACTURACION DEL HOSPITAL GUACHUCAL E.S.E.,Presentación de oferta,12/28/2023,12/28/2023,,,,,12/28/2023,"2,460,000",Contratación régimen especial,Regla aplicable,60,día(s),,,,Guachucal,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5361145,"704,470,228",Presentación de oferta,2023,0.00432108451923077,,1,2460000,0.569301523506864,V1.801,True,15.8181037902832,0.034175681705889145,47.4543113708496,1,-0.964009496267399,0.511098478812993,-0.1342427268235566,0.03599050373260141
4507,4507,HOSPITAL GUACHUCAL ESE,837000286,NARIÑO,GUACHUCAL,Territorial,Centralizada,CO1.REQ.5271340,202310015,704470228,CO1.BDOS.5156463,PRESTACION DE SERVICIOS TECNICOS DE ENFERMERIA PARA EL APOYO A LA GESTION EN ACTIVIDADES DE PROMOCION Y MANTENIMIENTO DE LA SALUD EN EL HOSPITAL GUACHUCAL E.S.E,PRESTACION DE SERVICIOS TECNICOS DE ENFERMERIA PARA EL APOYO A LA GESTION EN ACTIVIDADES DE PROMOCION Y MANTENIMIENTO DE LA SALUD EN EL HOSPITAL GUACHUCAL E.S.E,Presentación de oferta,11/12/2023,11/12/2023,,,,,11/12/2023,"2,320,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,Guachucal,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,UNSPECIFIED,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5168225,"704,470,228",Presentación de oferta,2023,0.00432108451923077,,1,2320000,0.536902249811351,UNSPEC,True,3.11500144004822,0.006730092249986959,9.34500432014465,1,-0.827639806868584,0.673057511390842,-0.024600368999947837,0.1723601931314163
8886,8886,HOSPITAL GUACHUCAL ESE,837000286,NARIÑO,GUACHUCAL,Territorial,Centralizada,CO1.REQ.5465333,202311009,704470228,CO1.BDOS.5347103,PRESTACION DE SERVICIOS DE APOYO A LA GESTION AL AREA ADMINISTRATIVA DE FACTURACION DEL HOSPITAL GUACHUCAL E.S.E.,PRESTACION DE SERVICIOS DE APOYO A LA GESTION AL AREA ADMINISTRATIVA DE FACTURACION DEL HOSPITAL GUACHUCAL E.S.E.,Presentación de oferta,12/28/2023,12/28/2023,,,,,12/28/2023,"2,320,000",Contratación régimen especial,Regla aplicable,60,día(s),,,,Guachucal,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5360905,"704,470,228",Presentación de oferta,2023,0.00432108451923077,,1,2320000,0.536902249811351,V1.801,True,15.8181037902832,0.034175681705889145,47.4543113708496,1,-0.966057736317221,0.508732694612125,-0.1343827268235566,0.03394226368277854
8959,8959,HOSPITAL GUACHUCAL ESE,837000286,NARIÑO,GUACHUCAL,Territorial,Centralizada,CO1.REQ.4086438,202301058,704470228,CO1.BDOS.3990500,PRESTACION DE SERVICIOS DE APOYO A LA GESTION EN ACTIVIDADES DE CONSERJERIA PARA LA CONSERVACION; CUSTODIA Y MANTENIMIENTO DE LAS INSTALACIONES DEL HOSPITAL GUACHUCAL E.S.E.,"PRESTACION DE SERVICIOS DE APOYO A LA GESTION EN ACTIVIDADES DE CONSERJERIA PARA LA CONSERVACION, CUSTODIA Y MANTENIMIENTO DE LAS INSTALACIONES DEL HOSPITAL GUACHUCAL E.S.E.",Presentación de oferta,02/13/2023,02/13/2023,,,,,02/13/2023,"4,640,000",Contratación régimen especial,Regla aplicable,4,Mes(es),,,,Guachucal,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3992431,"704,470,228",Presentación de oferta,2023,0.00432108451923077,,1,4640000,1.0738044996227,V1.801,True,0.2,0.000432108451923077,0.6,0,4.36902249811351,0.0007756643977387,0.002911566192307684,5.3690224981135
19253,19253,HOSPITAL GUACHUCAL ESE,837000286,NARIÑO,GUACHUCAL,Territorial,Centralizada,CO1.REQ.4801882,202306013,704470228,CO1.BDOS.4696463,SUMINISTRO DE ARTICULOS E IMPLEMENTOS DE FERRETERÍA PARA MANTENIMIENTO DE INFRAESTRUCTURA DEL HOSPITAL GUACHUCAL E.S.E,SUMINISTRO DE ARTICULOS E IMPLEMENTOS DE FERRETERÍA PARA MANTENIMIENTO DE INFRAESTRUCTURA DEL HOSPITAL GUACHUCAL E.S.E,Presentación de oferta,07/06/2023,07/06/2023,,,,,07/06/2023,"6,077,000",Contratación régimen especial,Regla aplicable,15,día(s),,,,Guachucal,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.12352310,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4702815,"704,470,228",Presentación de oferta,2023,0.00432108451923077,,1,6077000,1.40635990176878,V1.123,True,4.81974792480469,0.010413269072234088,14.4592437744141,1,-0.70820882674569,0.793898672377687,-0.035576076288936366,0.29179117325430864
24654,24654,HOSPITAL GUACHUCAL ESE,837000286,NARIÑO,GUACHUCAL,Territorial,Centralizada,CO1.REQ.4215842,202301079,704470228,CO1.BDOS.4119363,PRESTACION DE SERVICIOS PARA DESEMPEÑARSE COMO GESTOR COMUNITARIO EN SALUD Y DESARROLLAR LAS ACTIVIDADES CONTEMPLADAS EN EL CONVENIO INTERADMINISTRATIVO No. 2022000745 (IMPLEMENTACION PAPSIVI) CELEBRA,PRESTACION DE SERVICIOS PARA DESEMPEÑARSE COMO GESTOR COMUNITARIO EN SALUD Y DESARROLLAR LAS ACTIVIDADES CONTEMPLADAS EN EL CONVENIO INTERADMINISTRATIVO No. 2022000745 (IMPLEMENTACION PAPSIVI) CELEBRADO ENTRE EL INSTITUTO DEPARTAMENTAL DE SALUD DE NARIÑO Y EL HOSPITAL GUACHUCAL E.S.E.,Presentación de oferta,03/05/2023,03/05/2023,,,,,03/04/2023,"5,600,000",Contratación régimen especial,Regla aplicable,4,Mes(es),,,,Guachucal,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4120521,"704,470,228",Presentación de oferta,2023,0.00432108451923077,,1,5600000,1.2959709478205,V1.801,True,12.2321786880493,0.026428138982697188,36.6965360641479,1,-0.894052320451577,0.594042023131844,-0.10011255593078877,0.10594767954842328
27285,27285,HOSPITAL GUACHUCAL ESE,837000286,NARIÑO,GUACHUCAL,Territorial,Centralizada,CO1.REQ.4889131,202307053,704470228,CO1.BDOS.4781640,PRESTACION DE SERVICIOS TECNICOS EN SISTEMAS PARA EL APOYO EN ACTIVIDADES DE DISEÑO; CONSTRUCCION; EVALUACION; MANTENIMIENTO Y PUESTA EN MARCHA DE LA TECNOLOGIA DE HARDWARE Y SOFTWARE DE LOS SISTEMAS,"PRESTACION DE SERVICIOS TECNICOS EN SISTEMAS PARA EL APOYO EN ACTIVIDADES DE DISEÑO, CONSTRUCCION, EVALUACION, MANTENIMIENTO Y PUESTA EN MARCHA DE LA TECNOLOGIA DE HARDWARE Y SOFTWARE DE LOS SISTEMAS INFORMATICOS DEL HOSPITAL GUACHUCAL E.S.E.",Presentación de oferta,07/31/2023,07/31/2023,,,,,07/31/2023,"2,900,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,Guachucal,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4789931,"704,470,228",Presentación de oferta,2023,0.00432108451923077,,1,2900000,0.671127812264189,V1.801,True,0.2,0.000432108451923077,0.6,0,2.35563906132094,0.0045446207593048,0.0011715661923076936,3.3556390613209452
32218,32218,INSTITUCION EDUCATIVA GENARO LEON,837000110,NARIÑO,GUACHUCAL,Nacional,Centralizada,CO1.REQ.5450279,R.E N° 2023-009,701780108,CO1.BDOS.5332092,CONTRATO DE MANTENIMIENTO Y ACTUALIZACIÓN DEL  SOFTWARE EDUCATIVO-PLATAFORMA DE NOTAS; CON EL  FIN DE APOYAR LA SISTEMATIZACION DE LA INFORMACION,"CONTRATO DE MANTENIMIENTO Y ACTUALIZACIÓN DEL 
SOFTWARE EDUCATIVO-PLATAFORMA DE NOTAS, CON EL 
FIN DE APOYAR LA SISTEMATIZACION DE LA INFORMACION 
DE LOS CENTROS EDUCATIVOS Y LA INSTITUCIÓN 
EDUCATIVA GENARO LEÓN DEL MUNICIPIO DEL 
GUACHUCAL",Presentación de oferta,12/22/2023,12/22/2023,,,,,12/22/2023,"1,150,000",Contratación régimen especial,Regla aplicable,5,día(s),,,,Guachucal,OFICINA DE CONTRATACION I.E GENARO LEON,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81112201,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5346092,"701,780,108",Presentación de oferta,2023,0.00432108451923077,,1,1150000,0.266136891070282,V1.811,True,0.2,0.000432108451923077,0.6,1,0.330684455351408,0.139681770598008,-0.0005784338076923068,1.33068445535141
40437,40437,HOSPITAL GUACHUCAL ESE,837000286,NARIÑO,GUACHUCAL,Territorial,Centralizada,CO1.REQ.4215370,202301078,704470228,CO1.BDOS.4118974,PRESTACION DE SERVICIOS PARA DESEMPEÑARSE COMO PROFESIONAL PSICOSOCIAL Y DESARROLLAR LAS ACTIVIDADES COMTEMPLADAS EN EL CONVENIO INTERADMINISTRATIVO No. 2022000745 (IMPLEMENTACION PAPSIVI) CELEBRADO E,PRESTACION DE SERVICIOS PARA DESEMPEÑARSE COMO PROFESIONAL PSICOSOCIAL Y DESARROLLAR LAS ACTIVIDADES COMTEMPLADAS EN EL CONVENIO INTERADMINISTRATIVO No. 2022000745 (IMPLEMENTACION PAPSIVI) CELEBRADO ENTRE EL INSTITUTO DEPARTAMENTAL DE SALUD DE NARIÑO Y EL HOSPITAL GUACHUCAL E.S.E.,Presentación de oferta,03/05/2023,03/05/2023,,,,,03/04/2023,"16,800,000",Contratación régimen especial,Regla aplicable,6,Mes(es),,,,Guachucal,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4120184,"704,470,228",Presentación de oferta,2023,0.00432108451923077,,1,16800000,3.88791284346151,V1.801,True,0.2,0.000432108451923077,0.6,0,18.4395642173075,7.26444024978181e-06,0.015071566192307706,19.43956421730755
43929,43929,HOSPITAL GUACHUCAL ESE,837000286,NARIÑO,GUACHUCAL,Territorial,Centralizada,CO1.REQ.4463977,202305003,704470228,CO1.BDOS.4364251,PRESTACION DE SERVICIOS DE APOYO A LA GESTION EN ACTIVIDADES DE CONSERJERIA PARA LA CONSERVACION; LIMPIEZA Y MANTENIMIENTO DE LAS INSTALACIONES DEL HOSPITAL GUACHUCAL E.S.E.,"PRESTACION DE SERVICIOS DE APOYO A LA GESTION EN ACTIVIDADES DE CONSERJERIA PARA LA CONSERVACION, LIMPIEZA Y MANTENIMIENTO DE LAS INSTALACIONES DEL HOSPITAL GUACHUCAL E.S.E.",Presentación de oferta,05/04/2023,05/04/2023,,,,,05/04/2023,"2,420,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,Guachucal,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4366050,"704,470,228",Presentación de oferta,2023,0.00432108451923077,,1,2420000,0.560044588165288,V1.801,True,0.2,0.000432108451923077,0.6,1,1.80022294082644,0.0090489491576219,0.00069156619230769,2.80022294082644
