,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
277,277,CENTRO DE SALUD SAN JOSE DE LEIVA,900193766,NARIÑO,LEIVA,Territorial,Centralizada,CO1.REQ.4685079,2023000317,718920234,CO1.BDOS.4581039,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO MÉDICO GENERAL PARA REALIZAR ACTIVIDADES PORPIAS DEL ÁREA DE CONSULTA EXTERNA EN EL CENTRO DE SALUD SAN JOSÉ DE LEIVA-NARIÑO,PRESTACIÓN DE SERVICIOS PROFESIONALES COMO MÉDICO GENERAL PARA REALIZAR ACTIVIDADES PORPIAS DEL ÁREA DE CONSULTA EXTERNA EN EL CENTRO DE SALUD SAN JOSÉ DE LEIVA-NARIÑO,Presentación de oferta,06/16/2023,06/16/2023,,,,,06/16/2023,"47,000,000",Contratación régimen especial,Regla aplicable,7,Mes(es),,,,Leiva,CENTRO DE SALUD SAN JOSE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85121502,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4587006,"718,920,234",Presentación de oferta,2023,0.00432108451923077,,1,47000000,10.8768990263506,V1.851,True,9.11968803405762,0.01970347139209024,27.3590641021728,1,0.192683234967106,0.1982571550504,-0.03181388556836114,1.1926832349671004
2221,2221,CENTRO DE SALUD SAN JOSE DE LEIVA,900193766,NARIÑO,LEIVA,Territorial,Centralizada,CO1.REQ.4187986,2023000028,718920234,CO1.BDOS.4091296,PRESTACION DE SERVICIOS,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR DE ENFERMERÍA EN EL ÁREA DE URGENCIAS EN EL CENTRO DE SALUD SAN JOSÉ DE LEIVA-NARIÑO,Presentación de oferta,02/28/2023,02/28/2023,,,,,02/28/2023,"5,600,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Leiva,CENTRO DE SALUD SAN JOSE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4091892,"718,920,234",Presentación de oferta,2023,0.00432108451923077,,1,5600000,1.2959709478205,V1.851,True,0.2,0.000432108451923077,0.6,0,5.47985473910251,0.0003864248359012,0.003871566192307682,6.4798547391025
5619,5619,CENTRO DE SALUD SAN JOSE DE LEIVA,900193766,NARIÑO,LEIVA,Territorial,Centralizada,CO1.REQ.4218064,2023000032,718920234,CO1.BDOS.4121747,PRESTACION DE SERVICIOS,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR DE ENFERMERÍA PARA REALIZAR LAS ACTIVIDADES PROPIAS COMO AUXILIAR DE LABORATORIO EN EL CENTRO DE SALUD SAN JOSÉ E.S.E. DE LEIVA-NARIÑO.,Presentación de oferta,03/06/2023,03/06/2023,,,,,03/06/2023,"4,800,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Leiva,CENTRO DE SALUD SAN JOSE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85122001,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4122739,"718,920,234",Presentación de oferta,2023,0.00432108451923077,,1,4800000,1.110832240989,V1.851,True,6.06765842437744,0.013109432442778759,18.2029752731323,1,-0.816925712804446,0.685404023914253,-0.047637729771115044,0.1830742871955543
8033,8033,CENTRO DE SALUD SAN JOSE DE LEIVA,900193766,NARIÑO,LEIVA,Territorial,Centralizada,CO1.REQ.4819981,2023000424,718920234,CO1.BDOS.4714233,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA REALIZAR ACTIVIDADES COMO AUXILIAR DE ENFERMERÍA EN EL PUESTO DE SALUD DEL CORREGIMIENTO DE EL PALMAR DEL MUNICIPIO DE LEIVA-NARIÑO,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA REALIZAR ACTIVIDADES COMO AUXILIAR DE ENFERMERÍA EN EL PUESTO DE SALUD DEL CORREGIMIENTO DE EL PALMAR DEL MUNICIPIO DE LEIVA-NARIÑO,Presentación de oferta,07/11/2023,07/11/2023,,,,,07/11/2023,"6,000,000",Contratación régimen especial,Regla aplicable,117,día(s),,,,Leiva,CENTRO DE SALUD SAN JOSE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4721233,"718,920,234",Presentación de oferta,2023,0.00432108451923077,,1,6000000,1.38854030123625,V1.851,True,4.17397737503052,0.009018054509431933,12.5219321250915,1,-0.667334013465729,0.822344846103645,-0.030072218037727742,0.3326659865342698
13811,13811,CENTRO DE SALUD SAN JOSE DE LEIVA,900193766,NARIÑO,LEIVA,Territorial,Centralizada,CO1.REQ.4221978,2023000017,718920234,CO1.BDOS.4125822,PRESTACION DE SERVICIOS,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA REALIZAR ACTIVIDADES COMO ATENCIÓN AL USUARIO EN EL CENTRO DE SALUD SAN JOSÉ E.S.E. DE LEIVA-NARIÑO,Presentación de oferta,03/06/2023,03/06/2023,,,,,03/06/2023,"4,840,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,Leiva,CENTRO DE SALUD SAN JOSE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111616,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4126705,"718,920,234",Presentación de oferta,2023,0.00432108451923077,,1,4840000,1.12008917633058,V1.801,True,0.2,0.000432108451923077,0.6,0,4.60044588165288,0.0006630358606992,0.0031115661923077054,5.6004458816529
26210,26210,CENTRO DE SALUD SAN JOSE DE LEIVA,900193766,NARIÑO,LEIVA,Territorial,Centralizada,CO1.REQ.5452347,2023000754,718920234,CO1.BDOS.5333973,MANTENIMIENTO PREVENTIVO POR SUS PRIMEROS KILÓMETROS RECORRIDOS AL VEHÍCULO AMBULANCIA DE PLACAS ODN 091 PERTENECIENTE AL PARQUE AUTOMOTOR DEL CENTRO DE SALUD SAN JOSÉ ESE DE LEIVA-NARIÑO,MANTENIMIENTO PREVENTIVO POR SUS PRIMEROS KILÓMETROS RECORRIDOS AL VEHÍCULO AMBULANCIA DE PLACAS ODN 091 PERTENECIENTE AL PARQUE AUTOMOTOR DEL CENTRO DE SALUD SAN JOSÉ ESE DE LEIVA-NARIÑO,Presentación de oferta,12/22/2023,12/22/2023,,,,,12/22/2023,"1,300,000",Contratación régimen especial,Regla aplicable,3,día(s),,,,Leiva,CENTRO DE SALUD SAN JOSE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.25191700,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5347862,"718,920,234",Presentación de oferta,2023,0.00432108451923077,,1,1300000,0.300850398601188,V1.251,True,0.2,0.000432108451923077,0.6,1,0.50425199300594,0.0918766655402147,-0.0004284338076923081,1.50425199300594
29392,29392,CENTRO DE SALUD SAN JOSE DE LEIVA,900193766,NARIÑO,LEIVA,Territorial,Centralizada,CO1.REQ.5084675,2023000548,718920234,CO1.BDOS.4973552,APOYAR EN EL PROCEDIMIENTO DE NECROPSIAS QUE SEAN SOLICITADAS OFICIALMENTE A LOS MÉDICOS DEL CENTRO DE SALUD SAN JOSÉ DE LEIVA,APOYAR EN EL PROCEDIMIENTO DE NECROPSIAS QUE SEAN SOLICITADAS OFICIALMENTE A LOS MÉDICOS DEL CENTRO DE SALUD SAN JOSÉ DE LEIVA,Presentación de oferta,09/21/2023,09/21/2023,,,,,09/21/2023,"1,800,000",Contratación régimen especial,Regla aplicable,70,día(s),,,,Leiva,CENTRO DE SALUD SAN JOSE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4983757,"718,920,234",Presentación de oferta,2023,0.00432108451923077,,1,1800000,0.416562090370876,V1.801,True,46.3469581604004,0.10013456171017117,139.040874481201,1,-0.991012094279646,0.480334423389191,-0.3987382468406847,0.008987905720354124
46203,46203,CENTRO DE SALUD SAN JOSE DE LEIVA,900193766,NARIÑO,LEIVA,Territorial,Centralizada,CO1.REQ.4919825,202300A496,718920234,CO1.BDOS.4811923,ADQUISICIÓN DE ELEMENTOS MEDICOS; ODONTOLOGICOS Y ELEMENTOS DE ASEO NECESARIOA Y REQUERIDOS PARA LA EFECTIVA PRESTACION DEL SERVICIO DE SALUD EN EL CENTRO DE SALUD SAN JOSE ESE LEIVA NARIÑO.,"ADQUISICIÓN DE ELEMENTOS MEDICOS, ODONTOLOGICOS Y ELEMENTOS DE ASEO NECESARIOA Y REQUERIDOS PARA LA EFECTIVA PRESTACION DEL SERVICIO DE SALUD EN EL CENTRO DE SALUD SAN JOSE ESE LEIVA NARIÑO.",Presentación de oferta,08/08/2023,08/08/2023,,,,,08/08/2023,"232,726,822",Contratación régimen especial,Regla aplicable,10,día(s),,,,Leiva,CENTRO DE SALUD SAN JOSE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.42151800,Abierto,Prestación de servicios,No Definido,"V141105333, V141116008, V141116012, V141116207, V142294203, V147131800",https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4820356,"718,920,234",Presentación de oferta,2023,0.00432108451923077,,1,232726822,53.858428587606,V1.421,True,40.7677040100098,0.08808034734111776,122.303112030029,1,0.321105269366702,0.143057537567683,-0.11959456736447084,1.3211052693667025
47136,47136,INSTITUCION EDUCATIVA LAS DELICAS,814005959,NARIÑO,LEIVA,Territorial,Centralizada,CO1.REQ.5368351,R.E 03-2023,719459364,CO1.BDOS.5250278,ADQUISICION DE POLIZA DE  BIENES MUEBLES E INMUEBLES CON UNA VIGENCIA DE DOCE MESES,ADQUISICION DE POLIZA DE  BIENES MUEBLES E INMUEBLES CON UNA VIGENCIA DE DOCE MESES CON DESTINO A LA INSTITUCION EDUCATIVA LAS DELICIAS DEL MUNICIPIO DE LEIVA NARIÑO,Presentación de oferta,12/01/2023,12/01/2023,,,,,12/01/2023,"525,738",Contratación régimen especial,Regla aplicable,3,día(s),,,,Leiva,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84131501,Abierto,Seguros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5264599,"719,459,364",Presentación de oferta,2023,0.00432108451923077,,1,525738,0.121668066815224,V1.841,True,11.6502532958984,0.025170864581011913,34.9507598876953,1,-0.989556616176057,0.481967714360736,-0.10015772032404766,0.010443383823943003
50050,50050,CENTRO DE SALUD SAN JOSE DE LEIVA,900193766,NARIÑO,LEIVA,Territorial,Centralizada,CO1.REQ.4827714,2023000413,718920234,CO1.BDOS.4721909,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR DE ENFERMERÍA EN EL ÁREA DE URGENCIAS EN EL CENTRO DE SALUD SAN JOSÉ DE LEIVA-NARIÑO.,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR DE ENFERMERÍA EN EL ÁREA DE URGENCIAS EN EL CENTRO DE SALUD SAN JOSÉ DE LEIVA-NARIÑO.,Presentación de oferta,07/12/2023,07/12/2023,,,,,07/12/2023,"5,600,000",Contratación régimen especial,Regla aplicable,117,día(s),,,,Leiva,CENTRO DE SALUD SAN JOSE,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4729312,"718,920,234",Presentación de oferta,2023,0.00432108451923077,,1,5600000,1.2959709478205,V1.851,True,5.27713680267334,0.011401477071947365,15.83141040802,1,-0.754417784438717,0.752490565042548,-0.04000590828778947,0.24558221556128224
