,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
764396,442,723,CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,814003370,NARIÑO,PUERRES,Territorial,Centralizada,CO1.REQ.6694234,271-2024,704434299,CO1.BDOS.6568401,SERVICIO DE TRANSPORTE DE MOVILIDAD OPORTUNA DEL PERSONAL DE LOS EBAPS,"PRESTACION DE SERVICIOS PROFESIONALES DE APOYO A LA GESTIÓN PARA GARANTIZAR EL SERVICIO DE TRANSPORTE DE MOVILIDAD OPORTUNA DEL PERSONAL DE LOS EQUIPOS BÁSICOS EN SALUD PARA LA EJECUCIÓN DEL PROYECTO O PROGRAMA DENOMINADO: FORTALECIMIENTO DEL NIVEL PRIMARIO, BASADO EN LA ATENCIÓN PRIMARIA EN SALUD DEL CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.",Presentación de oferta,08/20/2024,08/20/2024,,,,,08/20/2024,94500000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Puerres,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,727757858,Nariño,Pupiales,,0,No Adjudicado,G&C CONSULTORES,901785315,V1.20102301,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6577815,704434299,Adjudicado,2024,3.9155429850746266,,1,94500000,94.5,V1.201,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,119.6729186222928,1.5814598099025782e-14,23.93458372445857,28.04252624511719,8659.072079643096,120.67291862229283
745594,3263,5311,CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,814003370,NARIÑO,PUERRES,Territorial,Centralizada,CO1.REQ.6114485,139-2024,704434299,CO1.BDOS.5995147,SUMINISTRO DE MEDICAMENTOS,SUMINISTRO DE MEDICAMENTOS PARA EL ÁREA FARMACÉUTICA DEL CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA DE PUERRES E.S.E.,Presentación de oferta,04/18/2024,04/18/2024,,,,,04/18/2024,60650597,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Puerres,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,726316193,Nariño,Pasto,,0,No Adjudicado,JAIRO MAURICIO SALAS SANTACRUZ,12999958,V1.85121900,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6002884,704434299,Adjudicado,2024,3.9155429850746266,,1,60650597,60.650597,V1.851,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,76.44851382195215,2.6072365143306233e-14,15.28970276439043,34.94706344604492,2517.0877416646476,77.44851382195213
102892,896,1492,CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,814003370,NARIÑO,PUERRES,Territorial,Centralizada,CO1.REQ.6897233,282-2024,704434299,CO1.BDOS.6768017,SUMINISTRO DE MEDICAMENTOS,SUMINISTRO DE MEDICAMENTOS CON DESTINO AL ÁREA DE FARMACIA DEL CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,Presentación de oferta,09/24/2024,09/24/2024,,,,,09/24/2024,33198956,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Puerres,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,719986234,Nariño,Pasto,,0,No Adjudicado,COLOMBIANA DE MEDICAMENTOS,900539033,V1.85121900,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6777283,704434299,Adjudicado,2024,3.9155429850746266,,1,33198956,33.198956,V1.851,True,87.72134293132271,171.73834447803316,67.21009826660158,1,-0.6215407232651288,0.6105154695821895,-13.92460436244797,-23.5190544128418,760.1735494896537,0.37845927673487123
723286,6283,10285,CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,814003370,NARIÑO,PUERRES,Territorial,Centralizada,CO1.REQ.6660555,263-2024,704434299,CO1.BDOS.6534259,MEDICINA GENERAL EBS,"PRESTACION DE SERVICIOS PROFESIONALES PARA LA ASISTENCIA TÉCNICA COMO MEDICO GENERAL EN EL DESARROLLO DE SUS ACTIVIDADES DENTRO DEL EQUIPOO BASICO PARA LA EJECUCION DEL PROYECTO O PROGRAMA DENOMINADO: FORTALECIMIENTO DEL NIVEL PRIMARIO, BASADO EN LA ATENCION PRIMARIA EN SALUD, DE LA E.S.E CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA DE PUERRES",Presentación de oferta,08/13/2024,08/13/2024,,,,,08/13/2024,22500000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Puerres,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,727901266,Nariño,Puerres,,0,No Adjudicado,ALEXANDER PEREGRINO CHILAMA ESCOBAR,98371637,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6544241,704434299,Adjudicado,2024,3.9155429850746266,,1,22500000,22.499999999999996,V1.851,True,24.08893556308675,47.16063133097951,18.4563946723938,1,-0.0659612193708382,0.6641772396866221,-0.4058020992601792,-24.28882217407227,545.0143714807821,0.9340387806291617
386487,2927,4817,CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,814003370,NARIÑO,PUERRES,Territorial,Centralizada,CO1.REQ.6540639,223-2024,704434299,CO1.BDOS.6415241,COMBUSTIBLES PARA EL PARQUE AUTOMOTOR DEL CENTRO HOSPITAL,"SUMINISTRO DE COMBUSTIBLES PARA EL PARQUE AUTOMOTOR DEL CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA DE PUERRES ESE, BAJO EL SISTEMA DE MONTO AGOTABLE.",Presentación de oferta,07/19/2024,07/19/2024,,,,,07/19/2024,9746114,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Puerres,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,724743596,Nariño,Puerres,,0,No Adjudicado,EDS SEÑOR DE LOS MILAGROS,1085249930,V1.15101506,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6425617,704434299,Adjudicado,2024,3.9155429850746266,,1,9746114,9.746114,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,11.44541821804856,7.468074307699008e-08,2.289083643609712,-39.81298065185547,499.57019884355583,12.445418218048559
612825,10949,17810,CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,814003370,NARIÑO,PUERRES,Territorial,Centralizada,CO1.REQ.6045751,119-2024,704434299,CO1.BDOS.5927580,SUMINISTRO DE COMBUSTIBLES,"SUMINISTRO DE COMBUSTIBLES PARA EL PARQUE AUTOMOTOR DEL CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA DE PUERRES ESE, BAJO EL SISTEMA DE MONTO AGOTABLE.",Presentación de oferta,04/04/2024,04/04/2024,,,,,04/04/2024,10428568,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Puerres,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,724743596,Nariño,Puerres,,0,No Adjudicado,EDS SEÑOR DE LOS MILAGROS,1085249930,V1.15101506,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5934453,704434299,Adjudicado,2024,3.9155429850746266,,1,10428568,10.428568,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,12.31688611228621,5.1371238237543316e-08,2.463377222457243,-35.34492111206055,497.04439764199145,13.316886112286213
82384,6187,10173,CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,814003370,NARIÑO,PUERRES,Territorial,Centralizada,CO1.REQ.6641611,245-2024,704434299,CO1.BDOS.6515582,AUXILIAR DE ENFERMERIA EBS,"PRESTACION DE SERVICIOS DE APOYO A LA GESTIÓN PARA LA ASISTENCIA TECNICA COMO AUXILIAR DE ENFERMERIA EN EL DESARROLLO DE SUS ACTIVIDADES DENTRO DEL EQUIPO BÁSICO PARA LA EJECUCIÓN DEL PROYECTO O PROGRAMA, DENOMINADO: FORTALECIMIENTO DEL NIVEL PRIMARIO, BASADO EN LA ATENCION PRIMARIA EN SALUD, A TRAVÉS DE LA CONFORMACIÓN DE EQUIPOS BÁSICOS EN SALUD DEL CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.",Presentación de oferta,08/09/2024,08/09/2024,,,,,08/09/2024,9000000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Puerres,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,727847105,Nariño,Puerres,,0,No Adjudicado,GLORIA DEL ROSARIO AGUIRRE LUCERO,27388821,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6525679,704434299,Adjudicado,2024,3.9155429850746266,,1,9000000,8.999999999999998,V1.851,True,0.15496445222169797,0.3033849869163008,0.1187302395701408,0,57.07783572921771,4.3113083260085024e-13,2.258955036758388,1.930736064910889,496.3238969787613,58.077835729217824
281158,141,235,CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,814003370,NARIÑO,PUERRES,Territorial,Centralizada,CO1.REQ.6642121,246-2024,704434299,CO1.BDOS.6516802,AUXILIAR DE ENFERMERIA EBS,"PRESTACION DE SERVICIOS DE APOYO A LA GESTIÓN PARA LA ASISTENCIA TECNICA COMO AUXILIAR DE ENFERMERIA EN EL DESARROLLO DE SUS ACTIVIDADES DENTRO DEL EQUIPO BÁSICO PARA LA EJECUCIÓN DEL PROYECTO O PROGRAMA, DENOMINADO: FORTALECIMIENTO DEL NIVEL PRIMARIO, BASADO EN LA ATENCION PRIMARIA EN SALUD, A TRAVÉS DE LA CONFORMACIÓN DE EQUIPOS BÁSICOS EN SALUD DEL CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.",Presentación de oferta,08/09/2024,08/09/2024,,,,,08/09/2024,9000000,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Puerres,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,727786279,Nariño,Puerres,,0,No Adjudicado,SAIDA  ELENA CADENA CUASAPUD,1085635259,V1.85101600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6526424,704434299,Adjudicado,2024,3.9155429850746266,,1,9000000,8.999999999999998,V1.851,True,0.15496445222169797,0.3033849869163008,0.1187302395701408,0,57.07783572921771,9.517883656661123e-13,2.258955036758388,15.21517753601074,376.7639237388626,58.077835729217824
68773,5291,8749,CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,814003370,NARIÑO,PUERRES,Territorial,Centralizada,CO1.REQ.6786274,279-2024,704434299,CO1.BDOS.6659492,POLIZA CONTRA TODO RIESGO PYME,SUMINISTRO DE ADQUISICIÓN DE POLIZA CONTRA TODO RIESGO PYME PARA EL ASEGURAMIENTO DEL CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,Presentación de oferta,09/05/2024,09/05/2024,,,,,09/05/2024,7237913,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Puerres,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,700345028,Distrito Capital de Bogotá,No Definido,,0,No Adjudicado,MAPFRE SEGUROS GENERALES DE COLOMBIA S.A.,891700037,V1.84131500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6668134,704434299,Adjudicado,2024,3.9155429850746266,,1,7237913,7.237912999999999,V1.841,True,75.1663445823601,147.15852662158113,57.59074401855467,1,-0.90370806189638,0.3745197038956829,-17.34840655339286,-52.48354339599609,373.33036070253956,0.0962919381036201
193301,2407,3932,CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA PUERRES E.S.E.,814003370,NARIÑO,PUERRES,Territorial,Centralizada,CO1.REQ.5552894,038-2024,704434299,CO1.BDOS.5435575,SUMINISTRO DE COMBUSTIBLES,"COMBUSTIBLES PARA EL PARQUE AUTOMOTOR DEL CENTRO HOSPITAL NUESTRO SEÑOR DE LA DIVINA MISERICORDIA DE PUERRES ESE, BAJO EL SISTEMA DE MONTO AGOTABLE.",Presentación de oferta,01/16/2024,01/16/2024,,,,,01/16/2024,10026792,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Puerres,GERENCIA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,724743596,Nariño,Puerres,,0,No Adjudicado,EDS SEÑOR DE LOS MILAGROS,1085249930,V1.15101506,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5446348,704434299,Adjudicado,2024,3.9155429850746266,,1,10026792,10.026792,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,11.80383338686409,9.716621581060645e-08,2.360766677372819,-24.77710151672363,366.78942544381414,12.803833386864092
