,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
10048,10048,ESE CENTRO HOSPITAL LAS MERCEDES,900160887,NARIÑO,ROBERTO PAYÁN,Territorial,Centralizada,CO1.REQ.4914494,OPS-131-2023,713392587,CO1.BDOS.4807146,PRESTACIÓN DE SERVICIOS COMO CONDUCTOR  AMBULANCIA,"PRESTACIÓN DE SERVICIOS COMO CONDUCTOR 
AMBULANCIA",Presentación de oferta,08/04/2023,08/04/2023,,,,,08/04/2023,"3,900,000",Contratación régimen especial,Decreto 092 de 2017,90,día(s),,,,Roberto Payán,SERVICIOS Y SUMINISTRO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111612,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4815194,"713,392,587",Presentación de oferta,2023,0.00432108451923077,,1,3900000,0.902551195803564,V1.801,True,0.2,0.000432108451923077,0.6,0,3.51275597901782,0.0014846448236522,0.0021715661923076917,4.51275597901782
11785,11785,ESE CENTRO HOSPITAL LAS MERCEDES,900160887,NARIÑO,ROBERTO PAYÁN,Territorial,Centralizada,CO1.REQ.3927655,OPS-010-2023,713392587,CO1.BDOS.3832438,PRESTACIÓN DE SERVICIOS PARA IMPLEMENTACION DEL PROGRAMA ZAPHIRO,"PRESTACIÓN DE SERVICIOS PARA IMPLEMENTACION DEL
PROGRAMA ZAPHIRO E INFOSALUD PARA ESE CENTRO
HOSPITAL LAS MERCEDESDE 02 ENERO A 31 DEMARZO DE 2023.",Presentación de oferta,01/24/2023,01/24/2023,,,,,01/24/2023,"8,568,000",Contratación régimen especial,Decreto 092 de 2017,3,Mes(es),,,,Roberto Payán,SERVICIOS Y SUMINISTRO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111506,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3833053,"713,392,587",Presentación de oferta,2023,0.00432108451923077,,1,8568000,1.98283555016537,V1.841,True,2.09511232376099,0.004526578714126609,6.28533697128296,1,-0.0535898587976741,0.374440102560238,-0.00953831485650643,0.9464101412023251
43871,43871,ESE CENTRO HOSPITAL LAS MERCEDES,900160887,NARIÑO,ROBERTO PAYÁN,Territorial,Centralizada,CO1.REQ.5388567,SU-086-2023,713392587,CO1.BDOS.5270980,COMPRA DE IMPRESORAS MULTIFUNCIONAL CANON G 3160 PARA EL CENTRO HOSPITAL LAS MERCEDES,COMPRA DE IMPRESORAS MULTIFUNCIONAL CANON G 3160 PARA EL CENTRO HOSPITAL LAS MERCEDES,Presentación de oferta,12/05/2023,12/05/2023,,,,,12/05/2023,"1,300,000",Contratación régimen especial,Decreto 092 de 2017,3,día(s),,,,Roberto Payán,SERVICIOS Y SUMINISTRO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.45101515,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5285017,"713,392,587",Presentación de oferta,2023,0.00432108451923077,,1,1300000,0.300850398601188,V1.451,True,9.12445831298828,0.01971377778131008,27.3733749389648,1,-0.967028135996529,0.507613571519319,-0.07755511112524031,0.03297186400347078
46114,46114,ESE CENTRO HOSPITAL LAS MERCEDES,900160887,NARIÑO,ROBERTO PAYÁN,Territorial,Centralizada,CO1.REQ.4914160,OPS-137-2023,713392587,CO1.BDOS.4806557,CONTRATO DE PRESTACION DE SERVICIOS COMO ASESOR JURIDICO,CONTRATO DE PRESTACION DE SERVICIOS COMO ASESOR JURIDICO,Presentación de oferta,08/04/2023,08/04/2023,,,,,08/04/2023,"10,500,000",Contratación régimen especial,Decreto 092 de 2017,90,día(s),,,,Roberto Payán,SERVICIOS Y SUMINISTRO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4815102,"713,392,587",Presentación de oferta,2023,0.00432108451923077,,1,10500000,2.42994552716344,V1.801,True,0.2,0.000432108451923077,0.6,0,11.1497276358172,3.91152898554813e-05,0.008771566192307685,12.1497276358172
58231,58231,INSTITUCIÓN EDUCATIVA POLICARPA BOCAS DE TELEMBI,840001059,NARIÑO,ROBERTO PAYÁN,Territorial,Centralizada,CO1.REQ.5375947,R.E. 09-2023,701694481,CO1.BDOS.5259323,contratacion,"Suministro de implementos deportivos, con destino  a la Institución Educativa Policarpa Boca De Telembi, Institucion Educativa Pumbi las Lajas y sus Sedes Educativas del municipio de Roberto Payan (N).",Presentación de oferta,12/03/2023,12/03/2023,,,,,12/02/2023,"20,805,246",Contratación régimen especial,Decreto 092 de 2017,5,día(s),,,,Roberto Payán,Institucion Educativa Policatpa Boca de Telembi,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.49161504,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5272824,"701,694,481",Presentación de oferta,2023,0.00432108451923077,,1,20805246,4.81482042468906,V1.491,True,5.99478244781494,0.012951980815704738,17.9843473434448,1,-0.19683150029172,0.52744818705774,-0.031002677262818933,0.8031684997082807
63307,63307,ESE CENTRO HOSPITAL LAS MERCEDES,900160887,NARIÑO,ROBERTO PAYÁN,Territorial,Centralizada,CO1.REQ.3924949,SU-012-2023,713392587,CO1.BDOS.3829657,SUMINISTRO DE PAPELERÍA,SUMINISTRO DE PAPELERÍA MEMBRETEADA PARA EL CORRECTO FUNCIONAMIENTO DE LA ESE HOSPITAL LAS MERCEDES,Presentación de oferta,01/24/2023,01/24/2023,,,,,01/24/2023,"5,000,000",Contratación régimen especial,Decreto 092 de 2017,3,Mes(es),,,,Roberto Payán,SERVICIOS Y SUMINISTRO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.14111509,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3830347,"713,392,587",Presentación de oferta,2023,0.00432108451923077,,1,5000000,1.15711691769688,V1.141,True,0.248426452279091,0.0005367358485553008,0.745279356837273,0,3.65778465651046,0.0013186128497064,0.00285305660577881,4.657784656510469
70379,70379,ESE CENTRO HOSPITAL LAS MERCEDES,900160887,NARIÑO,ROBERTO PAYÁN,Territorial,Centralizada,CO1.REQ.4469230,OPS-061-2023,713392587,CO1.BDOS.4368673,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR CONTABLE DE LA ESE CENTRO HOSPITAL LAS MERCEDES,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR CONTABLE DE LA ESE CENTRO HOSPITAL LAS MERCEDES,Presentación de oferta,05/04/2023,05/04/2023,,,,,05/04/2023,"9,000,000",Contratación régimen especial,Decreto 092 de 2017,90,día(s),,,,Roberto Payán,SERVICIOS Y SUMINISTRO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4370667,"713,392,587",Presentación de oferta,2023,0.00432108451923077,,1,9000000,2.08281045185438,V1.801,True,12.3150577545166,0.02660720270823726,36.9451732635498,1,-0.830872863662333,0.66929847610222,-0.09742881083294903,0.16912713633766763
71056,71056,INSTITUCION EDUCATIVA SAN JOSE DEL TELEMBI,800063123,NARIÑO,ROBERTO PAYÁN,Territorial,Centralizada,CO1.REQ.4585511,RE 01-2023,718167141,CO1.BDOS.4482799,Suministro de artículos; utensilios de aseo; limpieza y desinfeccion con destino a la Institución  Educativa San Jose de Telembi  y sedes educativas asociadas del municipio de Roberto Payan (N); garan,"Suministro de artículos, utensilios de aseo, limpieza y desinfeccion con destino a la Institución  Educativa San Jose de Telembi  y sedes educativas asociadas del municipio de Roberto Payan (N), garantizando la prestación del servicio educativo.",Presentación de oferta,05/29/2023,05/29/2023,,,,,05/29/2023,"21,590,988",Contratación régimen especial,Regla aplicable,8,día(s),,,,Roberto Payán,INSTITUCION EDUCATIVA SA JOSE DE TELEMBI,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.47131600,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4487932,"718,167,141",Presentación de oferta,2023,0.00432108451923077,,1,21590988,4.99665949691805,V1.471,True,22.01611328125,0.04756674313662016,66.04833984375,1,-0.773045340333825,0.733585158857282,-0.16867598454648064,0.22695465966617503
73473,73473,ESE CENTRO HOSPITAL LAS MERCEDES,900160887,NARIÑO,ROBERTO PAYÁN,Territorial,Centralizada,CO1.REQ.4485935,OPS-074-2023,713392587,CO1.BDOS.4384964,CONTRATO DE PRESTACIÓN DE SERVICIOS COMO APOYO A LA GESTIÓN EN EL ÁREA JURÍDICA DE LA ESE CAMILO HURTADO CIFUENTES,CONTRATO DE PRESTACIÓN DE SERVICIOS COMO APOYO A LA GESTIÓN EN EL ÁREA JURÍDICA DE LA ESE CAMILO HURTADO CIFUENTES,Presentación de oferta,05/08/2023,05/08/2023,,,,,05/08/2023,"4,500,000",Contratación régimen especial,Decreto 092 de 2017,76,día(s),,,,Roberto Payán,SERVICIOS Y SUMINISTRO,0,0,0,0,0,0,0,0,0,Cancelado,100,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4387402,"713,392,587",Presentación de oferta,2023,0.00432108451923077,,1,4500000,1.04140522592719,V1.801,True,0.2,0.000432108451923077,0.6,0,4.20702612963595,0.000869411026784,0.002771566192307695,5.20702612963595
94305,94305,ESE CENTRO HOSPITAL LAS MERCEDES,900160887,NARIÑO,ROBERTO PAYÁN,Territorial,Centralizada,CO1.REQ.4618162,OPS-096-2023.,713392587,CO1.BDOS.4514878,PRESTACIÓN DE SERVICIOS DE APOYO EN CAPACITACION Y PRACTICA DE DIRECCIONAMIENTO PARA LA CONSOLIDACION DE INFORMACION ADMINISTRATIVA Y FINANCIERA DENTRO DE LOS PROGRAMAS SANEAMINETO FISCAL Y FCRO.,PRESTACIÓN DE SERVICIOS DE APOYO EN CAPACITACION Y PRACTICA DE DIRECCIONAMIENTO PARA LA CONSOLIDACION DE INFORMACION ADMINISTRATIVA Y FINANCIERA DENTRO DE LOS PROGRAMAS SANEAMINETO FISCAL Y FCRO.,Presentación de oferta,06/05/2023,06/05/2023,,,,,06/04/2023,"9,655,000",Contratación régimen especial,Decreto 092 de 2017,5,día(s),,,,Roberto Payán,SERVICIOS Y SUMINISTRO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4520747,"713,392,587",Presentación de oferta,2023,0.00432108451923077,,1,9655000,2.23439276807267,V1.801,True,0.2,0.000432108451923077,0.6,0,10.1719638403634,5.29459228202169e-05,0.007926566192307695,11.17196384036335
