,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
2156,2156,CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,900122524,NARIÑO,SAN PEDRO DE CARTAGO,Territorial,Centralizada,CO1.REQ.5361034,CPS657CD2023,718652175,CO1.BDOS.5244115,Prestación de Servicios de apoyo a la gestión como Coordinador de Información en Salud del Centro de Salud Municipal Cartago ESE,Prestación de Servicios de apoyo a la gestión como Coordinador de Información en Salud del Centro de Salud Municipal Cartago ESE,Presentación de oferta,11/30/2023,11/30/2023,,,,,11/29/2023,"2,600,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,San Pedro De Cartago,CENTRO DE SALUD MUNICIPAL SAN PEDRO DE CARTAGO E.S.E,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5257134,"718,652,175",Presentación de oferta,2023,0.00432108451923077,,1,2600000,0.601700797202376,V1.851,True,0.2,0.000432108451923077,0.6,0,2.00850398601188,0.0068846102654109,0.0008715661923076918,3.00850398601188
4166,4166,CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,900122524,NARIÑO,SAN PEDRO DE CARTAGO,Territorial,Centralizada,CO1.REQ.4208169,CPS149CD2023,718652175,CO1.BDOS.4112126,PRESTACION DE SERVICIOS PROFESIONALES COMO ASESOR DE CALIDAD Y DEL SISTEMA DE CONTROL INTERNO DEL CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,PRESTACION DE SERVICIOS PROFESIONALES COMO ASESOR DE CALIDAD Y DEL SISTEMA DE CONTROL INTERNO DEL CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,Presentación de oferta,03/03/2023,03/03/2023,,,,,03/03/2023,"3,328,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,San Pedro De Cartago,CENTRO DE SALUD MUNICIPAL SAN PEDRO DE CARTAGO E.S.E,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4112959,"718,652,175",Presentación de oferta,2023,0.00432108451923077,,1,3328000,0.770177020419041,V1.851,True,0.2,0.000432108451923077,0.6,0,2.85088510209521,0.0026977047740166,0.0015995661923076906,3.850885102095205
7072,7072,CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,900122524,NARIÑO,SAN PEDRO DE CARTAGO,Territorial,Centralizada,CO1.REQ.4206672,CPS152CD2023,718652175,CO1.BDOS.4110508,Prestación de Servicios Profesionales como Contadora del Centro de Salud Municipal Cartago ESE,Prestación de Servicios Profesionales como Contadora del Centro de Salud Municipal Cartago ESE,Presentación de oferta,03/03/2023,03/03/2023,,,,,03/02/2023,"3,328,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,San Pedro De Cartago,CENTRO DE SALUD MUNICIPAL SAN PEDRO DE CARTAGO E.S.E,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4111746,"718,652,175",Presentación de oferta,2023,0.00432108451923077,,1,3328000,0.770177020419041,V1.841,True,0.283706218004227,0.0006129592733137877,0.85111865401268,1,1.71469912022713,0.0101846420669749,0.000876162906744848,2.7146991202271287
16504,16504,CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,900122524,NARIÑO,SAN PEDRO DE CARTAGO,Territorial,Centralizada,CO1.REQ.4212827,CPS132CD2023,718652175,CO1.BDOS.4115989,Prestación de Servicios de apoyo a la gestión como Promotora de Salud del Centro de Salud Municipal Cartago ESE,Prestación de Servicios de apoyo a la gestión como Promotora de Salud del Centro de Salud Municipal Cartago ESE,Presentación de oferta,03/03/2023,03/03/2023,,,,,03/03/2023,"2,320,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,San Pedro De Cartago,CENTRO DE SALUD MUNICIPAL SAN PEDRO DE CARTAGO E.S.E,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4117321,"718,652,175",Presentación de oferta,2023,0.00432108451923077,,1,2320000,0.536902249811351,V1.851,True,4.95156669616699,0.010698069098372915,14.854700088501,1,-0.891569217834233,0.597028167487411,-0.04047227639349166,0.1084307821657673
21324,21324,CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,900122524,NARIÑO,SAN PEDRO DE CARTAGO,Territorial,Centralizada,CO1.REQ.5360976,CPS651CD2023,718652175,CO1.BDOS.5244046,Prestación de servicios profesionales de Odontología para el Centro De Salud Municipal Cartago ESE.,Prestación de servicios profesionales de Odontología para el Centro De Salud Municipal Cartago ESE.,Presentación de oferta,11/30/2023,11/30/2023,,,,,11/29/2023,"5,600,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,San Pedro De Cartago,CENTRO DE SALUD MUNICIPAL SAN PEDRO DE CARTAGO E.S.E,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5257264,"718,652,175",Presentación de oferta,2023,0.00432108451923077,,1,5600000,1.2959709478205,V1.851,True,4.85695362091065,0.010493653550969421,14.5708608627319,1,-0.733172056195687,0.772597707712514,-0.03637461420387769,0.2668279438043127
28525,28525,CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,900122524,NARIÑO,SAN PEDRO DE CARTAGO,Territorial,Centralizada,CO1.REQ.4211536,CPS141CD2023,718652175,CO1.BDOS.4115507,Prestación de Servicios de apoyo a la gestión como Coordinadora Resolución 4505 del Centro de Salud Municipal Cartago ESE,Prestación de Servicios de apoyo a la gestión como Coordinadora Resolución 4505 del Centro de Salud Municipal Cartago ESE,Presentación de oferta,03/03/2023,03/03/2023,,,,,03/03/2023,"2,320,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,San Pedro De Cartago,CENTRO DE SALUD MUNICIPAL SAN PEDRO DE CARTAGO E.S.E,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4116230,"718,652,175",Presentación de oferta,2023,0.00432108451923077,,1,2320000,0.536902249811351,V1.851,True,6.96743392944336,0.015053435445640457,20.9023017883301,1,-0.922941178165683,0.559410083491236,-0.057893741782561826,0.07705882183431699
41634,41634,CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,900122524,NARIÑO,SAN PEDRO DE CARTAGO,Territorial,Centralizada,CO1.REQ.4904530,CPS391CD2023,718652175,CO1.BDOS.4796756,Prestación de Servicios de apoyo a la gestión como Coordinador de Información en Salud del Centro de Salud Municipal Cartago ESE,Prestación de Servicios de apoyo a la gestión como Coordinador de Información en Salud del Centro de Salud Municipal Cartago ESE,Presentación de oferta,08/02/2023,08/02/2023,,,,,08/02/2023,"3,600,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,San Pedro De Cartago,CENTRO DE SALUD MUNICIPAL SAN PEDRO DE CARTAGO E.S.E,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4804774,"718,652,175",Presentación de oferta,2023,0.00432108451923077,,1,3600000,0.833124180741751,V1.851,True,0.2,0.000432108451923077,0.6,0,3.16562090370876,0.0020058107768478,0.00187156619230769,4.165620903708755
48848,48848,CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,900122524,NARIÑO,SAN PEDRO DE CARTAGO,Territorial,Centralizada,CO1.REQ.5363180,CPS659CD2023,718652175,CO1.BDOS.5245983,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION COMO AUXILIAR DE ENFERMERIA DEL AREA DE URGENCIAS DEL CENTRO DE SALUD CARTAGO ESE,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTION COMO AUXILIAR DE ENFERMERIA DEL AREA DE URGENCIAS DEL CENTRO DE SALUD CARTAGO ESE,Presentación de oferta,11/30/2023,11/30/2023,,,,,11/30/2023,"2,320,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,San Pedro De Cartago,CENTRO DE SALUD MUNICIPAL SAN PEDRO DE CARTAGO E.S.E,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5259453,"718,652,175",Presentación de oferta,2023,0.00432108451923077,,1,2320000,0.536902249811351,V1.851,True,0.2,0.000432108451923077,0.6,1,1.68451124905675,0.0106281444185895,0.0005915661923076924,2.684511249056755
52005,52005,CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,900122524,NARIÑO,SAN PEDRO DE CARTAGO,Territorial,Centralizada,CO1.REQ.4468749,CPS257CD2023,718652175,CO1.BDOS.4368423,Prestación de Servicios de apoyo a la gestión como Promotora de Salud del Centro de Salud Municipal Cartago ESE,Prestación de Servicios de apoyo a la gestión como Promotora de Salud del Centro de Salud Municipal Cartago ESE,Presentación de oferta,05/04/2023,05/04/2023,,,,,05/04/2023,"3,480,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,San Pedro De Cartago,CENTRO DE SALUD MUNICIPAL SAN PEDRO DE CARTAGO E.S.E,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4370420,"718,652,175",Presentación de oferta,2023,0.00432108451923077,,1,3480000,0.805353374717026,V1.851,True,4.95156669616699,0.010698069098372915,14.854700088501,1,-0.837353826751349,0.661721984400585,-0.03931227639349166,0.16264617324865083
56675,56675,CENTRO DE SALUD MUNICIPAL DE CARTAGO E.S.E,900122524,NARIÑO,SAN PEDRO DE CARTAGO,Territorial,Centralizada,CO1.REQ.4903984,CPS377CD2023,718652175,CO1.BDOS.4796366,Prestación de Servicios de apoyo a la gestión como Auxiliar de Archivo de la red de información y estadística del Centro de Salud Municipal Cartago ESE,Prestación de Servicios de apoyo a la gestión como Auxiliar de Archivo de la red de información y estadística del Centro de Salud Municipal Cartago ESE,Presentación de oferta,08/02/2023,08/02/2023,,,,,08/02/2023,"3,480,000",Contratación régimen especial,Regla aplicable,3,Mes(es),,,,San Pedro De Cartago,CENTRO DE SALUD MUNICIPAL SAN PEDRO DE CARTAGO E.S.E,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4804708,"718,652,175",Presentación de oferta,2023,0.00432108451923077,,1,3480000,0.805353374717026,V1.851,True,0.2,0.000432108451923077,0.6,0,3.02676687358513,0.0022791629561051,0.00175156619230769,4.02676687358513
