,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,137630,10365,17257,MUNICIPIO DE PAMPLONITA,890506116,NORTE DE SANTANDER,PAMPLONITA,Territorial,Centralizada,CO1.REQ.5627843,SIP-PAMPLONITA-01-2024,705003903,CO1.BDOS.5510632,SUMINISTRO DE TRANSPORTE ESCOLAR...,SUMINISTRO DE TRANSPORTE ESCOLAR DE ESTUDIANTES MATRICULADOS EN LOS ESTABLECIMIENTOS EDUCATIVOS DEL MUNICIPIO DE PAMPLONITA RESIDENTES  EN LA ZONA RURAL DURANTE EL CALENDARIO ESCOLAR,Presentación de observaciones,01/26/2024,01/26/2024,,,,01/26/2024,,445023800,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,día(s),02/12/2024,02/12/2024,02/17/2024,Pamplonita,SECRETARIA DE GOBIERNO,0,0,6,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111623,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5525474,705003903,Presentación de observaciones,2024,3.9155429850746266,,1,445023800,445.0238,V1.801,True,344.2433594930711,673.9498357108088,263.7514343261719,1,0.292759287079167,0.358258224946335,25.73856062647927,-48.25741195678711,21605.981697596097,1.2927592870791669
1,752299,9968,16334,MUNICIPIO DE PAMPLONITA,890506116,NORTE DE SANTANDER,PAMPLONITA,Territorial,Centralizada,CO1.REQ.5716560,SIP-PAMPLONITA-01-2024 (Presentación de oferta),705003903,CO1.BDOS.5510632,SUMINISTRO DE TRANSPORTE ESCOLAR... (Presentación de oferta),SUMINISTRO DE TRANSPORTE ESCOLAR DE ESTUDIANTES MATRICULADOS EN LOS ESTABLECIMIENTOS EDUCATIVOS DEL MUNICIPIO DE PAMPLONITA RESIDENTES  EN LA ZONA RURAL DURANTE EL CALENDARIO ESCOLAR,Presentación de oferta,02/07/2024,02/07/2024,,,,,02/07/2024,445023800,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,día(s),02/14/2024,02/21/2024,02/21/2024,Pamplonita,SECRETARIA DE GOBIERNO,0,0,6,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1856116,711013102,Norte de Santander,Cúcuta,02/21/2024,445015500,Edgar Enrique Buitrago Cabeza,DEL NORTE TRANSPORTE Y TURISMO SAS,901171800,V1.80111623,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5607887,705003903,Adjudicado,2024,3.9155429850746266,,1,445023800,445.0238,V1.801,True,344.2433594930711,673.9498357108088,263.7514343261719,1,0.292759287079167,0.3529075659393675,25.73856062647927,-41.81655883789062,18739.64876738293,1.2927592870791669
2,535250,10586,17505,MUNICIPIO DE PAMPLONITA,890506116,NORTE DE SANTANDER,PAMPLONITA,Territorial,Centralizada,CO1.REQ.6819373,COVA-ESAL-PNITA -004-2024.,705003903,CO1.BDOS.6691778,CONVENIO ESAL REGIMEN ESPECIAL ADULTO MAYOR,"AUNAR ESFUERZOS PARA LA ATENCION INTEGRAL A ADULTOS MAYORES, MEDIANTE LA EJECUCION DE ACTIVIDADES DE PROMOCION SOCIAL, ORIENTADAS A DISMINUIR LA VULNERABILIDAD, MEJORAR LA CALIDAD DE VIDA Y EL BIENESTAR, PARTIENDO DEL RESPETO PLENO A SU DIGNIDAD, INTERESES Y DERECHOS EN MUNICIPIO DE PAMPLONITA NORTE DE SANTANDER",Presentación de oferta,09/11/2024,09/11/2024,,,,,09/11/2024,275344628,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),09/12/2024,09/12/2024,09/12/2024,Pamplonita,SECRETARIA DE DESARROLLO COMUNITARIO Y GESTION SOCAL,0,0,2,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.2031749,702674524,Norte de Santander,Ocaña,09/14/2024,275344628,Edgar Enrique Buitrago Cabeza,FUNDACIÓN BLESSING,900974496,V1.80111623,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6701268,705003903,Adjudicado,2024,3.9155429850746266,,1,275344628,275.34462799999994,V1.801,True,306.54559352138915,600.1462241591066,234.8682632446289,1,-0.1017824629705928,0.6981735717028327,-7.968490102221296,-39.70662307739258,10904.98010597731,0.8982175370294071
3,54003,2901,4805,MUNICIPIO DE PAMPLONITA,890506116,NORTE DE SANTANDER,PAMPLONITA,Territorial,Centralizada,CO1.REQ.5839422,ISMC-PNITA-006-2024,705003903,CO1.BDOS.5722721,SERVICIO DE TRANSPORTE A TODO COSTO PARA DAR CUMPLIMIENTO A LOS INDICADORES DEL PLAN DE DESARROLLO EN LO QUE CORRESPONDE A LA GARANTÍA DE DERECHOS DE LOS CIUDADANOS DESDE LA COMISARÍA DE FAMILIA; ASÍ,"SERVICIO DE TRANSPORTE A TODO COSTO PARA DAR CUMPLIMIENTO A LOS INDICADORES DEL PLAN DE DESARROLLO EN LO QUE CORRESPONDE A LA GARANTÍA DE DERECHOS DE LOS CIUDADANOS DESDE LA COMISARÍA DE FAMILIA, ASÍ COMO LA PROMOCION Y PARTICIPACION DE LAS ACTIVIDADES CULTURALES Y DEPORTIVAS REGIONAlES Y FOMENTO A LA ACTIVIDAD FISICA, LA RECREACION Y EL DEPORTE , LIDERADAS POR EL ALCALDE Y LOS DIFERENTES FUNCIONARIOS DE LA ALCALDÍA DE PAMPLONITA",Presentación de oferta,02/26/2024,02/26/2024,,,,,02/26/2024,24000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),02/29/2024,02/29/2024,02/29/2024,Pamplonita,SECRETARIA DE GOBIERNO,0,0,4,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1870106,706916137,Norte de Santander,Cúcuta,03/08/2024,24000000,Edgar Enrique Buitrago Cabeza,QUALITY TRANSPORTES SAS,901045060,V1.80111623,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5734057,705003903,Adjudicado,2024,3.9155429850746266,,1,24000000,24.0,V1.801,True,134.48602020388472,263.29289649996264,103.0401306152343,1,-0.8215427896251573,0.437813320812798,-28.21729211632674,-44.37198257446289,1045.2105548361055,0.1784572103748426
4,790444,512,826,MUNICIPIO DE PAMPLONITA,890506116,NORTE DE SANTANDER,PAMPLONITA,Territorial,Centralizada,CO1.REQ.5645002,ISMC-PNITA-004-2024,705003903,CO1.BDOS.5527090,SUMINISTRO DE COMBUSTIBLE PARA EL PARQUE AUTOMOTOR DE LA ALCALDIA MUNICIPAL DE PAMPLONITA (NS),SUMINISTRO DE COMBUSTIBLE PARA EL PARQUE AUTOMOTOR DE LA ALCALDIA MUNICIPAL DE PAMPLONITA (NS),Presentación de oferta,01/29/2024,01/29/2024,,,,,01/29/2024,20000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),02/01/2024,02/01/2024,02/01/2024,Pamplonita,SECRETARIA DE PLANEACION E INFRAESTRUCTURA,0,0,1,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1843425,704161868,Norte de Santander,Pamplona,,17950,Edgar Enrique Buitrago Cabeza,COOPERATIVA DE TRANSPORTADORES EL MOTILON COOPTMOTILON LTDA,8001520281,V1.15101506,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5537789,705003903,Adjudicado,2024,3.9155429850746266,,1,20000000,20.0,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,24.53924203646409,2.936925050732854e-10,4.907848407292819,-18.38546562194824,858.4941531682466,25.53924203646409
5,790445,513,827,MUNICIPIO DE PAMPLONITA,890506116,NORTE DE SANTANDER,PAMPLONITA,Territorial,Centralizada,CO1.REQ.5645002,ISMC-PNITA-004-2024,705003903,CO1.BDOS.5527090,SUMINISTRO DE COMBUSTIBLE PARA EL PARQUE AUTOMOTOR DE LA ALCALDIA MUNICIPAL DE PAMPLONITA (NS),SUMINISTRO DE COMBUSTIBLE PARA EL PARQUE AUTOMOTOR DE LA ALCALDIA MUNICIPAL DE PAMPLONITA (NS),Presentación de oferta,01/29/2024,01/29/2024,,,,,01/29/2024,20000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),02/01/2024,02/01/2024,02/01/2024,Pamplonita,SECRETARIA DE PLANEACION E INFRAESTRUCTURA,0,0,1,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1843425,704161868,Norte de Santander,Pamplona,,17950,Edgar Enrique Buitrago Cabeza,COOPERATIVA DE TRANSPORTADORES EL MOTILON COOPTMOTILON LTDA,8001520281,V1.15101506,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5537789,705003903,Adjudicado,2024,3.9155429850746266,,1,20000000,20.0,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,24.53924203646409,2.936925050732854e-10,4.907848407292819,-18.38546562194824,858.4941531682466,25.53924203646409
6,399854,3546,5866,MUNICIPIO DE PAMPLONITA,890506116,NORTE DE SANTANDER,PAMPLONITA,Territorial,Centralizada,CO1.REQ.6720383,ISMC-PNITAL-023-2024,705003903,CO1.BDOS.6593582,SSUMINISTRO  Y APOYO LOGISTICO EN LA REALIZACION DEL ENCUENTRO DEPORTIVO INTERVEREDAL COMO ESTRATEGIA PARA EL FORTALECIMIENTO DE LA COHESION SOCIAL ATRAVES DE LA PRACTICA DEL DEPORTE ENTRE LAS COMUNID,SUMINISTRO  Y APOYO LOGISTICO EN LA REALIZACION DEL ENCUENTRO DEPORTIVO INTERVEREDAL COMO ESTRATEGIA PARA EL FORTALECIMIENTO DE LA COHESION SOCIAL ATRAVES DE LA PRACTICA DEL DEPORTE ENTRE LAS COMUNIDADES DE EL MUNICIPIO DE PAMPLONITA NS,Presentación de oferta,08/27/2024,08/27/2024,,,,,08/27/2024,25416200,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),08/29/2024,08/29/2024,08/29/2024,Pamplonita,SECRETARIA DE DESARROLLO COMUNITARIO Y GESTION SOCAL,0,0,9,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.2021720,713112670,Norte de Santander,Cúcuta,09/04/2024,25117902,Edgar Enrique Buitrago Cabeza,Grupo Empresarial Asesconst SAS,901030381,V1.80111623,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6613079,705003903,Adjudicado,2024,3.9155429850746266,,1,25416200,25.4162,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,31.45552417235893,5.941609690090237e-11,6.291104834471787,5.825870513916016,651.4084033137168,32.45552417235893
7,83930,7733,12742,MUNICIPIO DE PAMPLONITA,890506116,NORTE DE SANTANDER,PAMPLONITA,Territorial,Centralizada,CO1.REQ.5645002,ISMC-PNITA-004-2024,705003903,CO1.BDOS.5527090,SUMINISTRO DE COMBUSTIBLE PARA EL PARQUE AUTOMOTOR DE LA ALCALDIA MUNICIPAL DE PAMPLONITA (NS),SUMINISTRO DE COMBUSTIBLE PARA EL PARQUE AUTOMOTOR DE LA ALCALDIA MUNICIPAL DE PAMPLONITA (NS),Presentación de oferta,01/29/2024,01/29/2024,,,,,01/29/2024,20000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),02/01/2024,02/01/2024,02/01/2024,Pamplonita,SECRETARIA DE PLANEACION E INFRAESTRUCTURA,0,0,1,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1844611,704161868,Norte de Santander,Pamplona,02/06/2024,20000000,Edgar Enrique Buitrago Cabeza,COOPERATIVA DE TRANSPORTADORES EL MOTILON COOPTMOTILON LTDA,8001520281,V1.15101506,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5537789,705003903,Adjudicado,2024,3.9155429850746266,,1,20000000,20.0,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,24.53924203646409,2.167686837975175e-10,4.907848407292819,4.591758251190186,398.94967570547806,25.53924203646409
8,83929,7732,12741,MUNICIPIO DE PAMPLONITA,890506116,NORTE DE SANTANDER,PAMPLONITA,Territorial,Centralizada,CO1.REQ.5645002,ISMC-PNITA-004-2024,705003903,CO1.BDOS.5527090,SUMINISTRO DE COMBUSTIBLE PARA EL PARQUE AUTOMOTOR DE LA ALCALDIA MUNICIPAL DE PAMPLONITA (NS),SUMINISTRO DE COMBUSTIBLE PARA EL PARQUE AUTOMOTOR DE LA ALCALDIA MUNICIPAL DE PAMPLONITA (NS),Presentación de oferta,01/29/2024,01/29/2024,,,,,01/29/2024,20000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),02/01/2024,02/01/2024,02/01/2024,Pamplonita,SECRETARIA DE PLANEACION E INFRAESTRUCTURA,0,0,1,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1844611,704161868,Norte de Santander,Pamplona,02/06/2024,20000000,Edgar Enrique Buitrago Cabeza,COOPERATIVA DE TRANSPORTADORES EL MOTILON COOPTMOTILON LTDA,8001520281,V1.15101506,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5537789,705003903,Adjudicado,2024,3.9155429850746266,,1,20000000,20.0,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,24.53924203646409,2.167686837975175e-10,4.907848407292819,4.591758251190186,398.94967570547806,25.53924203646409
9,34796,9388,15372,MUNICIPIO DE PAMPLONITA,890506116,NORTE DE SANTANDER,PAMPLONITA,Territorial,Centralizada,CO1.REQ.6266226,ISMC-PNITAL-015-2024,705003903,CO1.BDOS.6144301,MANTENIMIENTO CORRECTIVO Y PREVENTIVO AL VEHÍCULO AUTOMOTOR TIPO BUS PARA EL TRANSPORTE ESCOLAR CON EL FIN DE EVITAR LA DESERCION ESTUDIANTIL EN EL MUNICIPIO DE PAMPLONITA,MANTENIMIENTO CORRECTIVO Y PREVENTIVO AL VEHÍCULO AUTOMOTOR TIPO BUS PARA EL TRANSPORTE ESCOLAR CON EL FIN DE EVITAR LA DESERCION ESTUDIANTIL EN EL MUNICIPIO DE PAMPLONITA,Presentación de oferta,05/21/2024,05/21/2024,,,,,05/21/2024,24480000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),05/23/2024,05/23/2024,05/23/2024,Pamplonita,SECRETARIA DE PLANEACION E INFRAESTRUCTURA,0,0,3,0,2,0,0,2,0,Abierto,70,Si,CO1.AWD.1941916,726755374,Norte de Santander,Los Patios,,20073600,Edgar Enrique Buitrago Cabeza,JOSE LUIS VERA SOTO,13498484,V1.80111614,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6158470,705003903,Adjudicado,2024,3.9155429850746266,,1,24480000,24.48,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,30.26003225263205,6.454499541967705e-11,6.05200645052641,16.24678802490234,343.0442186948233,31.260032252632048
