,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,0,691281,9,16,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,PUTUMAYO,SAN MIGUEL,Territorial,Centralizada,CO1.REQ.6629903,SGG-CA-CD-010-2024,712452853,CO1.BDOS.6504223,PROCESO COMPETITIVO,"AUNAR ESFUERZOS ADMINISTRATIVOS, FINANCIEROS Y TÉCNICOS PARA OPTIMIZAR RECURSOS PÚBLICOS PARA EL SERVICIO DE ATENCIÓN Y PROTECCIÓN INTEGRAL A LOS ADULTOS MAYORES BENEFICIARIOS DEL CENTRO DE PROTECCIÓN Y CENTRO DIA DEL MUNICIPIO DE SAN MIGUEL, DEPARTAMENTO DE PUTUMAYO",Presentación de oferta,08/08/2024,08/08/2024,,,,,08/08/2024,270600000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),08/09/2024,08/09/2024,08/09/2024,San Miguel,ALCALDÍA SAN MIGUEL 2024,0,0,2,0,1,0,0,1,0,Seleccionado,70,No,No Adjudicado,727010837,Putumayo,San Miguel,,0,No Adjudicado,FUNDACION FRONTERA Y SELVA,900520874,V1.80111701,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6515658,712452853,Adjudicado,2024,3.9155429850746266,,1,270600000,270.6,V1.801,True,563.6598467139901,1103.5171793846016,431.8633575439452,1,-0.5199232274969787,0.6565624617112703,-74.84526356397657,-73.50387573242188,19749.45754783268,0.4800767725030212
1,1,87034,10837,17777,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,PUTUMAYO,SAN MIGUEL,Territorial,Centralizada,CO1.REQ.6371594,SGG-CA-CD-008-2024,712452853,CO1.BDOS.6248186,PROCESO COMPETITIVO (DECRETO 092 DE 2017).,"AUNAR ESFUERZOS ADMINISTRATIVOS, FINANCIEROS Y LOGÍSTICOS PARA EL DESARROLLO DEL PROYECTO  FORTALECIMIENTO DEL SECTOR TURISTICO, COMERCIAL Y AGROPECUARIO EN EL MARCO DE LA FERIA CAMPESINA, CULTURAL Y ARTESANAL DEL MUNICIPIO DE SAN MIGUEL PUTUMAYO",Presentación de oferta,06/12/2024,06/12/2024,,,,,06/12/2024,121000000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),06/13/2024,06/13/2024,06/13/2024,San Miguel,ALCALDÍA SAN MIGUEL 2024,0,0,2,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1952591,727010837,Putumayo,San Miguel,06/14/2024,121000000,LUCAS ANDRES ROSERO PAY,FUNDACION FRONTERA Y SELVA,900520874,V1.80111623,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6258499,712452853,Adjudicado,2024,3.9155429850746266,,1,121000000,121.0,V1.801,True,268.9740120404371,526.5896530061558,206.0817718505859,1,-0.5501424130826102,0.6614657257517053,-37.79144108607376,-62.97983932495117,7553.993326336095,0.4498575869173898
2,2,427300,5234,8637,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,PUTUMAYO,SAN MIGUEL,Territorial,Centralizada,CO1.REQ.6637817,SPOPM-CMA-001-2024,712452853,CO1.BDOS.6511577,INTERVENTORIA,"INTERVENTORÍA INTEGRAL, TÉCNICA, ADMINISTRATIVA, FINANCIERA, JURÍDICA Y AMBIENTAL, PARA PROYECTO  CONSTRUCCIÓN Y DOTACIÓN DE PLACA POLIDEPORTIVA CUBIERTA EN LA INSTITUCIÓN ETNOEDUCATIVA RURAL SAN MARCELINO, MUNICIPIO SAN MIGUEL, DEPARTAMENTO DEL PUTUMAYO , dentro del marco del convenio interadministrativo No  SG-0106-2024 suscrito entre la agencia de renovación del territorio y el municipio de San Miguel, cuyo objeto es Aunar esfuerzos técnicos, administrativos y financieros para la  Construcció",Presentación de observaciones,08/09/2024,08/09/2024,,,,08/09/2024,,360834228,Concurso de méritos abierto,Ley 1150 de 2007,otro,Mes(es),08/23/2024,08/23/2024,08/23/2024,San Miguel,SECRETARIA DE PLANEACION,0,0,32,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80101500,Cerrado,Interventoría,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6522729,712452853,Presentación de observaciones,2024,3.9155429850746266,,1,360834228,360.834228,V1.801,True,399.70335505510457,782.5278339984037,306.2436218261718,1,-0.09724493568423,0.7053571930370938,-9.926880436063913,-11.0142707824707,3939.236593481242,0.90275506431577
3,3,719375,2372,3874,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,PUTUMAYO,SAN MIGUEL,Territorial,Centralizada,CO1.REQ.5933318,MINC-017-2024,712452853,CO1.BDOS.5815798,SUMINISTRO CUMBUSTIBLE,SUMINISTRO DE COMBUSTIBLE PARA EL PARQUE AUTOMOTOR DEL BATALLON ESPECIAL ENERGETICO Y VIAL NUMERO 9 - GENERAL JOSE MARIA GAITAN- EN CUMPLIMIENTO A LAS DIFERENTES ESTRATEGIAS PLASMADAS EN EL PISCC DEL MUNICIPIO DE SAN MIGUEL DEPARTAMENTO DEL PUTUMAYO,Presentación de oferta,03/12/2024,03/12/2024,,,,,03/12/2024,24994560,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),03/14/2024,03/14/2024,03/14/2024,San Miguel,ALCALDÍA SAN MIGUEL 2024,0,0,1,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1877425,710034554,Putumayo,San Miguel,03/18/2024,24994560,LUCAS ANDRES ROSERO PAY,COOPERATIVA DE TRANSPORTE LA DORADA,846000045,V1.15101505,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5823032,712452853,Adjudicado,2024,3.9155429850746266,,1,24994560,24.99456,V1.151,True,36.7733428437045,71.99380230470568,28.17489910125732,1,-0.3203076449635582,0.7747477226521382,-3.008211859403202,-127.6053314208984,3181.4331638690296,0.679692355036442
4,4,767747,3793,6132,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,PUTUMAYO,SAN MIGUEL,Territorial,Centralizada,CO1.REQ.6719794,ALM-SA-SI-001-2024,712452853,CO1.BDOS.6593509,SUMINISTRO COMBUSTIBLE,SUMINISTRO DE COMBUSTIBLE PARA EL MANTENIMIENTO PERIÓDICO DE VÍAS URBANAS Y VÍAS TERCIARIAS MEDIANTE EL FUNCIONAMIENTO DEL BANCO DE MAQUINARIA EN EL MUNICIPIO DE SAN MIGUEL - PUTUMAYO,Presentación de observaciones,08/26/2024,08/26/2024,,,,08/26/2024,,114365960,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,Mes(es),09/05/2024,09/11/2024,09/11/2024,San Miguel,ALCALDÍA SAN MIGUEL 2024,0,0,3,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.15101505,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6603287,712452853,Presentación de observaciones,2024,3.9155429850746266,,1,114365960,114.36596,V1.151,True,627.8435401266206,1229.174184633605,481.0394439697266,1,-0.817843216198521,0.4518000060291207,-131.1382819915165,-27.80160903930664,3086.0242827749503,0.1821567838014789
5,5,455516,7799,13102,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,PUTUMAYO,SAN MIGUEL,Territorial,Centralizada,CO1.REQ.5561770,MINC-002-2024,712452853,CO1.BDOS.5442042,COMBUSTIBLE,SUMINISTRO DE COMBUSTIBLE PARA EL MANTENIMIENTO PERIÓDICO DE VÍAS URBANAS Y VÍAS TERCIARIAS MEDIANTE EL FUNCIONAMIENTO DEL BANCO DE MAQUINARIA EN EL MUNICIPIO DE SAN MIGUEL - PUTUMAYO,Presentación de oferta,01/18/2024,01/18/2024,,,,,01/18/2024,36399450,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),01/22/2024,01/22/2024,01/22/2024,San Miguel,ALCALDÍA SAN MIGUEL 2024,0,0,2,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1833002,710034554,Putumayo,San Miguel,01/24/2024,36303240,LUCAS ANDRES ROSERO PAY,COOPERATIVA DE TRANSPORTE LA DORADA,846000045,V1.15101505,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5458007,712452853,Adjudicado,2024,3.9155429850746266,,1,36399450,36.39945,V1.151,True,34.54463616208688,67.63050389820728,26.46731472015381,1,0.0536932515140741,0.5743340605671925,0.4737053953904589,-71.02255249023438,2587.136253064485,1.0536932515140742
6,6,205424,1578,2611,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,PUTUMAYO,SAN MIGUEL,Territorial,Centralizada,CO1.REQ.6695860,SPOPM-CMA-001-2024 (Presentación de oferta),712452853,CO1.BDOS.6511577,INTERVENTORIA (Presentación de oferta),"INTERVENTORÍA INTEGRAL, TÉCNICA, ADMINISTRATIVA, FINANCIERA, JURÍDICA Y AMBIENTAL, PARA PROYECTO  CONSTRUCCIÓN Y DOTACIÓN DE PLACA POLIDEPORTIVA CUBIERTA EN LA INSTITUCIÓN ETNOEDUCATIVA RURAL SAN MARCELINO, MUNICIPIO SAN MIGUEL, DEPARTAMENTO DEL PUTUMAYO , dentro del marco del convenio interadministrativo No  SG-0106-2024 suscrito entre la agencia de renovación del territorio y el municipio de San Miguel, cuyo objeto es Aunar esfuerzos técnicos, administrativos y financieros para la  Construcció",Presentación de oferta,08/20/2024,08/20/2024,,,,,08/20/2024,360834228,Concurso de méritos abierto,Ley 1150 de 2007,otro,Mes(es),08/27/2024,08/27/2024,08/27/2024,San Miguel,SECRETARIA DE PLANEACION,0,0,32,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.2021202,724446299,Putumayo,Villagarzón,09/06/2024,360834228,LUCAS ANDRES ROSERO PAY,ALCUBO INTEGRAL SAS,9014033709,V1.80101500,Cerrado,Interventoría,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6579496,712452853,Adjudicado,2024,3.9155429850746266,,1,360834228,360.834228,V1.801,True,399.70335505510457,782.5278339984037,306.2436218261718,1,-0.09724493568423,0.6978055430174663,-9.926880436063913,-7.216611862182617,2568.911268771778,0.90275506431577
7,7,674455,8919,14421,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,PUTUMAYO,SAN MIGUEL,Territorial,Centralizada,CO1.REQ.6560501,MINC-043-2024,712452853,CO1.BDOS.6435227,SUMINISTRO COMBUSTIBLE,SUMINISTRO DE COMBUSTIBLE PARA EL MANTENIMIENTO PERIÓDICO DE VÍAS URBANAS Y VÍAS TERCIARIAS MEDIANTE EL FUNCIONAMIENTO DEL BANCO DE MAQUINARIA EN EL MUNICIPIO DE SAN MIGUEL - PUTUMAYO,Presentación de oferta,07/24/2024,07/24/2024,,,,,07/24/2024,36303240,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),07/26/2024,07/26/2024,07/26/2024,San Miguel,ALCALDÍA SAN MIGUEL 2024,0,0,2,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1991002,710034554,Putumayo,San Miguel,07/30/2024,36303240,LUCAS ANDRES ROSERO PAY,COOPERATIVA DE TRANSPORTE LA DORADA,846000045,V1.15101505,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6444857,712452853,Adjudicado,2024,3.9155429850746266,,1,36303240,36.30324,V1.151,True,34.54463616208688,67.63050389820728,26.46731472015381,1,0.0509081592193234,0.6178784649156508,0.4491340906271777,-65.68496704101562,2386.425254004177,1.0509081592193237
8,8,536275,11611,19204,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,PUTUMAYO,SAN MIGUEL,Territorial,Centralizada,CO1.REQ.5976775,MINC-019-2024,712452853,CO1.BDOS.5859540,COMBUSTIBLE MAQUINARIA,SUMINISTRO DE COMBUSTIBLE PARA EL MANTENIMIENTO PERIÓDICO DE VÍAS URBANAS Y VÍAS TERCIARIAS MEDIANTE EL FUNCIONAMIENTO DEL BANCO DE MAQUINARIA EN EL MUNICIPIO DE SAN MIGUEL - PUTUMAYO,Presentación de oferta,03/19/2024,03/19/2024,,,,,03/19/2024,36303240,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),03/22/2024,03/22/2024,03/22/2024,San Miguel,ALCALDÍA SAN MIGUEL 2024,0,0,2,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1889506,710034554,Putumayo,San Miguel,04/02/2024,36303240,LUCAS ANDRES ROSERO PAY,COOPERATIVA DE TRANSPORTE LA DORADA,846000045,V1.15101505,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5866365,712452853,Adjudicado,2024,3.9155429850746266,,1,36303240,36.30324,V1.151,True,34.54463616208688,67.63050389820728,26.46731472015381,1,0.0509081592193234,0.5839630341861123,0.4491340906271777,-62.88043975830078,2284.611826973233,1.0509081592193237
9,9,599121,9969,16347,MUNICIPIO DE SAN MIGUEL PUTUMAYO,800252922,PUTUMAYO,SAN MIGUEL,Territorial,Centralizada,CO1.REQ.6829838,SPOPM-CMA-002-2024,712452853,CO1.BDOS.6702403,CONSULTORIA,"CONSULTORIA PARA LA REVISION GENERAL DEL ESQUEMA DE ORDENAMIENTO TERRITORIAL DEL MUNICIPIO DE SAN MIGUEL, PUTUMAYO , dentro del marco del convenio no. 1091 de 2024 celebrado entre el consorcio fondo Colombia en paz 2019, en su calidad de vocero y administrador del patrimonio autónomo fondo Colombia en paz y el municipio de san miguel, cuyo objeto es aunar esfuerzos para la revisión general del esquema de ordenamiento territorial del Municipio de San Miguel, Putumayo",Presentación de observaciones,09/12/2024,09/12/2024,,,,09/12/2024,,2424757440,Concurso de méritos abierto,Ley 1150 de 2007,otro,día(s),09/27/2024,09/27/2024,09/27/2024,San Miguel,ALCALDÍA SAN MIGUEL 2024,0,0,17,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.77101600,Cerrado,Consultoría,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6712007,712452853,Presentación de observaciones,2024,3.9155429850746266,,1,2424757440,2424.75744,V1.771,True,301.6191406958076,590.5013552578531,231.0937271118164,0,7.039136489833861,2.670663509134806e-06,542.2334290281651,6.109569549560547,2253.9743544057533,8.039136489833862
