,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,0,0,394434,10874,17721,MUNICIPIO  DE PIJAO,890001181,QUINDÍO,PIJAO,Territorial,Centralizada,CO1.REQ.5688439,CD-022-2024,705278018,CO1.BDOS.5569421,PRESTAR EL SERVICIO DE TRANSPORTE ESCOLAR A LOS NIÑOS NIÑAS Y JOVENES QUE SE ENCUENTREN MATRICULADOS Y QUE SE DESPLAZAN DE LAS VEREDAS HACIA LAS INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE PIJAO QUINDI,PRESTAR EL SERVICIO DE TRANSPORTE ESCOLAR A LOS NIÑOS NIÑAS Y JOVENES QUE SE ENCUENTREN MATRICULADOS Y QUE SE DESPLAZAN DE LAS VEREDAS HACIA LAS INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE PIJAO QUINDIO,Presentación de oferta,02/02/2024,02/02/2024,,,,,02/02/2024,160300495,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Pijao,UNIDAD ÚNICA DE CONTRATACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,705549814,Quindío,Pijao,,0,No Adjudicado,COOPERATIVA DE TRANSPORTADORES DE PIJAO Y BUENAVISTA COOTRANSPIBU,890001483,V1.78101803,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5579190,705278018,Adjudicado,2024,3.9155429850746266,,1,160300495,160.300495,V1.781,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,203.6976570185001,1.1090699704617791e-16,40.73953140370002,40.23288726806641,26203.483506055552,204.6976570185001
1,1,1,571063,7793,13010,MUNICIPIO  DE PIJAO,890001181,QUINDÍO,PIJAO,Territorial,Centralizada,CO1.REQ.5914551,SAMC-001-2024,705278018,CO1.BDOS.5797000,Seleccionar la compañía de seguros legalmente constituida y autorizada por la superintendencia financiera para operar en el país; con el fin de amparar los diferentes intereses aseguradles; bienes mue,"Seleccionar la compañía de seguros legalmente constituida y autorizada por la superintendencia financiera para operar en el país, con el fin de amparar los diferentes intereses aseguradles, bienes muebles e inmuebles de propiedad del Municipio de Pijao, seguro de vida para el Alcalde, Concejales y Personero del Municipio, y seguro estudiantil para los niños, niñas y jóvenes de las instituciones educativas del Municipio de Pijao.",Presentación de observaciones,03/08/2024,03/08/2024,,,,03/08/2024,,61719830,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),03/22/2024,03/26/2024,03/26/2024,Pijao,UNIDAD ÚNICA DE CONTRATACIÓN,0,0,9,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84131600,Cerrado,Seguros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5807233,705278018,Presentación de observaciones,2024,3.9155429850746266,,1,61719830,61.719830000000016,V1.841,True,245.70462405743496,481.033508564244,188.2532958984375,1,-0.7488047681773681,0.4780127060829467,-46.98832186461832,-30.04776954650879,1808.3271252946035,0.251195231822632
2,2,2,106244,4248,7034,MUNICIPIO  DE PIJAO,890001181,QUINDÍO,PIJAO,Territorial,Centralizada,CO1.REQ.5991690,SAMC-001-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),705278018,CO1.BDOS.5797000,Seleccionar la compañía de seguros legalmente constituida y autorizada por la superintendencia financiera para operar en el país; con el fin de amparar los diferentes intereses aseguradles; bienes mue,"Seleccionar la compañía de seguros legalmente constituida y autorizada por la superintendencia financiera para operar en el país, con el fin de amparar los diferentes intereses aseguradles, bienes muebles e inmuebles de propiedad del Municipio de Pijao, seguro de vida para el Alcalde, Concejales y Personero del Municipio, y seguro estudiantil para los niños, niñas y jóvenes de las instituciones educativas del Municipio de Pijao.",Presentación de oferta,03/21/2024,03/21/2024,,,,,03/21/2024,61719830,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),03/22/2024,03/26/2024,03/26/2024,Pijao,UNIDAD ÚNICA DE CONTRATACIÓN,1,1,9,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1886108,700306053,Distrito Capital de Bogotá,No Definido,04/03/2024,61144661,JAIRO EDUARDO OCHOA CANO,LA PREVISORA S.A. COMPAÑÍA DE SEGUROS,860002400,V1.84131600,Cerrado,Seguros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5880219,705278018,Adjudicado,2024,3.9155429850746266,,1,61719830,61.719830000000016,V1.841,True,245.70462405743496,481.033508564244,188.2532958984375,1,-0.7488047681773681,0.4946503564390526,-46.98832186461832,-21.95820808410645,1309.0407670605794,0.251195231822632
3,3,3,567150,3880,6529,MUNICIPIO  DE PIJAO,890001181,QUINDÍO,PIJAO,Territorial,Centralizada,CO1.REQ.6708810,CD-070-2024,705278018,CO1.BDOS.6582362,CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES,"PRESTACIÓN DE SERVICIOS PROFESIONALES DE CARÁCTER JURÍDICO EN LOS PROCEDIMIENTOS DE CONTRATACIÓN DIRECTA A CARGO DEL MUNICIPIO DE PIJAO, QUINDÍO",Presentación de oferta,08/23/2024,08/23/2024,,,,,08/23/2024,15283333,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Pijao,UNIDAD ÚNICA DE CONTRATACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,724526264,Quindío,Armenia,,0,No Adjudicado,LUISA FERNANDA PINEDA SILVA,1094916944,V1.80111620,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6598809,705278018,Adjudicado,2024,3.9155429850746266,,1,15283333,15.283333000000002,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,18.51623703054394,1.95515054255175e-09,3.703247406108789,-27.95131683349609,710.1790993995605,19.516237030543945
4,4,4,643281,3419,5648,MUNICIPIO  DE PIJAO,890001181,QUINDÍO,PIJAO,Territorial,Centralizada,CO1.REQ.6853064,CPS-116-2024,705278018,CO1.BDOS.6723929,CONTRATO DE PRESTACION DE SERVICIOS DE GESTION INTEGRAL DEL RIESGO CONTRA INCENDIO; ATENCIÓN DE RESCATES EN TODAS SUS MODALIDADES Y DESARROLLO DE CAMPAÑAS Y ESPACIOS DE CAPACITACIÓN A LA COMUNIDAD DEL,"CONTRATO DE PRESTACION DE SERVICIOS DE GESTION INTEGRAL DEL RIESGO CONTRA INCENDIO, ATENCIÓN DE RESCATES EN TODAS SUS MODALIDADES Y DESARROLLO DE CAMPAÑAS Y ESPACIOS DE CAPACITACIÓN A LA COMUNIDAD DEL MUNICIPIO DE PIJAO, QUINDIO",Presentación de oferta,09/17/2024,09/17/2024,,,,,09/17/2024,17200000,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,día(s),,,,Pijao,UNIDAD ÚNICA DE CONTRATACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,706398047,Quindío,Pijao,,0,No Adjudicado,CUERPO DE BOMBEROS VOLUNTARIOS DEL MUNICIPIO DE PIJAO - QUINDIO,800127617,V1.92101602,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6734993,705278018,Adjudicado,2024,3.9155429850746266,,1,17200000,17.2,V1.921,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,20.96374815135912,1.65698380456664e-09,4.192749630271823,-18.28061676025391,675.0030764797441,21.96374815135912
5,5,5,739149,9539,15775,MUNICIPIO  DE PIJAO,890001181,QUINDÍO,PIJAO,Territorial,Centralizada,CO1.REQ.5789070,CD-041-2024,705278018,CO1.BDOS.5672351,SOLUCIONES INTELIGENTES Y ASESORIAS EN SISTEMAS S.A.S,"PRESTACIÓN DE SERVICIOS PROFESIONALES EN EL MANTENIMIENTO, ACTUALIZACIÓN Y SOPORTE DEL SOFTWARE APLICATIVO INTEGRADO PUBLIFINANZAS EN LOS DIFERENTES PROCESOS ADELANTADOS POR LA SECRETARIA DE HACIENDA Y FINANZAS PÚBLICAS DE PIJAO, QUINDÍO",Presentación de oferta,02/17/2024,02/17/2024,,,,,02/17/2024,18564000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Pijao,UNIDAD ÚNICA DE CONTRATACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,706171345,Quindío,Armenia,,0,No Adjudicado,SOLUCIONES INTELIGENTES Y ASESORÍAS EN SISTEMAS,900445485,V1.80111620,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5680809,705278018,Adjudicado,2024,3.9155429850746266,,1,18564000,18.564,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,22.70552445824596,2.207544712142588e-10,4.541104891649193,-10.39688968658447,614.513216184632,23.705524458245964
6,6,6,636511,9198,15209,MUNICIPIO  DE PIJAO,890001181,QUINDÍO,PIJAO,Territorial,Centralizada,CO1.REQ.5970105,SAMC-001-2024 (Manifestación de interés (Menor Cuantía)),705278018,CO1.BDOS.5797000,Seleccionar la compañía de seguros legalmente constituida y autorizada por la superintendencia financiera para operar en el país; con el fin de amparar los diferentes intereses aseguradles; bienes mue,"Seleccionar la compañía de seguros legalmente constituida y autorizada por la superintendencia financiera para operar en el país, con el fin de amparar los diferentes intereses aseguradles, bienes muebles e inmuebles de propiedad del Municipio de Pijao, seguro de vida para el Alcalde, Concejales y Personero del Municipio, y seguro estudiantil para los niños, niñas y jóvenes de las instituciones educativas del Municipio de Pijao.",Manifestación de interés (Menor Cuantía),03/18/2024,03/18/2024,,,03/18/2024,,,61719830,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),03/22/2024,03/26/2024,03/26/2024,Pijao,UNIDAD ÚNICA DE CONTRATACIÓN,0,0,9,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84131600,Cerrado,Seguros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5859189,705278018,Manifestación de interés (Menor Cuantía),2024,3.9155429850746266,,1,61719830,61.719830000000016,V1.841,True,245.70462405743496,481.033508564244,188.2532958984375,1,-0.7488047681773681,0.4778457539375316,-46.98832186461832,-9.813345909118652,559.4619382469023,0.251195231822632
7,7,7,404626,8318,13617,MUNICIPIO  DE PIJAO,890001181,QUINDÍO,PIJAO,Territorial,Centralizada,CO1.REQ.6255052,CMIC-007-2024,705278018,CO1.BDOS.6133250,CONTRATAR LA CONSULTORÍA PARA REALIZAR EL ESTUDIO TÉCNICO DE REFERENCIA DE DETERMINACIÓN DE COSTOS POR LA PRESTACIÓN DEL SERVICIO DE ALUMBRADO PÚBLICO EN EL MUNICIPIO DE PIJAO; QUINDÍO; DE ACUERDO A L,"CONTRATAR LA CONSULTORÍA PARA REALIZAR EL ESTUDIO TÉCNICO DE REFERENCIA DE DETERMINACIÓN DE COSTOS POR LA PRESTACIÓN DEL SERVICIO DE ALUMBRADO PÚBLICO EN EL MUNICIPIO DE PIJAO, QUINDÍO, DE ACUERDO A LO ESTABLECIDO EN EL DECRETO 943 DE 2018 .",Presentación de oferta,05/17/2024,05/17/2024,,,,,05/17/2024,28900000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),05/22/2024,05/22/2024,05/23/2024,Pijao,UNIDAD ÚNICA DE CONTRATACIÓN,0,0,11,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1936535,726059298,Antioquia,Apartadó,05/27/2024,28000000,DOLLY MARIA,Sofonias Banguero Zapata,19380232,V1.81101516,Cerrado,Consultoría,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6142058,705278018,Adjudicado,2024,3.9155429850746266,,1,28900000,28.9,V1.811,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,35.90420474269061,2.323278319584879e-11,7.180840948538123,21.33131408691406,421.1565399519423,36.90420474269061
8,8,8,457254,9537,15965,MUNICIPIO  DE PIJAO,890001181,QUINDÍO,PIJAO,Territorial,Centralizada,CO1.REQ.5558101,CD-003-2024,705278018,CO1.BDOS.5440524,PRESTACIÓN DE SERVICIOS PROFESIONALES DE CARÁCTER JURÍDICO EN LOS PROCEDIMIENTOS CONTRACTUALES A CARGO DEL MUNICIPIO DE PIJAO QUINDÍO,PRESTACIÓN DE SERVICIOS PROFESIONALES DE CARÁCTER JURÍDICO EN LOS PROCEDIMIENTOS CONTRACTUALES A CARGO DEL MUNICIPIO DE PIJAO QUINDÍO,Presentación de oferta,01/17/2024,01/17/2024,,,,,01/17/2024,15000000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Pijao,UNIDAD ÚNICA DE CONTRATACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,703749168,Quindío,Armenia,,0,No Adjudicado,leidy jhoana martinez espinosa,41950471,V1.80111620,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5451283,705278018,Adjudicado,2024,3.9155429850746266,,1,15000000,15.0,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,18.15443152734807,2.928342843680429e-09,3.630886305469614,-0.0522811636328697,273.10069036471407,19.154431527348063
9,9,9,640378,516,867,MUNICIPIO  DE PIJAO,890001181,QUINDÍO,PIJAO,Territorial,Centralizada,CO1.REQ.5756948,CD-028-2024,705278018,CO1.BDOS.5635778,PRESTACIÓN DE SERVICIOS PROFESIONALES DE INGENIERIA CON ÉNFASIS EN TEMAS AMBIENTALES PARA APOYAR EN EL FORTALECIMIENTO DE LA SECRETARÍA DE PLANEACIÓN MEDIO AMBIENTE E INFRAESTRUCTURA EN LA PLANIFICAC,PRESTACIÓN DE SERVICIOS PROFESIONALES DE INGENIERIA CON ÉNFASIS EN TEMAS AMBIENTALES PARA APOYAR EN EL FORTALECIMIENTO DE LA SECRETARÍA DE PLANEACIÓN. MEDIO AMBIENTE E INFRAESTRUCTURA EN LA PLANIFICACIÓN. SEGUIMIENTO Y EVALUACIÓN DE LOS PROCESO MISIONALES DEL MUNICIPIO DE PIJAO QUINDIO,Presentación de oferta,02/13/2024,02/13/2024,,,,,02/13/2024,11000000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Pijao,UNIDAD ÚNICA DE CONTRATACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,723533972,Quindío,Pijao,,0,No Adjudicado,JUAN GABRIEL OSORIO LAISECA,1094970924,V1.80111620,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5651615,705278018,Adjudicado,2024,3.9155429850746266,,1,11000000,10.999999999999998,V1.801,True,85.02357438244206,166.45673011957086,65.14312934875488,1,-0.8706241171357815,0.3727123252239822,-18.90505982557391,-25.31743812561035,268.9149540932202,0.1293758828642185
