,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
235947,6522,10636,ASOCIACION DE MUNICIPIOS DE LA PROVINCIA DE VELEZ Y TERRITORIOS NACIONALES,900622272,SANTANDER,BARBOSA,Territorial,Centralizada,CO1.REQ.6236680,LP-0001-2024,712087139,CO1.BDOS.6115359,CONSERVACIÓN Y PROTECCIÓN DE ÁREAS ESTRATÉGICAS DE IMPORTANCIA HÍDRICA PARA EL MUNICIPIO DE VÉLEZ; SANTANDER,"CONSERVACIÓN Y PROTECCIÓN DE ÁREAS ESTRATÉGICAS DE IMPORTANCIA HÍDRICA PARA EL MUNICIPIO DE VÉLEZ, SANTANDER",Presentación de oferta,05/14/2024,05/14/2024,,,,,05/14/2024,393708994,Contratación régimen especial (con ofertas),Regla aplicable,otro,Mes(es),06/20/2024,06/20/2024,06/20/2024,Barbosa,UNIDAD UNICA DE CONTRATACION,0,0,67,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1960202,703107599,Santander,Barbosa,07/08/2024,385209264,FADUER ERNESTO MAYORGA TORRES,Fundación sociocultural para el desarrollo sostenible del medio ambiente,900529931,V1.77111600,Cerrado,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6124132,712087139,Adjudicado,2024,3.9155429850746266,,1,393708994,393.708994,V1.771,True,430.02168830364144,841.8842025336354,329.4728393554686,1,-0.0844438671149088,0.69013285737772,-9.273986888168295,-37.19276809692383,14609.881001543896,0.9155561328850912
554849,4424,7277,ALCALDIA MUNICIPAL DE BARBOSA SANTANDER,890206033,SANTANDER,BARBOSA,Territorial,Centralizada,CO1.REQ.5629312,CD-002-2024,703446047,CO1.BDOS.5511676,ASESORIA JURIDICA CONTRACTUAL,PRESTACION DE SERVICIOS PROFESIONALES ESPECIALIZADOS PARA BRINDAR ASESORIA JURIDICA EN EL AREA DE CONTRATACION ESTATAL AL ALCALDE MUNICIPAL Y LAS DIFERENTES DEPENDENCIAS DE LA ADMINISTRACION MUNICIPAL DE BARBOSA - SANTANDER,Presentación de oferta,01/26/2024,01/26/2024,,,,,01/26/2024,73449994,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Barbosa,JEDDE WANEZA TRIANA BALLESTEROS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,724788161,Santander,Barbosa,,0,No Adjudicado,JORGE EMILIO FLOREZ DIAZ,91522980,V1.80121700,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5521116,703446047,Adjudicado,2024,3.9155429850746266,,1,73449994,73.44999399999999,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,92.79285871714175,9.928445006671524e-15,18.55857174342835,4.3156418800354,6498.65104582216,93.79285871714174
266175,10523,17379,ESE HOSPITAL INTEGRADO SAN BERNARDO DE BARBOSA,890205456,SANTANDER,BARBOSA,Territorial,Centralizada,CO1.REQ.5483669,HISB-CD-030-2024,704331107,CO1.BDOS.5365694,Contrato de Suministro,SUMINISTRO DE MATERIAL MEDICO QUIRÚRGICO SEGÚN REQUERIMIENTO DE LA E.S.E. HOSPITAL INTEGRADO SAN BERNARDO DE BARBOSA SANTANDER.,Presentación de oferta,01/02/2024,01/02/2024,,,,,01/02/2024,70000000,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Barbosa,"HOSPITAL INTEGRADO SAN BERNARDO DE BARBOSA, SANTANDER",0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,715533261,Santander,Girón,,0,No Adjudicado,COOPERATIVA REGIONAL PARA LA INTEGRACIÓN Y EL DESARROLLO DE HOSPITALES E INSTITUCIONES DE SALUD PUBLICA DEL ORIENTE COLOMBIANO,900868176,V1.41122000,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5378804,704331107,Adjudicado,2024,3.9155429850746266,,1,70000000,69.99999999999999,V1.411,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,88.38734712762431,4.4875923132594463e-14,17.67746942552486,28.06159019470215,4222.80298530455,89.3873471276243
672368,6832,11019,ALCALDIA MUNICIPAL DE BARBOSA SANTANDER,890206033,SANTANDER,BARBOSA,Territorial,Centralizada,CO1.REQ.6329187,CD N° 061-2024,703446047,CO1.BDOS.6206078,AUNAR ESFUERZOS PARA LA ORGANIZACIÓN Y DESARROLLO DE ACTIVIDADES CULTURALES; ARTÍSTICAS; AGROINDUSTRIALES; AMBIENTALES; ECOLÓGICAS Y DEPORTIVAS; EN ESPECIAL EVENTO DE CILOMONTAÑISMO DENTRO DEL MARCO D,"AUNAR ESFUERZOS PARA LA ORGANIZACIÓN Y DESARROLLO DE ACTIVIDADES CULTURALES, ARTÍSTICAS, AGROINDUSTRIALES, AMBIENTALES, ECOLÓGICAS Y DEPORTIVAS, EN ESPECIAL EVENTO DE CILOMONTAÑISMO DENTRO DEL MARCO DEL FESTIVAL DEL JARDÍN EN EL MUNICIPIO DE BARBOSA SANTANDER 2024.",Presentación de oferta,06/01/2024,06/01/2024,,,,,06/01/2024,66000000,Contratación directa,Ejecución de trabajos artísticos,otro,día(s),,,,No Aplica,DESARROLLO SOCIOECONOMICO,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,726966013,Santander,Barbosa,,0,No Adjudicado,JUNTA DE ACCION COMUNAL INSPECCION DE POLICIA DE CITE,800023548,V1.80141902,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6214971,703446047,Adjudicado,2024,3.9155429850746266,,1,66000000,65.99999999999999,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,83.27949872033149,6.015518416059142e-14,16.6558997440663,26.93622207641602,3718.6562584984204,84.27949872033147
794091,4159,6852,ALCALDIA MUNICIPAL DE BARBOSA SANTANDER,890206033,SANTANDER,BARBOSA,Territorial,Centralizada,CO1.REQ.5491676,CD-CA-001-2024,703446047,CO1.BDOS.5373670,FESTIVAL DEL RIO SUAREZ VIGENCIA 2024,"AUNAR ESFUERZOS PARA LA ORGANIZACIÓN Y DESARROLLO DE LAS ACTIVIDADES CULTURALES, ARTÍSTICAS, DEPORTIVAS, AMBIENTALES Y ECOLÓGICAS DENTRO DEL MARCO DEL FESTIVAL NACIONAL DEL RIO EN EL MUNICIPIO DE BARBOSA, SANTANDER 2024",Presentación de oferta,01/04/2024,01/04/2024,,,,,01/04/2024,515247516,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,No Aplica,DESARROLLO SOCIOECONOMICO,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,718175375,Santander,Barrancabermeja,,0,No Adjudicado,FUNDACION PARA EL DESARROLLO DE LA EDUCACION LA CULTURA Y EL TURISMO SOSTENIBLE Y AMBIENTAL,900129234,V1.93141700,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5386037,703446047,Adjudicado,2024,3.9155429850746266,,1,515247516,515.2475160000002,V1.931,True,63.84225741907035,124.98855159428473,48.9144859313965,0,7.070634354575476,1.779979174518349e-06,115.2854815543103,0.1888232231140137,3545.8360910666693,8.070634354575477
720294,3291,5358,ESE HOSPITAL INTEGRADO SAN BERNARDO DE BARBOSA,890205456,SANTANDER,BARBOSA,Territorial,Centralizada,CO1.REQ.5483877,HISB-CD-029-2024,704331107,CO1.BDOS.5365361,Contrato de Suministro,SUMINISTRO DE PRODUCTOS FARMACÉUTICOS Y/O MEDICAMENTOS SEGÚN REQUERIMIENTO LA E.S.E. HOSPITAL INTEGRADO SAN BERNARDO DE BARBOSA SANTANDER.,Presentación de oferta,01/02/2024,01/02/2024,,,,,01/02/2024,60000000,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Barbosa,"HOSPITAL INTEGRADO SAN BERNARDO DE BARBOSA, SANTANDER",0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,715533261,Santander,Girón,,0,No Adjudicado,COOPERATIVA REGIONAL PARA LA INTEGRACIÓN Y EL DESARROLLO DE HOSPITALES E INSTITUCIONES DE SALUD PUBLICA DEL ORIENTE COLOMBIANO,900868176,V1.51121700,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5378189,704331107,Adjudicado,2024,3.9155429850746266,,1,60000000,59.99999999999997,V1.511,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,75.61772610939225,9.866254692994429e-14,15.12354522187845,18.39701461791992,3433.2426894883383,76.61772610939224
729739,129,215,ESE HOSPITAL INTEGRADO SAN BERNARDO DE BARBOSA,890205456,SANTANDER,BARBOSA,Territorial,Centralizada,CO1.REQ.5642511,HISB-CD-048-2024,704331107,CO1.BDOS.5525305,CONTRATO DE COMPRAVENTA,"DOTACIÓN DE EQUIPOS BIOMÉDICOS PARA LA ATENCIÓN DE
USUARIOS EN LA E.S.E HOSPITAL INTEGRADO SAN BERNARDO
DE BARBOSA, SANTANDER CON OCASIÓN DEL PROYECTO
APROBADO POR EL MINISTERIO DE SALUD Y PROTECCIÓN
SOCIAL SEGÚN RESOLUCION N° 01733 DE 2023",Presentación de oferta,01/29/2024,01/29/2024,,,,,01/29/2024,711017302,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Barbosa,"HOSPITAL INTEGRADO SAN BERNARDO DE BARBOSA, SANTANDER",0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,715533261,Santander,Girón,,0,No Adjudicado,COOPERATIVA REGIONAL PARA LA INTEGRACIÓN Y EL DESARROLLO DE HOSPITALES E INSTITUCIONES DE SALUD PUBLICA DEL ORIENTE COLOMBIANO,900868176,V1.80111600,Abierto,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5533962,704331107,Adjudicado,2024,3.9155429850746266,,1,711017302,711.0173019999999,V1.801,True,289.0199001047117,565.8349212009866,221.4404754638672,1,1.460098082320279,0.0138058949816807,107.7749378576277,-3.335296630859375,3409.6086109900607,2.460098082320279
39293,916,1539,ALCALDIA MUNICIPAL DE BARBOSA SANTANDER,890206033,SANTANDER,BARBOSA,Territorial,Centralizada,CO1.REQ.5489978,CD 001-2024,703446047,CO1.BDOS.5371982,FESTIVAL DEL RIO SUAREZ 2024,"AUNAR ESFUERZOS PARA LA ORGANIZACIÓN Y DESARROLLO DE LAS ACTIVIDADES CULTURALES, ARTÍSTICAS, DEPORTIVAS, AMBIENTALES Y ECOLÓGICAS DENTRO DEL MARCO DEL FESTIVAL NACIONAL DEL RIO EN EL MUNICIPIO DE BARBOSA, SANTANDER 2024",Presentación de oferta,01/03/2024,01/03/2024,,,,,01/03/2024,515247516,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,No Aplica,DESARROLLO SOCIOECONOMICO,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,702680117,Santander,Barrancabermeja,,0,No Adjudicado,FUNDACIÓN PARA EL DESARROLLO DE LA EDUCACIÓN SOSTENIBLE Y AMBIENTAL.,9001292347,V1.93141700,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5383970,703446047,Adjudicado,2024,3.9155429850746266,,1,515247516,515.2475160000002,V1.931,True,63.84225741907035,124.98855159428473,48.9144859313965,0,7.070634354575476,1.20665335198216e-06,115.2854815543103,1.786671280860901,2722.548848367161,8.070634354575477
271141,2811,4663,ALCALDIA MUNICIPAL DE BARBOSA SANTANDER,890206033,SANTANDER,BARBOSA,Territorial,Centralizada,CO1.REQ.6109930,CD Nº 043-2024,703446047,CO1.BDOS.5991034,PISCC,"PRESTACION DE SERVICIOS PROFESIONALES PARA LA ASESORIA, ACOMPAÑAMIENTO Y CAPACITACION A LA SECRETARIA GENERAL Y INTERIOR PARA LA ELABORACION DEL PLAN INTEGRAL DE SEGURIDAD Y CONVIVENCIA CIUDADANA DEL MUNICIPIO DE BARBOSA  SANTANDER",Presentación de oferta,04/18/2024,04/18/2024,,,,,04/18/2024,36000000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,Mes(es),,,,Barbosa,JEDDE WANEZA TRIANA BALLESTEROS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,715240685,Santander,San Gil,,0,No Adjudicado,SERVICIOS INTEGRADOS COOPERATIVA DE TRABAJO ASOCIADO,830130670,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5998643,703446047,Adjudicado,2024,3.9155429850746266,,1,36000000,36.0,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,44.97063566563537,3.107029115588348e-12,8.994127133127074,-2.004003524780273,1691.0870108549632,45.97063566563536
396134,12574,20558,ALCALDIA MUNICIPAL DE BARBOSA SANTANDER,890206033,SANTANDER,BARBOSA,Territorial,Centralizada,CO1.REQ.6067582,BSA-SAMC-01-2024,703446047,CO1.BDOS.5949255,PRESTACION DE SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO POR MONTO AGOTABLE A TODO COSTO INCLUYENDO MANO DE OBRA PARA VEHÍCULOS Y MAQUINARIA PESADA A CARGO O EN PROPIEDAD DEL MUNICIPIO DE BARB,PRESTACION DE SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO POR MONTO AGOTABLE A TODO COSTO INCLUYENDO MANO DE OBRA PARA VEHÍCULOS Y MAQUINARIA PESADA A CARGO O EN PROPIEDAD DEL MUNICIPIO DE BARBOSA SANTANDER,Presentación de observaciones,04/09/2024,04/09/2024,,,,04/09/2024,,200000000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,Mes(es),04/24/2024,04/24/2024,04/24/2024,Barbosa,OFICINA DE CONTRATACION,0,0,28,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.78181500,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5956918,703446047,Presentación de observaciones,2024,3.9155429850746266,,1,200000000,199.99999999999997,V1.781,True,221.81584468456666,434.26473731652897,169.9502563476562,1,-0.0983511557327652,0.7016629121409471,-5.571601376290573,-8.543938636779785,1689.117496209404,0.9016488442672348
