,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
49,49,E.S.E HOSPITAL SAN JUAN DE DIOS DEL MUNICIPIO DE GALAN SANTANDER,890201933,SANTANDER,GALÁN,Territorial,Centralizada,CO1.REQ.4223428,021-2023,704323914,CO1.BDOS.4126610,021-2023,PRESTACIÓN DE SERVICIOS COMO NUTRICIONISTA PARA DESARROLLAR ACTIVIDADES CONTEMPLADAS EN EL PLAN DE INTERVENCIONES COLECTIVAS PIC 2023 DE LA E.S.E HOSPITAL SAN JUAN DE DIOS DE GALAN,Presentación de oferta,03/06/2023,03/06/2023,,,,,03/06/2023,"8,200,000",Contratación régimen especial,Regla aplicable,285,día(s),,,,Galán,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111606,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4127844,"704,323,914",Presentación de oferta,2023,0.00432108451923077,,1,8200000,1.89767174502288,V1.801,True,0.2,0.000432108451923077,0.6,0,8.48835872511439,9.56849394354124e-05,0.006471566192307698,9.488358725114399
2073,2073,E.S.E HOSPITAL SAN JUAN DE DIOS DEL MUNICIPIO DE GALAN SANTANDER,890201933,SANTANDER,GALÁN,Territorial,Centralizada,CO1.REQ.5263740,052-2023,704323914,CO1.BDOS.5149225,052-2023,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN COMO AUXILIAR DE ENFERMERÍA  DE LA E.S.E HOSPITAL SAN JUAN DE DIOS DE GALÁN,Presentación de oferta,11/10/2023,11/10/2023,,,,,11/09/2023,"2,473,300",Contratación régimen especial,Regla aplicable,53,día(s),,,,Galán,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111606,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5160462,"704,323,914",Presentación de oferta,2023,0.00432108451923077,,1,2473300,0.572379454507937,V1.801,True,0.2,0.000432108451923077,0.6,1,1.86189727253969,0.0083279479535713,0.0007448661923076913,2.861897272539685
10037,10037,E.S.E HOSPITAL SAN JUAN DE DIOS DEL MUNICIPIO DE GALAN SANTANDER,890201933,SANTANDER,GALÁN,Territorial,Centralizada,CO1.REQ.3826633,008-2023,704323914,CO1.BDOS.3731028,008-2023,"PRESTACIÓN DE SERVICIOS PROFESIONALES PARA LA EJECUCIÓN DE
ACTIVIDADES DEL PROGRAMA DE AUDITORIA Y GESTION DE CALIDAD EN SALUD -
PAMEC, DE LA E.S.E HOSPITAL SAN JUAN DE DIOS DE GALÁN",Presentación de oferta,01/11/2023,01/11/2023,,,,,01/10/2023,"6,000,000",Contratación régimen especial,Regla aplicable,116,día(s),,,,Galán,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3735572,"704,323,914",Presentación de oferta,2023,0.00432108451923077,,1,6000000,1.38854030123625,V1.801,True,0.2,0.000432108451923077,0.6,0,5.94270150618126,0.0002996994879055,0.004271566192307682,6.94270150618125
15805,15805,EMPRESA DE SERVICIOS PUBLICOS DE GALAN,900259275,SANTANDER,GALÁN,Territorial,Centralizada,CO1.REQ.4624889,016-2023,704324227,CO1.BDOS.4521495,ADQUISICION DE ELEMENTOS DE PAPELERIA,"ADQUISICIÓN DE ELEMENTOS DE PAPELERÍA Y ÚTILES DE OFICINA PARA LA EMPRESA DE SERVICIOS PUBLICOS DE GALÁN - SEPGA S.A 
E.S.P",Presentación de oferta,06/06/2023,06/06/2023,,,,,06/05/2023,"1,710,000",Contratación régimen especial,Decreto 092 de 2017,1,Mes(es),,,,Galán,EQUIPO REGIMEN ESPECIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.14111606,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4527906,"704,324,227",Presentación de oferta,2023,0.00432108451923077,,1,1710000,0.395733985852332,V1.141,True,11.6853284835815,0.025246646006265194,35.0559854507446,1,-0.966134115407337,0.508644569288623,-0.09927658402506077,0.03386588459266327
20058,20058,E.S.E HOSPITAL SAN JUAN DE DIOS DEL MUNICIPIO DE GALAN SANTANDER,890201933,SANTANDER,GALÁN,Territorial,Centralizada,CO1.REQ.4002440,012-2023,704323914,CO1.BDOS.3906368,012-2023,SUMINISTRO DE COMBUSTIBLE PARA LA OPERACIÓN Y FUNCIONAMIENTO DE LAS AMBULANCIAS DE LA E.S.E. HOSPITAL SAN JUAN DE DIOS DE GALÁN,Presentación de oferta,02/02/2023,02/02/2023,,,,,02/02/2023,"7,500,000",Contratación régimen especial,Regla aplicable,330,día(s),,,,Galán,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.15101500,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3908402,"704,323,914",Presentación de oferta,2023,0.00432108451923077,,1,7500000,1.73567537654532,V1.151,True,290.720916748047,0.6281148263882816,872.162750244141,1,-0.99402975404742,0.476957799891313,-2.5049593055531263,0.005970245952579812
20641,20641,E.S.E HOSPITAL SAN JUAN DE DIOS DEL MUNICIPIO DE GALAN SANTANDER,890201933,SANTANDER,GALÁN,Territorial,Centralizada,CO1.REQ.3826751,009-2023,704323914,CO1.BDOS.3731030,009-2023,"PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN DE FACTURACION
PARA EL RECAUDO DE CARTERA, CONCILIACIONES DE GLOSAS DEFINITIVAS Y/O
DEVOLUCIONES, GENERADAS POR LAS DIFERENTES ENTIDADES RESPONSABLES A
FAVOR DE LA E.S.E HOSPITAL SAN JUAN DE DIOS DE GALÁN",Presentación de oferta,01/11/2023,01/11/2023,,,,,01/10/2023,"7,600,000",Contratación régimen especial,Regla aplicable,116,día(s),,,,Galán,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111607,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3735381,"704,323,914",Presentación de oferta,2023,0.00432108451923077,,1,7600000,1.75881771489925,V1.801,True,0.2,0.000432108451923077,0.6,0,7.79408857449627,0.0001261551377445,0.005871566192307679,8.79408857449625
20985,20985,E.S.E HOSPITAL SAN JUAN DE DIOS DEL MUNICIPIO DE GALAN SANTANDER,890201933,SANTANDER,GALÁN,Territorial,Centralizada,CO1.REQ.5049405,049-2023,704323914,CO1.BDOS.4939312,049-2023,PRESTACION DE SERVICIOS DE APOYO A LA GESTION COMO AUXILIAR DE ENFERMERIA PARA PERIODO VACACIONAL DE TRABAJADORA DE LA E.S.E HOSPITAL SAN JUAN DE DIOS DE GALAN,Presentación de oferta,09/12/2023,09/12/2023,,,,,09/12/2023,"2,800,000",Contratación régimen especial,Regla aplicable,2,Mes(es),,,,Galán,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111606,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4948282,"704,323,914",Presentación de oferta,2023,0.00432108451923077,,1,2800000,0.647985473910251,V1.801,True,0.2,0.000432108451923077,0.6,0,2.23992736955126,0.0051928697862886,0.0010715661923076912,3.2399273695512547
23256,23256,EMPRESA DE SERVICIOS PUBLICOS DE GALAN,900259275,SANTANDER,GALÁN,Territorial,Centralizada,CO1.REQ.4799550,020-2023,704324227,CO1.BDOS.4693746,SUMINISTRO DE QUIMICOS PARA EL PROCESO DE POTABILIZACIÓN DE AGUA DE LA EMPRESA DE SERVICIOS PÚBLICOS DE GALÁN - SEPGA S.A.-E.S.P,SUMINISTRO DE QUIMICOS PARA EL PROCESO DE POTABILIZACIÓN DE AGUA DE LA EMPRESA DE SERVICIOS PÚBLICOS DE GALÁN - SEPGA S.A.-E.S.P,Presentación de oferta,07/06/2023,07/06/2023,,,,,07/06/2023,"4,339,930",Contratación régimen especial,Decreto 092 de 2017,5,Mes(es),,,,Galán,EQUIPO REGIMEN ESPECIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.60104201,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4700542,"704,324,227",Presentación de oferta,2023,0.00432108451923077,,1,4339930,1.00436128492404,V1.601,True,8.1261510848999,0.01755689282694564,24.3784532546997,1,-0.876403813511374,0.615258841716335,-0.06588764130778257,0.12359618648862616
34733,34733,E.S.E HOSPITAL SAN JUAN DE DIOS DEL MUNICIPIO DE GALAN SANTANDER,890201933,SANTANDER,GALÁN,Territorial,Centralizada,CO1.REQ.4482357,031-2023,704323914,CO1.BDOS.4381663,031-2023,PRESTACIÓN DE SERVICIOS PROFESIONALES DE ENFERMERÍA EN LA E.S.E HOSPITAL SAN JUAN DE DIOS DE GALÁN,Presentación de oferta,05/08/2023,05/08/2023,,,,,05/08/2023,"18,400,000",Contratación régimen especial,Regla aplicable,239,día(s),,,,Galán,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111605,Abierto,Prestación de servicios,No Definido,V180111606,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4384172,"704,323,914",Presentación de oferta,2023,0.00432108451923077,,1,18400000,4.25819025712451,V1.801,True,0.2,0.000432108451923077,0.6,0,20.2909512856225,5.254962845956e-06,0.016671566192307703,21.290951285622548
70920,70920,EMPRESA DE SERVICIOS PUBLICOS DE GALAN,900259275,SANTANDER,GALÁN,Territorial,Centralizada,CO1.REQ.4539187,012-2023,704324227,CO1.BDOS.4437573,PRESTACION DE SERVICIOS PROFESIONALES,PRESTACION DE SERVICIOS PROFESIONALES DE ASESORIA CONTABLE EXTERNA PARA LA EMPRESA DE SERVICIOS PUBLICOS DE GALAN- SEPGA S.A E.S.P,Presentación de oferta,05/18/2023,05/18/2023,,,,,05/18/2023,"12,000,000",Contratación régimen especial,Decreto 092 de 2017,230,día(s),,,,Galán,EQUIPO REGIMEN ESPECIAL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111605,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4440981,"704,324,227",Presentación de oferta,2023,0.00432108451923077,,1,12000000,2.7770806024725,V1.801,True,21.2776222229004,0.04597120199670776,63.8328666687012,1,-0.869483508383581,0.623561128283521,-0.17188480798683106,0.13051649161641848
