,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
596695,7543,12354,ESE HOSPITAL SAN JUAN DE DIOS DE LEBRIJA,890203436,SANTANDER,LEBRÍJA,Territorial,Centralizada,CO1.REQ.6268406,Convocatoria Publica No. 003 - 2024,704323765,CO1.BDOS.6146209,Convocatoria Publica No. 003 - 2024,"CONFORMAR UNA ALIANZA ESTRATÉGICA PARA LA PRESTACIÓN DE SERVICIOS DE SALUD EN LA EJECUCIÓN DE PROCESOS, SUBPROCESOS Y PROCEDIMIENTOS EN LOS SERVICIOS DE CONSULTA EXTERNA AMBULATORIA, PROMOCIÓN Y MANTENIMIENTO DE LA SALUD, URGENCIAS,ASIGNACIÓN DE CITAS Y APOYO ADMINISTRATIVO DEL PRIMER NIVEL DE COMPLEJIDAD INSTITUCIONAL, EN LOS ASUNTOS RELACIONADOS CON LA PRESTACIÓN DEL SERVICIO ASISTENCIAL BÁSICO EN SALUD Y ATENCIÓN A LA POBLACIÓN POBRE NO ASEGURADA EN LA ESE HOSPITAL SAN JUAN DE DIOS DE LEBRIJA",Presentación de oferta,05/21/2024,05/21/2024,,,,,05/21/2024,2169068090,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),05/24/2024,05/24/2024,05/24/2024,Lebríja,CONTRATACION,0,0,5,0,1,0,0,1,0,Abierto,60,Si,CO1.AWD.1939802,722562097,Santander,Bucaramanga,,2158635514,CIRO ALFONSO RINCON SERRANO,VIVA SALUD IPS S.A.S BIC,804011481,V1.85121900,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6155131,704323765,Adjudicado,2024,3.9155429850746266,,1,2169068090,2169.06809,V1.851,True,1366.9107028081273,2676.0988068018955,1047.2958984375,1,0.5868396417878304,0.1828742180614379,204.8649166283088,-53.04987335205078,116341.68260742372,1.5868396417878303
596694,7542,12353,ESE HOSPITAL SAN JUAN DE DIOS DE LEBRIJA,890203436,SANTANDER,LEBRÍJA,Territorial,Centralizada,CO1.REQ.6268406,Convocatoria Publica No. 003 - 2024,704323765,CO1.BDOS.6146209,Convocatoria Publica No. 003 - 2024,"CONFORMAR UNA ALIANZA ESTRATÉGICA PARA LA PRESTACIÓN DE SERVICIOS DE SALUD EN LA EJECUCIÓN DE PROCESOS, SUBPROCESOS Y PROCEDIMIENTOS EN LOS SERVICIOS DE CONSULTA EXTERNA AMBULATORIA, PROMOCIÓN Y MANTENIMIENTO DE LA SALUD, URGENCIAS,ASIGNACIÓN DE CITAS Y APOYO ADMINISTRATIVO DEL PRIMER NIVEL DE COMPLEJIDAD INSTITUCIONAL, EN LOS ASUNTOS RELACIONADOS CON LA PRESTACIÓN DEL SERVICIO ASISTENCIAL BÁSICO EN SALUD Y ATENCIÓN A LA POBLACIÓN POBRE NO ASEGURADA EN LA ESE HOSPITAL SAN JUAN DE DIOS DE LEBRIJA",Presentación de oferta,05/21/2024,05/21/2024,,,,,05/21/2024,2169068090,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),05/24/2024,05/24/2024,05/24/2024,Lebríja,CONTRATACION,0,0,5,0,1,0,0,1,0,Abierto,60,Si,CO1.AWD.1939802,722562097,Santander,Bucaramanga,,2158635514,CIRO ALFONSO RINCON SERRANO,VIVA SALUD IPS S.A.S BIC,804011481,V1.85121900,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6155131,704323765,Adjudicado,2024,3.9155429850746266,,1,2169068090,2169.06809,V1.851,True,1366.9107028081273,2676.0988068018955,1047.2958984375,1,0.5868396417878304,0.1828742180614379,204.8649166283088,-53.04987335205078,116341.68260742372,1.5868396417878303
195586,4692,7783,ESE HOSPITAL SAN JUAN DE DIOS DE LEBRIJA,890203436,SANTANDER,LEBRÍJA,Territorial,Centralizada,CO1.REQ.6268406,Convocatoria Publica No. 003 - 2024,704323765,CO1.BDOS.6146209,Convocatoria Publica No. 003 - 2024,"CONFORMAR UNA ALIANZA ESTRATÉGICA PARA LA PRESTACIÓN DE SERVICIOS DE SALUD EN LA EJECUCIÓN DE PROCESOS, SUBPROCESOS Y PROCEDIMIENTOS EN LOS SERVICIOS DE CONSULTA EXTERNA AMBULATORIA, PROMOCIÓN Y MANTENIMIENTO DE LA SALUD, URGENCIAS,ASIGNACIÓN DE CITAS Y APOYO ADMINISTRATIVO DEL PRIMER NIVEL DE COMPLEJIDAD INSTITUCIONAL, EN LOS ASUNTOS RELACIONADOS CON LA PRESTACIÓN DEL SERVICIO ASISTENCIAL BÁSICO EN SALUD Y ATENCIÓN A LA POBLACIÓN POBRE NO ASEGURADA EN LA ESE HOSPITAL SAN JUAN DE DIOS DE LEBRIJA",Presentación de oferta,05/21/2024,05/21/2024,,,,,05/21/2024,2169068090,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),05/24/2024,05/24/2024,05/24/2024,Lebríja,CONTRATACION,0,0,5,0,1,0,0,1,0,Abierto,60,Si,CO1.AWD.1939608,722562097,Santander,Bucaramanga,,2158635514,CIRO ALFONSO RINCON SERRANO,VIVA SALUD IPS S.A.S BIC,804011481,V1.85121900,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6155131,704323765,Adjudicado,2024,3.9155429850746266,,1,2169068090,2169.06809,V1.851,True,1366.9107028081273,2676.0988068018955,1047.2958984375,1,0.5868396417878304,0.1685586615896979,204.8649166283088,-47.8454704284668,105052.97829837499,1.5868396417878303
195587,4693,7784,ESE HOSPITAL SAN JUAN DE DIOS DE LEBRIJA,890203436,SANTANDER,LEBRÍJA,Territorial,Centralizada,CO1.REQ.6268406,Convocatoria Publica No. 003 - 2024,704323765,CO1.BDOS.6146209,Convocatoria Publica No. 003 - 2024,"CONFORMAR UNA ALIANZA ESTRATÉGICA PARA LA PRESTACIÓN DE SERVICIOS DE SALUD EN LA EJECUCIÓN DE PROCESOS, SUBPROCESOS Y PROCEDIMIENTOS EN LOS SERVICIOS DE CONSULTA EXTERNA AMBULATORIA, PROMOCIÓN Y MANTENIMIENTO DE LA SALUD, URGENCIAS,ASIGNACIÓN DE CITAS Y APOYO ADMINISTRATIVO DEL PRIMER NIVEL DE COMPLEJIDAD INSTITUCIONAL, EN LOS ASUNTOS RELACIONADOS CON LA PRESTACIÓN DEL SERVICIO ASISTENCIAL BÁSICO EN SALUD Y ATENCIÓN A LA POBLACIÓN POBRE NO ASEGURADA EN LA ESE HOSPITAL SAN JUAN DE DIOS DE LEBRIJA",Presentación de oferta,05/21/2024,05/21/2024,,,,,05/21/2024,2169068090,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,Mes(es),05/24/2024,05/24/2024,05/24/2024,Lebríja,CONTRATACION,0,0,5,0,1,0,0,1,0,Abierto,60,Si,CO1.AWD.1939608,722562097,Santander,Bucaramanga,,2158635514,CIRO ALFONSO RINCON SERRANO,VIVA SALUD IPS S.A.S BIC,804011481,V1.85121900,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6155131,704323765,Adjudicado,2024,3.9155429850746266,,1,2169068090,2169.06809,V1.851,True,1366.9107028081273,2676.0988068018955,1047.2958984375,1,0.5868396417878304,0.1685586615896979,204.8649166283088,-47.8454704284668,105052.97829837499,1.5868396417878303
19374,6573,10924,MUNICIPIO DE LEBRIJA,890206110,SANTANDER,LEBRÍJA,Territorial,Centralizada,CO1.REQ.6218784,ESAL-DSE-003-2024,703037325,CO1.BDOS.6091722,Convenio de asociación Centro Vida,AUNAR ESFUERZOS PARA FORTALECER EL PROGRAMA ADULTO MAYOR A TRAVÉS DE LA MODALIDAD CENTRO VIDA DE BIENESTAR DEL ADULTO MAYOR PARA LA ATENCIÓN INTEGRAL A LOS PERSONAS MAYORES DEL MUNICIPIO DE LEBRIJA,Presentación de oferta,05/09/2024,05/09/2024,,,,,05/09/2024,805282500,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),05/15/2024,05/15/2024,05/15/2024,Lebríja,Secretaría de Desarrollo Social y Económico,0,0,9,0,3,0,0,3,3,Seleccionado,70,Si,CO1.AWD.1929489,702547811,Santander,Bucaramanga,05/20/2024,248325000,LAURA VIVIANA SANCHEZ PARRA,fundacion centro dia teresa de jesus,9006329319,V1.93141506,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6106669,703037325,Adjudicado,2024,3.9155429850746266,,1,805282500,805.2824999999997,V1.931,True,450.64995483543044,882.2696346900335,345.2777481079101,1,0.7869357166452506,0.0913798464818586,90.5704640496522,-43.05011367797852,35301.208729126105,1.7869357166452506
353803,9034,14869,MUNICIPIO DE LEBRIJA,890206110,SANTANDER,LEBRÍJA,Territorial,Centralizada,CO1.REQ.6218784,ESAL-DSE-003-2024,703037325,CO1.BDOS.6091722,Convenio de asociación Centro Vida,AUNAR ESFUERZOS PARA FORTALECER EL PROGRAMA ADULTO MAYOR A TRAVÉS DE LA MODALIDAD CENTRO VIDA DE BIENESTAR DEL ADULTO MAYOR PARA LA ATENCIÓN INTEGRAL A LOS PERSONAS MAYORES DEL MUNICIPIO DE LEBRIJA,Presentación de oferta,05/09/2024,05/09/2024,,,,,05/09/2024,805282500,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),05/15/2024,05/15/2024,05/15/2024,Lebríja,Secretaría de Desarrollo Social y Económico,0,0,9,0,3,0,0,3,3,Seleccionado,70,Si,CO1.AWD.1929584,702409889,Santander,Lebríja,05/20/2024,273157500,LAURA VIVIANA SANCHEZ PARRA,FUNDOSLUNAS,900947412,V1.93141506,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6106669,703037325,Adjudicado,2024,3.9155429850746266,,1,805282500,805.2824999999997,V1.931,True,450.64995483543044,882.2696346900335,345.2777481079101,1,0.7869357166452506,0.0998687924430561,90.5704640496522,-36.15102005004883,29745.489364692814,1.7869357166452506
622911,8078,13332,MUNICIPIO DE LEBRIJA,890206110,SANTANDER,LEBRÍJA,Territorial,Centralizada,CO1.REQ.6218784,ESAL-DSE-003-2024,703037325,CO1.BDOS.6091722,Convenio de asociación Centro Vida,AUNAR ESFUERZOS PARA FORTALECER EL PROGRAMA ADULTO MAYOR A TRAVÉS DE LA MODALIDAD CENTRO VIDA DE BIENESTAR DEL ADULTO MAYOR PARA LA ATENCIÓN INTEGRAL A LOS PERSONAS MAYORES DEL MUNICIPIO DE LEBRIJA,Presentación de oferta,05/09/2024,05/09/2024,,,,,05/09/2024,805282500,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),05/15/2024,05/15/2024,05/15/2024,Lebríja,Secretaría de Desarrollo Social y Económico,0,0,9,0,3,0,0,3,3,Seleccionado,70,Si,CO1.AWD.1929489,702409889,Santander,Lebríja,05/20/2024,248325000,LAURA VIVIANA SANCHEZ PARRA,FUNDOSLUNAS,900947412,V1.93141506,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6106669,703037325,Adjudicado,2024,3.9155429850746266,,1,805282500,805.2824999999997,V1.931,True,450.64995483543044,882.2696346900335,345.2777481079101,1,0.7869357166452506,0.0994842145057987,90.5704640496522,-34.67689514160156,28558.40237310613,1.7869357166452506
464764,4406,7351,MUNICIPIO DE LEBRIJA,890206110,SANTANDER,LEBRÍJA,Territorial,Centralizada,CO1.REQ.6218784,ESAL-DSE-003-2024,703037325,CO1.BDOS.6091722,Convenio de asociación Centro Vida,AUNAR ESFUERZOS PARA FORTALECER EL PROGRAMA ADULTO MAYOR A TRAVÉS DE LA MODALIDAD CENTRO VIDA DE BIENESTAR DEL ADULTO MAYOR PARA LA ATENCIÓN INTEGRAL A LOS PERSONAS MAYORES DEL MUNICIPIO DE LEBRIJA,Presentación de oferta,05/09/2024,05/09/2024,,,,,05/09/2024,805282500,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),05/15/2024,05/15/2024,05/15/2024,Lebríja,Secretaría de Desarrollo Social y Económico,0,0,9,0,3,0,0,3,3,Seleccionado,70,Si,CO1.AWD.1929584,702547811,Santander,Bucaramanga,05/20/2024,273157500,LAURA VIVIANA SANCHEZ PARRA,fundacion centro dia teresa de jesus,9006329319,V1.93141506,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6106669,703037325,Adjudicado,2024,3.9155429850746266,,1,805282500,805.2824999999997,V1.931,True,450.64995483543044,882.2696346900335,345.2777481079101,1,0.7869357166452506,0.1031107223170583,90.5704640496522,-30.38552093505859,25102.63382362569,1.7869357166452506
101932,12662,20876,MUNICIPIO DE LEBRIJA,890206110,SANTANDER,LEBRÍJA,Territorial,Centralizada,CO1.REQ.6299600,ESAL-DSE-004-2024,703037325,CO1.BDOS.6177802,Convenio de asociación centro vida lote 3,AUNAR ESFUERZOS PARA FORTALECER EL PROGRAMA ADULTO MAYOR A TRAVÉS DE LA MODALIDAD CENTRO VIDA DE BIENESTAR DEL ADULTO MAYOR PARA LA ATENCIÓN INTEGRAL A LOS PERSONAS MAYORES DEL MUNICIPIO DE LEBRIJA,Presentación de oferta,05/27/2024,05/27/2024,,,,,05/27/2024,283800000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),05/29/2024,05/29/2024,05/29/2024,Lebríja,Secretaría de Desarrollo Social y Económico,0,0,3,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1940534,703150490,Santander,Lebríja,05/30/2024,283800000,LAURA VIVIANA SANCHEZ PARRA,FUNDACION CASA DE ABUELOS SANTA ANA,890209034,V1.93141506,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6186107,703037325,Adjudicado,2024,3.9155429850746266,,1,283800000,283.79999999999995,V1.931,True,450.64995483543044,882.2696346900335,345.2777481079101,1,-0.3702429192439644,0.7570035082748698,-42.61221380315162,-46.53325653076172,13101.063262948737,0.6297570807560355
101933,12663,20877,MUNICIPIO DE LEBRIJA,890206110,SANTANDER,LEBRÍJA,Territorial,Centralizada,CO1.REQ.6299600,ESAL-DSE-004-2024,703037325,CO1.BDOS.6177802,Convenio de asociación centro vida lote 3,AUNAR ESFUERZOS PARA FORTALECER EL PROGRAMA ADULTO MAYOR A TRAVÉS DE LA MODALIDAD CENTRO VIDA DE BIENESTAR DEL ADULTO MAYOR PARA LA ATENCIÓN INTEGRAL A LOS PERSONAS MAYORES DEL MUNICIPIO DE LEBRIJA,Presentación de oferta,05/27/2024,05/27/2024,,,,,05/27/2024,283800000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),05/29/2024,05/29/2024,05/29/2024,Lebríja,Secretaría de Desarrollo Social y Económico,0,0,3,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1940534,703150490,Santander,Lebríja,05/30/2024,283800000,LAURA VIVIANA SANCHEZ PARRA,FUNDACION CASA DE ABUELOS SANTA ANA,890209034,V1.93141506,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6186107,703037325,Adjudicado,2024,3.9155429850746266,,1,283800000,283.79999999999995,V1.931,True,450.64995483543044,882.2696346900335,345.2777481079101,1,-0.3702429192439644,0.7570035082748698,-42.61221380315162,-46.53325653076172,13101.063262948737,0.6297570807560355
