,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
15053,15053,ESE CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA,804005182,SANTANDER,VILLANUEVA,Territorial,Centralizada,CO1.REQ.4808717,123-2023,704324359,CO1.BDOS.4702487,CONTRATO DE PRESTACION DE SERVICIOS COMO AUXILIAR DE ENFERMERIA PARA LA REALIZACION DE ACTIVIDADES DE PREVENCIÓN Y PROMOCIÓN A REALIZAR POR PARTE DE LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEV,No definido,Presentación de oferta,07/07/2023,07/07/2023,,,,,07/07/2023,"6,200,000",Contratación régimen especial,Decreto 092 de 2017,4,Mes(es),,,,Villanueva,AREA JURIDICA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4709466,"704,324,359",Presentación de oferta,2023,0.00432108451923077,,1,6200000,1.43482497794413,V1.801,True,1.20341956615448,0.002600038828724766,3.61025869846344,1,0.192289886501598,0.19845831435027,-0.0042001553148990544,1.1922898865016003
21656,21656,ESE CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA,804005182,SANTANDER,VILLANUEVA,Territorial,Centralizada,CO1.REQ.4803285,107-2023,704324359,CO1.BDOS.4697832,CONTRATO INDIVIDUAL DE TRABAJO COMO AUXILIAR DE FACTURACIÓN EN LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA SANTANDER.,CONTRATO INDIVIDUAL DE TRABAJO COMO AUXILIAR DE FACTURACIÓN EN LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA SANTANDER.,Presentación de oferta,07/06/2023,07/06/2023,,,,,07/06/2023,"5,564,000",Contratación régimen especial,Decreto 092 de 2017,4,Mes(es),,,,Villanueva,AREA JURIDICA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4703760,"704,324,359",Presentación de oferta,2023,0.00432108451923077,,1,5564000,1.28763970601309,V1.801,True,13.7358093261719,0.029676796519213514,41.2074279785156,1,-0.906256728275949,0.579377769342503,-0.11314318607685404,0.09374327172405127
26858,26858,ESE CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA,804005182,SANTANDER,VILLANUEVA,Territorial,Centralizada,CO1.REQ.4748822,102-2023,704324359,CO1.BDOS.4642983,PRESTACIÓN DE SERVICIOS DE PUBLICIDAD TELEVISIVA PARA LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA.,PRESTACIÓN DE SERVICIOS DE PUBLICIDAD TELEVISIVA PARA LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA.,Presentación de oferta,06/27/2023,06/27/2023,,,,,06/27/2023,"1,440,000",Contratación régimen especial,Decreto 092 de 2017,188,día(s),,,,Villanueva,AREA JURIDICA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.82101602,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4650210,"704,324,359",Presentación de oferta,2023,0.00432108451923077,,1,1440000,0.3332496722967,V1.821,True,0.2,0.000432108451923077,0.6,1,0.666248361483503,0.0637572902645106,-0.00028843380769231054,1.6662483614835
36305,36305,ESE CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA,804005182,SANTANDER,VILLANUEVA,Territorial,Centralizada,CO1.REQ.5257608,171-2023,704324359,CO1.BDOS.5142731,CONTRATO INDIVIDUAL DE TRABAJO PARA DESARROLLAR LABORES DE SERVICIOS GENERALES EN LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA SANTANDER.,CONTRATO INDIVIDUAL DE TRABAJO PARA DESARROLLAR LABORES DE SERVICIOS GENERALES EN LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA SANTANDER.,Presentación de oferta,11/08/2023,11/08/2023,,,,,11/08/2023,"2,400,000",Contratación régimen especial,Decreto 092 de 2017,2,Mes(es),,,,Villanueva,AREA JURIDICA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5153974,"704,324,359",Presentación de oferta,2023,0.00432108451923077,,1,2400000,0.555416120494501,V1.801,True,0.2,0.000432108451923077,0.6,1,1.77708060247251,0.0093397604912811,0.000671566192307692,2.7770806024725045
50863,50863,ESE CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA,804005182,SANTANDER,VILLANUEVA,Territorial,Centralizada,CO1.REQ.4057156,055-2023,704324359,CO1.BDOS.3961448,SUMINISTRO DE ACEITES; LUBRICANTES; ADITIVOS; LIQUIDOS Y LOS DEMÁS ELEMENTOS NECESARIOS PARA EL ADECUADO FUNCIONAMIENTO DEL PARQUE AUTOMOTOR DE PROPIEDAD DE LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE V,"SUMINISTRO DE ACEITES, LUBRICANTES, ADITIVOS, LIQUIDOS Y LOS DEMÁS ELEMENTOS NECESARIOS PARA EL ADECUADO FUNCIONAMIENTO DEL PARQUE AUTOMOTOR DE PROPIEDAD DE LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA.",Presentación de oferta,02/08/2023,02/08/2023,,,,,02/08/2023,"3,000,000",Contratación régimen especial,Decreto 092 de 2017,11,Mes(es),,,,Villanueva,AREA JURIDICA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.15121500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3962985,"704,324,359",Presentación de oferta,2023,0.00432108451923077,,1,3000000,0.694270150618126,V1.151,True,111.694488525391,0.24132066262523294,335.083465576172,1,-0.993784204039214,0.477232065861687,-0.9622826505009316,0.006215795960785485
52393,52393,ESE CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA,804005182,SANTANDER,VILLANUEVA,Territorial,Centralizada,CO1.REQ.3802335,012-2023,704324359,CO1.BDOS.3706639,CONTRATO INDIVIDUAL DE TRABAJO COMO AUXILIAR DE ENFERMERÍA EN LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA SANTANDER.,CONTRATO INDIVIDUAL DE TRABAJO COMO AUXILIAR DE ENFERMERÍA EN LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA SANTANDER.,Presentación de oferta,01/05/2023,01/05/2023,,,,,01/05/2023,"8,025,000",Contratación régimen especial,Decreto 092 de 2017,6,Mes(es),,,,Villanueva,AREA JURIDICA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3713725,"704,324,359",Presentación de oferta,2023,0.00432108451923077,,1,8025000,1.85717265290349,V1.801,True,0.2,0.000432108451923077,0.6,0,8.28586326451744,0.0001034892685895,0.006296566192307702,9.285863264517449
65157,65157,ESE CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA,804005182,SANTANDER,VILLANUEVA,Territorial,Centralizada,CO1.REQ.4988047,135-2023,704324359,CO1.BDOS.4879451,CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES EN NUTRICIÓN PARA LA EJECUCION DE ACCIONES Y ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS SUSCRITO CON EL MUNICIPIO DE VILLANUEVA y JORDAN A EJEC,CONTRATO DE PRESTACIÓN DE SERVICIOS PROFESIONALES EN NUTRICIÓN PARA LA EJECUCIÓN DE ACCIONES Y ACTIVIDADES DEL PLAN DE INTERVENCIONES COLECTIVAS SUSCRITO CON EL MUNICIPIO DE VILLANUEVA y JORDÁN A EJECUTAR POR PARTE DE LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA.,Presentación de oferta,08/28/2023,08/28/2023,,,,,08/28/2023,"2,850,000",Contratación régimen especial,Decreto 092 de 2017,126,día(s),,,,Villanueva,AREA JURIDICA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4887862,"704,324,359",Presentación de oferta,2023,0.00432108451923077,,1,2850000,0.65955664308722,V1.801,True,17.7134342193604,0.0382706231938454,53.1403026580811,1,-0.962765173883315,0.512538084298868,-0.15023249277538162,0.03723482611668486
91970,91970,ESE CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA,804005182,SANTANDER,VILLANUEVA,Territorial,Centralizada,CO1.REQ.3865064,038-2023,704324359,CO1.BDOS.3769460,SUMINISTRO DE MATERIAL MÉDICO QUIRÚRGICO SEGÚN EL REQUERIMIENTO DE LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA.,SUMINISTRO DE MATERIAL MÉDICO QUIRÚRGICO SEGÚN EL REQUERIMIENTO DE LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA.,Presentación de oferta,01/16/2023,01/16/2023,,,,,01/16/2023,"40,000,000",Contratación régimen especial,Decreto 092 de 2017,12,Mes(es),,,,Villanueva,AREA JURIDICA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.41122600,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3772319,"704,324,359",Presentación de oferta,2023,0.00432108451923077,,1,40000000,9.25693534157502,V1.411,True,0.2,0.000432108451923077,0.6,0,45.2846767078751,3.37263775581818e-07,0.038271566192307704,46.28467670787509
92432,92432,COLEGIO ELISEO PINILLA RUEDA,804002915,SANTANDER,VILLANUEVA,Territorial,Centralizada,CO1.REQ.4538730,CONTRATO 06-2023,718177231,CO1.BDOS.4437017,PRESTACION DE SERVICIOS DE PUBLICIDAD; DIVULGACION Y PROGRAMACION DE LAS DIFRENTES ACTIVIDADES; ADMINISTRATIVAS ACADEMICAS; CULTURALES Y DEPORTIVAS  DEL COLEGIO ELISEO PINILLA RUEDA A TRAVES DE LA EMI,"PRESTACIÓN DE SERVICIOS DE PUBLICIDAD, DIVULGACION Y PROGRAMACIÓN DE LAS DIFERENTES ACTIVIDADES, ADMINISTRATIVAS ACADÉMICAS, CULTURALES Y DEPORTIVAS  DEL COLEGIO ELISEO PINILLA RUEDA A TRAVÉS DE LA EMISORA COMUNITARIA VILLANUEVA",Presentación de oferta,05/18/2023,05/18/2023,,,,,05/18/2023,"400,000",Contratación régimen especial,Regla aplicable,180,día(s),,,,Villanueva,HERIBERTO MOJICA CARREÑO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.82101601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4440548,"718,177,231",Presentación de oferta,2023,0.00432108451923077,,1,400000,0.0925693534157502,V1.821,True,0.2,0.000432108451923077,0.6,1,-0.537153232921249,0.846374158184424,-0.0013284338076923077,0.462846767078751
99341,99341,ESE CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA,804005182,SANTANDER,VILLANUEVA,Territorial,Centralizada,CO1.REQ.5028144,141-2023,704324359,CO1.BDOS.4918613,CONTRATO DE PRESTACION DE SERVICIOS COMO AUXILIAR DE ENFERMERIA PARA LA REALIZACION DE ACTIVIDADES CONTEMPLADAS EN EL PLAN DE INTERVENCIONES COLECTIVAS PIC JORDAN Y PIC VILLANUEVA A EJECUTAR POR PARTE,CONTRATO DE PRESTACION DE SERVICIOS COMO AUXILIAR DE ENFERMERIA PARA LA REALIZACION DE ACTIVIDADES CONTEMPLADAS EN EL PLAN DE INTERVENCIONES COLECTIVAS PIC JORDAN Y PIC VILLANUEVA A EJECUTAR POR PARTE DE LA E.S.E. CENTRO DE SALUD CAMILO RUEDA DE VILLANUEVA.,Presentación de oferta,09/07/2023,09/07/2023,,,,,09/06/2023,"3,000,000",Contratación régimen especial,Decreto 092 de 2017,61,día(s),,,,Villanueva,AREA JURIDICA,0,0,0,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4926814,"704,324,359",Presentación de oferta,2023,0.00432108451923077,,1,3000000,0.694270150618126,V1.801,True,14.28466796875,0.030862628811058633,42.85400390625,1,-0.951397529705489,0.525768600748308,-0.12045051524423453,0.0486024702945111
