,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,0,294089,242,415,ARC-BACAIM6,800141688,SUCRE,COVEÑAS,Nacional,Centralizada,CO1.REQ.6493886,053-ARC-CBCAI6-2024,701175051,CO1.BDOS.6369811,ADQUISICIÓN DE DOTACIÓN DE ELEMENTOS PARA EL PERSONAL DE ALUMNOS A INFANTES DE MARINA PROFESIONALES DE LA BASE DE ENTRENAMIENTO DE I.M. Y SUS UNIDADES ADSCRITAS,ADQUISICIÓN DE DOTACIÓN DE ELEMENTOS PARA EL PERSONAL DE ALUMNOS A INFANTES DE MARINA PROFESIONALES DE LA BASE DE ENTRENAMIENTO DE I.M. Y SUS UNIDADES ADSCRITAS,Presentación de oferta,07/10/2024,07/10/2024,,,,,07/10/2024,102937850,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),07/12/2024,07/12/2024,07/12/2024,Coveñas,BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No. 6,0,0,20,0,10,0,0,10,0,Seleccionado,70,Si,CO1.AWD.1981273,708621388,Distrito Capital de Bogotá,Bogotá,07/23/2024,102937600,Yeison Harley Botello Gonzalez,FUERZA ELITE OP SAS,901286438,V1.53101602,Cerrado,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6381516,701175051,Adjudicado,2024,3.9155429850746266,,1,102937850,102.93784999999998,V1.531,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,130.4477332931617,4.833314133456297e-15,26.08954665863235,43.87392425537109,8911.721768660731,131.44773329316172
1,1,517302,5706,9442,ARC-BACAIM6,800141688,SUCRE,COVEÑAS,Nacional,Centralizada,CO1.REQ.6251380,039-ARC-BCAI6-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),701175051,CO1.BDOS.6014625,CONTRATAR EL SUMINISTRO DE ALIMENTACIÓN Y VÍVERES PARA EL PERSONAL DE ALUMNOS E INFANTES DE MARINA DE LA ESCUELA DE FORMACIÓN Y EL BATALLÓN DE COMANDO Y APOYO DE INFANTERÍA DE MARINA No.6. Y SUS UNIDA,CONTRATAR EL SUMINISTRO DE ALIMENTACIÓN Y VÍVERES PARA EL PERSONAL DE ALUMNOS E INFANTES DE MARINA DE LA ESCUELA DE FORMACIÓN Y EL BATALLÓN DE COMANDO Y APOYO DE INFANTERÍA DE MARINA No.6. Y SUS UNIDADES BENEFICIARIAS DE ACUERDO CON LAS ESPECIFICACIONES TÉCNICAS DESCRITAS EN LOS ANEXOS TÉCNICOS,Presentación de oferta,05/17/2024,05/17/2024,,,,,05/17/2024,1892217600,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,Mes(es),05/21/2024,05/21/2024,05/21/2024,Coveñas,BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No. 6,21,21,51,0,4,0,0,4,0,Seleccionado,70,Si,CO1.AWD.1936338,702258195,Atlántico,Barranquilla,06/11/2024,1892217600,Yeison Harley Botello Gonzalez,FOMBISOL,900192362,V1.93131600,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6143807,701175051,Adjudicado,2024,3.9155429850746266,,1,1892217600,1892.2176,V1.931,True,314.06244306682527,614.8624979128535,240.6275024414062,0,5.024972554892147,1.665897839419671e-05,403.0488652401032,1.782998204231262,6134.520925069099,6.024972554892148
2,2,695606,4334,7069,ARC-BACAIM6,800141688,SUCRE,COVEÑAS,Nacional,Centralizada,CO1.REQ.6059160,037-ARC-CBCAI6-2024,701175051,CO1.BDOS.5940945,SUMINISTRO DE PRODUCTOS Y ELEMENTOS DE DESINFECCIÓN; ASEO Y LIMPIEZA PARA LA BASE DE EN-TRENAMIENTO DE I.M. Y SUS UNIDADES ADSCRITAS;,"SUMINISTRO DE PRODUCTOS Y ELEMENTOS DE DESINFECCIÓN, ASEO Y LIMPIEZA PARA LA BASE DE EN-TRENAMIENTO DE I.M. Y SUS UNIDADES ADSCRITAS.",Presentación de observaciones,04/09/2024,04/09/2024,,,,04/09/2024,,254226346,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,Mes(es),04/23/2024,04/23/2024,04/30/2024,Coveñas,BCAI6 2022,0,0,51,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.47131800,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5952195,701175051,Presentación de observaciones,2024,3.9155429850746266,,1,254226346,254.226346,V1.471,True,202.8164305318724,397.0682259134742,155.3933372497559,1,0.2534800328223336,0.4561652392932612,13.12970274214669,-19.03073310852051,4902.555042408773,1.2534800328223337
3,3,162066,9281,15187,ARC-BACAIM6,800141688,SUCRE,COVEÑAS,Nacional,Centralizada,CO1.REQ.5883333,016-ARC-CBCAI6-2024,701175051,CO1.BDOS.5766531,SUMINISTRO DE ELEMENTOS Y ACCESORIOS DE SEGURIDAD INDUSTRIAL,SUMINISTRO DE ELEMENTOS Y ACCESORIOS DE SEGURIDAD INDUSTRIAL PARA LA BASE DE ENTRENAMIENTO DE INFANTERÍA DE MARINA Y SUS UNIDADES ADSCRITAS,Presentación de oferta,03/04/2024,03/04/2024,,,,,03/04/2024,69613159,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),03/06/2024,03/06/2024,03/06/2024,Coveñas,BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No. 6,0,0,46,0,18,0,0,18,0,Seleccionado,70,Si,CO1.AWD.1872001,707178794,Santander,Bucaramanga,04/04/2024,69608626,Miguel angel de oro ortega,CONVIL SOLUCIONES S.A.S,901151222,V1.10141608,Cerrado,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5779203,701175051,Adjudicado,2024,3.9155429850746266,,1,69613159,69.61315900000001,V1.101,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,87.89336583119295,2.0742545882794491e-13,17.57867316623859,31.45178604125977,3929.076668127806,88.89336583119294
4,4,311536,4866,7995,ARC-BACAIM6,800141688,SUCRE,COVEÑAS,Nacional,Centralizada,CO1.REQ.5793529,008-ARC-CBCAI6-2024,701175051,CO1.BDOS.5675991,ADQUISICIÓN DE PABELLONES; BANDERAS Y ACCESORIOS ACUERDO EL CEREMONIAL MILITAR PARA LA BASE DE ENTRENAMIENTO DE INFANTERÍA DE MARINA EN COVEÑAS-SUCRE Y SUS UNIDADES ADSCRITAS,"ADQUISICIÓN DE PABELLONES, BANDERAS Y ACCESORIOS ACUERDO EL CEREMONIAL MILITAR PARA LA BASE DE ENTRENAMIENTO DE INFANTERÍA DE MARINA EN COVEÑAS-SUCRE Y SUS UNIDADES ADSCRITAS",Presentación de oferta,02/20/2024,02/20/2024,,,,,02/20/2024,54380644,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),02/21/2024,02/21/2024,02/21/2024,Coveñas,BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No. 6,0,0,19,0,10,0,0,10,0,Seleccionado,70,Si,CO1.AWD.1858056,704961143,Distrito Capital de Bogotá,No Definido,03/04/2024,54275000,Miguel angel de oro ortega,MAGNUS JM SAS,901197240,V1.55121715,Cerrado,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5692076,701175051,Adjudicado,2024,3.9155429850746266,,1,54380644,54.380644,V1.551,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,68.44202146073944,2.2282982730858121e-13,13.68840429214789,4.157495975494385,3495.833895122039,69.44202146073944
5,5,321670,2223,3669,ARC-BACAIM6,800141688,SUCRE,COVEÑAS,Nacional,Centralizada,CO1.REQ.6506316,055-ARC-CBCAI6-2024,701175051,CO1.BDOS.6381709,CONTRATAR EL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO (INCLUIDO REPUESTOS ORIGINALES E INSUMOS) PARA LOS VEHÍCULOS QUE CONFORMAN EL PARQUE AUTOMOTOR DE LA BASE DE ENTRENAMIENTO D,CONTRATAR EL SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO (INCLUIDO REPUESTOS ORIGINALES E INSUMOS) PARA LOS VEHÍCULOS QUE CONFORMAN EL PARQUE AUTOMOTOR DE LA BASE DE ENTRENAMIENTO DE I.M. Y SUS UNIDADES ADSCRITAS,Presentación de observaciones,07/12/2024,07/12/2024,,,,07/12/2024,,259761220,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,Mes(es),08/02/2024,08/02/2024,08/02/2024,Coveñas,BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No. 6,0,0,23,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.25172600,Cerrado,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6392559,701175051,Presentación de observaciones,2024,3.9155429850746266,,1,259761220,259.76122,V1.251,True,456.92043380268615,894.5457996566815,350.0820465087891,1,-0.431495724894252,0.7464271025330311,-50.35296881025774,-11.18654727935791,2793.745312950376,0.568504275105748
6,6,195806,4912,8137,ARC-BACAIM6,800141688,SUCRE,COVEÑAS,Nacional,Centralizada,CO1.REQ.5934462,022-ARC-CBCAI6-2024,701175051,CO1.BDOS.5817502,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO (INCLUIDOS REPUESTOS E INSUMOS) DE LOS EQUIPOS ELÉCTRICOS; ELECTRÓNICOS Y DE MEDICIÓN PARA LA BASE DE ENTRENAMIENTO DE I.M. EN COVEÑAS - (SUCRE),"MANTENIMIENTO PREVENTIVO Y CORRECTIVO A TODO COSTO (INCLUIDOS REPUESTOS E INSUMOS) DE LOS EQUIPOS ELÉCTRICOS, ELECTRÓNICOS Y DE MEDICIÓN PARA LA BASE DE ENTRENAMIENTO DE I.M. EN COVEÑAS - (SUCRE)",Presentación de oferta,03/13/2024,03/13/2024,,,,,03/13/2024,55833559,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),03/15/2024,03/15/2024,03/15/2024,Coveñas,BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No. 6,0,0,31,0,15,0,0,15,0,Seleccionado,70,Si,CO1.AWD.1878104,701654014,Atlántico,Barranquilla,03/27/2024,42040000,Yeison Harley Botello Gonzalez,BUSINESS CENTER WAL SAS,900816809,V1.72153300,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5828036,701175051,Adjudicado,2024,3.9155429850746266,,1,55833559,55.833559,V1.721,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,70.2973388529099,5.729323772438378e-13,14.05946777058198,20.42984771728516,2784.279508502881,71.29733885290989
7,7,616084,1251,2078,ARC-BACAIM6,800141688,SUCRE,COVEÑAS,Nacional,Centralizada,CO1.REQ.6130235,033-ARC-BCAI6-2024 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),701175051,CO1.BDOS.5913972,CONTRATAR A PRECIOS UNITARIOS FIJOS Y SIN FORMULA DE REAJUSTE; EL SERVICIO DE MANTENIMIENTO; MEJORAMIENTO Y REMODELACIÓN DE LOS BIENES INMUEBLES DE LAS UNIDADES ADSCRITAS A LA BASE DE ENTRENAMIENTO DE,"CONTRATAR A PRECIOS UNITARIOS FIJOS Y SIN FORMULA DE REAJUSTE, EL SERVICIO DE MANTENIMIENTO, MEJORAMIENTO Y REMODELACIÓN DE LOS BIENES INMUEBLES DE LAS UNIDADES ADSCRITAS A LA BASE DE ENTRENAMIENTO DE I.M., EN COVEÑAS - SUCRE, DE ACUERDO A LAS ESPECIFICACIONES TÉCNICAS DESCRITAS EN EL ANEXO TÉCNICO,",Presentación de oferta,04/23/2024,04/23/2024,,,,,04/23/2024,6280961972,Selección Abreviada de Menor Cuantía,Defensa y seguridad nacional,otro,día(s),05/07/2024,05/07/2024,05/07/2024,Coveñas,BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No. 6,115,115,251,0,17,0,0,17,0,Seleccionado,70,Si,CO1.AWD.1926794,726268196,No Definido,Bogotá,06/06/2024,5950847861,Miguel angel de oro ortega,CONSORCIO GRUPO JASAF 2024,No Definido,V1.72103300,Cerrado,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6021419,701175051,Adjudicado,2024,3.9155429850746266,,1,6280961972,6280.961971999999,V1.721,True,766.4447759330134,1500.5237329258025,587.2325592041016,0,7.194930892906171,1.344853251478709e-06,1408.365893845981,6.752049922943115,2781.7185304604245,8.19493089290617
8,8,714505,10329,17045,ARC-BACAIM6,800141688,SUCRE,COVEÑAS,Nacional,Centralizada,CO1.REQ.6135409,037-ARC-CBCAI6-2024  (Presentación de oferta),701175051,CO1.BDOS.5940945,SUMINISTRO DE PRODUCTOS Y ELEMENTOS DE DESINFECCIÓN; ASEO Y LIMPIEZA PARA LA BASE DE EN-TRENAMIENTO DE I.M. Y SUS UNIDADES ADSCRITAS; (Presentación de oferta),"SUMINISTRO DE PRODUCTOS Y ELEMENTOS DE DESINFECCIÓN, ASEO Y LIMPIEZA PARA LA BASE DE EN-TRENAMIENTO DE I.M. Y SUS UNIDADES ADSCRITAS.",Presentación de oferta,04/24/2024,04/24/2024,,,,,04/24/2024,254226346,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,otro,Mes(es),05/02/2024,05/16/2024,05/16/2024,Coveñas,BCAI6 2022,0,0,51,0,8,0,0,8,0,Seleccionado,70,Si,CO1.AWD.1929254,703914432,Cesar,Valledupar,05/27/2024,254226346,Miguel angel de oro ortega,PROVEEDURIA LOPERENA,901136285,V1.47131800,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6025004,701175051,Adjudicado,2024,3.9155429850746266,,1,254226346,254.226346,V1.471,True,202.8164305318724,397.0682259134742,155.3933372497559,1,0.2534800328223336,0.4157911164824284,13.12970274214669,-5.780843734741211,1534.0840820086332,1.2534800328223337
9,9,613411,11535,18812,ARC-BACAIM6,800141688,SUCRE,COVEÑAS,Nacional,Centralizada,CO1.REQ.6384064,049-ARC-CBCAI6-2024,701175051,CO1.BDOS.6260099,CONTRATAR EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS REDES Y EQUIPOS INFORMÁTICOS DE LA ESCUELA DE FORMACIÓN DE INFANTERÍA DE MARINA,CONTRATAR EL MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LAS REDES Y EQUIPOS INFORMÁTICOS DE LA ESCUELA DE FORMACIÓN DE INFANTERÍA DE MARINA,Presentación de oferta,06/15/2024,06/15/2024,,,,,06/15/2024,40000045,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),06/19/2024,06/19/2024,06/19/2024,Coveñas,BATALLON DE COMANDO Y APOYO DE INFANTERIA DE MARINA No. 6,0,0,23,0,8,0,0,8,0,Seleccionado,70,Si,CO1.AWD.1958489,704535285,Meta,Villavicencio,06/25/2024,40000000,Nicolas Sneider Forero Duque,FIX TECHNOLOGY SAS,901449497,V1.81111500,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6271641,701175051,Adjudicado,2024,3.9155429850746266,,1,40000045,40.00004499999999,V1.811,True,47.907959094954805,93.79283658174622,36.70598888397216,1,-0.165064725034125,0.7507929517241029,-2.019621320746172,-35.91894912719727,1430.1569850113233,0.834935274965875
