,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
0,0,0,408539,12231,20080,MUNICIPIO DE MARIQUTA,890701342,TOLIMA,MARIQUITA,Territorial,Centralizada,CO1.REQ.5702339,CD-019-2024,701594269,CO1.BDOS.5584657,VIABILIZAR LA TRANSFERENCIA DE LOS RECURSOS RECAUDADO POR CONCEPTO DE LA SOBRETASA BOMBERIL POR EL MUNICIPIO DE SAN SEBASTIÁN DE MARIQUITA  TOLIMA AL CUERPO DE BOMBEROS VOLUNTARIOS DE MARIQUITA,VIABILIZAR LA TRANSFERENCIA DE LOS RECURSOS RECAUDADO POR CONCEPTO DE LA SOBRETASA BOMBERIL POR EL MUNICIPIO DE SAN SEBASTIÁN DE MARIQUITA TOLIMA AL CUERPO DE BOMBEROS VOLUNTARIOS DE SAN SEBASTIÁN DE MARIQUITA PARA FINANCIAR LA ACTIVIDAD BOMBERIL,Presentación de oferta,02/05/2024,02/05/2024,,,,,02/05/2024,700000000,Contratación Directa (con ofertas),Contratos o convenios Interadministrativos (con valor),otro,Mes(es),02/05/2024,,02/05/2024,No Aplica,AREA DE CONTRATACION,1,1,1,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1843437,708835756,Tolima,Mariquita,02/05/2024,700000000,LAURA NATALIA VILLALBA LOZANO,CUERPO DE BOMBEROS VOLUNTARIOS DE MARIQUITA,809008185,V1.92101600,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5593102,701594269,Adjudicado,2024,3.9155429850746266,,1,700000000,699.9999999999998,V1.921,True,28.6771469628112,56.143300811094754,21.97177791595459,0,23.4096806738748,4.80919951572831e-10,171.4507682832637,5.708242416381836,12391.00678024507,24.4096806738748
1,1,1,166520,691,1179,MUNICIPIO DE MARIQUTA,890701342,TOLIMA,MARIQUITA,Territorial,Centralizada,CO1.REQ.6288419,CD-081-2024,701594269,CO1.BDOS.6166277,CONTRATO INTERADMINISTRATIVO PARA LA EJECUCIÓN DEL PLAN DE SALUD PÚBLICA DE INTERVENCIONES COLECTIVAS EN EL MUNICIPIO DE SAN SEBASTIÁN DE MARIQUITA,CONTRATO INTERADMINISTRATIVO PARA LA EJECUCIÓN DEL PLAN DE SALUD PÚBLICA DE INTERVENCIONES COLECTIVAS EN EL MUNICIPIO DE SAN SEBASTIÁN DE MARIQUITA,Presentación de oferta,05/24/2024,05/24/2024,,,,,05/24/2024,359853278,Contratación Directa (con ofertas),Contratos o convenios Interadministrativos (con valor),otro,día(s),05/24/2024,,05/24/2024,No Aplica,AREA DE CONTRATACION,1,1,1,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1936536,705245447,Tolima,Mariquita,05/24/2024,359853278,LUISA FERNANDA BORRAEZ MEDINA,HOSPITAL SAN JOSE ESE DE SAN SEBASTIAN DE MARIQUITA,890706067,V1.85101705,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6174727,701594269,Adjudicado,2024,3.9155429850746266,,1,359853278,359.85327800000005,V1.851,True,317.8104868948159,622.2003112720739,243.4991683959961,1,0.1322888728939229,0.4991227832856955,10.73741017923795,-30.23640441894531,10928.27382964496,1.132288872893923
2,2,2,454612,6895,11633,MUNICIPIO DE MARIQUTA,890701342,TOLIMA,MARIQUITA,Territorial,Centralizada,CO1.REQ.6570071,RECO-JCT-001-2024,701594269,CO1.BDOS.6444243,AUNAR ESFUERZOS PARA EL FORTALECIMIENTO DE LAS EXPRESIONES ARTISTICAS; TURISTICAS; CULTURALES; PATRIMONIALES Y LITERARIOS A TRAVES DEL APOYO DE EVENTOS CULTURALES Y MUSICALES A REALIZAR EN EL MUNICIPI,"AUNAR ESFUERZOS PARA EL FORTALECIMIENTO DE LAS EXPRESIONES ARTISTICAS, TURISTICAS, CULTURALES, PATRIMONIALES Y LITERARIOS A TRAVES DEL APOYO DE EVENTOS CULTURALES Y MUSICALES A REALIZAR EN EL MUNICIPIO DE SAN SEBASTIAN DE MARIQUITA",Presentación de oferta,07/26/2024,07/26/2024,,,,,07/26/2024,496785000,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),07/30/2024,07/30/2024,07/30/2024,No Aplica,AREA DE CONTRATACION,0,0,5,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.1993108,704042142,Cundinamarca,La Mesa,08/01/2024,496775900,LUISA FERNANDA BORRAEZ MEDINA,MIMESIS,900023210,V1.93141702,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6455042,701594269,Adjudicado,2024,3.9155429850746266,,1,496785000,496.7849999999999,V1.931,True,508.97392608656696,996.4546429370744,389.9642486572266,1,-0.0239480363567661,0.6413929524529255,-3.112959334894086,-14.14238739013672,7013.8288943675725,0.976051963643234
3,3,3,269451,1121,1902,ESCUELA DE AVIACION POLICIAL,809010745,TOLIMA,MARIQUITA,Nacional,Centralizada,CO1.REQ.6483396,PN ESAVI MIC 022 2024,701702045,CO1.BDOS.6359459,ADQUISICIÓN; INSTALACIÓN Y PUESTA EN FUNCIONAMIENTO DE VIDEO PROYECTOR CON SUS ACCESORIOS PARA LA ESCUELA DE AVIACIÓN POLICIAL,"ADQUISICIÓN, INSTALACIÓN Y PUESTA EN FUNCIONAMIENTO DE VIDEO PROYECTOR CON SUS ACCESORIOS PARA LA ESCUELA DE AVIACIÓN POLICIAL",Presentación de oferta,07/08/2024,07/08/2024,,,,,07/08/2024,66889781,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),07/15/2024,07/15/2024,07/15/2024,Mariquita,GRUPO DE CONTRATOS ESAVI,0,0,26,0,4,0,0,4,0,Seleccionado,70,Si,CO1.AWD.1983076,701301186,Cundinamarca,Chía,07/23/2024,61203961,FREDDY AUGUSTO VILLAMIL,TECNOPHONE COLOMBIA SAS,900741497,V1.45111609,Cerrado,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6373510,701702045,Adjudicado,2024,3.9155429850746266,,1,66889781,66.889781,V1.451,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,84.41571533625385,3.161706846365424e-14,16.88314306725077,2.154093980789185,5502.461837171954,85.41571533625385
4,4,4,475166,2113,3464,MUNICIPIO DE MARIQUTA,890701342,TOLIMA,MARIQUITA,Territorial,Centralizada,CO1.REQ.5786763,CD-026-2024,701594269,CO1.BDOS.5670219,CONTRATAR LA PRESTACIÓN DE SERVICIOS DE APODERAMIENTO; REPRESENTACION Y DEFENSA JUDICIAL DEL MUNICIPIO DE SAN SEBASTIÁN DE MARIQUITA TOLIMA.,"CONTRATAR LA PRESTACIÓN DE SERVICIOS DE APODERAMIENTO, REPRESENTACION Y DEFENSA JUDICIAL DEL MUNICIPIO DE SAN SEBASTIÁN DE MARIQUITA TOLIMA.",Presentación de oferta,02/16/2024,02/16/2024,,,,,02/16/2024,77870000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,No Aplica,AREA DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,706503463,Distrito Capital de Bogotá,No Definido,,0,No Adjudicado,MARIA XIMENA OLIVERA SILVA,65764137,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5678219,701594269,Adjudicado,2024,3.9155429850746266,,1,77870000,77.87,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,98.43703886897296,2.9933882928534074e-14,19.68740777379459,32.62966156005859,5124.420471045162,99.43703886897292
5,5,5,192759,1865,3064,MUNICIPIO DE MARIQUTA,890701342,TOLIMA,MARIQUITA,Territorial,Centralizada,CO1.REQ.6541754,CM-SI-001-2024 (Presentación de oferta),701594269,CO1.BDOS.6375828,CONTRATAR LA CONSULTORIA TECNICA PARA DESARROLLAR LOS ESTUDIOS Y DISEÑOS DE DIFERENTES VIAS EN EL SECTOR URBANO DEL MUNICIPIO DE SAN SEBASTIAN DE MARIQUITA - TOLIMA  (Presentación de oferta),CONTRATAR LA CONSULTORIA TECNICA PARA DESARROLLAR LOS ESTUDIOS Y DISEÑOS DE DIFERENTES VIAS EN EL SECTOR URBANO DEL MUNICIPIO DE SAN SEBASTIAN DE MARIQUITA - TOLIMA,Presentación de oferta,07/19/2024,07/19/2024,,,,,07/19/2024,160727350,Concurso de méritos abierto,Ley 1150 de 2007,otro,día(s),07/23/2024,07/23/2024,07/23/2024,No Aplica,AREA DE CONTRATACION,0,0,35,0,4,0,0,4,0,Seleccionado,70,Si,CO1.AWD.1988448,727575672,No Definido,Ibagué,08/01/2024,160727350,LUISA FERNANDA BORRAEZ MEDINA,CONSORCIO DISEÑOS VIAS MARIQUITA,No Definido,V1.80101600,Cerrado,Consultoría,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6426856,701594269,Adjudicado,2024,3.9155429850746266,,1,160727350,160.72735,V1.801,True,151.35669841317815,296.3218293578878,115.9660606384277,1,0.0619110464555824,0.5651675659428168,2.393193389152195,-29.70581436157227,4784.487620359985,1.0619110464555823
6,6,6,434288,12222,20203,MUNICIPIO DE MARIQUTA,890701342,TOLIMA,MARIQUITA,Territorial,Centralizada,CO1.REQ.6908387,SAMC-SI-011-2024,701594269,CO1.BDOS.6778729,CONTRATAR EL ALQUILER DE MAQUINARIA AMARILLA; PARA EL MANTENIMINETO Y/O MEJORAMIENTO DE VIAS URBANAS Y RURALES DEL MUNICIPIO DE SAN SEBASTIAN DE MARIQUITA TOLIMA,"CONTRATAR EL ALQUILER DE MAQUINARIA AMARILLA, PARA EL MANTENIMINETO Y/O MEJORAMIENTO DE VIAS URBANAS Y RURALES DEL MUNICIPIO DE SAN SEBASTIAN DE MARIQUITA TOLIMA",Presentación de observaciones,09/26/2024,09/26/2024,,,,09/26/2024,,200000000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),,,10/09/2024,No Aplica,AREA DE CONTRATACION,0,0,11,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.72141700,Abierto,Arrendamiento de muebles,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6789899,701594269,Presentación de observaciones,2024,3.9155429850746266,,1,200000000,200.0,V1.721,True,55.05202816839845,107.77929135445164,42.17961215972901,0,2.632927008396869,0.0009362761887828,37.01861335301851,-17.82817077636719,4092.219556952812,3.632927008396869
7,7,7,703460,12188,20060,ESCUELA DE AVIACION POLICIAL,809010745,TOLIMA,MARIQUITA,Nacional,Centralizada,CO1.REQ.6095749,PN ESAVI MIC 014 2024,701702045,CO1.BDOS.5976730,ACTIVIDADES DE INTEGRACIÓN Y MEJORAMIENTO DE LA CALIDAD DE VIDA DE LA COMUNIDAD ACADÉMICA Y PERSONAL DE PLANTA ADSCRITO A LA ESCUELA DE AVIACIÓN POLICIAL,ACTIVIDADES DE INTEGRACIÓN Y MEJORAMIENTO DE LA CALIDAD DE VIDA DE LA COMUNIDAD ACADÉMICA Y PERSONAL DE PLANTA ADSCRITO A LA ESCUELA DE AVIACIÓN POLICIAL,Presentación de oferta,04/15/2024,04/15/2024,,,,,04/15/2024,60000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),04/19/2024,04/19/2024,04/19/2024,Mariquita,GRUPO DE CONTRATOS ESAVI,0,0,21,0,4,0,0,4,0,Seleccionado,70,Si,CO1.AWD.1909870,723891669,Tolima,Mariquita,04/29/2024,60000000,FREDDY AUGUSTO VILLAMIL,LINDA SORIETH RIOS HERRERA,53166635,V1.80141902,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5985042,701702045,Adjudicado,2024,3.9155429850746266,,1,60000000,59.99999999999997,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,75.61772610939225,3.978630254663094e-13,15.12354522187845,10.92343330383301,3881.6575683335527,76.61772610939224
8,8,8,20290,7489,12448,MUNICIPIO DE MARIQUTA,890701342,TOLIMA,MARIQUITA,Territorial,Centralizada,CO1.REQ.6619345,SAMC-SDS-007-2024 (Manifestación de interés (Menor Cuantía)),701594269,CO1.BDOS.6444127,CONTRATAR LA PRESTACIÓN DE SERVICIOS PARA EL PROGRAMA DE ALIMENTACIÓN ESCOLAR; PARA LOS NIÑOS; NIÑAS Y ADOLESCENTES DE LAS INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE SAN SEBASTIAN DE MARIQUITA (Manifes,"CONTRATAR LA PRESTACIÓN DE SERVICIOS PARA EL PROGRAMA DE ALIMENTACIÓN ESCOLAR, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LAS INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE SAN SEBASTIAN DE MARIQUITA",Manifestación de interés (Menor Cuantía),08/05/2024,08/05/2024,,,08/05/2024,,,202878000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),08/08/2024,08/08/2024,08/08/2024,No Aplica,AREA DE CONTRATACION,0,0,6,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.93131609,Cerrado,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6504112,701594269,Manifestación de interés (Menor Cuantía),2024,3.9155429850746266,,1,202878000,202.878,V1.931,True,307.5647782444558,602.141554955556,235.6491394042969,1,-0.3403731039750255,0.7771018744924215,-26.736209676028,-19.41399002075195,3869.617252841868,0.6596268960249745
9,9,9,763427,8276,13561,MUNICIPIO DE MARIQUTA,890701342,TOLIMA,MARIQUITA,Territorial,Centralizada,CO1.REQ.6569721,SAMC-SDS-007-2024,701594269,CO1.BDOS.6444127,CONTRATAR LA PRESTACIÓN DE SERVICIOS PARA EL PROGRAMA DE ALIMENTACIÓN ESCOLAR; PARA LOS NIÑOS; NIÑAS Y ADOLESCENTES DE LAS INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE SAN SEBASTIAN DE MARIQUITA,"CONTRATAR LA PRESTACIÓN DE SERVICIOS PARA EL PROGRAMA DE ALIMENTACIÓN ESCOLAR, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LAS INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE SAN SEBASTIAN DE MARIQUITA",Presentación de observaciones,07/26/2024,07/26/2024,,,,07/26/2024,,202878000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),08/06/2024,08/06/2024,08/06/2024,No Aplica,AREA DE CONTRATACION,0,0,6,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.93131609,Cerrado,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6454414,701594269,Presentación de observaciones,2024,3.9155429850746266,,1,202878000,202.878,V1.931,True,307.5647782444558,602.141554955556,235.6491394042969,1,-0.3403731039750255,0.7637868492585301,-26.736209676028,-19.07929992675781,3801.715995952525,0.6596268960249745
