,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
350681,5912,9849,MUNICIPIO CANDELARIA,891380038,VALLE DEL CAUCA,CANDELARIA,Territorial,Centralizada,CO1.REQ.6375130,MDC-SI-RE-006-2024,701400236,CO1.BDOS.6251376,CONTRATO DE TRANSFERENCIA,"CONTRATO DE TRANSFERENCIA DE RECURSOS CON LAS EMPRESAS PÚBLICAS MUNICIPALES DE CANDELARIA EMCANDELARIA S.A.S E.S.P,. PARA EL OTORGAMIENTO DE SUBSIDIOS A LOS USUARIOS DE LOS SERVICIOS PÚBLICOS DOMICILIARIO DE ACUEDUCTO Y ALCANTARILLADO Y ACTIVIDADES COMPLEMENTARIAS Y CONEXAS DE LOS ESTRATOS SUBSIDIABLES DEL MUNICIPIO DE CANDELARIA VIGENCIA FISCAL 2024",Presentación de oferta,06/17/2024,06/17/2024,,,,,06/17/2024,795945132,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Candelaria,SECRETARÍA DE INFRAESTRUCTURA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,711189712,Valle del Cauca,Candelaria,,0,No Adjudicado,EMPRESAS PUBLICAS MUNICIPALES EMCANDELARIA SAS ESP,901350951,V1.83101501,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6274203,701400236,Adjudicado,2024,3.9155429850746266,,1,795945132,795.945132,V1.831,True,0.207479476453762,0.406197404287742,0.1589660570025444,0,3835.259593499509,1.2116132406424659e-27,203.2253650532661,31.20415115356445,3027819.411193361,3836.259593499509
593780,4628,7611,MUNICIPIO CANDELARIA,891380038,VALLE DEL CAUCA,CANDELARIA,Territorial,Centralizada,CO1.REQ.6384510,MDC-SI-RE-008-2024,701400236,CO1.BDOS.6260650,CONTRATO DE TRANSFERENCIA,"CONTRATO DE TRANSFERENCIA DE RECURSOS CON LA SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA ACUAVALLE S.A. E.S.P., PARA EL OTORGAMIENTO DE SUBSIDIOS A LOS USUARIOS DE LOS SERVICIOS PÚBLICOS DOMICILIARIO DE ACUEDUCTO Y ALCANTARILLADO Y ACTIVIDADES COMPLEMENTARIAS Y CONEXAS DE LOS ESTRATOS SUBSIDIABLES DEL MUNICIPIO DE CANDELARIA VIGENCIA FISCAL 2024",Presentación de oferta,07/16/2024,07/16/2024,,,,,07/16/2024,1036222619,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Candelaria,SECRETARÍA DE INFRAESTRUCTURA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704416148,Valle del Cauca,No Definido,,0,No Adjudicado,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. - E.S.P.,890399032,V1.83101501,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6405561,701400236,Adjudicado,2024,3.9155429850746266,,1,1036222619,1036.2226190000001,V1.831,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,1322.217013514986,6.617905192305472e-22,264.4434027029972,55.90567398071289,1312180.452721603,1323.2170135149859
99440,10170,16706,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ASEO DE CANDELARIA S.A. E.S.P. *,900276577,VALLE DEL CAUCA,CANDELARIA,Territorial,Centralizada,CO1.REQ.6484827,2024BS050,706085644,CO1.BDOS.6360668,PRESTACIÓN DE SERVICIO DE CARGUE; TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS DE CONSTRUCCIÓN Y DEMOLICIÓN -RCD DE ORIGEN RESIDENCIAL EN EL SITIO DE TRANSFERENCIA LA 50 DEL DISTRITO DE SANTIAGO DE CALI,"PRESTACIÓN DE SERVICIO DE CARGUE, TRANSPORTE Y DISPOSICIÓN FINAL DE RESIDUOS DE CONSTRUCCIÓN Y DEMOLICIÓN -RCD DE ORIGEN RESIDENCIAL EN EL SITIO DE TRANSFERENCIA LA 50 DEL DISTRITO DE SANTIAGO DE CALI.",Presentación de oferta,07/08/2024,07/08/2024,,,,,07/08/2024,4890000000,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Candelaria,CANDEASEO,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,717366181,Valle del Cauca,Cali,,0,No Adjudicado,SUMINISTRAMOS Y CONTRATAMOS AGG SAS,901191011,V1.76121602,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6370506,706085644,Adjudicado,2024,3.9155429850746266,,1,4890000000,4890.0,V1.761,True,297.12567035333205,581.7041671187926,227.6509323120117,0,15.45768268418199,1.25501101938583e-08,1172.98529147909,3.404629468917847,58939.430222641655,16.457682684181993
585514,9418,15570,MUNICIPIO CANDELARIA,891380038,VALLE DEL CAUCA,CANDELARIA,Territorial,Centralizada,CO1.REQ.5923453,MDC-SPE-RE-002-2024,701400236,CO1.BDOS.5797800,AUNAR ESFUERZOS TÉCNICOS; ADMINISTRATIVOS; OPERATIVOS Y FINANCIEROS PARA IMPULSAR PROGRAMAS Y ACTIVIDADES DE INTERÉS PÚBLICO; SOCIAL; A TRAVÉS DE ACCIONES INTEGRALES QUE GARANTICEN EL BIENESTAR DE LA,"AUNAR ESFUERZOS TÉCNICOS, ADMINISTRATIVOS, OPERATIVOS Y FINANCIEROS PARA IMPULSAR PROGRAMAS Y ACTIVIDADES DE INTERÉS PÚBLICO, SOCIAL, A TRAVÉS DE ACCIONES INTEGRALES QUE GARANTICEN EL BIENESTAR DE LA POBLACIÓN DE ADULTO MAYOR EN EL MUNICIPIO DE CANDELARIA VALLE DEL CAUCA",Presentación de oferta,03/11/2024,03/11/2024,,,,,03/11/2024,647959200,Contratación régimen especial (con ofertas),Decreto 092 de 2017,otro,día(s),03/15/2024,03/15/2024,03/15/2024,Candelaria,SRIA. DE DESARROLLO SOCIAL Y PROGRAMAS ESPECIALES,0,0,5,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1879380,712919158,Caldas,Manizales,04/01/2024,719872200,PAOLA ANDREA TOFIÑO ZAMORANO,Asociación Redes de Solidaridad,900011309,V1.94131607,Cerrado,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5814382,701400236,Adjudicado,2024,3.9155429850746266,,1,647959200,647.9591999999998,V1.941,True,960.2023161241764,1879.8567215762139,735.6851806640625,1,-0.3251847145969562,0.7675670664732536,-79.7445251691511,-64.34005737304688,41479.02567587107,0.6748152854030438
602579,703,1185,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ASEO DE CANDELARIA S.A. E.S.P. *,900276577,VALLE DEL CAUCA,CANDELARIA,Territorial,Centralizada,CO1.REQ.6824117,2024BS066,706085644,CO1.BDOS.6695921,COMPRAVENTA DE DOTACION PARA EL PERSONAL OPERATIVO Y ADMINISTRATIVO DE LA EMPRESA REGIONAL DE SERVICIO PUBLICO DE ASEO DE CANDELARIA CANDEASEO S.A E.S. P VIGENCIA 2024.,COMPRAVENTA DE DOTACION PARA EL PERSONAL OPERATIVO Y ADMINISTRATIVO DE LA EMPRESA REGIONAL DE SERVICIO PUBLICO DE ASEO DE CANDELARIA CANDEASEO S.A E.S. P VIGENCIA 2024.,Presentación de oferta,09/11/2024,09/11/2024,,,,,09/11/2024,187977458,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Candelaria,CANDEASEO,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,700014079,Cundinamarca,No Definido,,0,No Adjudicado,BOSTONIA SAS,800119030,V1.53102710,Abierto,Compraventa,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6705909,706085644,Adjudicado,2024,3.9155429850746266,,1,187977458,187.97745799999998,V1.531,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,239.0400898630631,4.7474549318140125e-17,47.80801797261262,36.77250289916992,38021.746833266574,240.04008986306312
578507,2411,3940,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ASEO DE CANDELARIA S.A. E.S.P. *,900276577,VALLE DEL CAUCA,CANDELARIA,Territorial,Centralizada,CO1.REQ.6944970,2024BS067,706085644,CO1.BDOS.6816093,SUMINISTRO E INSTALACION A MONTO AGOTABLE DE LLANTAS  PARA EL PARQUE AUTOMOTOR DE LA EMPRESA REGIONAL DE SERVICIO PÚBLICO DE ASEO DE  CANDELARIA CANDEASEO S.A. E.S.P.,No definido,Presentación de oferta,10/02/2024,10/02/2024,,,,,10/02/2024,158007103,Contratación régimen especial,Regla aplicable,otro,día(s),,,,Candelaria,CANDEASEO,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,721703320,Valle del Cauca,Cali,,0,No Adjudicado,SAMECO LTDA,890304891,V1.25172503,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6824737,706085644,Adjudicado,2024,3.9155429850746266,,1,158007103,158.00710299999997,V1.251,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,200.7690823498755,1.982892183042606e-17,40.15381646997511,-0.0316366776823997,31727.939893861396,201.76908234987553
511444,12523,20763,MUNICIPIO CANDELARIA,891380038,VALLE DEL CAUCA,CANDELARIA,Territorial,Centralizada,CO1.REQ.6384259,MDC-SI-RE-007-2024,701400236,CO1.BDOS.6260934,CONTRATO DE TRANSFERENCIA,CONTRATO DE TRANSFERENCIA DE RECURSOS CON LA EMPRESA REGIONAL DE ASEO DE CANDELARIA CANDEASEO S.A. E.S.P. PARA EL OTORGAMIENTO DE SUBSIDIOS A LOS USUARIOS DE LOS SERVICIOS PÚBLICOS DOMICILIARIO DE ASEO Y ACTIVIDADES COMPLEMENTARIAS Y CONEXAS DE LOS ESTRATOS SUBSIDIABLES DEL MUNICIPIO DE CANDELARIA EN LA VIGENCIA FISCAL 2024,Presentación de oferta,06/21/2024,06/21/2024,,,,,06/21/2024,2137481400,Contratación régimen especial,Decreto 092 de 2017,otro,día(s),,,,Candelaria,SECRETARÍA DE INFRAESTRUCTURA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,713661015,Valle del Cauca,Candelaria,,0,No Adjudicado,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ASEO DE CANDELARIA,9002765777,V1.76121500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6294636,701400236,Adjudicado,2024,3.9155429850746266,,1,2137481400,2137.4814,V1.761,True,56.23314442675461,110.09164709443368,43.08455657958984,0,37.01105952351882,4.409573817650679e-11,531.5350293705379,23.84580612182617,28140.484272404767,38.01105952351882
754119,11788,19338,MUNICIPIO CANDELARIA,891380038,VALLE DEL CAUCA,CANDELARIA,Territorial,Centralizada,CO1.REQ.6672649,MDC-SS-SAMC-001-2024,701400236,CO1.BDOS.6541964,SUMINISTRO DE ELEMENTOS; INSUMOS Y EQUIPOS PARA LOS PROGRAMAS DE LA DIMENSIÓN DE SALUD AMBIENTAL DE LA SECRETARÍA DE SALUD DEL MUNICIPIO DE CANDELARIA VALLE DEL CAUCA,"SUMINISTRO DE ELEMENTOS, INSUMOS Y EQUIPOS PARA LOS PROGRAMAS DE LA DIMENSIÓN DE SALUD AMBIENTAL DE LA SECRETARÍA DE SALUD DEL MUNICIPIO DE CANDELARIA VALLE DEL CAUCA",Presentación de observaciones,08/16/2024,08/16/2024,,,,08/16/2024,,140000000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),09/09/2024,09/09/2024,09/09/2024,Candelaria,SECRETARÍA DE SALUD,0,0,24,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85111700,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6568763,701400236,Presentación de observaciones,2024,3.9155429850746266,,1,140000000,140.0,V1.851,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,177.7746942552486,4.377675129079246e-17,35.55493885104973,26.5246467590332,21175.006649470153,178.77469425524862
22833,10032,16723,MUNICIPIO CANDELARIA,891380038,VALLE DEL CAUCA,CANDELARIA,Territorial,Centralizada,CO1.REQ.6740770,MDC-SS-SAMC-001-2024 (Manifestación de interés (Menor Cuantía)),701400236,CO1.BDOS.6541964,SUMINISTRO DE ELEMENTOS; INSUMOS Y EQUIPOS PARA LOS PROGRAMAS DE LA DIMENSIÓN DE SALUD AMBIENTAL DE LA SECRETARÍA DE SALUD DEL MUNICIPIO DE CANDELARIA VALLE DEL CAUCA (Manifestación de interés (Menor,"SUMINISTRO DE ELEMENTOS, INSUMOS Y EQUIPOS PARA LOS PROGRAMAS DE LA DIMENSIÓN DE SALUD AMBIENTAL DE LA SECRETARÍA DE SALUD DEL MUNICIPIO DE CANDELARIA VALLE DEL CAUCA",Manifestación de interés (Menor Cuantía),08/28/2024,08/28/2024,,,08/28/2024,,,140000000,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,otro,día(s),09/09/2024,09/09/2024,09/09/2024,Candelaria,SECRETARÍA DE SALUD,0,0,24,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85111700,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6622375,701400236,Manifestación de interés (Menor Cuantía),2024,3.9155429850746266,,1,140000000,140.0,V1.851,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,177.7746942552486,2.776037419490303e-16,35.55493885104973,30.0383415222168,20683.08938262445,178.77469425524862
132666,5401,8975,MUNICIPIO CANDELARIA,891380038,VALLE DEL CAUCA,CANDELARIA,Territorial,Centralizada,CO1.REQ.6329837,MDC-SI-CDCO-001-2024,701400236,CO1.BDOS.6206735,ALCANTARILLADO CALLEJON LAS UNIDAS,"Convenio Interadministrativo entre el municipio de candelaria y las empresas públicas municipales de candelaria S.A.S. E.S.P. para aunar esfuerzos técnicos, administrativos y financieros en la construcción de un sistema de alcantarillado sanitario, en el callejón las Unidas, ubicado en el corregimiento de El Carmelo en el Municipio de Candelaria.",Presentación de oferta,06/04/2024,06/04/2024,,,,,06/04/2024,445832950,Contratación Directa (con ofertas),Contratos o convenios Interadministrativos (con valor),otro,día(s),06/05/2024,,06/04/2024,Candelaria,SECRETARÍA DE INFRAESTRUCTURA,1,1,1,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1946021,711189712,Valle del Cauca,Candelaria,06/05/2024,445832950,RENGIFO CAMACHO,EMPRESAS PUBLICAS MUNICIPALES EMCANDELARIA SAS ESP,901350951,V1.72141120,Abierto,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6223459,701400236,Adjudicado,2024,3.9155429850746266,,1,445832950,445.83294999999987,V1.721,True,428.8196794604832,839.5309438867225,328.5518875122069,1,0.0396746496357671,0.5816542116836638,4.345060341405599,-23.11047172546387,10321.098051342475,1.0396746496357672
