,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,Tamaño valor extraño,veces la predicción
743,743,INSTITUCIÓN EDUCATIVA ASOCIACIÓN CENTROS EDUCATIVOS DEL CAÑON DEL RIO GARRAPATAS,821001877,VALLE DEL CAUCA,EL DOVIO,Nacional,Centralizada,CO1.REQ.4486024,contrato de obra 001,718831282,CO1.BDOS.4385251,REPARACION TECHO RAMADA ABONOS ORGANICOS SEDE JUAN SALVADOR GAVIOTA I.E ACERG,REPARACION TECHO RAMADA ABONOS ORGANICOS SEDE JUAN SALVADOR GAVIOTA I.E ACERG,Presentación de oferta,05/08/2023,05/08/2023,,,,,05/08/2023,"3,850,000",Contratación régimen especial,Regla aplicable,30,día(s),,,,El Dovio,INSTITUCION EDUCATIVA ACERG,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.31162800,Abierto,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4387450,"718,831,282",Presentación de oferta,2023,0.00432108451923077,,1,3850000,0.890980026626595,V1.311,True,72.966796875,0.1576478481972093,218.900390625,1,-0.987789240246451,0.483955046068014,-0.6267413927888371,0.012210759753548453
4824,4824,INSTITUCION EDUCATIVA JOSE MARIA FALLA,891901114,VALLE DEL CAUCA,EL DOVIO,Territorial,Centralizada,CO1.REQ.5425828,018-2023,706815131,CO1.BDOS.5306401,SUMINISTRO DE PAPEL PARA LA FOTOCOPIADORA; TINTAS PARA LAS IMPRESORAS; PAPELERÍA PARA ÁREA ADMINISTRATIVA Y DOTACIÓN DE MARCADORES PARA DOCENTES DE LA INSTITUCIÓN EDUCATIVA JOSÉ MARÍA FALLA; AÑO LECTI,"SUMINISTRO DE PAPEL PARA LA FOTOCOPIADORA, TINTAS PARA LAS IMPRESORAS, PAPELERÍA PARA ÁREA ADMINISTRATIVA Y DOTACIÓN DE MARCADORES PARA DOCENTES DE LA INSTITUCIÓN EDUCATIVA JOSÉ MARÍA FALLA, AÑO LECTIVO 2.024",Presentación de oferta,12/15/2023,12/15/2023,,,,,12/15/2023,"6,000,000",Contratación régimen especial,Decreto 092 de 2017,10,día(s),,,,El Dovio,CONTRATACION REGIMEN ESPECIAL I.E. JOSE MARIA FALLA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.44122000,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5321529,"706,815,131",Presentación de oferta,2023,0.00432108451923077,,1,6000000,1.38854030123625,V1.441,True,0.2,0.000432108451923077,0.6,0,5.94270150618126,0.0002996994879055,0.004271566192307682,6.94270150618125
7081,7081,HOSPITAL SANTA LUCIA EMPRESA SOCIAL DEL ESTADO DE EL DOVIO VALLE,891901296,VALLE DEL CAUCA,EL DOVIO,Territorial,Centralizada,CO1.REQ.3925318,026-2023,704258128,CO1.BDOS.3829933,DISPOSICION FINAL RESIDUOS SOLIDOS,TRATAMIENTO Y DISPOSICIÓN FINAL DE RESIDUOS HOSPITALARIOS CON SUS ACTIVIDADES CONEXAS Y COMPLEMENTARIAS AL SERVICIO DE RECOLECCIÓN Y TRANSPORTE,Presentación de oferta,01/24/2023,01/24/2023,,,,,01/24/2023,"12,000,000",Contratación régimen especial,Regla aplicable,1,Año(s),,,,El Dovio,HOSPITAL SANTA LUCIA ESE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.76121500,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3830383,"704,258,128",Presentación de oferta,2023,0.00432108451923077,,1,12000000,2.7770806024725,V1.761,True,17.7047100067139,0.038251774163740766,53.1141300201416,1,-0.843144530386581,0.654910557706162,-0.14100709665496305,0.1568554696134186
8000,8000,HOSPITAL SANTA LUCIA EMPRESA SOCIAL DEL ESTADO DE EL DOVIO VALLE,891901296,VALLE DEL CAUCA,EL DOVIO,Territorial,Centralizada,CO1.REQ.3924337,021-2023,704258128,CO1.BDOS.3828987,MÉDICO GENERAL,"PRESTACIÓN DE SERVICIOS PROFESIONALES COMO MÉDICO GENERAL EN EL ÁREA DE URGENCIAS Y HOSPITALIZACIÓN, DE LA E.S.E. HOSPITAL SANTA LUCIA, DE EL DOVIO, VALLE DEL CAUCA.",Presentación de oferta,01/24/2023,01/24/2023,,,,,01/24/2023,"14,000,000",Contratación régimen especial,Regla aplicable,4,Mes(es),,,,El Dovio,HOSPITAL SANTA LUCIA ESE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3830104,"704,258,128",Presentación de oferta,2023,0.00432108451923077,,1,14000000,3.23992736955126,V1.851,True,36.6455383300781,0.07917423418848912,109.936614990234,1,-0.911587398706817,0.572985003154198,-0.30269693675395654,0.08841260129318328
13508,13508,INSTITUCION EDUCATIVA JOSE MARIA FALLA,891901114,VALLE DEL CAUCA,EL DOVIO,Territorial,Centralizada,CO1.REQ.5296655,013-2023,706815131,CO1.BDOS.5181452,SUMINISTRO DE ELEMENTOS DE ASEO PARA LA INSTITUCIÓN EDUCATIVA JOSÉ MARÍA FALLA; EL DOVIO VALLE,"SUMINISTRO DE ELEMENTOS DE ASEO PARA LA INSTITUCIÓN EDUCATIVA JOSÉ MARÍA FALLA, EL DOVIO VALLE",Presentación de oferta,11/17/2023,11/17/2023,,,,,11/17/2023,"5,000,000",Contratación régimen especial,Decreto 092 de 2017,10,día(s),,,,El Dovio,CONTRATACION REGIMEN ESPECIAL I.E. JOSE MARIA FALLA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,UNSPECIFIED,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5192497,"706,815,131",Presentación de oferta,2023,0.00432108451923077,,1,5000000,1.15711691769688,UNSPEC,True,0.2,0.000432108451923077,0.6,0,4.78558458848439,0.0005876469711696,0.003271566192307705,5.7855845884844
22428,22428,HOSPITAL SANTA LUCIA EMPRESA SOCIAL DEL ESTADO DE EL DOVIO VALLE,891901296,VALLE DEL CAUCA,EL DOVIO,Territorial,Centralizada,CO1.REQ.4885077,103-2023,704258128,CO1.BDOS.4777820,OSCAR MARINO VELÁSQUEZ CARDONA,"PRESTACIÓN DE SERVICIOS DE PROMOTOR DE SALUD A LA E.S.E. HOSPITAL SANTA LUCIA DE EL DOVIO, VALLE DEL CAUCA",Presentación de oferta,07/28/2023,07/28/2023,,,,,07/28/2023,"7,260,000",Contratación régimen especial,Regla aplicable,120,día(s),,,,El Dovio,HOSPITAL SANTA LUCIA ESE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4785848,"704,258,128",Presentación de oferta,2023,0.00432108451923077,,1,7260000,1.68013376449586,V1.851,True,13.6807136535645,0.02955775999022329,41.0421409606934,1,-0.877189611080112,0.614315154236399,-0.11097103996089319,0.12281038891988669
24593,24593,INSTITUCIÓN EDUCATIVA ASOCIACIÓN CENTROS EDUCATIVOS DEL CAÑON DEL RIO GARRAPATAS,821001877,VALLE DEL CAUCA,EL DOVIO,Nacional,Centralizada,CO1.REQ.5291408,SUMINISTROS 007-2023,718831282,CO1.BDOS.5175460,SUMINISTRO DE PINTURA PARA EMBELLECIMIENTO DE LAS SEDES LA I.E ACERG,SUMINISTRO DE PINTURA PARA EMBELLECIMIENTO DE LAS SEDES LA I.E ACERG,Presentación de oferta,11/16/2023,11/16/2023,,,,,11/16/2023,"853,000",Contratación régimen especial,Regla aplicable,5,día(s),,,,El Dovio,INSTITUCION EDUCATIVA ACERG,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,UNSPECIFIED,Abierto,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5186782,"718,831,282",Presentación de oferta,2023,0.00432108451923077,,1,853000,0.197404146159087,UNSPEC,True,0.2,0.000432108451923077,0.6,1,-0.012979269204564,0.337735443904657,-0.000875433807692309,0.987020730795435
24917,24917,INSTITUCION EDUCATIVA JOSE MARIA FALLA,891901114,VALLE DEL CAUCA,EL DOVIO,Territorial,Centralizada,CO1.REQ.4546908,007-2023,706815131,CO1.BDOS.4444588,PRESTAR SERVICIOS PROFESIONALES COMO CONTADOR PÚBLICO Y BRINDAR APOYO EN LOS PROCESOS CONTABLES; PRESUPUESTALES Y RENDICIÓN DE INFORMES DE LA INSTITUCIÓN EDUCATIVA JOSÉ MARÍA FALLA,"PRESTAR SERVICIOS PROFESIONALES COMO CONTADOR PÚBLICO Y BRINDAR APOYO EN LOS PROCESOS CONTABLES, PRESUPUESTALES Y RENDICIÓN DE INFORMES DE LA INSTITUCIÓN EDUCATIVA JOSÉ MARÍA FALLA",Presentación de oferta,05/19/2023,05/19/2023,,,,,05/19/2023,"3,866,000",Contratación régimen especial,Decreto 092 de 2017,220,día(s),,,,El Dovio,CONTRATACION REGIMEN ESPECIAL I.E. JOSE MARIA FALLA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.84111500,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4448372,"706,815,131",Presentación de oferta,2023,0.00432108451923077,,1,3866000,0.894682800763225,V1.841,True,0.2,0.000432108451923077,0.6,0,3.47341400381613,0.0015342403266028,0.0021375661923076906,4.473414003816125
36315,36315,INSTITUCION EDUCATIVA JOSE MARIA FALLA,891901114,VALLE DEL CAUCA,EL DOVIO,Territorial,Centralizada,CO1.REQ.4546486,006-2023,706815131,CO1.BDOS.4444802,SUMINISTRO DE MATERIAL DE APOYO PARA ESTUDIANTES DE GRADO 9° Y 11°; Y DOCENTES DE LA INSTITUCIÓN EDUCATIVA JOSÉ MARÍA FALLA; QUE PERMITA MEJORAR LA CALIDAD EDUCATIVA Y LOS RESULTADOS EN LAS PRUEBAS SA,"SUMINISTRO DE MATERIAL DE APOYO PARA ESTUDIANTES DE GRADO 9° Y 11°, Y DOCENTES DE LA INSTITUCIÓN EDUCATIVA JOSÉ MARÍA FALLA, QUE PERMITA MEJORAR LA CALIDAD EDUCATIVA Y LOS RESULTADOS EN LAS PRUEBAS SABER",Presentación de oferta,05/19/2023,05/19/2023,,,,,05/19/2023,"9,000,000",Contratación régimen especial,Decreto 092 de 2017,120,día(s),,,,El Dovio,CONTRATACION REGIMEN ESPECIAL I.E. JOSE MARIA FALLA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.60101704,Abierto,Decreto 092 de 2017,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4448349,"706,815,131",Presentación de oferta,2023,0.00432108451923077,,1,9000000,2.08281045185438,V1.601,True,12.0789527893066,0.026097087953196037,36.2368583679199,1,-0.827566968082012,0.673142032819055,-0.09538835181278413,0.1724330319179884
44314,44314,HOSPITAL SANTA LUCIA EMPRESA SOCIAL DEL ESTADO DE EL DOVIO VALLE,891901296,VALLE DEL CAUCA,EL DOVIO,Territorial,Centralizada,CO1.REQ.5002693,117-2023,704258128,CO1.BDOS.4893752,GLORIA ANGÉLICA BUSTAMANTE CÁRDENAS,APOYO EN EL PROCESO DE IMPLEMENTACIÓN DE LAS RUTAS INTEGRALES DE ATENCIÓN EN SALUD DE ACUERDO A LA NORMATIVIDAD VIGENTE.,Presentación de oferta,08/31/2023,08/31/2023,,,,,08/31/2023,"10,000,000",Contratación régimen especial,Regla aplicable,4,Mes(es),,,,El Dovio,HOSPITAL SANTA LUCIA ESE,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.85101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4902450,"704,258,128",Presentación de oferta,2023,0.00432108451923077,,1,10000000,2.31423383539375,V1.851,True,1.81303334236145,0.0039171351542636405,5.43910002708435,1,0.276443064405808,0.160053296347675,-0.005668540617054581,1.276443064405806
