,Unnamed: 0.1,Unnamed: 0,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Tamaño valor extraño,veces la predicción
166275,446,781,MUNICIPIO DE TORO,891900985,VALLE DEL CAUCA,TORO,Territorial,Centralizada,CO1.REQ.6791119,CD-062-2024,704975077,CO1.BDOS.6663964,MT-CIA-004 DE 2024,"AUNAR ESFUERZOS ADMINISTRATIVOS, TECNICOS Y FINANCIEROS ENTRE EL MUNICIPIO DE TORO VALLE DEL CAUCA Y LA E.S.E. HOSPITAL SAGRADA FAMILIA PARA EJECUTAR EN LA JURISDICCCION DEL MUNICIPIO DE TORO, LAS ACTIVIDADES ENMARCADAS DENTRO DEL PLAN DE INTERVENCIONES COLECTIVAS EN SALUD PIC 2024, DE CONFORMIDAD CON LO ESTABLECIDO POR EL MINISTERIO DE SALUD Y PROTECCION SOCIAL EN LA RESOLUCION 518 DE 2015",Presentación de oferta,09/05/2024,09/05/2024,,,,,09/05/2024,147174122,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,Mes(es),,,,Toro,CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704247287,Valle del Cauca,Toro,,0,No Adjudicado,HOSPITAL SAGRADA FAMILIA E.S.E,891900361,V1.91111900,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6672083,704975077,Adjudicado,2024,3.9155429850746266,,1,147174122,147.17412199999995,V1.911,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,186.9357761631047,6.279110697169668e-16,37.38715523262093,2.978160381317139,27073.800587897917,187.93577616310466
581803,5707,9339,MUNICIPIO DE TORO,891900985,VALLE DEL CAUCA,TORO,Territorial,Centralizada,CO1.REQ.5652809,CD-006-2024,704975077,CO1.BDOS.5535336,TRANSPORTE ESCOLAR,PRESTAR EL SERVICIO DE TRANSPORTE ESCOLAR CON DESTINO A LOS ESTUDIANTES QUE RESIDEN EN LA ZONA RURAL DEL MUNICIPIO DE TORO VALLE DEL CAUCA Y QUE SE ENCUENTREN MATRICULADOS EN LOS ESTABLECIMIENTOS EDUCATIVOS DEL AREA URBANA Y RURAL.,Presentación de oferta,01/30/2024,01/30/2024,,,,,01/30/2024,138587778,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Toro,UNIDAD DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,723878997,Valle del Cauca,Toro,,0,No Adjudicado,EMPRESA DE TRANSPORTES TRANS TORO LIMITADA,891900031,V1.78111800,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5543899,704975077,Adjudicado,2024,3.9155429850746266,,1,138587778,138.58777799999996,V1.781,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,175.9713402818876,5.3586136002838377e-17,35.19426805637752,29.46488761901855,20304.003737209197,176.9713402818876
48641,10264,17009,MUNICIPIO DE TORO,891900985,VALLE DEL CAUCA,TORO,Territorial,Centralizada,CO1.REQ.6279852,MC-011-2024,704975077,CO1.BDOS.6157876,SUMINISTRO DE COMBUSTIBLESY LUBRICANTES PARA GARANTIZAR EL FUNCIONAMIENTO DE LOS VEHICULOS DE PROPIEDAD Y DE USO DEL MUNICIPIO (VEHICULOS ADCRISTOS AL DESPACHO DE ALCALDE Y A LA SECRETARIA DE DESARROL,SUMINISTRO DE COMBUSTIBLESY LUBRICANTES PARA GARANTIZAR EL FUNCIONAMIENTO DE LOS VEHICULOS DE PROPIEDAD Y DE USO DEL MUNICIPIO (VEHICULOS ADCRISTOS AL DESPACHO DE ALCALDE Y A LA SECRETARIA DE DESARROLLO ECONOMICO DEL MUNICIPIO DE TORO VALLE DEL CAUCA,Presentación de oferta,05/23/2024,05/23/2024,,,,,05/23/2024,36400000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),05/28/2024,05/28/2024,05/28/2024,Toro,CONTRATACION,0,0,3,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1940713,725472310,Valle del Cauca,Toro,05/30/2024,36400000,MUNICIPIO DE TORO VALLE,DANIEL FELIPE MURILLO TOTO,1144066741,V1.15101500,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6166860,704975077,Adjudicado,2024,3.9155429850746266,,1,36400000,36.4,V1.151,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,45.48142050636465,1.38228273963531e-12,9.09628410127293,-126.1529998779297,6247.492901988314,46.48142050636464
194112,3218,5329,MUNICIPIO DE TORO,891900985,VALLE DEL CAUCA,TORO,Territorial,Centralizada,CO1.REQ.6289072,MC-012-2024,704975077,CO1.BDOS.6167251,SUMINISTRO DE COMBUSTIBLES Y LUBRICANTES PARA GARANTIZAR EL FUNCIONAMIENTO DE LOS VEHICULOS DE MANTENIMIENTO DE VIAS Y MAQUINARIA PESADA ALSERVICIO DEL MUNICIPIO DE TORO  VALLE DEL CAUCA.,SUMINISTRO DE COMBUSTIBLES Y LUBRICANTES PARA GARANTIZAR EL FUNCIONAMIENTO DE LOS VEHICULOS DE MANTENIMIENTO DE VIAS Y MAQUINARIA PESADA ALSERVICIO DEL MUNICIPIO DE TORO  VALLE DEL CAUCA.,Presentación de oferta,05/24/2024,05/24/2024,,,,,05/24/2024,36400000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),05/29/2024,05/29/2024,05/29/2024,Toro,CONTRATACION,0,0,3,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1941554,725472310,Valle del Cauca,Toro,06/04/2024,36400000,MUNICIPIO DE TORO VALLE,DANIEL FELIPE MURILLO TOTO,1144066741,V1.15101500,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6175968,704975077,Adjudicado,2024,3.9155429850746266,,1,36400000,36.4,V1.151,True,221.0532858771287,432.7718214219437,169.3660011291504,1,-0.8353338207321073,0.4210084649359579,-47.15904960844387,-65.4301528930664,2351.2514142329687,0.16466617926789265
156435,3650,6063,MUNICIPIO DE TORO,891900985,VALLE DEL CAUCA,TORO,Territorial,Centralizada,CO1.REQ.6124695,MC-007-2024,704975077,CO1.BDOS.6005610,PRESTACION DE SERVICIOS PROFESIONALES PARA MEJORAR LOS PROMEDIOS ICFES SABER 11  EN EL AÑO 2024,"PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN POR MEDIO DE CAPACITACIONES PARA FORTALECER LAS COMPETENCIAS BÁSICAS DE LOS ESTUDIANTES DE GRADO 11 DE LOS ESTABLECIMIENTOS EDUCATIVOS OFICIALES DEL MUNICIPIO DE TORO VALLE DEL CAUCA, CON EL FIN DE MEJORAR LOS PROMEDIOS ICFES SABER 11 EN EL AÑO 2024",Presentación de oferta,04/23/2024,04/23/2024,,,,,04/23/2024,36000000,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,Mes(es),04/25/2024,04/26/2024,04/26/2024,Toro,CONTRATACION,0,0,9,0,2,0,0,2,0,Seleccionado,70,Si,CO1.AWD.1914206,701818114,Valle del Cauca,Cartago,05/02/2024,36000000,MUNICIPIO DE TORO VALLE,VIVE NATURALEZA,900398949,V1.80111600,Cerrado,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6019608,704975077,Adjudicado,2024,3.9155429850746266,,1,36000000,36.0,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,44.97063566563537,1.7854461683619858e-11,8.994127133127074,17.34184265136719,994.6365485136545,45.97063566563536
58527,7425,12271,MUNICIPIO DE TORO,891900985,VALLE DEL CAUCA,TORO,Territorial,Centralizada,CO1.REQ.5791651,202423,704975077,CO1.BDOS.5675166,PRESTACION DE SERVICIOS PROFESIONALES DE ASESORÍA PARA LA ELABORACION Y FORMULACION DE PROYECTOS; PROGRAMAS Y ESTRATEGIAS PARA LA IMPLEMENTACION DE LOS PROCESOS INTEGRALES DE INCLUSIÓN Y ATENCION A PO,"PRESTACION DE SERVICIOS PROFESIONALES DE ASESORÍA PARA LA ELABORACION Y FORMULACION DE PROYECTOS, PROGRAMAS Y ESTRATEGIAS PARA LA IMPLEMENTACION DE LOS PROCESOS INTEGRALES DE INCLUSIÓN Y ATENCION A POBLACIONES VULNERABLES EN CONDICION DE DISCAPACIDAD, ORIENTADOS EN LOS PROGRAMAS SOCIALES EN EL MUNICIPIO DE TORO VALLE DEL CAUCA",Presentación de oferta,02/19/2024,02/19/2024,,,,,02/19/2024,23850000,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Toro,CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,702235854,Valle del Cauca,Toro,,0,No Adjudicado,CORPORACION SOLIDARIA PARA PROYECTOS PUBLICOS Y PRIVADOS EN COLOMBIA,900919250,V1.80101601,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5683255,704975077,Adjudicado,2024,3.9155429850746266,,1,23850000,23.849999999999998,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,29.45554612848343,7.030278060169164e-11,5.891109225696685,-4.32891845703125,805.7594803645252,30.455546128483423
346996,2227,3716,MUNICIPIO DE TORO,891900985,VALLE DEL CAUCA,TORO,Territorial,Centralizada,CO1.REQ.5856089,MC-004-2024,704975077,CO1.BDOS.5739376,SUMINISTRO DE COMBUSTIBLE TERRESTRE GASOLINA CORRIENTE; A.C.P.M Y SUS MEZCLAS) PARA EL PARQUE AUTOMOTOR Y MAQUINARIA PESADA AL SERVICIO DEL MUNICIPIO DE TORO. VALLE DEL CAUCA..,"SUMINISTRO DE COMBUSTIBLE TERRESTRE (GASOLINA CORRIENTE, A.C.P.M Y SUS MEZCLAS) PARA EL PARQUE AUTOMOTOR Y MAQUINARIA PESADA AL SERVICIO DEL MUNICIPIO DE TORO.  VALLE DEL CAUCA..",Presentación de oferta,02/28/2024,02/28/2024,,,,,02/28/2024,36399850,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),03/04/2024,03/05/2024,03/05/2024,Toro,CONTRATACION,0,0,1,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.1868815,725472310,Valle del Cauca,Toro,03/07/2024,36399850,MUNICIPIO DE TORO VALLE,DANIEL FELIPE MURILLO TOTO,1144066741,V1.15101500,Cerrado,Suministros,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5749033,704975077,Adjudicado,2024,3.9155429850746266,,1,36399850,36.39985,V1.151,True,107.69994156250797,210.85187533901265,82.5172462463379,1,-0.6620253505070485,0.5745276105795022,-18.20950295636943,-22.51685523986816,795.5125297482612,0.3379746494929516
170048,4219,7142,MUNICIPIO DE TORO,891900985,VALLE DEL CAUCA,TORO,Territorial,Centralizada,CO1.REQ.6790890,CD-063-2024,704975077,CO1.BDOS.6663784,OPERAR EL CENTRO DE PROTECCION SOCIAL HOGAR DEL ANCIANO SAN VICENTE DE PAUL DEL MUNICIPIO DE TORO VALLE DEL CAUCA; CON EL FIN DE MEJORAR LA CALIDAD DE VIDA DE ADULTOS MAYORES RESIDENTES; SIGUIENDO LOS,"OPERAR EL CENTRO DE PROTECCION SOCIAL HOGAR DEL ANCIANO SAN VICENTE DE PAUL DEL MUNICIPIO DE TORO VALLE DEL CAUCA, CON EL FIN DE MEJORAR LA CALIDAD DE VIDA DE ADULTOS MAYORES RESIDENTES, SIGUIENDO LOS LINEAMIENTOS ESTABLECIDOS EN LA LEY 1315 DE 2009.",Presentación de oferta,09/05/2024,09/05/2024,,,,,09/05/2024,43662888,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,Mes(es),,,,Toro,CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,725801294,Valle del Cauca,Toro,,0,No Adjudicado,sociedad de san vicente de paul - conferencia san francisco de asis,800148103,V1.91111900,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6672703,704975077,Adjudicado,2024,3.9155429850746266,,1,43662888,43.66288800000002,V1.911,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,54.7558532321512,2.865670766602526e-12,10.95117064643024,38.27649688720703,719.5362904013871,55.755853232151196
489520,3618,5904,MUNICIPIO DE TORO,891900985,VALLE DEL CAUCA,TORO,Territorial,Centralizada,CO1.REQ.6734280,MT- MC 002 de 2024,704975077,CO1.BDOS.6607167,MANTENIMIENTO Y REPARACIÓN AL SISTEMA DE ALUMBRADO PÚBLICO EN EL MUNICIPIO DE TORO VALLE DEL CAUCA,MANTENIMIENTO Y REPARACIÓN AL SISTEMA DE ALUMBRADO PÚBLICO EN EL MUNICIPIO DE TORO VALLE DEL CAUCA,Presentación de oferta,08/28/2024,08/28/2024,,,,,08/28/2024,19993677,Mínima cuantía,Presupuesto inferior al 10% de la menor cuantía,otro,día(s),08/30/2024,08/30/2024,09/02/2024,Toro,CONTRATACION,0,0,12,0,1,0,0,1,0,Seleccionado,70,Si,CO1.AWD.2021512,728176181,Valle del Cauca,La Unión,09/04/2024,19991521,MUNICIPIO DE TORO VALLE,CESAR HUMBERTO RAMOS ELVIRA,6358317,V1.72151500,Cerrado,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6618698,704975077,Adjudicado,2024,3.9155429850746266,,1,19993677,19.993677,V1.721,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,24.53116780509426,1.205506945029203e-10,4.906233561018853,-10.9185209274292,708.7696262686134,25.531167805094263
31452,6044,9866,MUNICIPIO DE TORO,891900985,VALLE DEL CAUCA,TORO,Territorial,Centralizada,CO1.REQ.6597034,CD-034-2024,704975077,CO1.BDOS.6471628,PRESTACION DE SERVICIOS ARTISTICOS; INCLUYE PUESTA EN ESCENA EN EL MARCO DE LA CELEBRACION DE LAS FIESTAS CIVICO PATRONALES DEL MUNICIPIO DE TORO,"PRESTACION DE SERVICIOS ARTISTICOS, INCLUYE PUESTA EN ESCENA EN EL MARCO DE LA CELEBRACION DE LAS FIESTAS CIVICO PATRONALES DEL MUNICIPIO DE TORO",Presentación de oferta,08/01/2024,08/01/2024,,,,,08/01/2024,41495647,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,día(s),,,,Toro,CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704845171,Valle del Cauca,Zarzal,,0,No Adjudicado,FUNDACION VIDA Y FUTURO,900267819,V1.93141701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6480274,704975077,Adjudicado,2024,3.9155429850746266,,1,41495647,41.49564699999999,V1.931,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,51.98836860963375,1.306187626958438e-12,10.39767372192675,35.18524551391602,697.25646447745,52.98836860963374
